caseID,action,type,technique,play_pattern,under_pressure,shot_assist,angle,length,height,recipient,startTime,period,minute,duration,endTime,possession_team,team_action,player,player_position,body_part,start_X,start_Y,end_X,end_Y,bad_behavior,result,home_team,away_team,action_type,action_count,action_type_count
756410,Pass,Free Kick,None,From Free Kick,None,None,-2.4980915,10.0,,Javier Alejandro Mascherano,00:03:11.007,1,3,1.133,00:03:12.140000,Argentina,Argentina,Lionel Andrés Messi Cuccittini,Right Center Forward,Right Foot,67.0,71.0,59.0,65.0,None,None,Argentina,Nigeria,Pass_Free Kick,Pass_1,Pass_Free Kick_1
756410,Pass,None,None,From Free Kick,None,None,-1.19029,10.770328999999998,,Éver Maximiliano David Banega,00:03:12.447,1,3,0.973,00:03:13.420000,Argentina,Argentina,Javier Alejandro Mascherano,Right Center Midfield,Right Foot,60.0,59.0,64.0,49.0,None,None,Argentina,Nigeria,Pass_None,Pass_2,Pass_None_1
756410,Pass,None,None,From Free Kick,None,None,2.0344439,13.416407999999999,,Javier Alejandro Mascherano,00:03:14.287,1,3,1.093,00:03:15.380000,Argentina,Argentina,Éver Maximiliano David Banega,Left Center Midfield,Right Foot,64.0,50.0,58.0,62.0,None,None,Argentina,Nigeria,Pass_None,Pass_3,Pass_None_2
756410,Pass,None,None,From Free Kick,None,None,-1.9614034,18.384777,,Nicolás Hernán Otamendi,00:03:17.407,1,3,1.6,00:03:19.007000,Argentina,Argentina,Javier Alejandro Mascherano,Right Center Midfield,Right Foot,59.0,55.0,52.0,38.0,None,None,Argentina,Nigeria,Pass_None,Pass_4,Pass_None_3
756410,Pass,None,None,From Free Kick,None,None,0.09585915,52.23983,,Lionel Andrés Messi Cuccittini,00:03:22.207,1,3,3.0660000000000003,00:03:25.273000,Argentina,Argentina,Nicolás Hernán Otamendi,Right Center Back,Right Foot,57.0,40.0,109.0,45.0,None,Incomplete,Argentina,Nigeria,Pass_None,Pass_5,Pass_None_4
7564102,Pass,None,None,Regular Play,None,None,-1.4288993,28.284271,,Éver Maximiliano David Banega,00:06:20.520,2,51,1.893,00:06:22.413000,Argentina,Argentina,Nicolás Hernán Otamendi,Right Center Back,Right Foot,48.0,43.0,52.0,15.0,None,None,Argentina,Nigeria,Pass_None,Pass_1,Pass_None_1
7564102,Pass,None,None,Regular Play,True,None,1.5907936000000003,50.01,,Gabriel Iván Mercado,00:06:25.760,2,51,3.2,00:06:28.960000,Argentina,Argentina,Éver Maximiliano David Banega,Left Center Midfield,Right Foot,57.0,14.0,56.0,64.0,None,None,Argentina,Nigeria,Pass_None,Pass_2,Pass_None_2
7564102,Pass,None,None,Regular Play,None,None,-2.0344439,13.416407999999999,,Nicolás Hernán Otamendi,00:06:30.840,2,51,1.2,00:06:32.040000,Argentina,Argentina,Gabriel Iván Mercado,Right Back,Right Foot,58.0,66.0,52.0,54.0,None,None,Argentina,Nigeria,Pass_None,Pass_3,Pass_None_3
7564102,Pass,None,None,Regular Play,None,None,-0.618428,63.82006,,Ángel Fabián Di María Hernández,00:06:33.640,2,51,4.373,00:06:38.013000,Argentina,Argentina,Nicolás Hernán Otamendi,Right Center Back,Right Foot,56.0,51.0,108.0,14.0,None,None,Argentina,Nigeria,Pass_None,Pass_4,Pass_None_4
7564102,Miscontrol,None,None,Regular Play,True,None,,,,,00:06:38.213,2,51,,None,Argentina,Argentina,Ángel Fabián Di María Hernández,Left Wing,,109.0,15.0,,,None,None,Argentina,Nigeria,Miscontrol_None,Miscontrol_1,Miscontrol_None_1
7564107,Pass,Goal Kick,None,From Goal Kick,None,None,-0.17021193,64.93843000000001,,Gonzalo Gerardo Higuaín,00:09:02.440,2,54,3.853,00:09:06.293000,Argentina,Argentina,Franco Armani,Goalkeeper,Right Foot,6.0,45.0,70.0,34.0,None,Incomplete,Argentina,Nigeria,Pass_Goal Kick,Pass_1,Pass_Goal Kick_1
7564107,Pass,Recovery,None,From Goal Kick,None,None,-1.5707964,6.0,,Éver Maximiliano David Banega,00:09:09.840,2,54,1.413,00:09:11.253000,Argentina,Argentina,Javier Alejandro Mascherano,Right Center Midfield,Head,67.0,39.0,67.0,33.0,None,None,Argentina,Nigeria,Pass_Recovery,Pass_4,Pass_Recovery_1
7564107,Dribble,None,None,From Goal Kick,None,None,,,,,00:09:13.560,2,54,,None,Argentina,Argentina,Éver Maximiliano David Banega,Left Center Midfield,,68.0,34.0,,,None,Complete,Argentina,Nigeria,Dribble_None,Dribble_1,Dribble_None_1
7564107,Pass,None,None,From Goal Kick,None,None,0.24497867,8.246211,,Gonzalo Gerardo Higuaín,00:09:13.720,2,54,0.84,00:09:14.560000,Argentina,Argentina,Éver Maximiliano David Banega,Left Center Midfield,Left Foot,68.0,34.0,76.0,36.0,None,Incomplete,Argentina,Nigeria,Pass_None,Pass_5,Pass_None_2
756411,Pass,Throw-in,None,From Throw In,None,None,2.0988708,27.784887,,Franco Armani,00:03:46.060,1,3,2.12,00:03:48.180000,Argentina,Argentina,Faustino Marcos Alberto Rojo,Left Center Back,,20.0,1.0,6.0,25.0,None,None,Argentina,Nigeria,Pass_Throw-in,Pass_1,Pass_Throw-in_1
756411,Pass,None,None,From Throw In,None,None,1.0906214,54.120235,,Gabriel Iván Mercado,00:03:50.607,1,3,2.6919999999999997,00:03:53.299000,Argentina,Argentina,Franco Armani,Goalkeeper,Right Foot,9.0,29.0,34.0,77.0,None,None,Argentina,Nigeria,Pass_None,Pass_2,Pass_None_1
756411,Pass,None,None,From Throw In,None,None,0.16977827,35.510563,,Gonzalo Gerardo Higuaín,00:03:57.260,1,3,1.746,00:03:59.006000,Argentina,Argentina,Gabriel Iván Mercado,Right Back,Right Foot,52.0,74.0,87.0,80.0,None,Out,Argentina,Nigeria,Pass_None,Pass_3,Pass_None_2
7564110,Pass,None,None,Regular Play,None,None,-1.5707964,35.0,,Nicolás Alejandro Tagliafico,00:10:30.200,2,55,2.4130000000000003,00:10:32.613000,Argentina,Argentina,Nicolás Hernán Otamendi,Right Center Back,Right Foot,35.0,37.0,35.0,2.0,None,None,Argentina,Nigeria,Pass_None,Pass_1,Pass_None_1
7564110,Pass,None,None,Regular Play,None,None,1.9513026000000002,10.770328999999998,,Javier Alejandro Mascherano,00:10:35.000,2,55,1.3330000000000002,00:10:36.333000,Argentina,Argentina,Nicolás Alejandro Tagliafico,Left Back,Left Foot,46.0,3.0,42.0,13.0,None,None,Argentina,Nigeria,Pass_None,Pass_2,Pass_None_2
7564110,Pass,None,None,Regular Play,None,None,1.150133,41.62932,,Enzo Nicolás Pérez,00:10:38.320,2,55,2.0,00:10:40.320000,Argentina,Argentina,Javier Alejandro Mascherano,Right Center Midfield,Right Foot,42.0,25.0,59.0,63.0,None,None,Argentina,Nigeria,Pass_None,Pass_3,Pass_None_3
7564110,Pass,None,None,Regular Play,True,None,-2.5899377,15.264338,,Javier Alejandro Mascherano,00:10:43.960,2,55,1.733,00:10:45.693000,Argentina,Argentina,Enzo Nicolás Pérez,Right Wing,Right Foot,75.0,61.0,62.0,53.0,None,None,Argentina,Nigeria,Pass_None,Pass_4,Pass_None_4
7564110,Pass,None,None,Regular Play,None,None,-1.1597316999999998,42.544094,,Nicolás Alejandro Tagliafico,00:10:48.400,2,55,2.32,00:10:50.720000,Argentina,Argentina,Javier Alejandro Mascherano,Right Center Midfield,Right Foot,67.0,52.0,84.0,13.0,None,Unknown,Argentina,Nigeria,Pass_None,Pass_5,Pass_None_5
7564111,Pass,Free Kick,None,From Free Kick,None,None,0.7378151,29.732138,,,00:11:27.013,2,56,1.32,00:11:28.333000,Argentina,Argentina,Lionel Andrés Messi Cuccittini,Right Center Forward,Left Foot,84.0,16.0,106.0,36.0,None,Incomplete,Argentina,Nigeria,Pass_Free Kick,Pass_1,Pass_Free Kick_1
7564111,Pass,Recovery,None,From Free Kick,None,None,-0.30288488,16.763054,,Nicolás Alejandro Tagliafico,00:11:30.640,2,56,2.053,00:11:32.693000,Argentina,Argentina,Enzo Nicolás Pérez,Right Wing,Head,84.0,41.0,100.0,36.0,None,Incomplete,Argentina,Nigeria,Pass_Recovery,Pass_2,Pass_Recovery_1
7564111,Pass,Recovery,None,From Free Kick,None,None,-1.5707964,21.0,,Éver Maximiliano David Banega,00:11:34.040,2,56,1.3730000000000002,00:11:35.413000,Argentina,Argentina,Nicolás Hernán Otamendi,Right Center Back,Right Foot,87.0,35.0,87.0,14.0,None,None,Argentina,Nigeria,Pass_Recovery,Pass_4,Pass_Recovery_3
7564111,Pass,None,None,From Free Kick,None,None,0.93971694,32.202484000000005,,Gonzalo Gerardo Higuaín,00:11:38.920,2,56,1.253,00:11:40.173000,Argentina,Argentina,Éver Maximiliano David Banega,Left Center Midfield,Right Foot,94.0,16.0,113.0,42.0,None,Incomplete,Argentina,Nigeria,Pass_None,Pass_5,Pass_None_1
7564111,Pass,Recovery,None,From Free Kick,None,None,1.3734008,10.198039,,Lionel Andrés Messi Cuccittini,00:11:42.640,2,56,2.133,00:11:44.773000,Argentina,Argentina,Nicolás Hernán Otamendi,Right Center Back,,100.0,42.0,102.0,52.0,None,Incomplete,Argentina,Nigeria,Pass_Recovery,Pass_6,Pass_Recovery_4
7564111,Pressure,None,None,From Free Kick,None,None,,,,,00:11:46.400,2,56,1.453,00:11:47.853000,Argentina,Argentina,Faustino Marcos Alberto Rojo,Left Center Back,,83.0,66.0,,,None,None,Argentina,Nigeria,Pressure_None,Pressure_1,Pressure_None_1
7564111,Ball Recovery,None,None,From Free Kick,None,None,,,,,00:11:53.253,2,56,,None,Argentina,Argentina,Javier Alejandro Mascherano,Right Center Midfield,,43.0,64.0,,,None,None,Argentina,Nigeria,Ball Recovery_None,Ball Recovery_1,Ball Recovery_None_1
7564111,Pass,None,None,From Free Kick,None,None,-1.076855,14.764823000000002,,Éver Maximiliano David Banega,00:11:53.920,2,56,1.093,00:11:55.013000,Argentina,Argentina,Javier Alejandro Mascherano,Right Center Midfield,Right Foot,42.0,67.0,49.0,54.0,None,None,Argentina,Nigeria,Pass_None,Pass_9,Pass_None_3
7564111,Pass,None,None,From Free Kick,None,None,2.0344439,13.416407999999999,,Javier Alejandro Mascherano,00:11:55.013,2,56,1.2,00:11:56.213000,Argentina,Argentina,Éver Maximiliano David Banega,Left Center Midfield,Right Foot,49.0,54.0,43.0,66.0,None,None,Argentina,Nigeria,Pass_None,Pass_10,Pass_None_4
7564111,Pass,None,None,From Free Kick,None,None,0.43984258,18.788294,,Enzo Nicolás Pérez,00:11:57.120,2,56,1.3330000000000002,00:11:58.453000,Argentina,Argentina,Javier Alejandro Mascherano,Right Center Midfield,Right Foot,43.0,69.0,60.0,77.0,None,None,Argentina,Nigeria,Pass_None,Pass_11,Pass_None_5
