caseID,action,type,technique,play_pattern,under_pressure,shot_assist,angle,length,height,recipient,startTime,period,minute,duration,endTime,possession_team,team_action,player,player_position,body_part,start_X,start_Y,end_X,end_Y,bad_behavior,result,home_team,away_team,action_type,action_count,action_type_count
754710,Pass,Recovery,None,Regular Play,None,None,0.26060238,15.524175,,Mathew Leckie,00:03:57.440,1,3,2.0,00:03:59.440000,Australia,Australia,Josh Risdon,Right Back,Head,11.0,69.0,26.0,73.0,None,None,Australia,Denmark,Pass_Recovery,Pass_1,Pass_Recovery_1
754710,Dribble,None,None,Regular Play,None,None,,,,,00:03:59.920,1,3,,None,Australia,Australia,Mathew Leckie,Right Wing,,23.0,78.0,,,None,Complete,Australia,Denmark,Dribble_None,Dribble_1,Dribble_None_1
754710,Pass,None,None,Regular Play,None,None,-0.6171914000000001,38.013157,,Andrew Nabbout,00:04:05.480,1,4,2.92,00:04:08.400000,Australia,Australia,Mathew Leckie,Right Wing,Right Foot,67.0,79.0,98.0,57.0,None,None,Australia,Denmark,Pass_None,Pass_2,Pass_None_1
754710,Pass,None,None,Regular Play,None,True,-2.5829932999999996,9.433981,,Tom Rogić,00:04:09.320,1,4,0.76,00:04:10.080000,Australia,Australia,Andrew Nabbout,Center Forward,Left Foot,102.0,60.0,94.0,55.0,None,None,Australia,Denmark,Pass_None,Pass_3,Pass_None_2
754710,Shot,Open Play,Normal,Regular Play,True,None,,,,,00:04:12.200,1,4,0.12,00:04:12.320000,Australia,Australia,Tom Rogić,Secondary Striker,Left Foot,101.0,53.0,102.0,53.0,None,Blocked,Australia,Denmark,Shot_Open Play,Shot_1,Shot_Open Play_1
7547101,Interception,None,None,Regular Play,None,None,,,,,00:08:00.560,2,53,,None,Australia,Australia,Aaron Mooy,Right Center Midfield,,34.0,53.0,,,None,Won,Australia,Denmark,Interception_None,Interception_1,Interception_None_1
7547101,Pass,None,None,Regular Play,None,None,1.0191413,15.264338,,Andrew Nabbout,00:08:05.440,2,53,1.2,00:08:06.640000,Australia,Australia,Aaron Mooy,Right Center Midfield,Right Foot,57.0,52.0,65.0,65.0,None,None,Australia,Denmark,Pass_None,Pass_1,Pass_None_1
7547101,Pass,None,None,Regular Play,None,None,0.9048271000000001,17.804493,,Mathew Leckie,00:08:11.160,2,53,1.6,00:08:12.760000,Australia,Australia,Andrew Nabbout,Center Forward,Left Foot,95.0,61.0,106.0,75.0,None,None,Australia,Denmark,Pass_None,Pass_2,Pass_None_2
7547101,Pass,None,None,Regular Play,None,None,-2.3086113999999998,14.866069,,Aaron Mooy,00:08:13.600,2,53,1.2,00:08:14.800000,Australia,Australia,Mathew Leckie,Right Wing,Right Foot,103.0,73.0,93.0,62.0,None,None,Australia,Denmark,Pass_None,Pass_3,Pass_None_3
7547101,Pass,None,None,Regular Play,True,None,0.8519663000000001,10.630146,,Mathew Leckie,00:08:16.240,2,53,1.2,00:08:17.440000,Australia,Australia,Aaron Mooy,Right Center Midfield,Left Foot,95.0,66.0,102.0,74.0,None,None,Australia,Denmark,Pass_None,Pass_4,Pass_None_4
7547101,Pass,None,None,Regular Play,None,None,-2.176341,15.811388,,Aaron Mooy,00:08:18.560,2,53,1.2,00:08:19.760000,Australia,Australia,Mathew Leckie,Right Wing,Right Foot,100.0,75.0,91.0,62.0,None,None,Australia,Denmark,Pass_None,Pass_5,Pass_None_5
7547101,Pass,None,None,Regular Play,None,None,2.4980915,5.0,,Josh Risdon,00:08:20.240,2,53,0.8,00:08:21.040000,Australia,Australia,Aaron Mooy,Right Center Midfield,Right Foot,92.0,67.0,88.0,70.0,None,None,Australia,Denmark,Pass_None,Pass_6,Pass_None_6
7547101,Pass,None,None,Regular Play,None,None,-1.8313987,15.524175,,Mile Jedinak,00:08:21.440,2,53,1.2,00:08:22.640000,Australia,Australia,Josh Risdon,Right Back,Right Foot,81.0,72.0,77.0,57.0,None,None,Australia,Denmark,Pass_None,Pass_7,Pass_None_7
7547101,Pass,None,None,Regular Play,None,None,0.0,6.0,,Aaron Mooy,00:08:23.080,2,53,0.6,00:08:23.680000,Australia,Australia,Mile Jedinak,Left Center Midfield,Right Foot,79.0,61.0,85.0,61.0,None,None,Australia,Denmark,Pass_None,Pass_8,Pass_None_8
7547101,Pass,None,None,Regular Play,None,None,-2.1498706000000003,31.06445,,Mark Milligan,00:08:23.680,2,53,2.0,00:08:25.680000,Australia,Australia,Aaron Mooy,Right Center Midfield,Right Foot,83.0,56.0,66.0,30.0,None,None,Australia,Denmark,Pass_None,Pass_9,Pass_None_9
7547101,Pass,None,None,Regular Play,None,None,-0.8139618000000001,24.758837,,Aziz Eraltay Behich,00:08:26.760,2,53,1.6,00:08:28.360000,Australia,Australia,Mark Milligan,Left Center Back,Right Foot,73.0,27.0,90.0,9.0,None,None,Australia,Denmark,Pass_None,Pass_10,Pass_None_10
7547101,Pass,None,None,Regular Play,True,None,1.4801364,11.045361,,Tom Rogić,00:08:30.760,2,53,1.4,00:08:32.160000,Australia,Australia,Aziz Eraltay Behich,Left Back,Right Foot,89.0,10.0,90.0,21.0,None,None,Australia,Denmark,Pass_None,Pass_11,Pass_None_11
7547101,Pass,None,None,Regular Play,None,None,-0.32175055,18.973665,,Aziz Eraltay Behich,00:08:32.160,2,53,3.56,00:08:35.720000,Australia,Australia,Tom Rogić,Secondary Striker,Left Foot,96.0,19.0,114.0,13.0,None,None,Australia,Denmark,Pass_None,Pass_12,Pass_None_12
7547101,Pass,None,None,Regular Play,None,None,1.6814536,27.166155,,Mathew Leckie,00:08:35.840,2,53,1.48,00:08:37.320000,Australia,Australia,Aziz Eraltay Behich,Left Back,Left Foot,118.0,16.0,115.0,43.0,None,Incomplete,Australia,Denmark,Pass_None,Pass_13,Pass_None_13
7547102,Pass,Throw-in,None,From Throw In,None,None,-1.487655,12.0415945,,Andrew Nabbout,00:08:56.320,2,53,0.88,00:08:57.200000,Australia,Australia,Josh Risdon,Right Back,,113.0,80.0,114.0,68.0,None,None,Australia,Denmark,Pass_Throw-in,Pass_1,Pass_Throw-in_1
7547102,Pass,None,None,From Throw In,None,None,2.2142975,10.0,,Josh Risdon,00:08:57.200,2,53,1.2,00:08:58.400000,Australia,Australia,Andrew Nabbout,Center Forward,Left Foot,114.0,68.0,108.0,76.0,None,None,Australia,Denmark,Pass_None,Pass_2,Pass_None_1
7547102,Pass,None,None,From Throw In,None,None,-2.2318394,11.401753999999999,,Aaron Mooy,00:08:59.000,2,53,1.2,00:09:00.200000,Australia,Australia,Josh Risdon,Right Back,Left Foot,105.0,79.0,98.0,70.0,None,None,Australia,Denmark,Pass_None,Pass_3,Pass_None_2
7547102,Pass,None,None,From Throw In,None,None,-0.5123895,18.35756,,Robbie Kruse,00:09:01.200,2,54,1.6,00:09:02.800000,Australia,Australia,Aaron Mooy,Right Center Midfield,Left Foot,98.0,68.0,114.0,59.0,None,None,Australia,Denmark,Pass_None,Pass_4,Pass_None_3
7547102,Pass,None,None,From Throw In,True,None,1.4801364,11.045361,,Josh Risdon,00:09:03.920,2,54,0.8,00:09:04.720000,Australia,Australia,Robbie Kruse,Left Wing,Right Foot,112.0,61.0,113.0,72.0,None,None,Australia,Denmark,Pass_None,Pass_5,Pass_None_4
7547102,Pass,None,None,From Throw In,None,None,-1.5337762,27.018513000000002,,Andrew Nabbout,00:09:04.800,2,54,0.88,00:09:05.680000,Australia,Australia,Josh Risdon,Right Back,Right Foot,115.0,75.0,116.0,48.0,None,Incomplete,Australia,Denmark,Pass_None,Pass_6,Pass_None_5
7547102,Ball Recovery,None,None,From Throw In,None,None,,,,,00:09:07.800,2,54,,None,Australia,Australia,Aaron Mooy,Right Center Midfield,,92.0,62.0,,,None,None,Australia,Denmark,Ball Recovery_None,Ball Recovery_1,Ball Recovery_None_1
7547102,Pass,None,None,From Throw In,None,None,-2.7032561,35.341194,,Trent Sainsbury,00:09:09.960,2,54,1.6,00:09:11.560000,Australia,Australia,Aaron Mooy,Right Center Midfield,Left Foot,91.0,69.0,59.0,54.0,None,None,Australia,Denmark,Pass_None,Pass_7,Pass_None_6
7547102,Pass,None,None,From Throw In,None,None,0.6202495,17.20465,,Aaron Mooy,00:09:12.600,2,54,1.2,00:09:13.800000,Australia,Australia,Trent Sainsbury,Right Center Back,Right Foot,59.0,60.0,73.0,70.0,None,None,Australia,Denmark,Pass_None,Pass_8,Pass_None_7
7547102,Pass,None,None,From Throw In,None,None,-0.09966865,10.049875,,Robbie Kruse,00:09:15.800,2,54,0.8,00:09:16.600000,Australia,Australia,Aaron Mooy,Right Center Midfield,Right Foot,82.0,69.0,92.0,68.0,None,None,Australia,Denmark,Pass_None,Pass_9,Pass_None_8
7547102,Pass,None,None,From Throw In,None,None,3.1415927000000003,12.0,,Aaron Mooy,00:09:16.600,2,54,0.8,00:09:17.400000,Australia,Australia,Robbie Kruse,Left Wing,Left Foot,93.0,69.0,81.0,69.0,None,None,Australia,Denmark,Pass_None,Pass_10,Pass_None_9
7547102,Pass,None,None,From Throw In,None,None,-2.2455373,19.209373,,Mile Jedinak,00:09:19.160,2,54,1.6,00:09:20.760000,Australia,Australia,Aaron Mooy,Right Center Midfield,Right Foot,90.0,63.0,78.0,48.0,None,None,Australia,Denmark,Pass_None,Pass_11,Pass_None_10
7547102,Pass,None,None,From Throw In,None,None,-1.815775,16.492422,,Mark Milligan,00:09:22.680,2,54,1.2,00:09:23.880000,Australia,Australia,Mile Jedinak,Left Center Midfield,Right Foot,77.0,38.0,73.0,22.0,None,None,Australia,Denmark,Pass_None,Pass_12,Pass_None_11
7547102,Pass,None,None,From Throw In,None,None,-0.66596925,17.804493,,Aziz Eraltay Behich,00:09:25.080,2,54,1.2,00:09:26.280000,Australia,Australia,Mark Milligan,Left Center Back,Right Foot,75.0,17.0,89.0,6.0,None,None,Australia,Denmark,Pass_None,Pass_13,Pass_None_12
7547102,Pass,None,None,From Throw In,None,None,2.976444,18.248287,,Mark Milligan,00:09:26.840,2,54,1.2,00:09:28.040000,Australia,Australia,Aziz Eraltay Behich,Left Back,Left Foot,88.0,8.0,70.0,11.0,None,None,Australia,Denmark,Pass_None,Pass_14,Pass_None_13
7547102,Pass,None,None,From Throw In,None,None,2.508844,18.601076000000003,,Mile Jedinak,00:09:29.240,2,54,1.2,00:09:30.440000,Australia,Australia,Mark Milligan,Left Center Back,Right Foot,77.0,9.0,62.0,20.0,None,None,Australia,Denmark,Pass_None,Pass_15,Pass_None_14
7547102,Pass,None,None,From Throw In,None,None,1.6902252,25.179357999999997,,Trent Sainsbury,00:09:32.440,2,54,1.6,00:09:34.040000,Australia,Australia,Mile Jedinak,Left Center Midfield,Right Foot,58.0,27.0,55.0,52.0,None,None,Australia,Denmark,Pass_None,Pass_16,Pass_None_15
7547102,Pass,None,None,From Throw In,None,None,-1.3101938999999998,31.04835,,Mark Milligan,00:09:35.080,2,54,1.6,00:09:36.680000,Australia,Australia,Trent Sainsbury,Right Center Back,Right Foot,58.0,51.0,66.0,21.0,None,None,Australia,Denmark,Pass_None,Pass_17,Pass_None_16
7547102,Pass,None,None,From Throw In,None,None,2.5127964,13.601470999999998,,Mile Jedinak,00:09:40.680,2,54,1.2,00:09:41.880000,Australia,Australia,Mark Milligan,Left Center Back,Right Foot,81.0,16.0,70.0,24.0,None,None,Australia,Denmark,Pass_None,Pass_18,Pass_None_17
7547102,Pass,None,None,From Throw In,None,None,1.076855,14.764823000000002,,Aaron Mooy,00:09:43.080,2,54,1.2,00:09:44.280000,Australia,Australia,Mile Jedinak,Left Center Midfield,Right Foot,68.0,32.0,75.0,45.0,None,None,Australia,Denmark,Pass_None,Pass_19,Pass_None_18
7547102,Pass,None,None,From Throw In,None,None,1.6162196000000002,22.022714999999998,,Josh Risdon,00:09:45.080,2,54,1.2,00:09:46.280000,Australia,Australia,Aaron Mooy,Right Center Midfield,Right Foot,79.0,48.0,78.0,70.0,None,None,Australia,Denmark,Pass_None,Pass_20,Pass_None_19
7547102,Pass,None,None,From Throw In,None,None,-0.34302393,14.866069,,Mathew Leckie,00:09:47.200,2,54,1.2,00:09:48.400000,Australia,Australia,Josh Risdon,Right Back,Right Foot,85.0,77.0,99.0,72.0,None,None,Australia,Denmark,Pass_None,Pass_21,Pass_None_20
7547102,Dribble,None,None,From Throw In,None,None,,,,,00:09:50.560,2,54,,None,Australia,Australia,Mathew Leckie,Right Wing,,86.0,54.0,,,None,Complete,Australia,Denmark,Dribble_None,Dribble_1,Dribble_None_1
