caseID,result,start_Zone,end_Zone,opponent
75833,Incomplete,1,2,Mexico
75834,Incomplete,2,2,Mexico
75837,Incomplete,1,2,Mexico
75838,Incomplete,2,2,Mexico
75839,Incomplete,2,3,Mexico
758310,Saved,2,2,Mexico
758313,Incomplete,3,3,Mexico
758316,Incomplete,1,2,Mexico
758318,Incomplete,1,3,Mexico
758321,Incomplete,1,3,Mexico
758324,Incomplete,1,2,Mexico
758326,Incomplete,2,3,Mexico
758328,Incomplete,1,1,Mexico
758329,Incomplete,1,2,Mexico
758332,Incomplete,2,3,Mexico
758333,Incomplete,3,3,Mexico
758335,Out,1,1,Mexico
758337,Incomplete,1,2,Mexico
758339,Incomplete,1,3,Mexico
758341,Incomplete,2,2,Mexico
758344,Saved,1,3,Mexico
758345,Blocked,3,3,Mexico
758348,Incomplete,2,3,Mexico
758350,Incomplete,1,3,Mexico
758353,Out,1,2,Mexico
758355,Incomplete,2,3,Mexico
758356,Saved,3,3,Mexico
758358,Blocked,2,3,Mexico
758359,Incomplete,3,3,Mexico
758361,Incomplete,1,2,Mexico
758362,Incomplete,2,2,Mexico
758363,Incomplete,1,2,Mexico
758364,Blocked,2,3,Mexico
758365,Off T,3,3,Mexico
758367,Incomplete,2,3,Mexico
758369,Incomplete,2,3,Mexico
758370,Incomplete,3,3,Mexico
758371,Incomplete,3,3,Mexico
758374,Incomplete,1,2,Mexico
758376,Incomplete,2,3,Mexico
758378,Blocked,2,3,Mexico
758379,Incomplete,2,2,Mexico
758380,Incomplete,2,3,Mexico
758383,Incomplete,2,3,Mexico
758384,Saved,3,3,Mexico
758385,Incomplete,3,3,Mexico
758386,Incomplete,3,3,Mexico
758387,Incomplete,3,3,Mexico
758389,Goal,1,3,Mexico
758393,Incomplete,2,None,Mexico
758395,Incomplete,1,1,Mexico
758397,Incomplete,2,None,Mexico
758398,Incomplete,3,3,Mexico
7583100,Off T,2,3,Mexico
7583102,Out,2,3,Mexico
7583105,Incomplete,1,2,Mexico
7583107,Saved,1,3,Mexico
7583109,Incomplete,1,3,Mexico
7583111,Incomplete,3,3,Mexico
7583116,Out,1,2,Mexico
7583117,Saved,1,3,Mexico
7583118,Incomplete,3,3,Mexico
7583121,Incomplete,1,2,Mexico
7583123,Out,1,2,Mexico
7583125,Incomplete,2,3,Mexico
7583126,Out,3,3,Mexico
7583128,Incomplete,2,3,Mexico
7583130,Off T,1,3,Mexico
7583131,Out,3,3,Mexico
7583133,Incomplete,1,2,Mexico
7583136,Incomplete,1,1,Mexico
7583137,Saved,3,3,Mexico
7583140,Incomplete,1,1,Mexico
7583141,Incomplete,2,3,Mexico
7583142,Incomplete,2,2,Mexico
7583143,Incomplete,2,3,Mexico
7583145,Incomplete,1,3,Mexico
7583147,Incomplete,1,3,Mexico
7583149,Incomplete,1,2,Mexico
7583151,Out,1,2,Mexico
7583153,Incomplete,1,2,Mexico
7583156,Incomplete,1,2,Mexico
7583157,Incomplete,2,2,Mexico
7583159,Goal,2,3,Mexico
7583161,Incomplete,1,2,Mexico
7583163,Incomplete,1,2,Mexico
7583165,Incomplete,2,2,Mexico
7583166,Out,2,2,Mexico
7583168,Incomplete,2,3,Mexico
7583171,Incomplete,1,3,Mexico
7583173,Incomplete,1,2,Mexico
7583175,Incomplete,2,2,Mexico
75652,Incomplete,2,2,Serbia
75653,Incomplete,2,2,Serbia
75654,Incomplete,2,2,Serbia
75655,Incomplete,2,3,Serbia
75657,Blocked,2,3,Serbia
75659,Incomplete,1,1,Serbia
756510,Saved,2,3,Serbia
756512,Incomplete,1,1,Serbia
756513,Incomplete,1,2,Serbia
756516,Incomplete,1,2,Serbia
756518,Incomplete,1,2,Serbia
756520,Injury Clearance,1,2,Serbia
756522,Incomplete,2,3,Serbia
756524,Incomplete,1,3,Serbia
756528,Incomplete,1,2,Serbia
756530,Incomplete,1,1,Serbia
756533,Out,1,3,Serbia
756535,Incomplete,1,2,Serbia
756537,Incomplete,1,3,Serbia
756539,Incomplete,1,2,Serbia
756540,Incomplete,2,3,Serbia
756541,Incomplete,3,3,Serbia
756544,Incomplete,1,2,Serbia
756546,Incomplete,2,2,Serbia
756547,Saved,2,3,Serbia
756548,Out,2,3,Serbia
756549,Incomplete,2,2,Serbia
756551,Incomplete,2,2,Serbia
756552,Blocked,2,3,Serbia
756553,Out,3,3,Serbia
756556,Incomplete,2,3,Serbia
756559,Incomplete,1,2,Serbia
756560,Incomplete,2,3,Serbia
756562,Incomplete,2,3,Serbia
756564,Incomplete,3,3,Serbia
756566,Goal,2,3,Serbia
756568,Incomplete,1,3,Serbia
756569,Incomplete,2,3,Serbia
756572,Incomplete,1,2,Serbia
756575,Incomplete,2,2,Serbia
756576,Incomplete,2,2,Serbia
756578,Incomplete,1,2,Serbia
756579,Incomplete,2,2,Serbia
756581,Incomplete,2,2,Serbia
756583,Incomplete,2,3,Serbia
756584,Off T,3,3,Serbia
756588,Incomplete,2,2,Serbia
756589,Out,2,2,Serbia
756592,Incomplete,1,2,Serbia
756593,Pass Offside,2,3,Serbia
756595,Incomplete,1,3,Serbia
756596,Incomplete,2,3,Serbia
756597,Out,3,3,Serbia
756599,Incomplete,2,3,Serbia
7565101,Incomplete,1,2,Serbia
7565103,Incomplete,1,1,Serbia
7565106,Saved,1,3,Serbia
7565107,Incomplete,3,3,Serbia
7565108,Incomplete,3,3,Serbia
7565109,Incomplete,3,3,Serbia
7565111,Incomplete,1,2,Serbia
7565112,Incomplete,2,2,Serbia
7565114,Incomplete,1,3,Serbia
7565116,Incomplete,2,2,Serbia
7565118,Incomplete,2,2,Serbia
7565122,Incomplete,1,3,Serbia
7565123,Incomplete,2,3,Serbia
7565124,Incomplete,3,3,Serbia
7565125,Goal,3,3,Serbia
7565128,Blocked,1,3,Serbia
7565129,Saved,3,3,Serbia
7565130,Incomplete,3,3,Serbia
7565133,Blocked,1,3,Serbia
7565135,Out,2,2,Serbia
7565137,Incomplete,1,2,Serbia
7565139,Incomplete,1,2,Serbia
7565141,Off T,1,3,Serbia
7565143,Incomplete,1,2,Serbia
7565145,Out,1,2,Serbia
7565147,Incomplete,1,2,Serbia
7565149,Incomplete,2,3,Serbia
7565150,Off T,2,3,Serbia
7565152,Incomplete,2,2,Serbia
7565154,Incomplete,1,2,Serbia
7565156,Incomplete,2,3,Serbia
7565158,Blocked,1,3,Serbia
7565160,Incomplete,2,2,Serbia
7565164,Incomplete,1,2,Serbia
7565166,Incomplete,1,3,Serbia
7565168,Saved,2,3,Serbia
7565169,Incomplete,3,2,Serbia
75483,Incomplete,1,2,Costa Rica
75486,Incomplete,1,2,Costa Rica
75488,Incomplete,2,2,Costa Rica
75489,Incomplete,2,2,Costa Rica
754811,Incomplete,2,3,Costa Rica
754813,Off T,2,3,Costa Rica
754815,Incomplete,1,3,Costa Rica
754818,Incomplete,1,2,Costa Rica
