players
"('João Miranda de Souza Filho', 'Left Center Back')"
"('Carlos Henrique Casimiro', 'Right Center Midfield')"
"('Fernando Luiz Rosa', 'Center Midfield')"
"('Fernando Luiz Rosa', 'Left Defensive Midfield')"
"('Roberto Firmino Barbosa de Oliveira', 'Center Attacking Midfield')"
"('José Paulo Bezzera Maciel Júnior', 'Right Midfield')"
"('Roberto Firmino Barbosa de Oliveira', 'Center Forward')"
"('Gabriel Fernando de Jesus', 'Left Wing')"
"('Gabriel Fernando de Jesus', 'Center Forward')"
"('Renato Soares de Oliveira Augusto', 'Right Center Midfield')"
"('Philippe Coutinho Correia', 'Left Midfield')"
"('Marcelo Vieira da Silva Júnior', 'Left Back')"
"('José Paulo Bezzera Maciel Júnior', 'Right Center Midfield')"
"('Alisson Ramsés Becker', 'Goalkeeper')"
"('Willian Borges da Silva', 'Right Wing')"
"('Philippe Coutinho Correia', 'Left Wing')"
"('Philippe Coutinho Correia', 'Center Attacking Midfield')"
"('Fernando Luiz Rosa', 'Left Center Midfield')"
"('Roberto Firmino Barbosa de Oliveira', 'Right Attacking Midfield')"
"('Philippe Coutinho Correia', 'Left Attacking Midfield')"
"('Philippe Coutinho Correia', 'Left Center Midfield')"
"('Fágner Conserva Lemos', 'Right Wing')"
"('Neymar da Silva Santos Junior', 'Right Center Forward')"
"('Carlos Henrique Casimiro', 'Center Defensive Midfield')"
"('Renato Soares de Oliveira Augusto', 'Right Midfield')"
"('Filipe Luis Kasmirski', 'Left Back')"
"('José Paulo Bezzera Maciel Júnior', 'Left Center Midfield')"
"('Fágner Conserva Lemos', 'Right Back')"
"('Marcos Aoás Corrêa', 'Right Back')"
"('Thiago Emiliano da Silva', 'Right Center Back')"
"('Fernando Luiz Rosa', 'Right Center Midfield')"
"('Danilo Luiz da Silva', 'Right Back')"
"('Gabriel Fernando de Jesus', 'Right Wing')"
"('Neymar da Silva Santos Junior', 'Left Wing')"
"('Neymar da Silva Santos Junior', 'Center Forward')"
"('Fernando Luiz Rosa', 'Center Forward')"
"('Renato Soares de Oliveira Augusto', 'Left Center Midfield')"
"('Gabriel Fernando de Jesus', 'Left Center Forward')"
"('Douglas Costa de Souza', 'Right Wing')"
"('Carlos Henrique Casimiro', 'Right Defensive Midfield')"
"('Fernando Luiz Rosa', 'Center Defensive Midfield')"
