caseID,result,start_Zone,end_Zone,opponent
75684,Out,1,3,Switzerland
75686,Out,2,2,Switzerland
75688,Incomplete,2,2,Switzerland
756810,Saved,2,3,Switzerland
756811,Saved,3,3,Switzerland
756813,Off T,1,3,Switzerland
756815,Incomplete,2,2,Switzerland
756817,Incomplete,1,2,Switzerland
756818,Out,2,3,Switzerland
756820,Incomplete,2,2,Switzerland
756822,Out,2,3,Switzerland
756824,Incomplete,3,3,Switzerland
756826,Incomplete,1,3,Switzerland
756828,Injury Clearance,2,2,Switzerland
756829,Out,1,2,Switzerland
756831,Incomplete,1,2,Switzerland
756834,Injury Clearance,2,3,Switzerland
756836,Incomplete,1,2,Switzerland
756837,Incomplete,2,3,Switzerland
756839,Incomplete,2,2,Switzerland
756841,Saved,3,3,Switzerland
756842,Incomplete,3,3,Switzerland
756844,Incomplete,2,3,Switzerland
756846,Incomplete,2,3,Switzerland
756849,Incomplete,2,2,Switzerland
756852,Blocked,2,3,Switzerland
756855,Incomplete,2,3,Switzerland
756856,Out,3,3,Switzerland
756858,Incomplete,1,2,Switzerland
756861,Incomplete,1,2,Switzerland
756863,Incomplete,2,2,Switzerland
756866,Out,2,3,Switzerland
756869,Injury Clearance,2,3,Switzerland
756871,Out,2,3,Switzerland
756873,Incomplete,2,1,Switzerland
756875,Incomplete,1,2,Switzerland
756878,Incomplete,1,2,Switzerland
756880,Incomplete,1,2,Switzerland
756881,Incomplete,2,3,Switzerland
756884,Out,2,3,Switzerland
756887,Incomplete,2,2,Switzerland
756889,Incomplete,2,2,Switzerland
756892,Out,2,2,Switzerland
756894,Incomplete,1,2,Switzerland
756895,Incomplete,2,3,Switzerland
756898,Incomplete,1,2,Switzerland
756899,Incomplete,3,3,Switzerland
7568100,Off T,3,3,Switzerland
7568103,Incomplete,2,2,Switzerland
7568104,Out,3,3,Switzerland
7568108,Blocked,1,3,Switzerland
7568110,Incomplete,3,3,Switzerland
7568111,Goal,3,3,Switzerland
7568114,Incomplete,2,3,Switzerland
7568118,Incomplete,1,3,Switzerland
7568120,Off T,3,3,Switzerland
7568121,Incomplete,2,3,Switzerland
7568122,Out,2,3,Switzerland
7568124,Incomplete,1,3,Switzerland
7568125,Incomplete,3,3,Switzerland
7568126,Incomplete,3,3,Switzerland
7568128,Out,2,3,Switzerland
7568132,Incomplete,1,2,Switzerland
7568135,Incomplete,1,3,Switzerland
7568138,Incomplete,2,3,Switzerland
7568140,Incomplete,3,2,Switzerland
7568142,Incomplete,1,2,Switzerland
7568145,Saved,2,3,Switzerland
7568148,Incomplete,1,2,Switzerland
7568149,Out,2,3,Switzerland
7568151,Incomplete,2,3,Switzerland
7568153,Incomplete,1,2,Switzerland
7568155,Out,1,2,Switzerland
7568157,Incomplete,1,3,Switzerland
7568159,Incomplete,1,3,Switzerland
7568160,Incomplete,3,3,Switzerland
7568162,Incomplete,1,3,Switzerland
7568164,Out,3,3,Switzerland
75482,Incomplete,2,3,Brazil
75484,Incomplete,2,2,Brazil
75485,Incomplete,2,3,Brazil
75487,Incomplete,2,2,Brazil
754810,Incomplete,2,2,Brazil
754812,Incomplete,1,2,Brazil
754814,Incomplete,2,3,Brazil
754816,Incomplete,1,3,Brazil
754817,Off T,3,3,Brazil
754820,Incomplete,2,1,Brazil
754822,Incomplete,1,1,Brazil
754824,Off T,2,3,Brazil
754826,Incomplete,1,3,Brazil
754827,Blocked,3,3,Brazil
754834,Incomplete,1,3,Brazil
754836,Incomplete,2,3,Brazil
754838,Incomplete,1,3,Brazil
754839,Out,3,2,Brazil
754844,Incomplete,1,2,Brazil
754847,Incomplete,1,3,Brazil
754850,Incomplete,2,2,Brazil
754853,Incomplete,1,1,Brazil
754855,Incomplete,1,3,Brazil
754857,Incomplete,1,2,Brazil
754860,Incomplete,1,2,Brazil
754862,Incomplete,2,2,Brazil
754863,Incomplete,1,2,Brazil
754864,Out,2,2,Brazil
754867,Incomplete,1,2,Brazil
754869,Out,1,2,Brazil
754871,Incomplete,1,2,Brazil
754873,Out,1,3,Brazil
754877,Incomplete,2,None,Brazil
754878,Incomplete,2,3,Brazil
754880,Incomplete,2,None,Brazil
754882,Incomplete,1,3,Brazil
754885,Incomplete,1,3,Brazil
754887,Incomplete,1,3,Brazil
754888,Out,3,3,Brazil
754890,Incomplete,1,3,Brazil
754895,Incomplete,1,2,Brazil
754896,Incomplete,2,3,Brazil
754899,Incomplete,3,3,Brazil
7548102,Incomplete,2,2,Brazil
7548104,Incomplete,1,1,Brazil
7548108,Incomplete,1,3,Brazil
7548110,Incomplete,1,3,Brazil
7548111,Incomplete,3,3,Brazil
7548113,Out,1,2,Brazil
7548115,Out,2,3,Brazil
7548117,Incomplete,3,None,Brazil
7548119,Incomplete,2,2,Brazil
7548121,Incomplete,1,3,Brazil
7548123,Incomplete,1,1,Brazil
7548124,Incomplete,2,3,Brazil
7548130,Incomplete,2,2,Brazil
7548132,Incomplete,2,2,Brazil
7548134,Incomplete,1,3,Brazil
7548136,Incomplete,2,3,Brazil
7548139,Incomplete,1,2,Brazil
7548140,Incomplete,2,3,Brazil
7548142,Incomplete,1,3,Brazil
7548145,Injury Clearance,1,2,Brazil
7548147,Incomplete,3,3,Brazil
7548149,Incomplete,1,1,Brazil
7548151,Incomplete,1,2,Brazil
7548153,Incomplete,3,None,Brazil
7548158,Incomplete,1,3,Brazil
7548162,Incomplete,1,1,Brazil
7548163,Incomplete,1,2,Brazil
7548165,Incomplete,2,2,Brazil
75354,Saved,3,3,Serbia
75355,Saved,3,3,Serbia
75358,Incomplete,2,2,Serbia
753511,Incomplete,1,3,Serbia
753512,Incomplete,3,None,Serbia
753513,Incomplete,3,3,Serbia
753514,Incomplete,2,2,Serbia
753517,Incomplete,1,3,Serbia
753519,Out,1,3,Serbia
753521,Out,2,3,Serbia
753523,Incomplete,2,2,Serbia
753524,Incomplete,2,3,Serbia
753525,Incomplete,3,3,Serbia
753526,Incomplete,3,3,Serbia
753527,Off T,3,3,Serbia
753530,Incomplete,1,3,Serbia
753533,Incomplete,2,3,Serbia
753538,Incomplete,2,3,Serbia
753540,Incomplete,1,2,Serbia
753543,Incomplete,2,2,Serbia
753545,Incomplete,1,3,Serbia
753547,Incomplete,1,2,Serbia
753549,Incomplete,1,3,Serbia
753552,Incomplete,1,2,Serbia
753553,Incomplete,2,3,Serbia
753555,Incomplete,1,3,Serbia
753557,Incomplete,2,2,Serbia
753559,Incomplete,1,3,Serbia
753561,Incomplete,1,3,Serbia
753564,Incomplete,1,2,Serbia
753566,Incomplete,1,2,Serbia
753570,Incomplete,1,3,Serbia
753572,Incomplete,1,3,Serbia
753573,Off T,3,3,Serbia
753575,Incomplete,2,3,Serbia
753576,Incomplete,3,3,Serbia
753579,Off T,2,3,Serbia
753582,Incomplete,1,2,Serbia
753584,Incomplete,1,2,Serbia
753586,Incomplete,2,3,Serbia
753588,Incomplete,2,2,Serbia
753589,Incomplete,3,3,Serbia
753590,Incomplete,3,3,Serbia
753591,Incomplete,3,2,Serbia
753592,Incomplete,2,2,Serbia
753594,Incomplete,1,2,Serbia
753596,Incomplete,1,2,Serbia
753599,Out,1,1,Serbia
7535105,Incomplete,1,3,Serbia
7535108,Incomplete,2,2,Serbia
7535110,Incomplete,2,3,Serbia
7535111,Incomplete,3,3,Serbia
7535113,Incomplete,3,3,Serbia
7535114,Incomplete,2,3,Serbia
7535116,Incomplete,2,2,Serbia
7535117,Incomplete,2,3,Serbia
7535119,Incomplete,2,3,Serbia
7535121,Out,2,3,Serbia
7535123,Incomplete,1,2,Serbia
7535125,Incomplete,1,3,Serbia
7535127,Incomplete,2,3,Serbia
7535130,Incomplete,1,2,Serbia
7535132,Incomplete,2,3,Serbia
7535133,Out,2,3,Serbia
7535135,Incomplete,2,3,Serbia
7535136,Incomplete,3,3,Serbia
7535137,Incomplete,2,2,Serbia
7535138,Incomplete,3,3,Serbia
7535141,Out,1,2,Serbia
7535143,Incomplete,1,2,Serbia
7535147,Incomplete,1,1,Serbia
7535149,Incomplete,1,1,Serbia
7535152,Blocked,1,3,Serbia
7535153,Incomplete,3,None,Serbia
7535155,Incomplete,1,3,Serbia
7535158,Incomplete,1,3,Serbia
7535160,Incomplete,1,3,Serbia
7535162,Incomplete,1,2,Serbia
7535164,Out,1,2,Serbia
7535166,Incomplete,3,3,Serbia
7535167,Incomplete,2,3,Serbia
7535169,Incomplete,2,3,Serbia
7535172,Saved,2,3,Serbia
7535174,Incomplete,3,3,Serbia
7535176,Incomplete,3,3,Serbia
7535177,Blocked,3,3,Serbia
7535179,Incomplete,1,2,Serbia
7535180,Incomplete,2,3,Serbia
