caseID,action,type,technique,play_pattern,under_pressure,shot_assist,angle,length,height,recipient,startTime,period,minute,duration,endTime,possession_team,team_action,player,player_position,body_part,start_X,start_Y,end_X,end_Y,bad_behavior,result,home_team,away_team,action_type,action_count,action_type_count
7581101,Pass,Recovery,None,Regular Play,None,None,-0.07677189,13.038404,,Christian Dannemann Eriksen,00:07:31.293,2,52,1.44,00:07:32.733000,Denmark,Denmark,Henrik Dalsgaard,Right Back,Right Foot,26.0,67.0,39.0,66.0,None,None,Denmark,Croatia,Pass_Recovery,Pass_1,Pass_Recovery_1
7581101,Pass,None,None,Regular Play,None,None,0.0,4.0,,Andreas Evald Cornelius,00:07:32.733,2,52,0.599,00:07:33.332000,Denmark,Denmark,Christian Dannemann Eriksen,Secondary Striker,Right Foot,39.0,67.0,43.0,67.0,None,None,Denmark,Croatia,Pass_None,Pass_2,Pass_None_1
7581101,Dribble,None,None,Regular Play,None,None,,,,,00:07:34.333,2,52,,None,Denmark,Denmark,Andreas Evald Cornelius,Center Forward,,44.0,73.0,,,None,Incomplete,Denmark,Croatia,Dribble_None,Dribble_1,Dribble_None_1
7581101,Ball Recovery,None,None,Regular Play,None,None,,,,,00:07:36.293,2,52,,None,Denmark,Denmark,Yussuf Yurary Poulsen,Right Wing,,34.0,78.0,,,None,None,Denmark,Croatia,Ball Recovery_None,Ball Recovery_2,Ball Recovery_None_2
7581101,Pass,None,None,Regular Play,None,None,-1.7818897,14.317821499999999,,Thomas Delaney,00:07:38.653,2,52,1.0390000000000001,00:07:39.692000,Denmark,Denmark,Yussuf Yurary Poulsen,Right Wing,Right Foot,40.0,74.0,37.0,60.0,None,None,Denmark,Croatia,Pass_None,Pass_3,Pass_None_2
7581101,Pass,None,None,Regular Play,True,None,0.9600704,12.206555,,Yussuf Yurary Poulsen,00:07:40.173,2,52,0.8,00:07:40.973000,Denmark,Denmark,Thomas Delaney,Left Center Midfield,Left Foot,40.0,62.0,47.0,72.0,None,None,Denmark,Croatia,Pass_None,Pass_4,Pass_None_3
7581101,Dribble,None,None,Regular Play,None,None,,,,,00:07:42.133,2,52,,None,Denmark,Denmark,Yussuf Yurary Poulsen,Right Wing,,47.0,73.0,,,None,Complete,Denmark,Croatia,Dribble_None,Dribble_2,Dribble_None_2
7581101,Ball Recovery,None,None,Regular Play,None,None,,,,,00:07:42.493,2,52,,None,Denmark,Denmark,Thomas Delaney,Left Center Midfield,,43.0,73.0,,,None,None,Denmark,Croatia,Ball Recovery_None,Ball Recovery_3,Ball Recovery_None_3
7581101,Pass,None,None,Regular Play,True,None,-2.2896264,21.260292,,Simon Thorup Kjær,00:07:43.933,2,52,1.2,00:07:45.133000,Denmark,Denmark,Thomas Delaney,Left Center Midfield,Left Foot,39.0,77.0,25.0,61.0,None,None,Denmark,Croatia,Pass_None,Pass_5,Pass_None_4
7581101,Pass,None,None,Regular Play,None,None,-1.3473197000000001,22.561028,,Mathias Jattah-Njie Jørgensen,00:07:46.810,2,52,1.723,00:07:48.533000,Denmark,Denmark,Simon Thorup Kjær,Right Center Back,Right Foot,21.0,59.0,26.0,37.0,None,None,Denmark,Croatia,Pass_None,Pass_6,Pass_None_5
7581101,Pass,None,None,Regular Play,None,None,-0.74969906,39.623226,,Jonas Knudsen,00:07:49.573,2,52,1.68,00:07:51.253000,Denmark,Denmark,Mathias Jattah-Njie Jørgensen,Left Center Back,Right Foot,32.0,31.0,61.0,4.0,None,None,Denmark,Croatia,Pass_None,Pass_7,Pass_None_6
7581101,Pass,None,None,Regular Play,None,None,0.62548506,22.203604000000002,,Christian Dannemann Eriksen,00:07:53.013,2,52,1.2,00:07:54.213000,Denmark,Denmark,Jonas Knudsen,Left Back,Left Foot,66.0,3.0,84.0,16.0,None,None,Denmark,Croatia,Pass_None,Pass_8,Pass_None_7
7581101,Pass,None,None,Regular Play,True,None,2.1112158,5.8309517,,Martin Braithwaite Christensen,00:07:56.373,2,52,0.799,00:07:57.172000,Denmark,Denmark,Christian Dannemann Eriksen,Secondary Striker,Right Foot,92.0,17.0,89.0,22.0,None,None,Denmark,Croatia,Pass_None,Pass_9,Pass_None_8
7581101,Pass,None,None,Regular Play,None,None,0.0,30.0,,Jonas Knudsen,00:07:57.573,2,52,3.267,00:08:00.840000,Denmark,Denmark,Martin Braithwaite Christensen,Left Wing,Right Foot,89.0,21.0,119.0,21.0,None,Out,Denmark,Croatia,Pass_None,Pass_10,Pass_None_9
7581103,Pass,Throw-in,None,From Throw In,None,None,-2.4149504,24.083189,,Simon Thorup Kjær,00:08:32.373,2,53,1.72,00:08:34.093000,Denmark,Denmark,Henrik Dalsgaard,Right Back,,64.0,80.0,46.0,64.0,None,None,Denmark,Croatia,Pass_Throw-in,Pass_1,Pass_Throw-in_1
7581103,Pass,None,None,From Throw In,None,None,-1.4501727,33.24154,,Mathias Jattah-Njie Jørgensen,00:08:35.293,2,53,2.48,00:08:37.773000,Denmark,Denmark,Simon Thorup Kjær,Right Center Back,Right Foot,48.0,60.0,52.0,27.0,None,None,Denmark,Croatia,Pass_None,Pass_2,Pass_None_1
7581103,Pass,None,None,From Throw In,None,None,-1.1760051999999999,26.0,,Jonas Knudsen,00:08:39.053,2,53,1.28,00:08:40.333000,Denmark,Denmark,Mathias Jattah-Njie Jørgensen,Left Center Back,Right Foot,53.0,29.0,63.0,5.0,None,None,Denmark,Croatia,Pass_None,Pass_3,Pass_None_2
7581103,Pass,None,None,From Throw In,None,None,1.4464413,16.124516,,Thomas Delaney,00:08:41.412,2,53,0.76,00:08:42.172000,Denmark,Denmark,Jonas Knudsen,Left Back,Left Foot,64.0,5.0,66.0,21.0,None,None,Denmark,Croatia,Pass_None,Pass_4,Pass_None_3
7581103,Pass,None,None,From Throw In,None,None,-2.7291822,17.464249,,Mathias Jattah-Njie Jørgensen,00:08:42.333,2,53,1.48,00:08:43.813000,Denmark,Denmark,Thomas Delaney,Left Center Midfield,Right Foot,66.0,21.0,50.0,14.0,None,None,Denmark,Croatia,Pass_None,Pass_5,Pass_None_4
7581103,Pass,None,None,From Throw In,None,None,1.815775,28.86174,,Simon Thorup Kjær,00:08:45.493,2,53,1.479,00:08:46.972000,Denmark,Denmark,Mathias Jattah-Njie Jørgensen,Left Center Back,Right Foot,47.0,15.0,40.0,43.0,None,None,Denmark,Croatia,Pass_None,Pass_6,Pass_None_5
7581103,Pass,None,None,From Throw In,None,None,1.0191413,15.264338,,Lasse Schöne,00:08:48.013,2,53,1.4,00:08:49.413000,Denmark,Denmark,Simon Thorup Kjær,Right Center Back,Left Foot,41.0,47.0,49.0,60.0,None,None,Denmark,Croatia,Pass_None,Pass_7,Pass_None_6
7581103,Pass,None,None,From Throw In,None,None,-2.4329665,18.439089000000003,,Simon Thorup Kjær,00:08:51.213,2,53,1.2,00:08:52.413000,Denmark,Denmark,Lasse Schöne,Right Center Midfield,Right Foot,46.0,54.0,32.0,42.0,None,None,Denmark,Croatia,Pass_None,Pass_8,Pass_None_7
7581103,Pass,None,None,From Throw In,None,None,0.055498507,18.027756,,Thomas Delaney,00:08:53.813,2,53,1.28,00:08:55.093000,Denmark,Denmark,Simon Thorup Kjær,Right Center Back,Right Foot,34.0,42.0,52.0,43.0,None,None,Denmark,Croatia,Pass_None,Pass_9,Pass_None_8
7581103,Pass,None,None,From Throw In,None,None,0.6435010999999999,15.0,,Christian Dannemann Eriksen,00:08:56.133,2,53,0.9990000000000001,00:08:57.132000,Denmark,Denmark,Thomas Delaney,Left Center Midfield,Left Foot,52.0,48.0,64.0,57.0,None,None,Denmark,Croatia,Pass_None,Pass_10,Pass_None_9
7581103,Pass,None,None,From Throw In,None,None,3.0419240000000003,20.09975,,Lasse Schöne,00:08:57.253,2,53,1.72,00:08:58.973000,Denmark,Denmark,Christian Dannemann Eriksen,Secondary Striker,Left Foot,64.0,55.0,44.0,57.0,None,None,Denmark,Croatia,Pass_None,Pass_11,Pass_None_10
7581103,Pass,None,None,From Throw In,True,None,-2.7367008,30.463093,,Kasper Schmeichel,00:09:00.573,2,54,2.559,00:09:03.132000,Denmark,Denmark,Lasse Schöne,Right Center Midfield,Right Foot,42.0,56.0,14.0,44.0,None,None,Denmark,Croatia,Pass_None,Pass_12,Pass_None_11
7581103,Pass,None,None,From Throw In,None,None,-1.0303768,29.154759999999996,,Mathias Jattah-Njie Jørgensen,00:09:03.253,2,54,2.28,00:09:05.533000,Denmark,Denmark,Kasper Schmeichel,Goalkeeper,Right Foot,15.0,44.0,30.0,19.0,None,None,Denmark,Croatia,Pass_None,Pass_13,Pass_None_12
7581103,Pass,None,None,From Throw In,None,None,1.8925468999999997,15.811388,,Simon Thorup Kjær,00:09:09.133,2,54,1.4,00:09:10.533000,Denmark,Denmark,Mathias Jattah-Njie Jørgensen,Left Center Back,Right Foot,37.0,15.0,32.0,30.0,None,None,Denmark,Croatia,Pass_None,Pass_14,Pass_None_13
7581103,Pass,None,None,From Throw In,None,None,1.1071488,22.36068,,Lasse Schöne,00:09:16.693,2,54,1.56,00:09:18.253000,Denmark,Denmark,Simon Thorup Kjær,Right Center Back,Left Foot,45.0,45.0,55.0,65.0,None,None,Denmark,Croatia,Pass_None,Pass_15,Pass_None_14
7581103,Pass,None,None,From Throw In,None,None,-0.047583103,21.023796,,Yussuf Yurary Poulsen,00:09:20.013,2,54,1.08,00:09:21.093000,Denmark,Denmark,Lasse Schöne,Right Center Midfield,Right Foot,56.0,67.0,77.0,66.0,None,None,Denmark,Croatia,Pass_None,Pass_16,Pass_None_15
7581103,Miscontrol,None,None,From Throw In,None,None,,,,,00:09:21.693,2,54,,None,Denmark,Denmark,Yussuf Yurary Poulsen,Right Wing,,77.0,65.0,,,None,None,Denmark,Croatia,Miscontrol_None,Miscontrol_1,Miscontrol_None_1
7581103,Foul Committed,None,None,From Throw In,None,None,,,,,00:09:22.200,2,54,,None,Denmark,Denmark,Yussuf Yurary Poulsen,Right Wing,,80.0,62.0,,,None,None,Denmark,Croatia,Foul Committed_None,Foul Committed_1,Foul Committed_None_1
7581105,Ball Recovery,None,None,Regular Play,None,None,,,,,00:10:20.533,2,55,,None,Denmark,Denmark,Lasse Schöne,Right Center Midfield,,62.0,73.0,,,None,None,Denmark,Croatia,Ball Recovery_None,Ball Recovery_1,Ball Recovery_None_1
7581105,Pass,None,None,Regular Play,None,None,-2.6779451,11.18034,,Henrik Dalsgaard,00:10:22.733,2,55,0.84,00:10:23.573000,Denmark,Denmark,Lasse Schöne,Right Center Midfield,Right Foot,52.0,77.0,42.0,72.0,None,None,Denmark,Croatia,Pass_None,Pass_1,Pass_None_1
7581105,Pass,None,None,Regular Play,None,None,-0.08673834,23.086792000000003,,Yussuf Yurary Poulsen,00:10:23.853,2,55,1.28,00:10:25.133000,Denmark,Denmark,Henrik Dalsgaard,Right Back,Right Foot,42.0,76.0,65.0,74.0,None,None,Denmark,Croatia,Pass_None,Pass_2,Pass_None_2
7581105,Pass,None,None,Regular Play,True,None,-1.1659045,15.231546,,Christian Dannemann Eriksen,00:10:31.733,2,55,0.547,00:10:32.280000,Denmark,Denmark,Yussuf Yurary Poulsen,Right Wing,Right Foot,105.0,64.0,111.0,50.0,None,Incomplete,Denmark,Croatia,Pass_None,Pass_3,Pass_None_3
7581105,Ball Recovery,None,None,Regular Play,None,None,,,,,00:10:34.333,2,55,,None,Denmark,Denmark,Martin Braithwaite Christensen,Left Wing,,111.0,51.0,,,None,None,Denmark,Croatia,Ball Recovery_None,Ball Recovery_2,Ball Recovery_None_2
7581105,Shot,Open Play,Normal,Regular Play,None,None,,,,,00:10:34.920,2,55,0.52,00:10:35.440000,Denmark,Denmark,Martin Braithwaite Christensen,Left Wing,Right Foot,115.0,52.0,120.0,46.0,None,Off T,Denmark,Croatia,Shot_Open Play,Shot_1,Shot_Open Play_1
7581108,Pass,Recovery,None,Regular Play,None,None,1.8490959999999999,14.560220000000001,,Lasse Schöne,00:11:32.853,2,56,1.56,00:11:34.413000,Denmark,Denmark,Thomas Delaney,Left Center Midfield,Head,42.0,16.0,38.0,30.0,None,None,Denmark,Croatia,Pass_Recovery,Pass_1,Pass_Recovery_1
7581108,Pass,None,None,Regular Play,None,None,-1.3521273999999999,9.219544,,Thomas Delaney,00:11:34.413,2,56,0.919,00:11:35.332000,Denmark,Denmark,Lasse Schöne,Right Center Midfield,Head,38.0,30.0,40.0,21.0,None,None,Denmark,Croatia,Pass_None,Pass_2,Pass_None_1
7581109,Pass,Free Kick,None,From Free Kick,None,None,0.9388221,69.40460999999999,,Henrik Dalsgaard,00:11:57.213,2,56,3.12,00:12:00.333000,Denmark,Denmark,Kasper Schmeichel,Goalkeeper,Right Foot,33.0,21.0,74.0,77.0,None,None,Denmark,Croatia,Pass_Free Kick,Pass_1,Pass_Free Kick_1
7581109,Pass,None,None,From Free Kick,None,None,-0.5191460999999999,16.124516,,Yussuf Yurary Poulsen,00:12:00.493,2,57,0.627,00:12:01.120000,Denmark,Denmark,Henrik Dalsgaard,Right Back,Head,72.0,76.0,86.0,68.0,None,Incomplete,Denmark,Croatia,Pass_None,Pass_2,Pass_None_1
7581111,Ball Recovery,None,None,From Counter,None,None,,,,,00:12:07.413,2,57,,None,Denmark,Denmark,Simon Thorup Kjær,Right Center Back,,58.0,60.0,,,None,None,Denmark,Croatia,Ball Recovery_None,Ball Recovery_1,Ball Recovery_None_1
7581111,Pass,None,None,From Counter,None,None,-0.41822433,9.848858,,Thomas Delaney,00:12:08.573,2,57,0.96,00:12:09.533000,Denmark,Denmark,Simon Thorup Kjær,Right Center Back,Left Foot,57.0,55.0,66.0,51.0,None,None,Denmark,Croatia,Pass_None,Pass_1,Pass_None_1
7581111,Pass,None,None,From Counter,True,None,2.0344439,22.36068,,Henrik Dalsgaard,00:12:10.973,2,57,2.0,00:12:12.973000,Denmark,Denmark,Thomas Delaney,Left Center Midfield,Left Foot,63.0,57.0,53.0,77.0,None,None,Denmark,Croatia,Pass_None,Pass_2,Pass_None_2
7581111,Pass,None,None,From Counter,None,None,-2.5535900000000002,43.266617,,Kasper Schmeichel,00:12:13.853,2,57,3.24,00:12:17.093000,Denmark,Denmark,Henrik Dalsgaard,Right Back,Right Foot,53.0,77.0,17.0,53.0,None,None,Denmark,Croatia,Pass_None,Pass_3,Pass_None_3
7581111,Pass,None,None,From Counter,None,None,0.0,50.0,,Yussuf Yurary Poulsen,00:12:17.333,2,57,2.066,00:12:19.399000,Denmark,Denmark,Kasper Schmeichel,Goalkeeper,Right Foot,17.0,54.0,67.0,54.0,None,None,Denmark,Croatia,Pass_None,Pass_4,Pass_None_4
7581111,Pass,None,None,From Counter,None,None,-1.3567356000000002,23.537205,,,00:12:19.535,2,57,2.745,00:12:22.280000,Denmark,Denmark,Yussuf Yurary Poulsen,Right Wing,Head,67.0,53.0,72.0,30.0,None,Incomplete,Denmark,Croatia,Pass_None,Pass_5,Pass_None_5
7581113,Ball Recovery,None,None,Regular Play,None,None,,,,,00:12:39.453,2,57,,None,Denmark,Denmark,Kasper Schmeichel,Goalkeeper,,12.0,44.0,,,None,None,Denmark,Croatia,Ball Recovery_None,Ball Recovery_1,Ball Recovery_None_1
7581113,Pass,None,None,Regular Play,None,None,0.28605145,17.720045000000002,,Lasse Schöne,00:12:43.455,2,57,0.718,00:12:44.173000,Denmark,Denmark,Kasper Schmeichel,Goalkeeper,Keeper Arm,15.0,43.0,32.0,48.0,None,None,Denmark,Croatia,Pass_None,Pass_1,Pass_None_1
7581113,Pass,None,None,Regular Play,None,None,-1.5707964,27.0,,Mathias Jattah-Njie Jørgensen,00:12:48.253,2,57,1.5590000000000002,00:12:49.812000,Denmark,Denmark,Lasse Schöne,Right Center Midfield,Right Foot,26.0,49.0,26.0,22.0,None,None,Denmark,Croatia,Pass_None,Pass_2,Pass_None_2
7581113,Pass,None,None,Regular Play,None,None,2.4416997000000005,24.839485,,Kasper Schmeichel,00:12:49.973,2,57,2.2,00:12:52.173000,Denmark,Denmark,Mathias Jattah-Njie Jørgensen,Left Center Back,Right Foot,27.0,22.0,8.0,38.0,None,None,Denmark,Croatia,Pass_None,Pass_3,Pass_None_3
