caseID,action,type,technique,play_pattern,under_pressure,shot_assist,angle,length,height,recipient,startTime,period,minute,duration,endTime,possession_team,team_action,player,player_position,body_part,start_X,start_Y,end_X,end_Y,bad_behavior,result,home_team,away_team,action_type,action_count,action_type_count
755910,Pass,None,None,Regular Play,None,None,0.09065989,22.090721,,Mohamed Salah Ghaly,00:03:16.560,1,3,2.053,00:03:18.613000,Egypt,Egypt,Marwan Mohsen,Center Forward,Right Foot,76.0,76.0,98.0,78.0,None,None,Egypt,Saudi Arabia,Pass_None,Pass_1,Pass_None_1
755910,Pass,None,None,Regular Play,True,None,-1.359703,28.635642999999998,,Mahmoud Ibrahim Hassan,00:03:20.440,1,3,1.133,00:03:21.573000,Egypt,Egypt,Mohamed Salah Ghaly,Center Attacking Midfield,Left Foot,103.0,71.0,109.0,43.0,None,Incomplete,Egypt,Saudi Arabia,Pass_None,Pass_2,Pass_None_2
7559100,Pass,Goal Kick,None,From Goal Kick,None,None,0.088007376,68.26419,,Marwan Mohsen,00:14:56.813,2,59,3.1860000000000004,00:14:59.999000,Egypt,Egypt,Essam Kamal Tawfik El Hadary,Goalkeeper,Right Foot,6.0,48.0,74.0,54.0,None,None,Egypt,Saudi Arabia,Pass_Goal Kick,Pass_1,Pass_Goal Kick_1
7559100,Pass,None,None,From Goal Kick,None,None,0.08314123,12.0415945,,Amr Medhat Warda,00:15:00.000,2,60,2.6,00:15:02.600000,Egypt,Egypt,Marwan Mohsen,Left Center Forward,,84.0,59.0,96.0,60.0,None,Incomplete,Egypt,Saudi Arabia,Pass_None,Pass_2,Pass_None_1
7559100,Pass,Recovery,None,From Goal Kick,None,None,-0.21866895,9.219544,,Amr Medhat Warda,00:15:06.440,2,60,1.48,00:15:07.920000,Egypt,Egypt,Marwan Mohsen,Left Center Forward,Head,75.0,58.0,84.0,56.0,None,Incomplete,Egypt,Saudi Arabia,Pass_Recovery,Pass_4,Pass_Recovery_2
7559100,Pressure,None,None,From Goal Kick,None,None,,,,,00:15:08.720,2,60,2.4,00:15:11.120000,Egypt,Egypt,Marwan Mohsen,Left Center Forward,,82.0,56.0,,,None,None,Egypt,Saudi Arabia,Pressure_None,Pressure_1,Pressure_None_1
7559100,Foul Committed,None,None,From Goal Kick,None,None,,,,,00:15:12.760,2,60,,None,Egypt,Egypt,Marwan Mohsen,Left Center Forward,,92.0,51.0,,,None,None,Egypt,Saudi Arabia,Foul Committed_None,Foul Committed_1,Foul Committed_None_1
7559105,Pass,Goal Kick,None,From Goal Kick,None,None,-0.19739556,66.287254,,Marwan Mohsen,00:17:05.253,2,62,3.346,00:17:08.599000,Egypt,Egypt,Essam Kamal Tawfik El Hadary,Goalkeeper,Right Foot,6.0,34.0,71.0,21.0,None,None,Egypt,Saudi Arabia,Pass_Goal Kick,Pass_1,Pass_Goal Kick_1
7559105,Pass,None,None,From Goal Kick,None,None,0.0,10.0,,Mahmoud Ibrahim Hassan,00:17:08.640,2,62,2.08,00:17:10.720000,Egypt,Egypt,Marwan Mohsen,Left Center Forward,,71.0,16.0,81.0,16.0,None,None,Egypt,Saudi Arabia,Pass_None,Pass_2,Pass_None_1
7559105,Pass,None,None,From Goal Kick,None,None,0.69473827,15.6205,,Mohamed Salah Ghaly,00:17:10.720,2,62,2.92,00:17:13.640000,Egypt,Egypt,Mahmoud Ibrahim Hassan,Left Wing,,92.0,28.0,104.0,38.0,None,Incomplete,Egypt,Saudi Arabia,Pass_None,Pass_3,Pass_None_2
7559107,Pass,Goal Kick,None,From Goal Kick,None,None,0.25255427,64.03124,,Marwan Mohsen,00:18:20.160,2,63,3.452,00:18:23.612000,Egypt,Egypt,Essam Kamal Tawfik El Hadary,Goalkeeper,Right Foot,6.0,46.0,68.0,62.0,None,Incomplete,Egypt,Saudi Arabia,Pass_Goal Kick,Pass_1,Pass_Goal Kick_1
7559108,Pass,None,None,Regular Play,None,None,-1.7681918999999997,15.297057999999998,,Ahmed Hegazi,00:18:58.600,2,63,1.2,00:18:59.800000,Egypt,Egypt,Ali Gabr,Right Center Back,Right Foot,38.0,73.0,35.0,58.0,None,None,Egypt,Saudi Arabia,Pass_None,Pass_1,Pass_None_1
7559108,Pass,None,None,Regular Play,None,None,-0.69473827,15.6205,,Tarek Hamed,00:19:00.160,2,64,1.2,00:19:01.360000,Egypt,Egypt,Ahmed Hegazi,Left Center Back,Right Foot,35.0,54.0,47.0,44.0,None,None,Egypt,Saudi Arabia,Pass_None,Pass_2,Pass_None_2
7559108,Pass,None,None,Regular Play,None,None,-1.4501727,33.24154,,Mohamed Abdul Shafy Sayed Abouezeid,00:19:02.453,2,64,2.386,00:19:04.839000,Egypt,Egypt,Tarek Hamed,Left Center Midfield,Right Foot,48.0,40.0,52.0,7.0,None,None,Egypt,Saudi Arabia,Pass_None,Pass_3,Pass_None_3
7559108,Pass,None,None,Regular Play,True,None,-0.32175055,12.649111,,Ramadan Sobhi,00:19:06.200,2,64,0.973,00:19:07.173000,Egypt,Egypt,Mohamed Abdul Shafy Sayed Abouezeid,Left Back,Left Foot,58.0,6.0,70.0,2.0,None,None,Egypt,Saudi Arabia,Pass_None,Pass_4,Pass_None_4
7559108,Pass,None,None,Regular Play,True,None,0.40489179999999997,15.231546,,Amr Medhat Warda,00:19:07.173,2,64,1.44,00:19:08.613000,Egypt,Egypt,Ramadan Sobhi,Left Wing,Right Foot,70.0,2.0,84.0,8.0,None,None,Egypt,Saudi Arabia,Pass_None,Pass_5,Pass_None_5
7559109,Dribble,None,None,Regular Play,None,None,,,,,00:20:00.013,2,65,,None,Egypt,Egypt,Ahmed Fathy Abdel Meneim Ibrahim,Right Back,,99.0,54.0,,,None,Incomplete,Egypt,Saudi Arabia,Dribble_None,Dribble_1,Dribble_None_1
7559109,Pass,Recovery,None,Regular Play,None,None,-3.0702849999999997,14.035668,,Tarek Hamed,00:20:02.533,2,65,1.12,00:20:03.653000,Egypt,Egypt,Amr Medhat Warda,Center Attacking Midfield,Right Foot,96.0,36.0,82.0,35.0,None,None,Egypt,Saudi Arabia,Pass_Recovery,Pass_2,Pass_Recovery_2
7559109,Pass,None,None,Regular Play,None,None,0.64987046,31.400637,,Mahmoud Ibrahim Hassan,00:20:05.120,2,65,1.5730000000000002,00:20:06.693000,Egypt,Egypt,Tarek Hamed,Left Center Midfield,Right Foot,83.0,34.0,108.0,53.0,None,Incomplete,Egypt,Saudi Arabia,Pass_None,Pass_3,Pass_None_1
7559111,Pass,Free Kick,None,From Free Kick,None,None,-0.6435010999999999,10.0,,Ahmed Hegazi,00:21:23.720,2,66,0.9329999999999999,00:21:24.653000,Egypt,Egypt,Essam Kamal Tawfik El Hadary,Goalkeeper,Right Foot,16.0,30.0,24.0,24.0,None,None,Egypt,Saudi Arabia,Pass_Free Kick,Pass_1,Pass_Free Kick_1
7559111,Pass,None,None,From Free Kick,None,None,-0.24497867,16.492422,,Tarek Hamed,00:21:26.160,2,66,1.2,00:21:27.360000,Egypt,Egypt,Ahmed Hegazi,Left Center Back,Right Foot,25.0,24.0,41.0,20.0,None,None,Egypt,Saudi Arabia,Pass_None,Pass_2,Pass_None_1
7559111,Pass,None,None,From Free Kick,None,None,-1.6814536,18.110771,,Mohamed Abdul Shafy Sayed Abouezeid,00:21:29.360,2,66,1.413,00:21:30.773000,Egypt,Egypt,Tarek Hamed,Left Center Midfield,Right Foot,47.0,21.0,45.0,3.0,None,None,Egypt,Saudi Arabia,Pass_None,Pass_3,Pass_None_2
7559111,Pass,None,None,From Free Kick,None,None,2.3239477,21.931713000000002,,Ahmed Hegazi,00:21:32.000,2,66,1.6,00:21:33.600000,Egypt,Egypt,Mohamed Abdul Shafy Sayed Abouezeid,Left Back,Left Foot,47.0,3.0,32.0,19.0,None,None,Egypt,Saudi Arabia,Pass_None,Pass_4,Pass_None_3
7559111,Pass,None,None,From Free Kick,None,None,1.7257931,32.38827,,Ali Gabr,00:21:35.240,2,66,2.293,00:21:37.533000,Egypt,Egypt,Ahmed Hegazi,Left Center Back,Right Foot,31.0,20.0,26.0,52.0,None,None,Egypt,Saudi Arabia,Pass_None,Pass_5,Pass_None_4
