players
"('Marwan Mohsen', 'Left Center Forward')"
"('Amr Medhat Warda', 'Center Attacking Midfield')"
"('Ali Gabr', 'Right Center Back')"
"('Mahmoud Ibrahim Hassan', 'Left Wing')"
"('Ahmed Hegazi', 'Left Center Back')"
"('Mohamed Naser Elsayed Elneny', 'Right Center Midfield')"
"('Essam Kamal Tawfik El Hadary', 'Goalkeeper')"
"('Ramadan Sobhi', 'Left Midfield')"
"('Mahmoud Ibrahim Hassan', 'Right Wing')"
"('Mahmoud Abdul Monem Abdelhamid Soliman', 'Left Center Forward')"
"('Tarek Hamed', 'Right Center Midfield')"
"('Amr Medhat Warda', 'Right Midfield')"
"('Mohamed Salah Ghaly', 'Center Forward')"
"('Mohamed Salah Ghaly', 'Center Attacking Midfield')"
"('Mohamed El Shenawy', 'Goalkeeper')"
"('Tarek Hamed', 'Left Defensive Midfield')"
"('Sam Morsy', 'Left Center Midfield')"
"('Ahmed Fathy Abdel Meneim Ibrahim', 'Right Back')"
"('Tarek Hamed', 'Left Center Midfield')"
"('Abdalla Mahmoud El Said Bekhit', 'Center Attacking Midfield')"
"('Amr Medhat Warda', 'Right Wing')"
"('Mahmoud Abdul Monem Abdelhamid Soliman', 'Center Forward')"
"('Mohamed Salah Ghaly', 'Right Center Forward')"
"('Mohamed Salah Ghaly', 'Right Wing')"
"('Ramadan Sobhi', 'Right Midfield')"
"('Mohamed Abdul Shafy Sayed Abouezeid', 'Left Back')"
"('Ramadan Sobhi', 'Left Wing')"
"('Abdalla Mahmoud El Said Bekhit', 'Right Wing')"
"('Abdalla Mahmoud El Said Bekhit', 'Left Center Midfield')"
"('Mahmoud Ibrahim Hassan', 'Left Midfield')"
"('Marwan Mohsen', 'Center Forward')"
"('Mohamed Naser Elsayed Elneny', 'Right Defensive Midfield')"
