caseID,action,type,technique,play_pattern,under_pressure,shot_assist,angle,length,height,recipient,startTime,period,minute,duration,endTime,possession_team,team_action,player,player_position,body_part,start_X,start_Y,end_X,end_Y,bad_behavior,result,home_team,away_team,action_type,action_count,action_type_count
865710,Pass,Interception,None,Regular Play,None,None,2.158799,14.422204999999998,,Eric Jeremy Edgar Dier,00:05:09.733,1,5,1.04,00:05:10.773000,England,England,Raheem Shaquille Sterling,Left Center Forward,Right Foot,71.0,34.0,63.0,46.0,None,None,England,Belgium,Pass_Interception,Pass_1,Pass_Interception_1
865710,Pass,None,None,Regular Play,None,None,0.69473827,7.81025,,Ruben Loftus-Cheek,00:05:11.453,1,5,0.56,00:05:12.013000,England,England,Eric Jeremy Edgar Dier,Center Defensive Midfield,Right Foot,64.0,46.0,70.0,51.0,None,None,England,Belgium,Pass_None,Pass_2,Pass_None_1
865710,Pass,None,None,Regular Play,None,None,-1.6539376000000001,12.0415945,,Raheem Shaquille Sterling,00:05:12.253,1,5,1.84,00:05:14.093000,England,England,Ruben Loftus-Cheek,Right Center Midfield,Right Foot,71.0,52.0,70.0,40.0,None,Incomplete,England,Belgium,Pass_None,Pass_3,Pass_None_2
865710,Pressure,None,None,Regular Play,None,None,,,,,00:05:13.973,1,5,0.68,00:05:14.653000,England,England,Fabian Delph,Left Center Midfield,,69.0,31.0,,,None,None,England,Belgium,Pressure_None,Pressure_3,Pressure_None_3
8657100,Ball Recovery,None,None,Regular Play,None,None,,,,,00:21:19.791,2,66,,None,England,England,Fabian Delph,Left Wing Back,,76.0,5.0,,,None,None,England,Belgium,Ball Recovery_None,Ball Recovery_1,Ball Recovery_None_1
8657100,Pass,None,None,Regular Play,None,None,-0.14189705,14.142135999999999,,Jesse Lingard,00:21:20.831,2,66,1.186,00:21:22.017000,England,England,Fabian Delph,Left Wing Back,Right Foot,74.0,6.0,88.0,4.0,None,None,England,Belgium,Pass_None,Pass_1,Pass_None_1
8657100,Pass,None,None,Regular Play,None,None,2.7091849999999997,14.317821499999999,,Eric Jeremy Edgar Dier,00:21:24.791,2,66,1.186,00:21:25.977000,England,England,Jesse Lingard,Left Center Midfield,Right Foot,94.0,14.0,81.0,20.0,None,None,England,Belgium,Pass_None,Pass_2,Pass_None_2
8657100,Pass,None,None,Regular Play,None,None,0.9600704,12.206555,,Marcus Rashford,00:21:27.111,2,66,1.0,00:21:28.111000,England,England,Eric Jeremy Edgar Dier,Center Defensive Midfield,Right Foot,84.0,23.0,91.0,33.0,None,None,England,Belgium,Pass_None,Pass_3,Pass_None_3
8657100,Pass,None,None,Regular Play,None,None,1.6233792999999999,19.026298999999998,,Phil Jones,00:21:29.111,2,66,1.5859999999999999,00:21:30.697000,England,England,Marcus Rashford,Left Center Forward,Right Foot,87.0,36.0,86.0,55.0,None,None,England,Belgium,Pass_None,Pass_4,Pass_None_4
8657100,Pass,None,None,Regular Play,None,None,0.99945885,16.643316,,Kieran Trippier,00:21:31.631,2,66,0.84,00:21:32.471000,England,England,Phil Jones,Right Center Back,Right Foot,83.0,62.0,92.0,76.0,None,None,England,Belgium,Pass_None,Pass_5,Pass_None_5
8657100,Pass,None,None,Regular Play,True,None,-1.012197,9.433981,,Ruben Loftus-Cheek,00:21:33.458,2,66,0.8,00:21:34.258000,England,England,Kieran Trippier,Right Wing Back,Right Foot,93.0,75.0,98.0,67.0,None,None,England,Belgium,Pass_None,Pass_6,Pass_None_6
8657100,Pass,None,None,Regular Play,True,None,2.2318394,11.401753999999999,,Kieran Trippier,00:21:34.658,2,66,0.733,00:21:35.391000,England,England,Ruben Loftus-Cheek,Right Center Midfield,Right Foot,96.0,67.0,89.0,76.0,None,None,England,Belgium,Pass_None,Pass_7,Pass_None_7
8657100,Pass,None,None,Regular Play,None,None,-2.0899425,8.062258,,Phil Jones,00:21:36.818,2,66,1.2,00:21:38.018000,England,England,Kieran Trippier,Right Wing Back,Right Foot,86.0,74.0,82.0,67.0,None,None,England,Belgium,Pass_None,Pass_8,Pass_None_8
8657100,Pass,None,None,Regular Play,None,None,-1.5707964,10.0,,John Stones,00:21:39.738,2,66,0.813,00:21:40.551000,England,England,Phil Jones,Right Center Back,Right Foot,80.0,69.0,80.0,59.0,None,None,England,Belgium,Pass_None,Pass_9,Pass_None_9
8657100,Pass,None,None,Regular Play,True,None,-0.67474097,12.806249000000001,,Eric Jeremy Edgar Dier,00:21:41.198,2,66,0.993,00:21:42.191000,England,England,John Stones,Center Back,Right Foot,79.0,61.0,89.0,53.0,None,None,England,Belgium,Pass_None,Pass_10,Pass_None_10
8657100,Pass,None,None,Regular Play,None,None,0.94200003,13.601470999999998,,Ruben Loftus-Cheek,00:21:43.391,2,66,1.0,00:21:44.391000,England,England,Eric Jeremy Edgar Dier,Center Defensive Midfield,Left Foot,92.0,54.0,100.0,65.0,None,None,England,Belgium,Pass_None,Pass_11,Pass_None_11
8657100,Pass,None,None,Regular Play,True,None,-1.6115899999999999,49.0408,,Fabian Delph,00:21:46.138,2,66,2.4930000000000003,00:21:48.631000,England,England,Ruben Loftus-Cheek,Right Center Midfield,Right Foot,115.0,62.0,113.0,13.0,None,None,England,Belgium,Pass_None,Pass_12,Pass_None_12
8657100,Pass,None,None,Regular Play,None,None,1.7628443,36.674240000000005,,Marcus Rashford,00:21:49.791,2,66,2.44,00:21:52.231000,England,England,Fabian Delph,Left Wing Back,Left Foot,117.0,14.0,110.0,50.0,None,Incomplete,England,Belgium,Pass_None,Pass_13,Pass_None_13
8657101,Pass,None,None,Regular Play,None,None,1.4940243999999998,13.038404,,John Stones,00:22:44.111,2,67,1.5859999999999999,00:22:45.697000,England,England,Jesse Lingard,Left Center Midfield,Right Foot,45.0,11.0,46.0,24.0,None,None,England,Belgium,Pass_None,Pass_1,Pass_None_1
8657101,Pass,None,None,Regular Play,None,None,1.0303768,11.661903,,Eric Jeremy Edgar Dier,00:22:46.498,2,67,1.253,00:22:47.751000,England,England,John Stones,Center Back,Right Foot,50.0,34.0,56.0,44.0,None,None,England,Belgium,Pass_None,Pass_2,Pass_None_2
8657101,Pass,None,None,Regular Play,None,None,0.8139618000000001,24.758837,,Ruben Loftus-Cheek,00:22:49.418,2,67,1.6,00:22:51.018000,England,England,Eric Jeremy Edgar Dier,Center Defensive Midfield,Right Foot,57.0,46.0,74.0,64.0,None,None,England,Belgium,Pass_None,Pass_3,Pass_None_3
