caseID,result,start_Zone,end_Zone,opponent
86573,Incomplete,2,2,Belgium
86574,Incomplete,2,3,Belgium
86576,Incomplete,1,2,Belgium
86578,Incomplete,2,2,Belgium
865710,Incomplete,2,2,Belgium
865713,Incomplete,2,2,Belgium
865715,Incomplete,2,3,Belgium
865717,Incomplete,2,2,Belgium
865719,Incomplete,1,3,Belgium
865720,Incomplete,2,3,Belgium
865722,Blocked,2,3,Belgium
865725,Incomplete,1,2,Belgium
865727,Incomplete,1,1,Belgium
865729,Saved,2,3,Belgium
865731,Saved,3,3,Belgium
865733,Incomplete,2,3,Belgium
865735,Incomplete,2,3,Belgium
865736,Saved,3,3,Belgium
865738,Incomplete,1,3,Belgium
865740,Off T,1,3,Belgium
865741,Off T,3,3,Belgium
865743,Out,2,3,Belgium
865745,Incomplete,1,2,Belgium
865746,Incomplete,2,3,Belgium
865748,Incomplete,1,3,Belgium
865751,Incomplete,1,3,Belgium
865753,Incomplete,2,2,Belgium
865754,Incomplete,2,3,Belgium
865757,Incomplete,1,2,Belgium
865760,Incomplete,1,3,Belgium
865761,Out,3,3,Belgium
865763,Incomplete,2,2,Belgium
865766,Incomplete,1,2,Belgium
865768,Incomplete,1,3,Belgium
865770,Incomplete,2,3,Belgium
865772,Incomplete,2,3,Belgium
865775,Incomplete,2,3,Belgium
865777,Incomplete,1,3,Belgium
865778,Incomplete,3,3,Belgium
865779,Incomplete,3,3,Belgium
865782,Incomplete,1,3,Belgium
865783,Incomplete,3,3,Belgium
865784,Blocked,3,3,Belgium
865786,Incomplete,2,3,Belgium
865788,Incomplete,1,3,Belgium
865790,Incomplete,2,3,Belgium
865793,Incomplete,2,2,Belgium
865797,Incomplete,1,3,Belgium
865798,Incomplete,3,3,Belgium
8657100,Incomplete,2,3,Belgium
8657101,Saved,2,3,Belgium
8657103,Blocked,1,3,Belgium
8657104,Off T,3,3,Belgium
8657106,Incomplete,1,2,Belgium
8657107,Incomplete,2,3,Belgium
8657108,Incomplete,3,3,Belgium
8657109,Incomplete,3,3,Belgium
8657110,Off T,3,3,Belgium
8657112,Off T,3,3,Belgium
8657115,Incomplete,1,2,Belgium
8657117,Incomplete,2,3,Belgium
8657119,Incomplete,1,3,Belgium
8657121,Incomplete,2,3,Belgium
8657122,Incomplete,3,3,Belgium
8657123,Incomplete,2,3,Belgium
8657125,Saved,3,3,Belgium
8657127,Incomplete,2,3,Belgium
8657129,Incomplete,2,3,Belgium
8657131,Incomplete,1,1,Belgium
8657132,Incomplete,2,2,Belgium
8657133,Incomplete,2,3,Belgium
8657135,Incomplete,1,3,Belgium
8657137,Incomplete,1,3,Belgium
8657140,Incomplete,2,3,Belgium
8657142,Incomplete,1,3,Belgium
86562,Incomplete,2,2,Croatia
86566,Incomplete,1,2,Croatia
86567,Out,2,3,Croatia
86569,Incomplete,1,3,Croatia
865610,Goal,3,3,Croatia
865612,Incomplete,2,2,Croatia
865614,Incomplete,1,3,Croatia
865615,Incomplete,3,3,Croatia
865618,Incomplete,1,3,Croatia
865620,Incomplete,2,2,Croatia
865621,Incomplete,2,3,Croatia
865622,Incomplete,2,2,Croatia
865623,Incomplete,3,3,Croatia
865625,Incomplete,2,2,Croatia
865626,Incomplete,3,3,Croatia
865627,Off T,3,3,Croatia
865630,Incomplete,2,2,Croatia
865631,Incomplete,2,3,Croatia
865633,Incomplete,1,1,Croatia
865635,Out,1,2,Croatia
865638,Incomplete,2,3,Croatia
865640,Incomplete,2,3,Croatia
865643,Incomplete,1,3,Croatia
865645,Incomplete,1,2,Croatia
865647,Incomplete,1,2,Croatia
865649,Incomplete,1,2,Croatia
865651,Incomplete,1,2,Croatia
865652,Incomplete,3,3,Croatia
865653,Incomplete,3,2,Croatia
865656,Incomplete,1,2,Croatia
865657,Incomplete,2,3,Croatia
865658,Pass Offside,3,3,Croatia
865660,Out,2,3,Croatia
865662,Incomplete,1,3,Croatia
865664,Incomplete,2,3,Croatia
865667,Incomplete,1,3,Croatia
865670,Incomplete,1,3,Croatia
865672,Incomplete,2,2,Croatia
865674,Off T,2,3,Croatia
865676,Incomplete,2,3,Croatia
865677,Blocked,3,3,Croatia
865679,Out,2,3,Croatia
865683,Incomplete,1,1,Croatia
865684,Out,2,3,Croatia
865686,Incomplete,2,3,Croatia
865688,Incomplete,3,3,Croatia
865690,Incomplete,2,2,Croatia
865691,Incomplete,3,2,Croatia
865695,Incomplete,1,2,Croatia
865698,Incomplete,1,2,Croatia
8656100,Incomplete,1,3,Croatia
8656102,Out,2,3,Croatia
8656104,Out,2,3,Croatia
8656106,Incomplete,3,2,Croatia
8656108,Incomplete,1,3,Croatia
8656110,Out,2,3,Croatia
8656113,Incomplete,1,3,Croatia
8656115,Incomplete,2,2,Croatia
8656118,Blocked,1,3,Croatia
8656119,Incomplete,3,3,Croatia
8656121,Incomplete,1,2,Croatia
8656123,Incomplete,2,2,Croatia
8656126,Incomplete,1,3,Croatia
8656128,Incomplete,1,3,Croatia
8656130,Incomplete,2,3,Croatia
8656131,Incomplete,3,3,Croatia
8656133,Out,1,1,Croatia
8656136,Incomplete,1,3,Croatia
8656138,Off T,1,3,Croatia
8656141,Incomplete,2,3,Croatia
8656143,Out,1,3,Croatia
8656145,Incomplete,2,2,Croatia
8656147,Incomplete,1,3,Croatia
8656149,Incomplete,1,1,Croatia
8656152,Out,1,2,Croatia
8656156,Incomplete,1,3,Croatia
8656157,Incomplete,3,3,Croatia
8656159,Off T,3,3,Croatia
8656161,Out,3,3,Croatia
8656164,Out,2,3,Croatia
8656166,Incomplete,2,2,Croatia
8656168,Incomplete,1,3,Croatia
8656170,Incomplete,1,3,Croatia
8656172,Incomplete,1,3,Croatia
8656174,Incomplete,1,3,Croatia
8656176,Incomplete,2,2,Croatia
8656178,Incomplete,1,2,Croatia
8656180,Incomplete,3,3,Croatia
8656182,Out,2,3,Croatia
8656184,Incomplete,1,2,Croatia
8656186,Incomplete,1,3,Croatia
8656187,Incomplete,3,3,Croatia
8656188,Off T,3,3,Croatia
8656191,Incomplete,2,3,Croatia
8656193,Incomplete,3,2,Croatia
8656194,Incomplete,2,3,Croatia
8656195,Incomplete,3,3,Croatia
8656197,Incomplete,2,3,Croatia
8656199,Incomplete,3,3,Croatia
8656201,Blocked,1,3,Croatia
8656202,Blocked,3,3,Croatia
8656204,Incomplete,2,3,Croatia
8656207,Incomplete,2,2,Croatia
8656208,Incomplete,2,3,Croatia
8656209,Incomplete,2,3,Croatia
8656214,Out,1,3,Croatia
8656216,Incomplete,2,3,Croatia
8656218,Incomplete,1,None,Croatia
8656222,Incomplete,1,3,Croatia
8656223,Out,2,1,Croatia
8656227,Incomplete,1,2,Croatia
8656231,Incomplete,1,3,Croatia
8656232,Incomplete,3,3,Croatia
8656233,Incomplete,1,3,Croatia
8656239,Incomplete,1,3,Croatia
8656240,Out,3,3,Croatia
8656242,Incomplete,1,2,Croatia
8656244,Incomplete,1,3,Croatia
8656245,Incomplete,3,3,Croatia
8656247,Incomplete,1,3,Croatia
8656250,Incomplete,1,2,Croatia
8656251,Incomplete,2,3,Croatia
8656252,Incomplete,3,3,Croatia
86513,Incomplete,1,2,Sweden
86515,Incomplete,2,3,Sweden
