players
"('Eric Jeremy Edgar Dier', 'Left Attacking Midfield')"
"('Kieran Trippier', 'Right Wing Back')"
"('John Stones', 'Center Back')"
"('Fabian Delph', 'Left Center Midfield')"
"('Fabian Delph', 'Left Wing Back')"
"('Kyle Walker', 'Right Center Back')"
"('Jordan Pickford', 'Goalkeeper')"
"('Daniel Nii Tackie Mensah Welbeck', 'Left Center Forward')"
"('Bamidele Alli', 'Right Center Midfield')"
"('Ruben Loftus-Cheek', 'Right Center Midfield')"
"('Phil Jones', 'Right Center Back')"
"('Marcus Rashford', 'Right Midfield')"
"('Jesse Lingard', 'Right Attacking Midfield')"
"('Gary Cahill', 'Center Back')"
"('Marcus Rashford', 'Secondary Striker')"
"('Bamidele Alli', 'Left Center Midfield')"
"('Bamidele Alli', 'Left Attacking Midfield')"
"('Danny Rose', 'Left Midfield')"
"('Fabian Delph', 'Right Center Midfield')"
"('Ruben Loftus-Cheek', 'Right Attacking Midfield')"
"('John Stones', 'Right Center Back')"
"('Danny Rose', 'Left Wing Back')"
"('Ashley Young', 'Right Midfield')"
"('Ashley Young', 'Left Back')"
"('Marcus Rashford', 'Right Center Forward')"
"('Eric Jeremy Edgar Dier', 'Center Defensive Midfield')"
"('Jesse Lingard', 'Left Center Midfield')"
"('Harry Kane', 'Right Center Forward')"
"('Trent Alexander-Arnold', 'Right Midfield')"
"('Marcus Rashford', 'Left Center Forward')"
"('Harry Maguire', 'Left Center Back')"
"('Danny Rose', 'Left Back')"
"('Ashley Young', 'Left Wing Back')"
"('Raheem Shaquille Sterling', 'Right Center Forward')"
"('Ruben Loftus-Cheek', 'Left Center Midfield')"
"('Ashley Young', 'Left Midfield')"
"('Jamie Richard Vardy', 'Right Center Forward')"
"('Raheem Shaquille Sterling', 'Left Center Forward')"
"('Harry Kane', 'Left Center Forward')"
"('Jamie Richard Vardy', 'Left Center Forward')"
"('Fabian Delph', 'Left Attacking Midfield')"
"('Jesse Lingard', 'Right Center Midfield')"
"('Jordan Brian Henderson', 'Center Defensive Midfield')"
"('Kieran Trippier', 'Right Midfield')"
"('Gary Cahill', 'Left Center Back')"
"('Marcus Rashford', 'Right Center Back')"
"('Kieran Trippier', 'Right Back')"
