caseID,action,type,technique,play_pattern,under_pressure,shot_assist,angle,length,height,recipient,startTime,period,minute,duration,endTime,possession_team,team_action,player,player_position,body_part,start_X,start_Y,end_X,end_Y,bad_behavior,result,home_team,away_team,action_type,action_count,action_type_count
7546101,Ball Recovery,None,None,Regular Play,True,None,,,,,00:46:19.363,1,46,,None,France,France,Paul Labile Pogba,Left Center Midfield,,57.0,8.0,,,None,None,Peru,France,Ball Recovery_None,Ball Recovery_1,Ball Recovery_None_1
7546101,Dribble,None,None,Regular Play,None,None,,,,,00:46:21.803,1,46,,None,France,France,Paul Labile Pogba,Left Center Midfield,,66.0,8.0,,,None,Complete,Peru,France,Dribble_None,Dribble_1,Dribble_None_1
7546101,Pass,None,None,Regular Play,None,None,2.7430701,20.615528,,Samuel Yves Umtiti,00:46:24.123,1,46,1.08,00:46:25.203000,France,France,Paul Labile Pogba,Left Center Midfield,Left Foot,66.0,10.0,47.0,18.0,None,None,Peru,France,Pass_None,Pass_1,Pass_None_1
7546101,Pass,None,None,Regular Play,None,None,1.3415643999999998,30.805843,,Benjamin Pavard,00:46:26.563,1,46,1.6,00:46:28.163000,France,France,Samuel Yves Umtiti,Left Center Back,Left Foot,48.0,25.0,55.0,55.0,None,None,Peru,France,Pass_None,Pass_2,Pass_None_2
7546101,Pass,None,None,Regular Play,None,None,-2.6224465,8.062258,,Raphaël Varane,00:46:28.563,1,46,1.36,00:46:29.923000,France,France,Benjamin Pavard,Right Back,Right Foot,55.0,54.0,48.0,50.0,None,None,Peru,France,Pass_None,Pass_3,Pass_None_3
7546101,Pass,None,None,Regular Play,None,None,1.6207546999999998,20.024984,,Benjamin Pavard,00:46:31.523,1,46,0.92,00:46:32.443000,France,France,Raphaël Varane,Right Center Back,Right Foot,48.0,50.0,47.0,70.0,None,None,Peru,France,Pass_None,Pass_4,Pass_None_4
7546101,Pass,None,None,Regular Play,None,None,-2.7547169,29.154759999999996,,Hugo Lloris,00:46:34.083,1,46,2.52,00:46:36.603000,France,France,Benjamin Pavard,Right Back,Right Foot,47.0,64.0,20.0,53.0,None,None,Peru,France,Pass_None,Pass_5,Pass_None_5
7546101,Pass,None,None,Regular Play,None,None,-0.9530405999999999,46.615448,,Lucas Hernández Pi,00:46:38.563,1,46,2.8,00:46:41.363000,France,France,Hugo Lloris,Goalkeeper,Left Foot,21.0,41.0,48.0,3.0,None,None,Peru,France,Pass_None,Pass_6,Pass_None_6
7546101,Dribble,None,None,Regular Play,True,None,,,,,00:46:42.563,1,46,,None,France,France,Lucas Hernández Pi,Left Back,,49.0,3.0,,,None,Incomplete,Peru,France,Dribble_None,Dribble_2,Dribble_None_2
7546101,Pressure,None,None,Regular Play,None,None,,,,,00:46:44.163,1,46,0.96,00:46:45.123000,France,France,Lucas Hernández Pi,Left Back,,50.0,7.0,,,None,None,Peru,France,Pressure_None,Pressure_2,Pressure_None_2
7546104,Pass,Recovery,None,Regular Play,None,None,0.8441540000000001,12.0415945,,N'Golo Kanté,00:00:26.693,2,45,0.76,00:00:27.453000,France,France,Paul Labile Pogba,Left Center Midfield,Right Foot,42.0,61.0,50.0,70.0,None,None,Peru,France,Pass_Recovery,Pass_1,Pass_Recovery_1
7546104,Pass,None,None,Regular Play,None,None,-0.43662715,16.552946,,Antoine Griezmann,00:00:28.693,2,45,0.64,00:00:29.333000,France,France,N'Golo Kanté,Right Center Midfield,Right Foot,51.0,72.0,66.0,65.0,None,None,Peru,France,Pass_None,Pass_2,Pass_None_1
7546104,Pass,None,None,Regular Play,None,None,0.124354996,8.062258,,Kylian Mbappé Lottin,00:00:29.653,2,45,0.72,00:00:30.373000,France,France,Antoine Griezmann,Center Attacking Midfield,Left Foot,66.0,64.0,74.0,65.0,None,None,Peru,France,Pass_None,Pass_3,Pass_None_2
7546104,Pass,None,None,Regular Play,None,None,-1.0303768,23.323807000000002,,Blaise Matuidi,00:00:33.813,2,45,1.12,00:00:34.933000,France,France,Kylian Mbappé Lottin,Right Wing,Right Foot,87.0,46.0,99.0,26.0,None,None,Peru,France,Pass_None,Pass_4,Pass_None_3
7546104,Pass,None,None,Regular Play,None,None,0.4636476,2.236068,,Olivier Giroud,00:00:37.373,2,45,0.067,00:00:37.440000,France,France,Blaise Matuidi,Left Wing,Left Foot,110.0,13.0,112.0,14.0,None,Incomplete,Peru,France,Pass_None,Pass_5,Pass_None_4
7546104,Pressure,None,None,Regular Play,None,None,,,,,00:00:39.213,2,45,1.48,00:00:40.693000,France,France,Blaise Matuidi,Left Wing,,112.0,13.0,,,None,None,Peru,France,Pressure_None,Pressure_4,Pressure_None_4
7546104,Foul Committed,None,None,Regular Play,None,None,,,,,00:00:39.280,2,45,,None,France,France,Blaise Matuidi,Left Wing,,112.0,14.0,,,None,None,Peru,France,Foul Committed_None,Foul Committed_1,Foul Committed_None_1
7546106,Pass,Free Kick,None,From Free Kick,None,None,-0.18534794,65.11528,,Olivier Giroud,00:03:33.933,2,48,2.96,00:03:36.893000,France,France,Hugo Lloris,Goalkeeper,Left Foot,36.0,36.0,100.0,24.0,None,None,Peru,France,Pass_Free Kick,Pass_1,Pass_Free Kick_1
7546106,Pass,None,None,From Free Kick,None,None,-1.9295669999999998,8.5440035,,Antoine Griezmann,00:03:37.133,2,48,0.7070000000000001,00:03:37.840000,France,France,Olivier Giroud,Center Forward,Other,101.0,25.0,98.0,17.0,None,Incomplete,Peru,France,Pass_None,Pass_2,Pass_None_1
7546106,Pass,Recovery,None,From Free Kick,None,None,-0.2837941,25.0,,Antoine Griezmann,00:03:40.173,2,48,1.9469999999999998,00:03:42.120000,France,France,Lucas Hernández Pi,Left Back,Head,64.0,21.0,88.0,14.0,None,Incomplete,Peru,France,Pass_Recovery,Pass_3,Pass_Recovery_1
7546106,Pass,Recovery,None,From Free Kick,None,None,-0.4636476,8.944272,,Blaise Matuidi,00:03:44.240,2,48,1.453,00:03:45.693000,France,France,N'Golo Kanté,Right Center Midfield,Head,72.0,21.0,80.0,17.0,None,None,Peru,France,Pass_Recovery,Pass_6,Pass_Recovery_3
7546106,Pass,None,None,From Free Kick,None,None,0.09065989,11.045361,,Olivier Giroud,00:03:46.173,2,48,1.68,00:03:47.853000,France,France,Blaise Matuidi,Left Wing,Right Foot,80.0,15.0,91.0,16.0,None,None,Peru,France,Pass_None,Pass_7,Pass_None_3
7546106,Pass,None,None,From Free Kick,None,None,-1.9195673,11.7046995,,Blaise Matuidi,00:03:48.373,2,48,0.64,00:03:49.013000,France,France,Olivier Giroud,Center Forward,Left Foot,91.0,16.0,87.0,5.0,None,None,Peru,France,Pass_None,Pass_8,Pass_None_4
7546106,Dribble,None,None,From Free Kick,None,None,,,,,00:03:50.373,2,48,,None,France,France,Blaise Matuidi,Left Wing,,90.0,3.0,,,None,Incomplete,Peru,France,Dribble_None,Dribble_1,Dribble_None_1
7546107,Pass,Throw-in,None,From Throw In,None,None,1.2924966999999998,7.2801100000000005,,Paul Labile Pogba,00:04:06.973,2,49,0.799,00:04:07.772000,France,France,Lucas Hernández Pi,Left Back,,97.0,1.0,99.0,8.0,None,None,Peru,France,Pass_Throw-in,Pass_1,Pass_Throw-in_1
7546107,Pass,None,None,From Throw In,None,None,-1.1071488,4.472136,,Lucas Hernández Pi,00:04:08.573,2,49,0.8,00:04:09.373000,France,France,Paul Labile Pogba,Left Center Midfield,Right Foot,98.0,8.0,100.0,4.0,None,None,Peru,France,Pass_None,Pass_2,Pass_None_1
7546107,Pass,None,None,From Throw In,None,None,3.1415927000000003,12.0,,N'Golo Kanté,00:04:09.613,2,49,0.84,00:04:10.453000,France,France,Lucas Hernández Pi,Left Back,Left Foot,99.0,5.0,87.0,5.0,None,None,Peru,France,Pass_None,Pass_3,Pass_None_2
7546107,Pass,None,None,From Throw In,True,None,1.598567,72.02776999999999,,Benjamin Pavard,00:04:11.893,2,49,2.8,00:04:14.693000,France,France,N'Golo Kanté,Right Center Midfield,Right Foot,86.0,8.0,84.0,80.0,None,Out,Peru,France,Pass_None,Pass_4,Pass_None_3
7546107,Pressure,None,None,From Throw In,None,None,,,,,00:04:24.333,2,49,0.72,00:04:25.053000,France,France,Antoine Griezmann,Center Attacking Midfield,,79.0,72.0,,,None,None,Peru,France,Pressure_None,Pressure_2,Pressure_None_2
7546109,Pass,Goal Kick,None,From Goal Kick,None,None,0.30805278,69.26037600000001,,Olivier Giroud,00:05:23.933,2,50,3.5469999999999997,00:05:27.480000,France,France,Hugo Lloris,Goalkeeper,Left Foot,7.0,43.0,73.0,64.0,None,Incomplete,Peru,France,Pass_Goal Kick,Pass_1,Pass_Goal Kick_1
7546111,Ball Recovery,None,None,Regular Play,True,None,,,,,00:05:47.133,2,50,,None,France,France,Blaise Matuidi,Left Wing,,34.0,14.0,,,None,None,Peru,France,Ball Recovery_None,Ball Recovery_1,Ball Recovery_None_1
7546111,Pass,None,None,Regular Play,None,None,-1.2924966999999998,7.2801100000000005,,Lucas Hernández Pi,00:05:48.573,2,50,0.48,00:05:49.053000,France,France,Blaise Matuidi,Left Wing,Left Foot,32.0,11.0,34.0,4.0,None,None,Peru,France,Pass_None,Pass_1,Pass_None_1
7546111,Pass,None,None,Regular Play,None,None,0.21866895,9.219544,,Paul Labile Pogba,00:05:50.133,2,50,0.68,00:05:50.813000,France,France,Lucas Hernández Pi,Left Back,Left Foot,34.0,4.0,43.0,6.0,None,None,Peru,France,Pass_None,Pass_2,Pass_None_2
7546111,Pass,None,None,Regular Play,None,None,-2.6779451,4.472136,,Blaise Matuidi,00:05:50.973,2,50,0.28,00:05:51.253000,France,France,Paul Labile Pogba,Left Center Midfield,Right Foot,42.0,5.0,38.0,3.0,None,None,Peru,France,Pass_None,Pass_3,Pass_None_3
7546111,Pass,None,None,Regular Play,None,None,1.5707964,15.0,,N'Golo Kanté,00:05:51.773,2,50,0.72,00:05:52.493000,France,France,Blaise Matuidi,Left Wing,Left Foot,39.0,5.0,39.0,20.0,None,None,Peru,France,Pass_None,Pass_4,Pass_None_4
7546111,Pass,None,None,Regular Play,None,None,0.7431698,50.24938,,Kylian Mbappé Lottin,00:05:54.893,2,50,2.5469999999999997,00:05:57.440000,France,France,N'Golo Kanté,Right Center Midfield,Right Foot,46.0,29.0,83.0,63.0,None,Incomplete,Peru,France,Pass_None,Pass_5,Pass_None_5
