caseID,result,start_Zone,end_Zone,opponent
75462,Incomplete,2,3,Peru
75463,Incomplete,2,3,Peru
75466,Incomplete,1,None,Peru
75469,Out,1,3,Peru
754612,Incomplete,1,2,Peru
754613,Incomplete,2,3,Peru
754615,Incomplete,2,2,Peru
754617,Incomplete,1,3,Peru
754619,Incomplete,1,2,Peru
754621,Incomplete,1,3,Peru
754623,Incomplete,2,3,Peru
754626,Incomplete,1,1,Peru
754627,Out,2,3,Peru
754629,Off T,2,3,Peru
754631,Off T,3,3,Peru
754633,Incomplete,1,3,Peru
754634,Incomplete,3,3,Peru
754635,Off T,3,3,Peru
754637,Incomplete,1,2,Peru
754638,Saved,2,3,Peru
754641,Incomplete,1,2,Peru
754642,Incomplete,2,3,Peru
754645,Incomplete,1,2,Peru
754648,Incomplete,1,1,Peru
754650,Incomplete,2,None,Peru
754653,Incomplete,1,3,Peru
754655,Incomplete,1,2,Peru
754657,Incomplete,2,2,Peru
754661,Incomplete,1,2,Peru
754662,Incomplete,2,3,Peru
754663,Injury Clearance,3,3,Peru
754666,Out,1,3,Peru
754668,Incomplete,1,3,Peru
754670,Incomplete,3,3,Peru
754673,Saved,2,3,Peru
754675,Incomplete,2,3,Peru
754677,Blocked then Goal,3,3,Peru
754680,Incomplete,1,3,Peru
754685,Incomplete,1,3,Peru
754687,Incomplete,1,None,Peru
754688,Out,2,3,Peru
754690,Saved,2,3,Peru
754692,Incomplete,1,3,Peru
754695,Out,1,2,Peru
754697,Incomplete,2,2,Peru
754698,Incomplete,2,3,Peru
7546101,Incomplete,2,2,Peru
7546104,Incomplete,2,3,Peru
7546106,Incomplete,1,3,Peru
7546107,Out,3,3,Peru
7546109,Incomplete,1,2,Peru
7546111,Incomplete,1,3,Peru
7546113,Out,2,3,Peru
7546115,Incomplete,3,3,Peru
7546116,Incomplete,2,3,Peru
7546118,Incomplete,2,3,Peru
7546119,Incomplete,3,3,Peru
7546121,Incomplete,3,3,Peru
7546122,Incomplete,3,3,Peru
7546123,Incomplete,2,2,Peru
7546125,Incomplete,1,1,Peru
7546127,Incomplete,1,2,Peru
7546130,Out,1,2,Peru
7546133,Incomplete,1,1,Peru
7546135,Incomplete,1,3,Peru
7546138,Incomplete,1,3,Peru
7546139,Incomplete,3,3,Peru
7546141,Incomplete,2,3,Peru
7546144,Incomplete,1,2,Peru
7546147,Incomplete,1,2,Peru
7546149,Incomplete,1,2,Peru
7546152,Incomplete,1,3,Peru
7546154,Incomplete,2,3,Peru
7546155,Incomplete,3,3,Peru
7546156,Incomplete,3,3,Peru
7546159,Incomplete,1,2,Peru
7546162,Incomplete,1,2,Peru
7546165,Incomplete,1,2,Peru
7546166,Incomplete,3,3,Peru
7546167,Incomplete,3,3,Peru
7546169,Incomplete,1,1,Peru
7546171,Incomplete,2,3,Peru
7546172,Incomplete,2,2,Peru
7546174,Incomplete,1,2,Peru
7546175,Off T,2,3,Peru
7546177,Incomplete,2,3,Peru
7546182,Incomplete,1,1,Peru
7546186,Incomplete,1,3,Peru
7546188,Incomplete,1,2,Peru
7546190,Injury Clearance,3,3,Peru
7546192,Incomplete,1,3,Peru
7546193,Incomplete,3,3,Peru
7546194,Off T,3,3,Peru
7546196,Incomplete,1,2,Peru
7546198,Incomplete,1,2,Peru
7546200,Incomplete,2,3,Peru
7546202,Blocked,2,3,Peru
7546203,Incomplete,3,3,Peru
75632,Incomplete,2,3,Denmark
75635,Incomplete,1,2,Denmark
75637,Incomplete,1,1,Denmark
75638,Out,1,3,Denmark
756311,Incomplete,2,3,Denmark
756314,Incomplete,2,2,Denmark
756315,Incomplete,3,3,Denmark
756317,Incomplete,2,3,Denmark
756318,Incomplete,3,3,Denmark
756320,Incomplete,1,2,Denmark
756322,Incomplete,1,2,Denmark
756324,Incomplete,1,2,Denmark
756325,Out,2,3,Denmark
756327,Incomplete,1,2,Denmark
756329,Incomplete,1,3,Denmark
756330,Incomplete,3,2,Denmark
756331,Saved,2,3,Denmark
756332,Off T,3,3,Denmark
756333,Incomplete,2,None,Denmark
756335,Incomplete,1,3,Denmark
756336,Incomplete,1,3,Denmark
756338,Incomplete,1,3,Denmark
756339,Incomplete,1,2,Denmark
756341,Incomplete,2,2,Denmark
756344,Incomplete,1,2,Denmark
756346,Incomplete,2,2,Denmark
756347,Incomplete,2,3,Denmark
756349,Incomplete,2,3,Denmark
756350,Incomplete,3,3,Denmark
756351,Incomplete,3,1,Denmark
756353,Incomplete,1,3,Denmark
756356,Incomplete,1,2,Denmark
756358,Incomplete,3,3,Denmark
756360,Off T,2,2,Denmark
756362,Incomplete,1,3,Denmark
756363,Incomplete,3,3,Denmark
756365,Incomplete,2,3,Denmark
756367,Incomplete,2,3,Denmark
756368,Out,3,3,Denmark
756370,Saved,1,3,Denmark
756372,Incomplete,1,3,Denmark
756374,Incomplete,1,2,Denmark
756376,Pass Offside,2,3,Denmark
