players
"(""Steven N'Kemboanza Mike Christopher N'Zonzi"", 'Left Wing')"
"('Thomas Lemar', 'Left Wing')"
"('Blaise Matuidi', 'Left Midfield')"
"(""N'Golo Kanté"", 'Center Defensive Midfield')"
"('Corentin Tolisso', 'Right Center Midfield')"
"(""Steven N'Kemboanza Mike Christopher N'Zonzi"", 'Center Defensive Midfield')"
"('Benjamin Pavard', 'Right Back')"
"(""Steven N'Kemboanza Mike Christopher N'Zonzi"", 'Left Defensive Midfield')"
"('Olivier Giroud', 'Center Forward')"
"('Lucas Hernández Pi', 'Left Back')"
"('Kylian Mbappé Lottin', 'Right Wing')"
"('Olivier Giroud', 'Left Center Forward')"
"('Nabil Fekir', 'Right Wing Back')"
"('Paul Labile Pogba', 'Right Defensive Midfield')"
"('Hugo Lloris', 'Goalkeeper')"
"('Antoine Griezmann', 'Center Attacking Midfield')"
"('Antoine Griezmann', 'Left Wing')"
"('Presnel Kimpembe', 'Left Center Back')"
"('Florian Thauvin', 'Right Wing')"
"('Nabil Fekir', 'Right Midfield')"
"('Antoine Griezmann', 'Center Forward')"
"('Paul Labile Pogba', 'Center Attacking Midfield')"
"('Antoine Griezmann', 'Left Center Forward')"
"('Samuel Yves Umtiti', 'Left Center Back')"
"('Paul Labile Pogba', 'Left Center Midfield')"
"('Corentin Tolisso', 'Left Wing')"
"('Corentin Tolisso', 'Left Center Midfield')"
"('Kylian Mbappé Lottin', 'Right Midfield')"
"('Ousmane Dembélé', 'Right Wing')"
"('Djibril Sidibé', 'Right Back')"
"(""Steven N'Kemboanza Mike Christopher N'Zonzi"", 'Right Center Midfield')"
"('Antoine Griezmann', 'Right Center Forward')"
"('Paul Labile Pogba', 'Left Defensive Midfield')"
"('Blaise Matuidi', 'Right Center Midfield')"
"('Raphaël Varane', 'Right Center Back')"
"(""N'Golo Kanté"", 'Right Defensive Midfield')"
"('Nabil Fekir', 'Center Attacking Midfield')"
"('Nabil Fekir', 'Left Wing')"
"(""N'Golo Kanté"", 'Right Center Midfield')"
"('Kylian Mbappé Lottin', 'Right Center Forward')"
"('Ousmane Dembélé', 'Left Wing')"
"(""N'Golo Kanté"", 'Left Defensive Midfield')"
"('Steve Mandanda', 'Goalkeeper')"
"('Antoine Griezmann', 'Right Wing Back')"
"(""N'Golo Kanté"", 'Center Midfield')"
"('Blaise Matuidi', 'Left Wing')"
"('Benjamin Mendy', 'Left Back')"
"('Corentin Tolisso', 'Left Midfield')"
