players
"('Ilkay Gündoğan', 'Left Defensive Midfield')"
"('Antonio Rüdiger', 'Left Center Back')"
"('Sebastian Rudy', 'Right Defensive Midfield')"
"('Mario Gómez García', 'Secondary Striker')"
"('Marvin Plattenhardt', 'Left Back')"
"('Toni Kroos', 'Right Center Midfield')"
"('Timo Werner', 'Left Wing')"
"('Mario Gómez García', 'Right Center Forward')"
"('Leon Goretzka', 'Right Wing')"
"('Timo Werner', 'Center Forward')"
"('Mats Hummels', 'Left Center Back')"
"('Mesut Özil', 'Left Center Midfield')"
"('Mesut Özil', 'Center Attacking Midfield')"
"('Julian Brandt', 'Left Midfield')"
"('Marco Reus', 'Right Center Midfield')"
"('Toni Kroos', 'Left Center Midfield')"
"('Antonio Rüdiger', 'Center Back')"
"('Julian Draxler', 'Left Center Midfield')"
"('Marco Reus', 'Left Wing')"
"('Marco Reus', 'Center Attacking Midfield')"
"('Ilkay Gündoğan', 'Right Center Midfield')"
"('Ilkay Gündoğan', 'Right Defensive Midfield')"
"('Thomas Müller', 'Secondary Striker')"
"('Leon Goretzka', 'Center Attacking Midfield')"
"('Jérôme Boateng', 'Center Back')"
"('Toni Kroos', 'Left Defensive Midfield')"
"('Marco Reus', 'Left Center Midfield')"
"('Niklas Süle', 'Right Center Back')"
"('Manuel Neuer', 'Goalkeeper')"
"('Mesut Özil', 'Right Center Midfield')"
"('Toni Kroos', 'Center Defensive Midfield')"
"('Julian Brandt', 'Left Wing')"
"('Timo Werner', 'Right Wing')"
"('Thomas Müller', 'Right Center Forward')"
"('Jérôme Boateng', 'Right Center Back')"
"('Julian Draxler', 'Left Wing')"
"('Mario Gómez García', 'Left Wing')"
"('Joshua Kimmich', 'Right Back')"
"('Toni Kroos', 'Left Center Back')"
"('Mario Gómez García', 'Center Forward')"
"('Thomas Müller', 'Right Wing')"
"('Julian Brandt', 'Left Back')"
"('Toni Kroos', 'Right Defensive Midfield')"
"('Joshua Kimmich', 'Right Center Back')"
"('Sami Khedira', 'Right Center Midfield')"
"('Marco Reus', 'Right Midfield')"
"('Jonas Hector', 'Left Back')"
"('Timo Werner', 'Left Center Forward')"
