caseID,result,start_Zone,end_Zone,opponent
75612,Incomplete,2,3,Croatia
75614,Incomplete,2,3,Croatia
75619,Out,2,3,Croatia
756111,Incomplete,2,3,Croatia
756112,Out,2,2,Croatia
756114,Out,1,2,Croatia
756116,Out,1,1,Croatia
756118,Incomplete,1,3,Croatia
756120,Incomplete,2,2,Croatia
756121,Incomplete,2,3,Croatia
756125,Out,1,3,Croatia
756129,Incomplete,1,2,Croatia
756131,Incomplete,2,3,Croatia
756133,Incomplete,2,3,Croatia
756134,Out,2,3,Croatia
756136,Incomplete,2,3,Croatia
756138,Incomplete,2,3,Croatia
756139,Out,3,3,Croatia
756142,Incomplete,2,3,Croatia
756143,Off T,3,3,Croatia
756145,Incomplete,3,3,Croatia
756146,Saved,3,3,Croatia
756148,Incomplete,2,2,Croatia
756149,Out,2,3,Croatia
756151,Incomplete,2,3,Croatia
756152,Blocked,3,3,Croatia
756153,Out,3,3,Croatia
756156,Incomplete,1,3,Croatia
756158,Incomplete,1,2,Croatia
756160,Incomplete,1,2,Croatia
756162,Incomplete,3,None,Croatia
756164,Off T,3,3,Croatia
756166,Incomplete,2,2,Croatia
756168,Incomplete,1,3,Croatia
756170,Incomplete,2,3,Croatia
756171,Off T,3,3,Croatia
756173,Incomplete,2,3,Croatia
756174,Saved,3,3,Croatia
756176,Incomplete,1,3,Croatia
756178,Saved,2,3,Croatia
756179,Incomplete,3,3,Croatia
756182,Incomplete,1,2,Croatia
756183,Incomplete,3,3,Croatia
756185,Incomplete,1,3,Croatia
756186,Incomplete,3,3,Croatia
756188,Incomplete,2,2,Croatia
756191,Incomplete,2,3,Croatia
756193,Incomplete,1,2,Croatia
756198,Incomplete,2,3,Croatia
756199,Saved,3,3,Croatia
7561100,Incomplete,3,3,Croatia
7561101,Incomplete,3,3,Croatia
7561103,Blocked,2,3,Croatia
7561105,Incomplete,2,3,Croatia
7561106,Out,2,2,Croatia
7561108,Incomplete,1,2,Croatia
7561114,Incomplete,1,3,Croatia
7561116,Incomplete,3,3,Croatia
7561118,Incomplete,1,3,Croatia
7561120,Off T,3,3,Croatia
7561123,Incomplete,1,3,Croatia
7561125,Incomplete,2,3,Croatia
7561126,Incomplete,3,3,Croatia
7561128,Incomplete,2,3,Croatia
7561130,Off T,2,3,Croatia
7561132,Incomplete,3,3,Croatia
7561133,Goal,3,3,Croatia
