players
"('Alfreð Finnbogason', 'Right Center Forward')"
"('Rúrik Gíslason', 'Right Midfield')"
"('Sverrir Ingi Ingason', 'Right Center Back')"
"('Hörður Björgvin Magnússon', 'Left Back')"
"('Gylfi Þór Sigurðsson', 'Left Defensive Midfield')"
"('Hörður Björgvin Magnússon', 'Left Center Back')"
"('Gylfi Þór Sigurðsson', 'Secondary Striker')"
"('Emil Hallfreðsson', 'Right Defensive Midfield')"
"('Sverrir Ingi Ingason', 'Center Back')"
"('Gylfi Þór Sigurðsson', 'Center Attacking Midfield')"
"('Ari Freyr Skúlason', 'Right Defensive Midfield')"
"('Hannes Þór Halldórsson', 'Goalkeeper')"
"('Albert Gudmundsson', 'Right Center Forward')"
"('Alfreð Finnbogason', 'Center Forward')"
"('Ari Freyr Skúlason', 'Left Midfield')"
"('Rúrik Gíslason', 'Left Midfield')"
"('Sverrir Ingi Ingason', 'Left Center Back')"
"('Björn Bergmann Sigurðarson', 'Center Forward')"
"('Gylfi Þór Sigurðsson', 'Right Center Midfield')"
"('Aron Einar Gunnarsson', 'Left Defensive Midfield')"
"('Jón Daði Böðvarsson', 'Left Center Forward')"
"('Björn Bergmann Sigurðarson', 'Left Center Forward')"
"('Kári Árnason', 'Right Center Back')"
"('Johann Berg Guðmunds\xadson', 'Right Wing')"
"('Aron Einar Gunnarsson', 'Center Defensive Midfield')"
"('Birkir Bjarnason', 'Left Wing')"
"('Ragnar Sigurðsson', 'Left Center Back')"
"('Emil Hallfreðsson', 'Left Defensive Midfield')"
"('Birkir Már Sævarsson', 'Right Center Back')"
"('Birkir Bjarnason', 'Left Midfield')"
"('Emil Hallfreðsson', 'Left Center Midfield')"
"('Ari Freyr Skúlason', 'Right Midfield')"
"('Arnór Ingvi Traustason', 'Left Wing')"
"('Aron Einar Gunnarsson', 'Right Defensive Midfield')"
"('Birkir Már Sævarsson', 'Right Back')"
"('Johann Berg Guðmunds\xadson', 'Right Midfield')"
"('Birkir Bjarnason', 'Right Defensive Midfield')"
