caseID,action,type,technique,play_pattern,under_pressure,shot_assist,angle,length,height,recipient,startTime,period,minute,duration,endTime,possession_team,team_action,player,player_position,body_part,start_X,start_Y,end_X,end_Y,bad_behavior,result,home_team,away_team,action_type,action_count,action_type_count
755710,Pass,Goal Kick,None,From Goal Kick,None,None,0.19486392,77.46611999999999,,Sardar Azmoun,00:04:58.340,1,4,5.412999999999999,00:05:03.753000,Iran,Iran,Alireza Safar Beiranvand,Goalkeeper,Right Foot,6.0,50.0,82.0,65.0,None,Incomplete,Portugal,Iran,Pass_Goal Kick,Pass_1,Pass_Goal Kick_1
755710,Pass,Interception,None,From Goal Kick,None,None,0.71883,10.630146,,Sardar Azmoun,00:05:04.820,1,5,1.173,00:05:05.993000,Iran,Iran,Vahid Amiri,Left Center Midfield,Left Foot,76.0,52.0,84.0,59.0,None,None,Portugal,Iran,Pass_Interception,Pass_3,Pass_Interception_1
755710,Pass,None,None,From Goal Kick,True,None,-0.6435010999999999,5.0,,Vahid Amiri,00:05:07.020,1,5,0.613,00:05:07.633000,Iran,Iran,Sardar Azmoun,Center Forward,Right Foot,86.0,60.0,90.0,57.0,None,None,Portugal,Iran,Pass_None,Pass_4,Pass_None_1
755710,Pass,None,None,From Goal Kick,None,None,0.30288488,16.763054,,Alireza Jahanbakhsh,00:05:07.780,1,5,2.133,00:05:09.913000,Iran,Iran,Vahid Amiri,Left Center Midfield,Left Foot,90.0,57.0,106.0,62.0,None,Incomplete,Portugal,Iran,Pass_None,Pass_5,Pass_None_2
755710,Interception,None,None,From Goal Kick,None,None,,,,,00:05:15.020,1,5,,None,Iran,Iran,Saeid Ezatolahi Afagh,Center Defensive Midfield,,80.0,78.0,,,None,Lost Out,Portugal,Iran,Interception_None,Interception_1,Interception_None_1
7557104,Ball Recovery,None,None,Regular Play,None,None,,,,,00:16:13.353,2,61,,None,Iran,Iran,Vahid Amiri,Left Center Midfield,,31.0,46.0,,,None,None,Portugal,Iran,Ball Recovery_None,Ball Recovery_1,Ball Recovery_None_1
7557104,Pass,None,None,Regular Play,None,None,-1.1760051999999999,13.0,,Saeid Ezatolahi Afagh,00:16:15.420,2,61,1.053,00:16:16.473000,Iran,Iran,Vahid Amiri,Left Center Midfield,Left Foot,37.0,39.0,42.0,27.0,None,None,Portugal,Iran,Pass_None,Pass_1,Pass_None_1
7557104,Dribble,None,None,Regular Play,True,None,,,,,00:16:16.700,2,61,,None,Iran,Iran,Saeid Ezatolahi Afagh,Center Defensive Midfield,,46.0,26.0,,,None,Incomplete,Portugal,Iran,Dribble_None,Dribble_1,Dribble_None_1
7557104,Pressure,None,None,Regular Play,None,None,,,,,00:16:19.380,2,61,1.213,00:16:20.593000,Iran,Iran,Mehdi Taremi,Left Midfield,,70.0,11.0,,,None,None,Portugal,Iran,Pressure_None,Pressure_3,Pressure_None_3
7557106,Pass,None,None,Regular Play,None,None,-0.41822433,9.848858,,Sardar Azmoun,00:17:20.180,2,62,1.8530000000000002,00:17:22.033000,Iran,Iran,Mehdi Taremi,Left Midfield,,94.0,13.0,103.0,9.0,None,Incomplete,Portugal,Iran,Pass_None,Pass_1,Pass_None_1
7557106,Block,None,None,Regular Play,None,None,,,,,00:17:23.060,2,62,,None,Iran,Iran,Sardar Azmoun,Center Forward,,103.0,3.0,,,None,None,Portugal,Iran,Block_None,Block_1,Block_None_1
7557109,Pass,Free Kick,None,From Free Kick,None,None,-0.12786992,70.5762,,Mehdi Taremi,00:19:07.540,2,64,4.133,00:19:11.673000,Iran,Iran,Seyed Majid Hosseini,Left Center Back,Right Foot,41.0,10.0,111.0,1.0,None,Out,Portugal,Iran,Pass_Free Kick,Pass_1,Pass_Free Kick_1
7557111,Ball Recovery,None,None,Regular Play,None,None,,,,,00:19:29.753,2,64,,None,Iran,Iran,Seyed Majid Hosseini,Left Center Back,,56.0,19.0,,,None,None,Portugal,Iran,Ball Recovery_None,Ball Recovery_1,Ball Recovery_None_1
7557111,Pass,None,None,Regular Play,None,None,2.0074234,16.552946,,Morteza Pouraliganji,00:19:30.700,2,64,1.72,00:19:32.420000,Iran,Iran,Seyed Majid Hosseini,Left Center Back,Left Foot,55.0,26.0,48.0,41.0,None,None,Portugal,Iran,Pass_None,Pass_1,Pass_None_1
