caseID,result,start_Zone,end_Zone,opponent
75574,Incomplete,1,2,Portugal
75576,Pass Offside,2,3,Portugal
75578,Incomplete,1,3,Portugal
755710,Incomplete,1,3,Portugal
755712,Incomplete,1,None,Portugal
755714,Off T,1,3,Portugal
755716,Incomplete,2,3,Portugal
755718,Incomplete,1,3,Portugal
755719,Incomplete,1,3,Portugal
755721,Incomplete,2,3,Portugal
755722,Incomplete,3,3,Portugal
755729,Incomplete,1,2,Portugal
755731,Incomplete,1,3,Portugal
755733,Incomplete,2,3,Portugal
755734,Off T,3,3,Portugal
755738,Incomplete,3,2,Portugal
755742,Incomplete,2,2,Portugal
755745,Out,1,2,Portugal
755747,Incomplete,2,3,Portugal
755748,Saved,3,3,Portugal
755753,Incomplete,1,1,Portugal
755756,Incomplete,1,3,Portugal
755758,Incomplete,1,2,Portugal
755761,Incomplete,1,3,Portugal
755763,Incomplete,2,3,Portugal
755764,Incomplete,3,3,Portugal
755766,Incomplete,1,3,Portugal
755768,Incomplete,1,2,Portugal
755770,Incomplete,2,3,Portugal
755771,Incomplete,3,3,Portugal
755773,Out,2,2,Portugal
755775,Out,2,3,Portugal
755777,Incomplete,2,3,Portugal
755779,Incomplete,2,2,Portugal
755781,Incomplete,3,3,Portugal
755783,Incomplete,1,2,Portugal
755789,Incomplete,1,1,Portugal
755791,Incomplete,1,3,Portugal
755792,Incomplete,2,2,Portugal
755793,Out,2,3,Portugal
755795,Incomplete,3,3,Portugal
755796,Incomplete,3,3,Portugal
755799,Out,1,2,Portugal
7557104,Incomplete,1,2,Portugal
7557106,Incomplete,3,3,Portugal
7557109,Out,2,3,Portugal
7557111,Incomplete,2,3,Portugal
7557113,Incomplete,3,None,Portugal
7557115,Incomplete,3,3,Portugal
7557117,Incomplete,1,3,Portugal
7557120,Incomplete,2,3,Portugal
7557123,Off T,1,3,Portugal
7557126,Incomplete,3,2,Portugal
7557128,Incomplete,2,3,Portugal
7557131,Incomplete,2,3,Portugal
7557132,Incomplete,3,3,Portugal
7557134,Incomplete,1,1,Portugal
7557136,Incomplete,1,2,Portugal
7557138,Incomplete,2,2,Portugal
7557140,Incomplete,2,2,Portugal
7557142,Incomplete,2,3,Portugal
7557143,Incomplete,2,1,Portugal
7557145,Incomplete,1,2,Portugal
7557147,Incomplete,1,1,Portugal
7557149,Incomplete,1,2,Portugal
7557151,Incomplete,1,2,Portugal
7557153,Incomplete,1,1,Portugal
7557155,Incomplete,1,3,Portugal
7557156,Incomplete,3,3,Portugal
7557158,Blocked,2,3,Portugal
7557159,Goal,3,3,Portugal
7557160,Blocked,1,3,Portugal
7557162,Out,2,3,Portugal
7557164,Incomplete,1,3,Portugal
75773,Incomplete,1,3,Morocco
75775,Incomplete,1,3,Morocco
757710,Incomplete,1,3,Morocco
757714,Incomplete,1,2,Morocco
757717,Incomplete,1,2,Morocco
757720,Incomplete,1,3,Morocco
757721,Incomplete,3,3,Morocco
757723,Incomplete,1,2,Morocco
757726,Incomplete,2,2,Morocco
757728,Incomplete,1,3,Morocco
757730,Out,1,2,Morocco
757732,Incomplete,1,2,Morocco
757734,Incomplete,1,3,Morocco
757739,Incomplete,1,3,Morocco
757740,Incomplete,3,3,Morocco
757741,Incomplete,2,3,Morocco
757742,Incomplete,3,3,Morocco
757744,Incomplete,2,2,Morocco
757745,Incomplete,1,2,Morocco
757747,Incomplete,1,2,Morocco
757748,Incomplete,2,3,Morocco
757749,Incomplete,3,3,Morocco
757752,Incomplete,1,3,Morocco
757753,Incomplete,3,2,Morocco
757754,Incomplete,1,2,Morocco
757755,Incomplete,2,3,Morocco
757758,Incomplete,2,2,Morocco
757760,Incomplete,2,None,Morocco
757761,Off T,2,3,Morocco
757763,Incomplete,1,3,Morocco
757765,Incomplete,2,2,Morocco
757766,Off T,3,3,Morocco
757769,Incomplete,1,2,Morocco
757772,Incomplete,1,1,Morocco
757774,Incomplete,2,3,Morocco
757775,Blocked,3,2,Morocco
757776,Incomplete,2,2,Morocco
757777,Incomplete,2,3,Morocco
757779,Incomplete,1,2,Morocco
757781,Saved,2,3,Morocco
757782,Blocked,3,3,Morocco
757783,Off T,3,3,Morocco
757785,Incomplete,1,2,Morocco
757788,Incomplete,1,2,Morocco
757791,Incomplete,2,3,Morocco
757794,Incomplete,1,2,Morocco
757796,Incomplete,1,2,Morocco
757798,Incomplete,1,2,Morocco
7577102,Incomplete,1,2,Morocco
7577104,Incomplete,2,2,Morocco
7577105,Incomplete,2,2,Morocco
7577107,Incomplete,1,3,Morocco
7577109,Out,2,3,Morocco
7577111,Incomplete,2,3,Morocco
7577112,Incomplete,2,2,Morocco
7577115,Incomplete,1,None,Morocco
7577116,Incomplete,2,2,Morocco
7577117,Incomplete,2,3,Morocco
7577120,Incomplete,1,2,Morocco
7577122,Injury Clearance,2,3,Morocco
7577127,Incomplete,1,2,Morocco
7577129,Incomplete,2,3,Morocco
7577131,Incomplete,2,2,Morocco
7577133,Incomplete,1,3,Morocco
7577135,Incomplete,1,3,Morocco
7577137,Incomplete,1,2,Morocco
7577140,Incomplete,1,3,Morocco
7577142,Incomplete,1,2,Morocco
7577144,Incomplete,1,2,Morocco
7577146,Incomplete,1,2,Morocco
7577147,Out,2,3,Morocco
7577149,Incomplete,2,3,Morocco
7577150,Incomplete,3,3,Morocco
7577152,Incomplete,2,3,Morocco
7577155,Incomplete,1,1,Morocco
7577157,Incomplete,2,3,Morocco
7577161,Out,2,3,Morocco
7577163,Incomplete,1,2,Morocco
7577164,Incomplete,2,3,Morocco
7577166,Incomplete,1,2,Morocco
7577168,Incomplete,1,3,Morocco
7577170,Incomplete,1,3,Morocco
7577173,Incomplete,1,2,Morocco
7577175,Incomplete,1,3,Morocco
7577178,Incomplete,1,3,Morocco
7577181,Incomplete,1,3,Morocco
7577182,Incomplete,3,3,Morocco
75433,Incomplete,2,1,Spain
75434,Incomplete,1,2,Spain
75435,Incomplete,2,2,Spain
75437,Incomplete,1,2,Spain
75439,Incomplete,1,3,Spain
754310,Off T,3,3,Spain
754312,Incomplete,1,2,Spain
754313,Incomplete,2,3,Spain
754316,Incomplete,1,2,Spain
754319,Incomplete,1,2,Spain
754321,Incomplete,1,1,Spain
754323,Off T,1,3,Spain
754325,Incomplete,1,2,Spain
754327,Incomplete,2,3,Spain
754330,Out,2,3,Spain
754334,Incomplete,1,None,Spain
754336,Incomplete,1,3,Spain
754340,Incomplete,1,1,Spain
754342,Incomplete,1,3,Spain
754344,Out,1,2,Spain
754346,Incomplete,1,3,Spain
754349,Incomplete,1,3,Spain
754352,Incomplete,1,2,Spain
754354,Incomplete,1,2,Spain
754356,Incomplete,1,2,Spain
754358,Incomplete,2,2,Spain
754359,Incomplete,3,3,Spain
754360,Incomplete,2,3,Spain
754361,Out,3,1,Spain
754365,Incomplete,1,2,Spain
754370,Out,1,1,Spain
754372,Out,1,3,Spain
754376,Incomplete,1,2,Spain
754377,Incomplete,3,3,Spain
754378,Incomplete,2,3,Spain
754380,Incomplete,1,2,Spain
754382,Incomplete,2,2,Spain
754384,Out,1,2,Spain
754387,Incomplete,1,3,Spain
754390,Incomplete,1,3,Spain
754391,Off T,3,3,Spain
754395,Incomplete,2,3,Spain
754397,Incomplete,1,3,Spain
754399,Incomplete,3,3,Spain
7543103,Incomplete,1,3,Spain
7543105,Off T,2,3,Spain
7543107,Incomplete,2,3,Spain
7543109,Pass Offside,3,3,Spain
7543111,Pass Offside,2,3,Spain
7543115,Incomplete,1,2,Spain
7543117,Incomplete,1,2,Spain
7543119,Incomplete,2,2,Spain
7543121,Incomplete,1,1,Spain
7543122,Incomplete,1,2,Spain
7543123,Incomplete,2,3,Spain
7543125,Out,2,3,Spain
7543128,Incomplete,1,2,Spain
7543131,Incomplete,1,3,Spain
7543133,Incomplete,1,2,Spain
7543135,Off T,1,3,Spain
7543137,Out,2,3,Spain
7543140,Incomplete,1,1,Spain
7543142,Incomplete,1,3,Spain
7543145,Incomplete,1,2,Spain
7543148,Incomplete,1,2,Spain
7543150,Incomplete,1,2,Spain
7543152,Incomplete,1,2,Spain
7543154,Incomplete,1,3,Spain
7543158,Incomplete,1,2,Spain
7543159,Incomplete,2,3,Spain
7543161,Incomplete,2,3,Spain
7543162,Incomplete,3,3,Spain
