players
"('Hotaru Yamaguchi', 'Left Center Midfield')"
"('Hiroki Sakai', 'Right Back')"
"('Shinji Okazaki', 'Center Forward')"
"('Shinji Okazaki', 'Right Midfield')"
"('Tomoaki Makino', 'Left Center Back')"
"('Yūya Ōsako', 'Left Center Forward')"
"('Maya Yoshida', 'Right Center Back')"
"('Makoto Hasebe', 'Left Center Midfield')"
"('Genki Haraguchi', 'Right Midfield')"
"('Gaku Shibasaki', 'Left Defensive Midfield')"
"('Eiji Kawashima', 'Goalkeeper')"
"('Shinji Kagawa', 'Center Attacking Midfield')"
"('Hotaru Yamaguchi', 'Left Defensive Midfield')"
"('Yuto Nagatomo', 'Left Back')"
"('Makoto Hasebe', 'Center Defensive Midfield')"
"('Gotoku Sakai', 'Right Midfield')"
"('Hotaru Yamaguchi', 'Right Center Midfield')"
"('Yoshinori Muto', 'Right Center Forward')"
"('Genki Haraguchi', 'Right Wing')"
"('Keisuke Honda', 'Center Attacking Midfield')"
"('Keisuke Honda', 'Right Midfield')"
"('Takashi Inui', 'Left Wing')"
"('Gen Shōji', 'Left Center Back')"
"('Shinji Okazaki', 'Left Center Forward')"
"('Makoto Hasebe', 'Right Defensive Midfield')"
"('Gaku Shibasaki', 'Right Center Midfield')"
"('Takashi Inui', 'Left Midfield')"
"('Takashi Usami', 'Left Midfield')"
"('Keisuke Honda', 'Right Wing')"
"('Yūya Ōsako', 'Center Forward')"
