caseID,action,type,technique,play_pattern,under_pressure,shot_assist,angle,length,height,recipient,startTime,period,minute,duration,endTime,possession_team,team_action,player,player_position,body_part,start_X,start_Y,end_X,end_Y,bad_behavior,result,home_team,away_team,action_type,action_count,action_type_count
7583101,Pass,None,None,Regular Play,None,None,1.5707964,6.0,,Jonathan dos Santos Ramírez,00:11:06.027,2,56,0.613,00:11:06.640000,Mexico,Mexico,Héctor Miguel Herrera López,Left Center Midfield,Right Foot,63.0,24.0,63.0,30.0,None,None,Mexico,Brazil,Pass_None,Pass_1,Pass_None_1
7583101,Pass,None,None,Regular Play,True,None,-2.0899425,8.062258,,Héctor Miguel Herrera López,00:11:06.640,2,56,0.9590000000000001,00:11:07.599000,Mexico,Mexico,Jonathan dos Santos Ramírez,Center Defensive Midfield,Right Foot,65.0,30.0,61.0,23.0,None,None,Mexico,Brazil,Pass_None,Pass_2,Pass_None_2
7583101,Pass,None,None,Regular Play,None,None,1.1071488,20.12461,,Jonathan dos Santos Ramírez,00:11:08.947,2,56,1.5730000000000002,00:11:10.520000,Mexico,Mexico,Héctor Miguel Herrera López,Left Center Midfield,Right Foot,63.0,28.0,72.0,46.0,None,Incomplete,Mexico,Brazil,Pass_None,Pass_3,Pass_None_3
7583103,Pass,Throw-in,None,From Throw In,None,None,1.9237868000000002,20.248457000000002,,Carlos Joel Salcedo Hernández,00:11:23.067,2,56,2.093,00:11:25.160000,Mexico,Mexico,Jesús Daniel Gallardo Vasconcelos,Left Back,,30.0,1.0,23.0,20.0,None,None,Mexico,Brazil,Pass_Throw-in,Pass_1,Pass_Throw-in_1
7583103,Pass,None,None,From Throw In,None,None,0.11065722,18.110771,,Jonathan dos Santos Ramírez,00:11:26.867,2,56,1.3330000000000002,00:11:28.200000,Mexico,Mexico,Carlos Joel Salcedo Hernández,Left Center Back,Left Foot,27.0,19.0,45.0,21.0,None,None,Mexico,Brazil,Pass_None,Pass_2,Pass_None_1
7583103,Pass,None,None,From Throw In,None,None,3.0309355,9.055386,,Héctor Miguel Herrera López,00:11:28.200,2,56,0.96,00:11:29.160000,Mexico,Mexico,Jonathan dos Santos Ramírez,Center Defensive Midfield,Right Foot,46.0,21.0,37.0,22.0,None,None,Mexico,Brazil,Pass_None,Pass_3,Pass_None_2
7583103,Pass,None,None,From Throw In,None,None,1.815775,20.615528,,Hugo Ayala Castro,00:11:34.707,2,56,1.413,00:11:36.120000,Mexico,Mexico,Héctor Miguel Herrera López,Left Center Midfield,Right Foot,39.0,29.0,34.0,49.0,None,None,Mexico,Brazil,Pass_None,Pass_4,Pass_None_3
7583103,Pass,None,None,From Throw In,None,None,-1.5374753,30.016663,,Carlos Joel Salcedo Hernández,00:11:38.107,2,56,2.573,00:11:40.680000,Mexico,Mexico,Hugo Ayala Castro,Right Center Back,Right Foot,36.0,53.0,37.0,23.0,None,None,Mexico,Brazil,Pass_None,Pass_5,Pass_None_4
7583103,Pass,None,None,From Throw In,None,None,-1.0427219,13.892444,,Jesús Daniel Gallardo Vasconcelos,00:11:43.787,2,56,1.493,00:11:45.280000,Mexico,Mexico,Carlos Joel Salcedo Hernández,Left Center Back,Right Foot,48.0,17.0,55.0,5.0,None,None,Mexico,Brazil,Pass_None,Pass_6,Pass_None_5
7583103,Pass,None,None,From Throw In,None,None,2.2694561,32.649654,,Hugo Ayala Castro,00:11:46.547,2,56,1.893,00:11:48.440000,Mexico,Mexico,Jesús Daniel Gallardo Vasconcelos,Left Back,Left Foot,57.0,5.0,36.0,30.0,None,None,Mexico,Brazil,Pass_None,Pass_7,Pass_None_6
7583103,Pass,None,None,From Throw In,None,None,-0.9652516999999999,15.811388,,Héctor Miguel Herrera López,00:11:51.307,2,56,1.893,00:11:53.200000,Mexico,Mexico,Hugo Ayala Castro,Right Center Back,Right Foot,46.0,45.0,55.0,32.0,None,None,Mexico,Brazil,Pass_None,Pass_8,Pass_None_7
7583103,Pass,None,None,From Throw In,None,None,-0.6202495,8.602325,,Jonathan dos Santos Ramírez,00:11:55.867,2,56,0.5329999999999999,00:11:56.400000,Mexico,Mexico,Héctor Miguel Herrera López,Left Center Midfield,Right Foot,65.0,27.0,72.0,22.0,None,Incomplete,Mexico,Brazil,Pass_None,Pass_9,Pass_None_8
7583104,Pass,None,None,Regular Play,None,None,0.19739556,10.198039,,Jonathan dos Santos Ramírez,00:12:13.147,2,57,0.56,00:12:13.707000,Mexico,Mexico,Héctor Miguel Herrera López,Left Center Midfield,Right Foot,86.0,11.0,96.0,13.0,None,None,Mexico,Brazil,Pass_None,Pass_1,Pass_None_1
7583104,Pass,None,None,Regular Play,None,None,3.1415927000000003,9.0,,Héctor Miguel Herrera López,00:12:13.707,2,57,1.133,00:12:14.840000,Mexico,Mexico,Jonathan dos Santos Ramírez,Center Defensive Midfield,Right Foot,96.0,13.0,87.0,13.0,None,None,Mexico,Brazil,Pass_None,Pass_2,Pass_None_2
7583104,Pass,None,None,Regular Play,None,None,-0.7853982,1.4142135,,Jonathan dos Santos Ramírez,00:12:14.947,2,57,0.773,00:12:15.720000,Mexico,Mexico,Héctor Miguel Herrera López,Left Center Midfield,Right Foot,88.0,14.0,89.0,13.0,None,None,Mexico,Brazil,Pass_None,Pass_3,Pass_None_3
7583104,Pass,None,None,Regular Play,None,None,2.3864882,23.345236,,Carlos Joel Salcedo Hernández,00:12:17.747,2,57,1.453,00:12:19.200000,Mexico,Mexico,Jonathan dos Santos Ramírez,Center Defensive Midfield,Right Foot,84.0,13.0,67.0,29.0,None,None,Mexico,Brazil,Pass_None,Pass_4,Pass_None_4
7583104,Pass,None,None,Regular Play,None,None,1.1246908000000002,50.990196000000005,,Miguel Arturo Layún Prado,00:12:20.587,2,57,2.213,00:12:22.800000,Mexico,Mexico,Carlos Joel Salcedo Hernández,Left Center Back,Right Foot,67.0,28.0,89.0,74.0,None,None,Mexico,Brazil,Pass_None,Pass_5,Pass_None_5
7583104,Pass,None,None,Regular Play,None,None,-0.16514868,18.248287,,Carlos Alberto Vela Garrido,00:12:23.667,2,57,2.4530000000000003,00:12:26.120000,Mexico,Mexico,Miguel Arturo Layún Prado,Right Back,Right Foot,88.0,74.0,106.0,71.0,None,None,Mexico,Brazil,Pass_None,Pass_6,Pass_None_6
7583104,Pass,None,None,Regular Play,None,None,3.1415927000000003,13.0,,Miguel Arturo Layún Prado,00:12:27.107,2,57,1.3730000000000002,00:12:28.480000,Mexico,Mexico,Carlos Alberto Vela Garrido,Right Wing,Left Foot,105.0,76.0,92.0,76.0,None,None,Mexico,Brazil,Pass_None,Pass_7,Pass_None_7
7583104,Pass,None,None,Regular Play,None,None,-1.9936502,21.931713000000002,,Héctor Miguel Herrera López,00:12:29.347,2,57,1.2930000000000001,00:12:30.640000,Mexico,Mexico,Miguel Arturo Layún Prado,Right Back,Right Foot,92.0,75.0,83.0,55.0,None,None,Mexico,Brazil,Pass_None,Pass_8,Pass_None_8
7583104,Pass,None,None,Regular Play,None,None,-1.1801893,18.384777,,Jonathan dos Santos Ramírez,00:12:32.187,2,57,0.893,00:12:33.080000,Mexico,Mexico,Héctor Miguel Herrera López,Left Center Midfield,Right Foot,86.0,52.0,93.0,35.0,None,None,Mexico,Brazil,Pass_None,Pass_9,Pass_None_9
7583104,Dribble,None,None,Regular Play,None,None,,,,,00:12:34.147,2,57,0.0,00:12:34.147000,Mexico,Mexico,Jonathan dos Santos Ramírez,Center Defensive Midfield,,92.0,42.0,,,None,Incomplete,Mexico,Brazil,Dribble_None,Dribble_1,Dribble_None_1
7583106,Ball Recovery,None,None,Regular Play,None,None,,,,,00:12:57.760,2,57,0.0,00:12:57.760000,Mexico,Mexico,Carlos Alberto Vela Garrido,Right Wing,,65.0,64.0,,,None,None,Mexico,Brazil,Ball Recovery_None,Ball Recovery_1,Ball Recovery_None_1
7583106,Dribble,None,None,Regular Play,None,None,,,,,00:12:59.200,2,57,0.0,00:12:59.200000,Mexico,Mexico,Carlos Alberto Vela Garrido,Right Wing,,64.0,56.0,,,None,Complete,Mexico,Brazil,Dribble_None,Dribble_1,Dribble_None_1
7583108,Pass,Free Kick,None,From Free Kick,None,None,-0.4444192,23.259407,,Hirving Rodrigo Lozano Bahena,00:14:21.560,2,59,1.24,00:14:22.800000,Mexico,Mexico,Héctor Miguel Herrera López,Left Center Midfield,Right Foot,65.0,12.0,86.0,2.0,None,None,Mexico,Brazil,Pass_Free Kick,Pass_1,Pass_Free Kick_1
7583108,Pass,None,None,From Free Kick,None,None,2.4429328,32.649654,,Carlos Joel Salcedo Hernández,00:14:25.627,2,59,2.8930000000000002,00:14:28.520000,Mexico,Mexico,Hirving Rodrigo Lozano Bahena,Left Wing,Right Foot,81.0,4.0,56.0,25.0,None,None,Mexico,Brazil,Pass_None,Pass_2,Pass_None_1
7583108,Pass,None,None,From Free Kick,None,None,1.5273454,23.021729,,Hugo Ayala Castro,00:14:30.547,2,59,1.453,00:14:32,Mexico,Mexico,Carlos Joel Salcedo Hernández,Left Center Back,Right Foot,54.0,28.0,55.0,51.0,None,None,Mexico,Brazil,Pass_None,Pass_3,Pass_None_2
7583108,Pass,None,None,From Free Kick,None,None,-1.2315037,18.027756,,,00:14:35.400,2,59,1.6,00:14:37,Mexico,Mexico,Hugo Ayala Castro,Right Center Back,Right Foot,57.0,44.0,63.0,27.0,None,Unknown,Mexico,Brazil,Pass_None,Pass_4,Pass_None_3
758311,Ball Recovery,None,None,Regular Play,None,None,,,,,00:05:56.440,1,5,0.0,00:05:56.440000,Mexico,Mexico,José Andrés Guardado Hernández,Left Midfield,,67.0,19.0,,,None,None,Mexico,Brazil,Ball Recovery_None,Ball Recovery_1,Ball Recovery_None_1
758311,Dribble,None,None,Regular Play,None,None,,,,,00:05:56.720,1,5,0.0,00:05:56.720000,Mexico,Mexico,José Andrés Guardado Hernández,Left Midfield,,66.0,15.0,,,None,Complete,Mexico,Brazil,Dribble_None,Dribble_1,Dribble_None_1
758311,Pass,None,None,Regular Play,None,None,2.0344439,6.708203999999999,,Héctor Miguel Herrera López,00:05:58.242,1,5,0.958,00:05:59.200000,Mexico,Mexico,José Andrés Guardado Hernández,Left Midfield,Left Foot,66.0,23.0,63.0,29.0,None,None,Mexico,Brazil,Pass_None,Pass_1,Pass_None_1
758311,Pass,None,None,Regular Play,True,None,-2.0344439,20.12461,,Jesús Daniel Gallardo Vasconcelos,00:06:02.347,1,6,1.493,00:06:03.840000,Mexico,Mexico,Héctor Miguel Herrera López,Right Midfield,Right Foot,71.0,24.0,62.0,6.0,None,None,Mexico,Brazil,Pass_None,Pass_2,Pass_None_2
758311,Pass,None,None,Regular Play,True,None,2.3561945,18.384777,,Carlos Joel Salcedo Hernández,00:06:04.827,1,6,1.173,00:06:06,Mexico,Mexico,Jesús Daniel Gallardo Vasconcelos,Left Back,Left Foot,58.0,6.0,45.0,19.0,None,None,Mexico,Brazil,Pass_None,Pass_3,Pass_None_3
758311,Pass,None,None,Regular Play,None,None,1.6052654,29.017236999999998,,Hugo Ayala Castro,00:06:07.827,1,6,1.893,00:06:09.720000,Mexico,Mexico,Carlos Joel Salcedo Hernández,Left Center Back,Right Foot,39.0,26.0,38.0,55.0,None,None,Mexico,Brazil,Pass_None,Pass_4,Pass_None_4
758311,Pass,None,None,Regular Play,None,None,-1.8788491000000003,23.086792000000003,,Carlos Joel Salcedo Hernández,00:06:11.747,1,6,1.8530000000000002,00:06:13.600000,Mexico,Mexico,Hugo Ayala Castro,Right Center Back,Right Foot,41.0,60.0,34.0,38.0,None,None,Mexico,Brazil,Pass_None,Pass_5,Pass_None_5
758311,Pass,None,None,Regular Play,None,None,-1.3134726,19.646883,,Jesús Daniel Gallardo Vasconcelos,00:06:13.987,1,6,1.413,00:06:15.400000,Mexico,Mexico,Carlos Joel Salcedo Hernández,Left Center Back,Right Foot,30.0,36.0,35.0,17.0,None,None,Mexico,Brazil,Pass_None,Pass_6,Pass_None_6
758311,Pass,None,None,Regular Play,True,None,2.5161076,22.203604000000002,,Carlos Joel Salcedo Hernández,00:06:17.587,1,6,1.893,00:06:19.480000,Mexico,Mexico,Jesús Daniel Gallardo Vasconcelos,Left Back,Left Foot,41.0,16.0,23.0,29.0,None,None,Mexico,Brazil,Pass_None,Pass_7,Pass_None_7
758311,Pass,None,None,Regular Play,True,None,1.5707964,18.0,,Hugo Ayala Castro,00:06:20.307,1,6,1.5330000000000001,00:06:21.840000,Mexico,Mexico,Carlos Joel Salcedo Hernández,Left Center Back,Right Foot,22.0,33.0,22.0,51.0,None,None,Mexico,Brazil,Pass_None,Pass_8,Pass_None_8
758311,Pass,None,None,Regular Play,None,None,0.8012698,44.553337,,Edson Omar Álvarez Velázquez,00:06:22.667,1,6,3.093,00:06:25.760000,Mexico,Mexico,Hugo Ayala Castro,Right Center Back,Left Foot,22.0,48.0,53.0,80.0,None,Out,Mexico,Brazil,Pass_None,Pass_9,Pass_None_9
7583110,Ball Recovery,None,None,From Counter,None,None,,,,,00:15:11.267,2,60,0.0,00:15:11.267000,Mexico,Mexico,José Andrés Guardado Hernández,Right Center Midfield,,16.0,50.0,,,None,None,Mexico,Brazil,Ball Recovery_None,Ball Recovery_1,Ball Recovery_None_1
7583110,Pass,None,None,From Counter,None,None,-2.158799,3.6055512000000003,,Hugo Ayala Castro,00:15:13.667,2,60,0.813,00:15:14.480000,Mexico,Mexico,José Andrés Guardado Hernández,Right Center Midfield,Left Foot,6.0,60.0,4.0,57.0,None,None,Mexico,Brazil,Pass_None,Pass_1,Pass_None_1
7583110,Pass,None,None,From Counter,None,None,-0.071307465,42.107006,,Raúl Alonso Jiménez Rodríguez,00:15:14.480,2,60,2.0269999999999997,00:15:16.507000,Mexico,Mexico,Hugo Ayala Castro,Right Center Back,Right Foot,3.0,56.0,45.0,53.0,None,None,Mexico,Brazil,Pass_None,Pass_2,Pass_None_2
7583110,Miscontrol,None,None,From Counter,None,None,,,,,00:15:16.507,2,60,0.0,00:15:16.507000,Mexico,Mexico,Raúl Alonso Jiménez Rodríguez,Center Forward,,44.0,56.0,,,None,None,Mexico,Brazil,Miscontrol_None,Miscontrol_1,Miscontrol_None_1
7583112,Pass,Recovery,None,Regular Play,True,True,-0.7853982,31.112697999999998,,Hirving Rodrigo Lozano Bahena,00:15:35.787,2,60,1.7730000000000001,00:15:37.560000,Mexico,Mexico,Raúl Alonso Jiménez Rodríguez,Center Forward,Right Foot,55.0,40.0,77.0,18.0,None,None,Mexico,Brazil,Pass_Recovery,Pass_1,Pass_Recovery_1
7583112,Shot,Open Play,Normal,Regular Play,None,None,,,,,00:15:41.427,2,60,0.493,00:15:41.920000,Mexico,Mexico,Hirving Rodrigo Lozano Bahena,Left Wing,Right Foot,91.0,41.0,98.0,42.0,None,Blocked,Mexico,Brazil,Shot_Open Play,Shot_1,Shot_Open Play_1
7583112,Ball Recovery,None,None,Regular Play,None,None,,,,,00:15:42.680,2,60,0.0,00:15:42.680000,Mexico,Mexico,Carlos Alberto Vela Garrido,Right Wing,,97.0,57.0,,,None,None,Mexico,Brazil,Ball Recovery_None,Ball Recovery_1,Ball Recovery_None_1
7583112,Shot,Open Play,Normal,Regular Play,None,None,,,,,00:15:43.947,2,60,1.24,00:15:45.187000,Mexico,Mexico,Carlos Alberto Vela Garrido,Right Wing,Left Foot,100.0,56.0,120.0,40.9,None,Saved,Mexico,Brazil,Shot_Open Play,Shot_2,Shot_Open Play_2
7583113,Pass,Corner,None,From Corner,None,None,-1.6879051,34.234486,,,00:16:19.227,2,61,1.5730000000000002,00:16:20.800000,Mexico,Mexico,José Andrés Guardado Hernández,Right Center Midfield,Left Foot,120.0,80.0,116.0,46.0,None,Incomplete,Mexico,Brazil,Pass_Corner,Pass_1,Pass_Corner_1
7583114,Pass,Throw-in,None,From Throw In,None,None,-2.7049656000000004,16.552946,,Miguel Arturo Layún Prado,00:16:26.707,2,61,1.5730000000000002,00:16:28.280000,Mexico,Mexico,José Andrés Guardado Hernández,Right Center Midfield,,107.0,80.0,92.0,73.0,None,None,Mexico,Brazil,Pass_Throw-in,Pass_1,Pass_Throw-in_1
7583114,Pass,None,None,From Throw In,True,None,-0.9944211,47.707443,,,00:16:29.947,2,61,2.9730000000000003,00:16:32.920000,Mexico,Mexico,Miguel Arturo Layún Prado,Right Back,Right Foot,94.0,74.0,120.0,34.0,None,Incomplete,Mexico,Brazil,Pass_None,Pass_2,Pass_None_1
