caseID,action,type,technique,play_pattern,under_pressure,shot_assist,angle,length,height,recipient,startTime,period,minute,duration,endTime,possession_team,team_action,player,player_position,body_part,start_X,start_Y,end_X,end_Y,bad_behavior,result,home_team,away_team,action_type,action_count,action_type_count
7569100,Pass,Throw-in,None,From Throw In,None,None,1.0040671,13.038404,,José Luis Rodriguez,00:07:32.280,2,52,1.253,00:07:33.533000,Panama,Panama,Luis Carlos Ovalle Victoria,Left Back,,79.0,1.0,86.0,12.0,None,None,Tunisia,Panama,Pass_Throw-in,Pass_1,Pass_Throw-in_1
7569103,Pass,Goal Kick,None,From Goal Kick,None,None,0.15660188,57.706154000000005,,Luis Carlos Tejada Hansell,00:11:05.080,2,56,4.24,00:11:09.320000,Panama,Panama,Jaime Manuel Penedo Cano,Goalkeeper,Right Foot,6.0,44.0,63.0,53.0,None,Incomplete,Tunisia,Panama,Pass_Goal Kick,Pass_1,Pass_Goal Kick_1
7569103,Ball Recovery,None,None,From Goal Kick,None,None,,,,,00:11:12.813,2,56,,None,Panama,Panama,Ricardo Guardia Avila,Left Wing,,54.0,42.0,,,None,None,Tunisia,Panama,Ball Recovery_None,Ball Recovery_1,Ball Recovery_None_1
7569103,Ball Recovery,None,None,From Goal Kick,None,None,,,,,00:11:17.520,2,56,,None,Panama,Panama,Gabriel Enrique Gómez Girón,Right Center Midfield,,53.0,29.0,,,None,None,Tunisia,Panama,Ball Recovery_None,Ball Recovery_2,Ball Recovery_None_2
7569103,Dribble,None,None,From Goal Kick,None,None,,,,,00:11:17.813,2,56,,None,Panama,Panama,Gabriel Enrique Gómez Girón,Right Center Midfield,,55.0,29.0,,,None,Complete,Tunisia,Panama,Dribble_None,Dribble_1,Dribble_None_1
7569103,Pass,None,None,From Goal Kick,None,None,-2.2565258,14.212670000000001,,Luis Carlos Ovalle Victoria,00:11:18.840,2,56,0.972,00:11:19.812000,Panama,Panama,Gabriel Enrique Gómez Girón,Right Center Midfield,Right Foot,51.0,25.0,42.0,14.0,None,None,Tunisia,Panama,Pass_None,Pass_4,Pass_None_1
7569103,Pass,None,None,From Goal Kick,None,None,0.27416745,33.24154,,Luis Carlos Tejada Hansell,00:11:19.812,2,56,1.48,00:11:21.292000,Panama,Panama,Luis Carlos Ovalle Victoria,Left Back,Left Foot,42.0,14.0,74.0,23.0,None,None,Tunisia,Panama,Pass_None,Pass_5,Pass_None_2
7569103,Dribble,None,None,From Goal Kick,None,None,,,,,00:11:22.480,2,56,,None,Panama,Panama,Luis Carlos Tejada Hansell,Right Center Back,,71.0,24.0,,,None,Incomplete,Tunisia,Panama,Dribble_None,Dribble_2,Dribble_None_2
7569107,Ball Recovery,None,None,Regular Play,None,None,,,,,00:12:44.293,2,57,,None,Panama,Panama,Aníbal Cesis Godoy,Center Attacking Midfield,,34.0,42.0,,,None,None,Tunisia,Panama,Ball Recovery_None,Ball Recovery_1,Ball Recovery_None_1
7569107,Pass,None,None,Regular Play,True,None,1.2627436,23.086792000000003,,José Luis Rodriguez,00:12:46.880,2,57,2.4,00:12:49.280000,Panama,Panama,Aníbal Cesis Godoy,Center Attacking Midfield,Left Foot,39.0,56.0,46.0,78.0,None,None,Tunisia,Panama,Pass_None,Pass_1,Pass_None_1
7569107,Pass,None,None,Regular Play,None,None,-0.57637525,23.853722,,Ricardo Guardia Avila,00:12:51.000,2,57,1.3730000000000002,00:12:52.373000,Panama,Panama,José Luis Rodriguez,Right Wing,Right Foot,55.0,77.0,75.0,64.0,None,Incomplete,Tunisia,Panama,Pass_None,Pass_2,Pass_None_2
7569110,Pass,Goal Kick,None,From Goal Kick,None,None,-0.11242713,62.39391,,Luis Carlos Tejada Hansell,00:13:51.320,2,58,3.44,00:13:54.760000,Panama,Panama,Jaime Manuel Penedo Cano,Goalkeeper,Right Foot,7.0,34.0,69.0,27.0,None,Incomplete,Tunisia,Panama,Pass_Goal Kick,Pass_1,Pass_Goal Kick_1
7569110,Pass,Recovery,None,From Goal Kick,None,None,-0.37433362,30.083218,,Ricardo Guardia Avila,00:13:56.120,2,58,1.973,00:13:58.093000,Panama,Panama,Luis Carlos Ovalle Victoria,Left Back,Head,51.0,17.0,79.0,6.0,None,None,Tunisia,Panama,Pass_Recovery,Pass_3,Pass_Recovery_1
7569111,Pass,Throw-in,None,From Throw In,None,None,0.10673567,28.160255,,Luis Carlos Tejada Hansell,00:14:21.600,2,59,2.253,00:14:23.853000,Panama,Panama,Luis Carlos Ovalle Victoria,Left Back,,74.0,2.0,102.0,5.0,None,None,Tunisia,Panama,Pass_Throw-in,Pass_1,Pass_Throw-in_1
7569111,Pass,None,None,From Throw In,None,None,2.6224465,16.124516,,Gabriel Enrique Gómez Girón,00:14:27.080,2,59,0.9329999999999999,00:14:28.013000,Panama,Panama,Luis Carlos Tejada Hansell,Secondary Striker,Right Foot,89.0,7.0,75.0,15.0,None,None,Tunisia,Panama,Pass_None,Pass_2,Pass_None_1
7569111,Pass,None,None,From Throw In,None,None,-1.5707964,11.0,,Luis Carlos Ovalle Victoria,00:14:28.013,2,59,1.04,00:14:29.053000,Panama,Panama,Gabriel Enrique Gómez Girón,Right Center Midfield,Right Foot,75.0,15.0,75.0,4.0,None,None,Tunisia,Panama,Pass_None,Pass_3,Pass_None_2
7569111,Pass,None,None,From Throw In,True,None,0.071307465,14.035668,,José Luis Rodriguez,00:14:29.053,2,59,1.0,00:14:30.053000,Panama,Panama,Luis Carlos Ovalle Victoria,Left Back,Left Foot,75.0,4.0,89.0,5.0,None,Incomplete,Tunisia,Panama,Pass_None,Pass_4,Pass_None_3
7569111,Pressure,None,None,From Throw In,None,None,,,,,00:14:30.920,2,59,1.3730000000000002,00:14:32.293000,Panama,Panama,Luis Carlos Tejada Hansell,Secondary Striker,,88.0,6.0,,,None,None,Tunisia,Panama,Pressure_None,Pressure_3,Pressure_None_3
7569111,Foul Committed,None,None,From Throw In,None,None,,,,,00:14:34.560,2,59,,None,Panama,Panama,Luis Carlos Tejada Hansell,Secondary Striker,,83.0,5.0,,,None,None,Tunisia,Panama,Foul Committed_None,Foul Committed_1,Foul Committed_None_1
7569114,Pass,Recovery,None,From Counter,True,None,-1.2490457,3.1622777,,Fidel Escobar Mendieta,00:15:59.440,2,60,0.773,00:16:00.213000,Panama,Panama,Gabriel Enrique Gómez Girón,Right Center Midfield,Right Foot,22.0,35.0,23.0,32.0,None,None,Tunisia,Panama,Pass_Recovery,Pass_1,Pass_Recovery_1
7569114,Pass,None,None,From Counter,None,None,0.87605804,15.6205,,Aníbal Cesis Godoy,00:16:03.480,2,61,0.9329999999999999,00:16:04.413000,Panama,Panama,Fidel Escobar Mendieta,Left Center Back,Right Foot,45.0,34.0,55.0,46.0,None,None,Tunisia,Panama,Pass_None,Pass_2,Pass_None_1
7569114,Pass,None,None,From Counter,None,None,-1.735945,6.0827627,,Fidel Escobar Mendieta,00:16:04.413,2,61,0.44,00:16:04.853000,Panama,Panama,Aníbal Cesis Godoy,Center Attacking Midfield,Left Foot,55.0,46.0,54.0,40.0,None,Incomplete,Tunisia,Panama,Pass_None,Pass_3,Pass_None_2
7569114,Ball Recovery,None,None,From Counter,None,None,,,,,00:16:07.613,2,61,,None,Panama,Panama,Edgar Yoel Bárcenas Herrera,Left Wing,,74.0,78.0,,,None,None,Tunisia,Panama,Ball Recovery_None,Ball Recovery_1,Ball Recovery_None_1
7569114,Pass,None,None,From Counter,None,None,0.124354996,8.062258,,Luis Carlos Tejada Hansell,00:16:09.720,2,61,1.3330000000000002,00:16:11.053000,Panama,Panama,Edgar Yoel Bárcenas Herrera,Left Wing,Right Foot,89.0,78.0,97.0,79.0,None,None,Tunisia,Panama,Pass_None,Pass_4,Pass_None_3
7569114,Pass,None,None,From Counter,None,None,-1.4940243999999998,13.038404,,Edgar Yoel Bárcenas Herrera,00:16:11.680,2,61,1.453,00:16:13.133000,Panama,Panama,Luis Carlos Tejada Hansell,Secondary Striker,Right Foot,100.0,73.0,101.0,60.0,None,None,Tunisia,Panama,Pass_None,Pass_5,Pass_None_4
7569114,Pass,None,None,From Counter,True,None,-2.158799,7.211102499999999,,Aníbal Cesis Godoy,00:16:14.920,2,61,1.16,00:16:16.080000,Panama,Panama,Edgar Yoel Bárcenas Herrera,Left Wing,Right Foot,103.0,57.0,99.0,51.0,None,None,Tunisia,Panama,Pass_None,Pass_6,Pass_None_5
7569114,Pass,None,None,From Counter,None,None,-1.5707964,1.0,,Ricardo Guardia Avila,00:16:16.080,2,61,0.493,00:16:16.573000,Panama,Panama,Aníbal Cesis Godoy,Center Attacking Midfield,Left Foot,98.0,50.0,98.0,49.0,None,Incomplete,Tunisia,Panama,Pass_None,Pass_7,Pass_None_6
7569114,Pressure,None,None,From Counter,None,None,,,,,00:16:18.400,2,61,1.2,00:16:19.600000,Panama,Panama,Ricardo Guardia Avila,Left Center Midfield,,88.0,33.0,,,None,None,Tunisia,Panama,Pressure_None,Pressure_4,Pressure_None_4
7569116,Pass,None,None,From Keeper,None,None,0.0,20.0,,José Luis Rodriguez,00:16:43.760,2,61,1.093,00:16:44.853000,Panama,Panama,Luis Carlos Ovalle Victoria,Left Back,Left Foot,34.0,3.0,54.0,3.0,None,None,Tunisia,Panama,Pass_None,Pass_1,Pass_None_1
7569117,Pass,None,None,Regular Play,None,None,1.2220253,58.5235,,Edgar Yoel Bárcenas Herrera,00:16:56.880,2,61,2.693,00:16:59.573000,Panama,Panama,Gabriel Enrique Gómez Girón,Right Center Midfield,Left Foot,52.0,23.0,72.0,78.0,None,None,Tunisia,Panama,Pass_None,Pass_1,Pass_None_1
7569117,Pass,None,None,Regular Play,None,None,-1.5707964,7.0,,Aníbal Cesis Godoy,00:17:02.760,2,62,1.173,00:17:03.933000,Panama,Panama,Edgar Yoel Bárcenas Herrera,Left Wing,Right Foot,69.0,78.0,69.0,71.0,None,None,Tunisia,Panama,Pass_None,Pass_2,Pass_None_2
7569117,Pass,None,None,Regular Play,True,None,-2.158799,14.422204999999998,,Gabriel Enrique Gómez Girón,00:17:05.533,2,62,0.9990000000000001,00:17:06.532000,Panama,Panama,Aníbal Cesis Godoy,Center Attacking Midfield,Left Foot,65.0,60.0,57.0,48.0,None,None,Tunisia,Panama,Pass_None,Pass_3,Pass_None_3
7569118,Pass,Free Kick,None,From Free Kick,None,None,1.2490457,3.1622777,,Aníbal Cesis Godoy,00:17:17.200,2,62,0.773,00:17:17.973000,Panama,Panama,Gabriel Enrique Gómez Girón,Right Center Midfield,Right Foot,63.0,39.0,64.0,42.0,None,None,Tunisia,Panama,Pass_Free Kick,Pass_1,Pass_Free Kick_1
7569118,Pass,None,None,From Free Kick,None,None,-2.0344439,4.472136,,Gabriel Enrique Gómez Girón,00:17:18.120,2,62,0.573,00:17:18.693000,Panama,Panama,Aníbal Cesis Godoy,Center Attacking Midfield,Left Foot,63.0,40.0,61.0,36.0,None,None,Tunisia,Panama,Pass_None,Pass_2,Pass_None_1
7569118,Pass,None,None,From Free Kick,True,None,-2.2974386000000004,12.0415945,,Luis Carlos Ovalle Victoria,00:17:19.800,2,62,1.093,00:17:20.893000,Panama,Panama,Gabriel Enrique Gómez Girón,Right Center Midfield,Right Foot,58.0,29.0,50.0,20.0,None,None,Tunisia,Panama,Pass_None,Pass_3,Pass_None_2
7569118,Pass,None,None,From Free Kick,True,None,0.25877088,35.171009999999995,,Ricardo Guardia Avila,00:17:21.680,2,62,1.5330000000000001,00:17:23.213000,Panama,Panama,Luis Carlos Ovalle Victoria,Left Back,Left Foot,50.0,18.0,84.0,27.0,None,None,Tunisia,Panama,Pass_None,Pass_4,Pass_None_3
7569118,Pass,None,None,From Free Kick,None,None,-0.69473827,23.43075,,José Luis Rodriguez,00:17:24.440,2,62,2.4,00:17:26.840000,Panama,Panama,Ricardo Guardia Avila,Left Center Midfield,Left Foot,84.0,18.0,102.0,3.0,None,None,Tunisia,Panama,Pass_None,Pass_5,Pass_None_4
7569118,Pass,None,None,From Free Kick,None,None,1.3258177,41.231056,,Luis Carlos Tejada Hansell,00:17:26.840,2,62,1.8530000000000002,00:17:28.693000,Panama,Panama,José Luis Rodriguez,Right Wing,Left Foot,103.0,3.0,113.0,43.0,None,Incomplete,Tunisia,Panama,Pass_None,Pass_6,Pass_None_5
7569118,Ball Recovery,None,None,From Free Kick,None,None,,,,,00:17:29.800,2,62,,None,Panama,Panama,Edgar Yoel Bárcenas Herrera,Left Wing,,105.0,44.0,,,None,None,Tunisia,Panama,Ball Recovery_None,Ball Recovery_1,Ball Recovery_None_1
7569118,Shot,Open Play,Volley,From Free Kick,None,None,,,,,00:17:29.920,2,62,0.293,00:17:30.213000,Panama,Panama,Edgar Yoel Bárcenas Herrera,Left Wing,Right Foot,104.0,42.0,106.0,40.4,None,Saved,Tunisia,Panama,Shot_Open Play,Shot_1,Shot_Open Play_1
7569118,Foul Committed,None,None,From Free Kick,None,None,,,,,00:17:31.773,2,62,,None,Panama,Panama,Edgar Yoel Bárcenas Herrera,Left Wing,,104.0,41.0,,,None,None,Tunisia,Panama,Foul Committed_None,Foul Committed_1,Foul Committed_None_1
7569120,Pass,Free Kick,None,From Free Kick,None,None,-0.69473827,15.6205,,Aníbal Cesis Godoy,00:21:39.293,2,66,0.92,00:21:40.213000,Panama,Panama,Gabriel Enrique Gómez Girón,Right Center Midfield,Right Foot,62.0,56.0,74.0,46.0,None,None,Tunisia,Panama,Pass_Free Kick,Pass_1,Pass_Free Kick_1
7569120,Pass,None,None,From Free Kick,True,None,-2.0647378,14.764823000000002,,Ricardo Guardia Avila,00:21:40.520,2,66,0.893,00:21:41.413000,Panama,Panama,Aníbal Cesis Godoy,Center Attacking Midfield,Left Foot,73.0,47.0,66.0,34.0,None,None,Tunisia,Panama,Pass_None,Pass_2,Pass_None_1
7569120,Pass,None,None,From Free Kick,None,None,-1.0191413,30.528675,,José Luis Rodriguez,00:21:42.560,2,66,1.453,00:21:44.013000,Panama,Panama,Ricardo Guardia Avila,Left Center Midfield,Left Foot,69.0,31.0,85.0,5.0,None,None,Tunisia,Panama,Pass_None,Pass_3,Pass_None_2
7569122,Pass,Recovery,None,Regular Play,None,None,0.24497867,4.1231055,,Ricardo Guardia Avila,00:22:08.320,2,67,1.493,00:22:09.813000,Panama,Panama,Adolfo Abdiel Machado,Right Back,Right Foot,7.0,51.0,11.0,52.0,None,None,Tunisia,Panama,Pass_Recovery,Pass_1,Pass_Recovery_1
7569122,Pass,None,None,Regular Play,None,None,1.2252406999999998,26.570659999999997,,Edgar Yoel Bárcenas Herrera,00:22:10.200,2,67,1.6,00:22:11.800000,Panama,Panama,Ricardo Guardia Avila,Left Center Midfield,Left Foot,12.0,52.0,21.0,77.0,None,None,Tunisia,Panama,Pass_None,Pass_2,Pass_None_1
7569122,Dribble,None,None,Regular Play,True,None,,,,,00:22:13.413,2,67,,None,Panama,Panama,Edgar Yoel Bárcenas Herrera,Left Wing,,26.0,79.0,,,None,Incomplete,Tunisia,Panama,Dribble_None,Dribble_1,Dribble_None_1
7569123,Pass,Throw-in,None,From Throw In,None,None,1.2252406999999998,26.570659999999997,,Luis Carlos Tejada Hansell,00:22:48.760,2,67,1.693,00:22:50.453000,Panama,Panama,Luis Carlos Ovalle Victoria,Left Back,,44.0,1.0,53.0,26.0,None,None,Tunisia,Panama,Pass_Throw-in,Pass_1,Pass_Throw-in_1
7569123,Pass,None,None,From Throw In,True,None,2.2752905,26.24881,,Harold Oshkaly Cummings Segura,00:22:51.280,2,67,1.7730000000000001,00:22:53.053000,Panama,Panama,Luis Carlos Tejada Hansell,Secondary Striker,Right Foot,49.0,21.0,32.0,41.0,None,None,Tunisia,Panama,Pass_None,Pass_2,Pass_None_1
7569123,Pass,None,None,From Throw In,None,None,1.2220253,23.409399,,Adolfo Abdiel Machado,00:22:53.720,2,67,1.973,00:22:55.693000,Panama,Panama,Harold Oshkaly Cummings Segura,Right Center Back,Right Foot,31.0,49.0,39.0,71.0,None,None,Tunisia,Panama,Pass_None,Pass_3,Pass_None_2
7569123,Pass,None,None,From Throw In,None,None,-0.81986725,20.518284,,Luis Carlos Tejada Hansell,00:22:56.960,2,67,1.172,00:22:58.132000,Panama,Panama,Adolfo Abdiel Machado,Right Back,Right Foot,45.0,69.0,59.0,54.0,None,None,Tunisia,Panama,Pass_None,Pass_4,Pass_None_3
7569123,Pass,None,None,From Throw In,None,None,1.423718,27.294687,,Edgar Yoel Bárcenas Herrera,00:22:58.132,2,67,1.44,00:22:59.572000,Panama,Panama,Luis Carlos Tejada Hansell,Secondary Striker,Right Foot,59.0,52.0,63.0,79.0,None,None,Tunisia,Panama,Pass_None,Pass_5,Pass_None_4
7569123,Pass,None,None,From Throw In,True,None,0.0,14.0,,Aníbal Cesis Godoy,00:23:00.480,2,68,0.573,00:23:01.053000,Panama,Panama,Edgar Yoel Bárcenas Herrera,Left Wing,Right Foot,64.0,79.0,78.0,79.0,None,None,Tunisia,Panama,Pass_None,Pass_6,Pass_None_5
7569123,Pass,None,None,From Throw In,True,None,3.1415927000000003,1.0,,Edgar Yoel Bárcenas Herrera,00:23:02.400,2,68,0.373,00:23:02.773000,Panama,Panama,Aníbal Cesis Godoy,Center Attacking Midfield,Left Foot,77.0,79.0,76.0,79.0,None,Incomplete,Tunisia,Panama,Pass_None,Pass_7,Pass_None_6
7569125,Pass,Throw-in,None,From Throw In,None,None,0.15865526,25.317978,,Ricardo Guardia Avila,00:23:53.840,2,68,1.3330000000000002,00:23:55.173000,Panama,Panama,Luis Carlos Ovalle Victoria,Left Back,,28.0,1.0,53.0,5.0,None,Incomplete,Tunisia,Panama,Pass_Throw-in,Pass_1,Pass_Throw-in_1
7569125,Pass,Recovery,None,From Throw In,None,None,1.0714496,12.529964,,José Luis Rodriguez,00:23:57.080,2,68,0.84,00:23:57.920000,Panama,Panama,Luis Carlos Ovalle Victoria,Left Back,Head,39.0,4.0,45.0,15.0,None,Incomplete,Tunisia,Panama,Pass_Recovery,Pass_3,Pass_Recovery_2
7569125,Pass,Recovery,None,From Throw In,None,None,1.8925468999999997,6.3245554,,Gabriel Enrique Gómez Girón,00:23:59.880,2,68,1.133,00:24:01.013000,Panama,Panama,Luis Carlos Ovalle Victoria,Left Back,Head,35.0,5.0,33.0,11.0,None,Unknown,Tunisia,Panama,Pass_Recovery,Pass_5,Pass_Recovery_4
