caseID,result,start_Zone,end_Zone,opponent
75464,Incomplete,1,3,France
75465,Blocked,3,3,France
75467,Incomplete,3,3,France
75468,Incomplete,3,3,France
754610,Incomplete,1,2,France
754611,Incomplete,2,3,France
754614,Incomplete,1,2,France
754616,Off T,2,3,France
754618,Incomplete,1,3,France
754620,Incomplete,2,3,France
754622,Incomplete,1,2,France
754624,Incomplete,1,2,France
754625,Incomplete,2,3,France
754628,Incomplete,1,2,France
754630,Incomplete,1,2,France
754632,Incomplete,1,3,France
754636,Incomplete,1,3,France
754639,Incomplete,1,1,France
754640,Incomplete,2,3,France
754643,Incomplete,1,3,France
754644,Incomplete,3,3,France
754646,Incomplete,2,2,France
754647,Incomplete,2,3,France
754649,Incomplete,3,2,France
754651,Incomplete,2,3,France
754652,Off T,3,3,France
754654,Incomplete,1,3,France
754656,Incomplete,2,2,France
754658,Incomplete,2,2,France
754659,Incomplete,2,3,France
754660,Out,3,3,France
754664,Incomplete,1,2,France
754665,Saved,2,3,France
754667,Incomplete,1,3,France
754669,Incomplete,1,1,France
754671,Incomplete,1,1,France
754672,Incomplete,1,2,France
754674,Incomplete,2,2,France
754676,Incomplete,1,1,France
754678,Incomplete,2,3,France
754679,Incomplete,3,3,France
754681,Incomplete,1,1,France
754682,Incomplete,2,3,France
754683,Incomplete,3,3,France
754684,Incomplete,3,3,France
754686,Incomplete,1,2,France
754689,Incomplete,1,2,France
754691,Incomplete,1,3,France
754693,Incomplete,1,2,France
754694,Incomplete,1,3,France
754696,Incomplete,2,2,France
754699,Incomplete,1,1,France
7546100,Incomplete,1,2,France
7546102,Incomplete,2,None,France
7546103,Incomplete,2,2,France
7546105,Incomplete,1,3,France
7546108,Incomplete,2,3,France
7546110,Incomplete,2,3,France
7546112,Incomplete,1,2,France
7546114,Incomplete,1,1,France
7546117,Incomplete,1,2,France
7546120,Incomplete,1,1,France
7546124,Incomplete,2,3,France
7546126,Blocked,3,3,France
7546128,Incomplete,2,3,France
7546129,Incomplete,1,2,France
7546131,Incomplete,2,3,France
7546132,Incomplete,3,3,France
7546134,Off T,3,3,France
7546136,Out,1,3,France
7546137,Incomplete,3,3,France
7546140,Incomplete,1,2,France
7546142,Incomplete,1,2,France
7546143,Incomplete,2,3,France
7546145,Incomplete,2,3,France
7546146,Incomplete,3,3,France
7546148,Off T,2,3,France
7546150,Incomplete,2,3,France
7546151,Incomplete,3,3,France
7546153,Incomplete,1,2,France
7546157,Incomplete,1,1,France
7546158,Incomplete,1,3,France
7546160,Incomplete,3,3,France
7546161,Incomplete,2,3,France
7546163,Incomplete,2,3,France
7546164,Off T,3,3,France
7546168,Out,1,3,France
7546170,Incomplete,3,3,France
7546173,Out,1,2,France
7546176,Incomplete,1,2,France
7546178,Incomplete,1,2,France
7546179,Incomplete,2,3,France
7546180,Incomplete,3,3,France
7546181,Incomplete,3,3,France
7546183,Incomplete,2,2,France
7546184,Incomplete,2,3,France
7546185,Saved,3,3,France
7546187,Out,1,3,France
7546189,Out,2,1,France
7546191,Incomplete,1,3,France
7546195,Out,1,2,France
7546197,Off T,2,3,France
7546199,Incomplete,2,2,France
7546201,Incomplete,1,2,France
75622,Incomplete,2,2,Australia
75623,Incomplete,2,2,Australia
75625,Incomplete,1,1,Australia
75626,Incomplete,1,2,Australia
756210,Incomplete,1,2,Australia
756213,Incomplete,1,3,Australia
756215,Incomplete,1,3,Australia
756218,Incomplete,2,2,Australia
756220,Incomplete,1,1,Australia
756223,Incomplete,1,2,Australia
756225,Incomplete,2,3,Australia
756229,Incomplete,1,3,Australia
756232,Incomplete,1,2,Australia
756233,Incomplete,2,2,Australia
756234,Incomplete,2,3,Australia
756236,Goal,2,3,Australia
756240,Incomplete,1,1,Australia
756242,Incomplete,1,3,Australia
756245,Incomplete,1,2,Australia
756246,Incomplete,1,2,Australia
756247,Saved,3,3,Australia
756249,Incomplete,2,3,Australia
756251,Incomplete,1,2,Australia
756255,Incomplete,1,3,Australia
756257,Incomplete,1,3,Australia
756259,Incomplete,2,3,Australia
756261,Incomplete,1,2,Australia
756263,Off T,1,3,Australia
756266,Out,1,2,Australia
756269,Incomplete,2,3,Australia
756272,Incomplete,1,3,Australia
756273,Incomplete,3,3,Australia
756276,Incomplete,2,2,Australia
756277,Incomplete,2,3,Australia
756278,Incomplete,3,3,Australia
756281,Incomplete,1,3,Australia
756283,Incomplete,3,3,Australia
756285,Incomplete,1,2,Australia
756287,Incomplete,2,3,Australia
756289,Goal,2,3,Australia
756292,Incomplete,1,3,Australia
756294,Incomplete,1,1,Australia
756295,Incomplete,1,2,Australia
756297,Incomplete,2,2,Australia
7562102,Incomplete,1,2,Australia
7562104,Incomplete,1,2,Australia
7562109,Incomplete,1,1,Australia
7562110,Incomplete,2,3,Australia
7562113,Incomplete,1,3,Australia
7562115,Incomplete,2,2,Australia
7562116,Incomplete,2,2,Australia
7562119,Incomplete,1,2,Australia
7562121,Incomplete,1,1,Australia
7562123,Incomplete,2,3,Australia
7562126,Incomplete,2,2,Australia
7562129,Incomplete,1,2,Australia
7562131,Incomplete,2,3,Australia
7562132,Out,3,3,Australia
7562135,Incomplete,1,2,Australia
7562138,Incomplete,1,1,Australia
7562140,Incomplete,1,3,Australia
7562142,Incomplete,1,2,Australia
7562143,Incomplete,1,3,Australia
7562146,Pass Offside,1,3,Australia
7562151,Incomplete,1,2,Australia
7562153,Incomplete,2,None,Australia
7562155,Incomplete,1,3,Australia
7562159,Incomplete,1,3,Australia
7562161,Incomplete,1,2,Australia
7562162,Incomplete,2,2,Australia
7562163,Incomplete,2,2,Australia
7562165,Incomplete,1,2,Australia
7562167,Incomplete,1,1,Australia
7562169,Incomplete,1,3,Australia
7562170,Incomplete,3,3,Australia
7562171,Out,2,2,Australia
7562174,Incomplete,1,2,Australia
7562176,Out,1,3,Australia
7562178,Out,1,2,Australia
75323,Incomplete,1,2,Denmark
75326,Incomplete,1,3,Denmark
75327,Incomplete,2,2,Denmark
75329,Incomplete,1,2,Denmark
753211,Off T,1,3,Denmark
753213,Incomplete,1,2,Denmark
753214,Incomplete,2,3,Denmark
753216,Incomplete,2,3,Denmark
753218,Saved,2,3,Denmark
753221,Incomplete,1,3,Denmark
753226,Incomplete,1,3,Denmark
753227,Off T,3,3,Denmark
753229,Saved,2,3,Denmark
753232,Blocked,1,3,Denmark
753233,Incomplete,3,3,Denmark
753235,Incomplete,1,2,Denmark
753238,Incomplete,1,3,Denmark
753240,Incomplete,2,3,Denmark
753243,Incomplete,1,3,Denmark
753245,Incomplete,2,2,Denmark
753246,Pass Offside,2,3,Denmark
753249,Incomplete,1,1,Denmark
753250,Incomplete,1,3,Denmark
753254,Incomplete,2,3,Denmark
753256,Incomplete,1,2,Denmark
753258,Blocked,2,3,Denmark
753259,Incomplete,3,3,Denmark
753260,Incomplete,3,2,Denmark
753262,Incomplete,1,2,Denmark
753265,Incomplete,1,2,Denmark
753268,Incomplete,2,2,Denmark
753270,Incomplete,1,2,Denmark
753273,Incomplete,3,None,Denmark
753276,Incomplete,1,2,Denmark
753278,Incomplete,1,2,Denmark
753279,Incomplete,2,3,Denmark
753280,Off T,3,3,Denmark
753283,Incomplete,1,2,Denmark
753284,Incomplete,2,3,Denmark
753286,Incomplete,1,1,Denmark
753288,Incomplete,2,2,Denmark
753290,Incomplete,1,2,Denmark
753292,Incomplete,2,2,Denmark
753295,Blocked,1,3,Denmark
753297,Incomplete,1,3,Denmark
7532100,Out,1,3,Denmark
7532103,Incomplete,2,None,Denmark
7532105,Incomplete,1,None,Denmark
7532107,Off T,3,3,Denmark
7532109,Incomplete,2,2,Denmark
7532111,Incomplete,2,2,Denmark
7532113,Saved,2,3,Denmark
7532114,Incomplete,2,3,Denmark
7532117,Saved,3,3,Denmark
7532120,Incomplete,1,3,Denmark
7532123,Incomplete,2,3,Denmark
7532124,Off T,3,3,Denmark
7532126,Incomplete,1,2,Denmark
7532127,Incomplete,2,2,Denmark
7532128,Incomplete,2,3,Denmark
7532129,Incomplete,1,2,Denmark
7532130,Saved,2,3,Denmark
7532134,Incomplete,1,2,Denmark
7532136,Incomplete,2,3,Denmark
7532137,Out,3,3,Denmark
7532139,Off T,1,3,Denmark
7532141,Pass Offside,1,3,Denmark
7532143,Incomplete,1,2,Denmark
7532146,Saved,1,3,Denmark
7532148,Incomplete,2,3,Denmark
7532150,Incomplete,2,3,Denmark
7532151,Incomplete,2,3,Denmark
7532153,Incomplete,1,2,Denmark
7532155,Incomplete,2,3,Denmark
7532157,Incomplete,1,3,Denmark
7532159,Incomplete,1,3,Denmark
7532160,Out,2,3,Denmark
7532162,Incomplete,1,3,Denmark
7532166,Incomplete,1,1,Denmark
7532167,Incomplete,2,3,Denmark
7532168,Incomplete,3,3,Denmark
7532169,Incomplete,3,3,Denmark
7532171,Incomplete,1,3,Denmark
