caseID,result,start_Zone,end_Zone,opponent
75722,Incomplete,2,2,Japan
75723,Incomplete,3,2,Japan
75724,Incomplete,1,3,Japan
75725,Out,3,2,Japan
75727,Incomplete,1,2,Japan
757210,Incomplete,2,3,Japan
757212,Incomplete,2,3,Japan
757214,Incomplete,2,3,Japan
757217,Incomplete,1,2,Japan
757219,Incomplete,1,2,Japan
757220,Incomplete,2,2,Japan
757222,Incomplete,1,1,Japan
757224,Incomplete,1,2,Japan
757227,Incomplete,2,2,Japan
757228,Blocked,2,3,Japan
757230,Incomplete,1,2,Japan
757232,Incomplete,2,3,Japan
757233,Incomplete,3,3,Japan
757236,Incomplete,2,2,Japan
757238,Incomplete,2,3,Japan
757239,Incomplete,3,3,Japan
757242,Incomplete,1,1,Japan
757243,Blocked,2,3,Japan
757245,Incomplete,1,3,Japan
757252,Incomplete,2,3,Japan
757254,Incomplete,2,3,Japan
757256,Out,2,2,Japan
757258,Saved,3,3,Japan
757259,Off T,3,3,Japan
757261,Incomplete,2,2,Japan
757263,Incomplete,1,1,Japan
757265,Incomplete,1,3,Japan
757266,Off T,3,3,Japan
757268,Incomplete,1,2,Japan
757270,Incomplete,1,2,Japan
757273,Incomplete,1,2,Japan
757276,Incomplete,1,3,Japan
757278,Incomplete,1,1,Japan
757279,Incomplete,2,3,Japan
757280,Incomplete,3,3,Japan
757281,Incomplete,3,3,Japan
757283,Out,2,3,Japan
757285,Incomplete,2,2,Japan
757288,Incomplete,1,3,Japan
757289,Injury Clearance,2,2,Japan
757290,Incomplete,2,2,Japan
757291,Incomplete,2,3,Japan
757292,Incomplete,3,3,Japan
757293,Incomplete,3,3,Japan
757294,Incomplete,2,3,Japan
757295,Incomplete,3,3,Japan
757296,Incomplete,3,3,Japan
7572100,Incomplete,1,2,Japan
7572101,Incomplete,1,2,Japan
7572103,Incomplete,2,3,Japan
7572105,Incomplete,1,3,Japan
7572108,Out,1,2,Japan
7572110,Incomplete,1,1,Japan
7572113,Incomplete,1,3,Japan
7572114,Goal,3,3,Japan
7572116,Out,2,2,Japan
7572118,Blocked,1,3,Japan
7572120,Incomplete,1,3,Japan
7572121,Incomplete,3,3,Japan
7572123,Off T,2,3,Japan
7572124,Out,2,3,Japan
7572126,Incomplete,1,2,Japan
7572128,Incomplete,2,3,Japan
7572131,Incomplete,2,3,Japan
7572133,Out,3,1,Japan
7572135,Off T,1,3,Japan
7572137,Incomplete,1,2,Japan
7572139,Incomplete,1,2,Japan
7572140,Incomplete,2,3,Japan
7572141,Off T,3,3,Japan
7572143,Incomplete,2,3,Japan
7572144,Blocked,3,3,Japan
7572145,Incomplete,3,3,Japan
7572146,Incomplete,2,3,Japan
7572147,Incomplete,3,3,Japan
7572148,Out,3,3,Japan
75552,Incomplete,2,3,Colombia
75553,Incomplete,3,3,Colombia
75555,Incomplete,1,2,Colombia
75556,Blocked,2,3,Colombia
75557,Incomplete,3,3,Colombia
75559,Incomplete,2,3,Colombia
755510,Incomplete,3,3,Colombia
755511,Incomplete,3,3,Colombia
755513,Incomplete,1,3,Colombia
755515,Incomplete,2,3,Colombia
755518,Incomplete,1,2,Colombia
755520,Incomplete,2,2,Colombia
755522,Incomplete,2,3,Colombia
755524,Out,2,1,Colombia
755526,Incomplete,1,2,Colombia
755527,Incomplete,2,3,Colombia
755529,Incomplete,1,3,Colombia
755530,Incomplete,2,3,Colombia
755533,Incomplete,1,2,Colombia
755535,Incomplete,1,2,Colombia
755537,Incomplete,1,2,Colombia
755538,Blocked,2,3,Colombia
755539,Incomplete,3,3,Colombia
755540,Incomplete,3,3,Colombia
