caseID,action,type,technique,play_pattern,under_pressure,shot_assist,angle,length,height,recipient,startTime,period,minute,duration,endTime,possession_team,team_action,player,player_position,body_part,start_X,start_Y,end_X,end_Y,bad_behavior,result,home_team,away_team,action_type,action_count,action_type_count
757910,Pass,Recovery,None,Regular Play,None,None,-0.94200003,13.601470999999998,,João Mário Naval da Costa Eduardo,00:02:20.540,1,2,2.08,00:02:22.620000,Portugal,Portugal,Raphaël Adelino José Guerreiro,Left Back,Left Foot,44.0,17.0,52.0,6.0,None,None,Portugal,Uruguay,Pass_Recovery,Pass_1,Pass_Recovery_1
757910,Pass,None,None,Regular Play,None,None,3.0419240000000003,10.049875,,Raphaël Adelino José Guerreiro,00:02:22.620,1,2,1.04,00:02:23.660000,Portugal,Portugal,João Mário Naval da Costa Eduardo,Left Midfield,Right Foot,52.0,6.0,42.0,7.0,None,None,Portugal,Uruguay,Pass_None,Pass_2,Pass_None_1
757910,Pass,None,None,Regular Play,None,None,1.7126933000000002,7.0710679999999995,,William Silva de Carvalho,00:02:24.753,1,2,0.866,00:02:25.619000,Portugal,Portugal,Raphaël Adelino José Guerreiro,Left Back,Left Foot,42.0,10.0,41.0,17.0,None,None,Portugal,Uruguay,Pass_None,Pass_3,Pass_None_2
757910,Pass,None,None,Regular Play,True,None,-1.359703,14.317821499999999,,Raphaël Adelino José Guerreiro,00:02:26.633,1,2,2.4659999999999997,00:02:29.099000,Portugal,Portugal,William Silva de Carvalho,Left Center Midfield,Right Foot,41.0,17.0,44.0,3.0,None,None,Portugal,Uruguay,Pass_None,Pass_4,Pass_None_3
757910,Pass,None,None,Regular Play,True,None,-0.16514868,12.165525,,João Mário Naval da Costa Eduardo,00:02:29.100,1,2,0.8,00:02:29.900000,Portugal,Portugal,Raphaël Adelino José Guerreiro,Left Back,Left Foot,44.0,3.0,56.0,1.0,None,Out,Portugal,Uruguay,Pass_None,Pass_5,Pass_None_4
7579101,Ball Recovery,None,None,From Counter,True,None,,,,,00:03:51.759,2,48,,None,Portugal,Portugal,Bernardo Mota Veiga de Carvalho e Silva,Right Center Forward,,47.0,58.0,,,None,None,Portugal,Uruguay,Ball Recovery_None,Ball Recovery_1,Ball Recovery_None_1
7579101,Dribble,None,None,From Counter,None,None,,,,,00:03:55.519,2,48,,None,Portugal,Portugal,Bernardo Mota Veiga de Carvalho e Silva,Right Center Forward,,52.0,52.0,,,None,Complete,Portugal,Uruguay,Dribble_None,Dribble_1,Dribble_None_1
7579102,Pass,Free Kick,None,From Free Kick,None,None,-1.5120405000000001,17.029387,,José Miguel da Rocha Fonte,00:04:05.439,2,49,2.48,00:04:07.919000,Portugal,Portugal,Kleper Laveran Lima Ferreira,Right Center Back,Right Foot,47.0,48.0,48.0,31.0,None,None,Portugal,Uruguay,Pass_Free Kick,Pass_1,Pass_Free Kick_1
7579102,Pass,None,None,From Free Kick,None,None,-1.047518,30.016663,,Raphaël Adelino José Guerreiro,00:04:07.919,2,49,2.133,00:04:10.052000,Portugal,Portugal,José Miguel da Rocha Fonte,Left Center Back,Right Foot,48.0,31.0,63.0,5.0,None,None,Portugal,Uruguay,Pass_None,Pass_2,Pass_None_1
7579102,Pass,None,None,From Free Kick,None,None,0.0,7.0,,Gonçalo Manuel Ganchinho Guedes,00:04:13.159,2,49,0.56,00:04:13.719000,Portugal,Portugal,Raphaël Adelino José Guerreiro,Left Back,Left Foot,83.0,3.0,90.0,3.0,None,None,Portugal,Uruguay,Pass_None,Pass_3,Pass_None_2
7579102,Miscontrol,None,None,From Free Kick,True,None,,,,,00:04:16.759,2,49,,None,Portugal,Portugal,Gonçalo Manuel Ganchinho Guedes,Left Midfield,,98.0,18.0,,,None,None,Portugal,Uruguay,Miscontrol_None,Miscontrol_1,Miscontrol_None_1
7579102,Foul Committed,None,None,From Free Kick,None,None,,,,,00:04:17.812,2,49,,None,Portugal,Portugal,Gonçalo Manuel Ganchinho Guedes,Left Midfield,,98.0,22.0,,,None,None,Portugal,Uruguay,Foul Committed_None,Foul Committed_1,Foul Committed_None_1
7579104,Pass,Recovery,None,Regular Play,None,None,-0.5667291999999999,13.038404,,Adrien Sebastian Perruchet Silva,00:04:53.839,2,49,1.36,00:04:55.199000,Portugal,Portugal,Kleper Laveran Lima Ferreira,Right Center Back,Head,20.0,30.0,31.0,23.0,None,None,Portugal,Uruguay,Pass_Recovery,Pass_1,Pass_Recovery_1
7579104,Pass,None,None,Regular Play,True,None,-1.0460006,21.954498,,Gonçalo Manuel Ganchinho Guedes,00:04:55.199,2,49,2.52,00:04:57.719000,Portugal,Portugal,Adrien Sebastian Perruchet Silva,Right Center Midfield,Right Foot,32.0,22.0,43.0,3.0,None,None,Portugal,Uruguay,Pass_None,Pass_2,Pass_None_1
7579104,Pass,None,None,Regular Play,None,None,1.4940243999999998,26.076809,,Cristiano Ronaldo dos Santos Aveiro,00:05:03.839,2,50,1.4,00:05:05.239000,Portugal,Portugal,Gonçalo Manuel Ganchinho Guedes,Left Midfield,Right Foot,70.0,24.0,72.0,50.0,None,None,Portugal,Uruguay,Pass_None,Pass_3,Pass_None_2
7579104,Pass,None,None,Regular Play,None,None,0.86217004,18.439089000000003,,João Mário Naval da Costa Eduardo,00:05:06.999,2,50,1.52,00:05:08.519000,Portugal,Portugal,Cristiano Ronaldo dos Santos Aveiro,Left Center Forward,Left Foot,80.0,50.0,92.0,64.0,None,None,Portugal,Uruguay,Pass_None,Pass_4,Pass_None_3
7579104,Pass,None,None,Regular Play,None,None,0.27829966,14.560220000000001,,Ricardo Domingos Barbosa Pereira,00:05:10.279,2,50,1.52,00:05:11.799000,Portugal,Portugal,João Mário Naval da Costa Eduardo,Right Midfield,Right Foot,99.0,67.0,113.0,71.0,None,None,Portugal,Uruguay,Pass_None,Pass_5,Pass_None_4
7579104,Pass,None,None,Regular Play,True,None,-1.5707964,16.0,,Cristiano Ronaldo dos Santos Aveiro,00:05:11.839,2,50,0.48,00:05:12.319000,Portugal,Portugal,Ricardo Domingos Barbosa Pereira,Right Back,Right Foot,113.0,71.0,113.0,55.0,None,Incomplete,Portugal,Uruguay,Pass_None,Pass_6,Pass_None_5
7579104,Pass,Recovery,None,Regular Play,None,None,-1.9138203,14.866069,,William Silva de Carvalho,00:05:17.132,2,50,1.186,00:05:18.318000,Portugal,Portugal,João Mário Naval da Costa Eduardo,Right Midfield,Left Foot,84.0,75.0,79.0,61.0,None,None,Portugal,Uruguay,Pass_Recovery,Pass_7,Pass_Recovery_2
7579104,Pass,None,None,Regular Play,None,None,2.2455373,19.209373,,Kleper Laveran Lima Ferreira,00:05:18.319,2,50,1.24,00:05:19.559000,Portugal,Portugal,William Silva de Carvalho,Left Center Midfield,Right Foot,79.0,61.0,67.0,76.0,None,None,Portugal,Uruguay,Pass_None,Pass_8,Pass_None_6
7579104,Pass,None,None,Regular Play,True,None,-0.33205947,30.675724,,Bernardo Mota Veiga de Carvalho e Silva,00:05:20.439,2,50,1.44,00:05:21.879000,Portugal,Portugal,Kleper Laveran Lima Ferreira,Right Center Back,Right Foot,67.0,76.0,96.0,66.0,None,Incomplete,Portugal,Uruguay,Pass_None,Pass_9,Pass_None_7
7579105,Pass,None,None,Regular Play,None,None,1.2793396000000001,10.440307,,Ricardo Domingos Barbosa Pereira,00:05:30.119,2,50,1.04,00:05:31.159000,Portugal,Portugal,Bernardo Mota Veiga de Carvalho e Silva,Right Center Forward,Head,91.0,69.0,94.0,79.0,None,None,Portugal,Uruguay,Pass_None,Pass_1,Pass_None_1
7579105,Pass,None,None,Regular Play,None,None,-1.4801364,11.045361,,Bernardo Mota Veiga de Carvalho e Silva,00:05:31.159,2,50,0.76,00:05:31.919000,Portugal,Portugal,Ricardo Domingos Barbosa Pereira,Right Back,Right Foot,94.0,79.0,95.0,68.0,None,None,Portugal,Uruguay,Pass_None,Pass_2,Pass_None_2
