caseID,result,start_Zone,end_Zone,opponent
75792,Incomplete,2,2,Uruguay
75794,Incomplete,1,1,Uruguay
75796,Incomplete,1,2,Uruguay
75798,Off T,1,3,Uruguay
757910,Out,2,2,Uruguay
757913,Saved,1,3,Uruguay
757915,Incomplete,2,3,Uruguay
757916,Incomplete,3,3,Uruguay
757918,Pass Offside,2,3,Uruguay
757920,Incomplete,1,3,Uruguay
757921,Off T,3,3,Uruguay
757923,Blocked,1,3,Uruguay
757926,Incomplete,2,2,Uruguay
757927,Incomplete,1,2,Uruguay
757930,Incomplete,1,1,Uruguay
757932,Blocked,2,3,Uruguay
757934,Blocked,3,3,Uruguay
757936,Incomplete,2,3,Uruguay
757938,Incomplete,2,3,Uruguay
757940,Incomplete,2,3,Uruguay
757943,Incomplete,1,2,Uruguay
757945,Incomplete,2,3,Uruguay
757947,Incomplete,1,2,Uruguay
757948,Incomplete,3,3,Uruguay
757950,Incomplete,3,3,Uruguay
757955,Incomplete,1,3,Uruguay
757957,Incomplete,1,3,Uruguay
757959,Incomplete,2,3,Uruguay
757960,Blocked,3,3,Uruguay
757962,Out,1,3,Uruguay
757964,Out,1,2,Uruguay
757966,Incomplete,2,3,Uruguay
757967,Incomplete,3,3,Uruguay
757969,Incomplete,1,3,Uruguay
757970,Injury Clearance,3,3,Uruguay
757972,Incomplete,2,2,Uruguay
757973,Incomplete,3,3,Uruguay
757974,Incomplete,2,3,Uruguay
757976,Incomplete,2,None,Uruguay
757979,Incomplete,1,2,Uruguay
757980,Incomplete,2,2,Uruguay
757982,Incomplete,1,3,Uruguay
757983,Incomplete,3,3,Uruguay
757987,Incomplete,2,2,Uruguay
757990,Incomplete,1,1,Uruguay
757991,Incomplete,1,1,Uruguay
757993,Incomplete,1,3,Uruguay
757995,Incomplete,2,1,Uruguay
757996,Out,1,3,Uruguay
757999,Incomplete,1,2,Uruguay
7579101,Incomplete,2,None,Uruguay
7579102,Incomplete,2,3,Uruguay
7579104,Incomplete,1,3,Uruguay
7579105,Incomplete,3,3,Uruguay
7579106,Off T,3,3,Uruguay
7579108,Incomplete,1,2,Uruguay
7579109,Incomplete,2,3,Uruguay
7579111,Blocked,2,3,Uruguay
7579112,Goal,3,3,Uruguay
7579114,Incomplete,2,3,Uruguay
7579118,Incomplete,1,3,Uruguay
7579119,Incomplete,3,3,Uruguay
7579121,Blocked,2,3,Uruguay
7579122,Incomplete,3,3,Uruguay
7579123,Incomplete,3,3,Uruguay
7579125,Incomplete,3,3,Uruguay
7579126,Incomplete,3,3,Uruguay
7579127,Incomplete,3,3,Uruguay
7579128,Incomplete,2,3,Uruguay
7579130,Incomplete,1,3,Uruguay
7579131,Out,3,3,Uruguay
7579133,Out,1,3,Uruguay
7579134,Off T,3,3,Uruguay
7579136,Incomplete,1,3,Uruguay
7579138,Blocked,3,3,Uruguay
7579139,Incomplete,2,3,Uruguay
7579141,Out,1,3,Uruguay
7579142,Incomplete,2,2,Uruguay
7579144,Incomplete,1,3,Uruguay
7579145,Off T,3,3,Uruguay
7579147,Incomplete,1,3,Uruguay
7579148,Blocked,3,3,Uruguay
7579150,Incomplete,2,3,Uruguay
7579151,Incomplete,3,3,Uruguay
7579154,Incomplete,1,3,Uruguay
7579155,Incomplete,2,3,Uruguay
7579157,Incomplete,2,3,Uruguay
7579160,Saved,2,3,Uruguay
7579162,Off T,2,3,Uruguay
7579165,Incomplete,1,2,Uruguay
7579166,Incomplete,3,3,Uruguay
7579168,Incomplete,1,2,Uruguay
7579171,Off T,1,3,Uruguay
7579173,Incomplete,2,3,Uruguay
7579175,Incomplete,1,3,Uruguay
7579177,Saved,2,3,Uruguay
7579178,Incomplete,3,3,Uruguay
7579180,Incomplete,1,2,Uruguay
75572,Incomplete,2,2,Iran
75573,Out,2,3,Iran
75575,Saved,2,3,Iran
75577,Incomplete,2,3,Iran
75579,Incomplete,1,3,Iran
755711,Incomplete,1,3,Iran
755713,Incomplete,3,3,Iran
755715,Incomplete,2,2,Iran
