caseID,action,type,technique,play_pattern,under_pressure,shot_assist,angle,length,height,recipient,startTime,period,minute,duration,endTime,possession_team,team_action,player,player_position,body_part,start_X,start_Y,end_X,end_Y,bad_behavior,result,home_team,away_team,action_type,action_count,action_type_count
758210,Pass,Throw-in,None,From Throw In,None,None,-1.2793396000000001,10.440307,,Daler Kuzyaev,00:03:32.000,1,3,0.96,00:03:32.960000,Russia,Russia,Mário Figueira Fernandes,Right Midfield,,24.0,80.0,27.0,70.0,None,None,Russia,Spain,Pass_Throw-in,Pass_1,Pass_Throw-in_1
758210,Pass,None,None,From Throw In,None,None,1.8925468999999997,9.486833,,Mário Figueira Fernandes,00:03:32.960,1,3,0.826,00:03:33.786000,Russia,Russia,Daler Kuzyaev,Right Center Midfield,Right Foot,27.0,70.0,24.0,79.0,None,None,Russia,Spain,Pass_None,Pass_2,Pass_None_1
758210,Dribble,None,None,From Throw In,True,None,,,,,00:03:33.922,1,3,0.0,00:03:33.922000,Russia,Russia,Mário Figueira Fernandes,Right Midfield,,24.0,78.0,,,None,Incomplete,Russia,Spain,Dribble_None,Dribble_1,Dribble_None_1
7582100,Pass,Corner,None,From Corner,None,None,-1.6295521000000002,34.058772999999995,,,00:12:01.120,2,57,1.24,00:12:02.360000,Russia,Russia,Aleksandr Samedov,Left Center Midfield,Right Foot,119.0,79.0,117.0,45.0,None,Incomplete,Russia,Spain,Pass_Corner,Pass_1,Pass_Corner_1
7582100,Ball Recovery,None,None,From Corner,None,None,,,,,00:12:03.733,2,57,0.0,00:12:03.733000,Russia,Russia,Mário Figueira Fernandes,Right Back,,103.0,63.0,,,None,None,Russia,Spain,Ball Recovery_None,Ball Recovery_1,Ball Recovery_None_1
7582100,Pass,None,None,From Corner,True,None,-1.5273454,23.021729,,Vladimir Granat,00:12:05.920,2,57,1.4,00:12:07.320000,Russia,Russia,Mário Figueira Fernandes,Right Back,Right Foot,110.0,66.0,111.0,43.0,None,Incomplete,Russia,Spain,Pass_None,Pass_2,Pass_None_1
7582100,Ball Recovery,None,None,From Corner,None,None,,,,,00:12:08.973,2,57,0.0,00:12:08.973000,Russia,Russia,Aleksandr Golovin,Right Center Midfield,,96.0,64.0,,,None,None,Russia,Spain,Ball Recovery_None,Ball Recovery_2,Ball Recovery_None_2
7582100,Foul Committed,None,None,From Corner,None,None,,,,,00:12:12.533,2,57,0.0,00:12:12.533000,Russia,Russia,Aleksandr Golovin,Right Center Midfield,,93.0,67.0,,,None,None,Russia,Spain,Foul Committed_None,Foul Committed_1,Foul Committed_None_1
7582103,Pass,Goal Kick,None,From Goal Kick,None,None,0.25224245,100.16985,,Mário Figueira Fernandes,00:15:40.813,2,60,5.067,00:15:45.880000,Russia,Russia,Igor Akinfeev,Goalkeeper,Right Foot,6.0,47.0,103.0,72.0,None,Incomplete,Russia,Spain,Pass_Goal Kick,Pass_1,Pass_Goal Kick_1
7582106,Interception,None,None,From Counter,None,None,,,,,00:17:07.920,2,62,0.0,00:17:07.920000,Russia,Russia,Mário Figueira Fernandes,Right Back,,23.0,77.0,,,None,Won,Russia,Spain,Interception_None,Interception_1,Interception_None_1
7582106,Pass,None,None,From Counter,None,None,-1.1071488,4.472136,,Aleksandr Golovin,00:17:09.520,2,62,0.693,00:17:10.213000,Russia,Russia,Mário Figueira Fernandes,Right Back,Right Foot,26.0,76.0,28.0,72.0,None,None,Russia,Spain,Pass_None,Pass_1,Pass_None_1
7582106,Pass,None,None,From Counter,None,None,0.11065722,18.110771,,Artem Dzyuba,00:17:11.120,2,62,1.013,00:17:12.133000,Russia,Russia,Aleksandr Golovin,Right Center Midfield,Right Foot,34.0,69.0,52.0,71.0,None,None,Russia,Spain,Pass_None,Pass_2,Pass_None_2
