caseID,result,start_Zone,end_Zone,opponent
75594,Incomplete,1,1,Egypt
75596,Incomplete,1,3,Egypt
75598,Off T,1,3,Egypt
755911,Incomplete,1,2,Egypt
755913,Out,1,3,Egypt
755915,Incomplete,1,3,Egypt
755916,Out,3,3,Egypt
755918,Incomplete,1,2,Egypt
755920,Incomplete,1,3,Egypt
755922,Off T,3,3,Egypt
755924,Off T,1,3,Egypt
755926,Incomplete,1,3,Egypt
755927,Incomplete,2,3,Egypt
755928,Incomplete,2,3,Egypt
755930,Incomplete,2,3,Egypt
755932,Incomplete,1,2,Egypt
755934,Incomplete,2,3,Egypt
755935,Incomplete,2,3,Egypt
755937,Incomplete,1,3,Egypt
755939,Saved,3,3,Egypt
755941,Out,2,3,Egypt
755945,Off T,1,3,Egypt
755946,Off T,3,3,Egypt
755948,Incomplete,1,3,Egypt
755950,Incomplete,2,2,Egypt
755952,Incomplete,2,2,Egypt
755953,Out,2,3,Egypt
755955,Incomplete,2,3,Egypt
755957,Blocked,2,3,Egypt
755958,Out,3,3,Egypt
755960,Incomplete,2,2,Egypt
755961,Incomplete,3,3,Egypt
755962,Saved,3,3,Egypt
755963,Blocked,3,3,Egypt
755964,Out,3,3,Egypt
755968,Incomplete,1,1,Egypt
755970,Pass Offside,1,3,Egypt
755972,Incomplete,3,3,Egypt
755973,Goal,3,3,Egypt
755974,Incomplete,2,2,Egypt
755976,Incomplete,1,2,Egypt
755977,Incomplete,2,3,Egypt
755978,Incomplete,3,3,Egypt
755979,Incomplete,2,2,Egypt
755980,Incomplete,2,3,Egypt
755982,Incomplete,2,3,Egypt
755984,Incomplete,2,3,Egypt
755986,Off T,1,3,Egypt
755988,Incomplete,2,2,Egypt
755992,Incomplete,1,3,Egypt
755994,Blocked,3,1,Egypt
755996,Incomplete,1,3,Egypt
755999,Off T,1,3,Egypt
7559101,Incomplete,1,2,Egypt
7559102,Incomplete,2,3,Egypt
7559103,Incomplete,3,3,Egypt
7559104,Out,3,3,Egypt
7559106,Off T,1,3,Egypt
7559110,Incomplete,1,3,Egypt
7559113,Saved,3,3,Egypt
7559114,Saved,3,3,Egypt
7559116,Incomplete,1,1,Egypt
7559118,Incomplete,1,2,Egypt
7559120,Incomplete,2,2,Egypt
7559122,Off T,3,3,Egypt
7559124,Incomplete,1,2,Egypt
7559126,Incomplete,1,2,Egypt
7559130,Incomplete,1,2,Egypt
7559131,Incomplete,2,3,Egypt
7559133,Incomplete,2,3,Egypt
7559134,Blocked,3,3,Egypt
7559135,Saved,3,3,Egypt
7559137,Incomplete,2,2,Egypt
7559139,Incomplete,1,3,Egypt
7559140,Out,3,3,Egypt
7559142,Incomplete,2,2,Egypt
7559143,Incomplete,2,2,Egypt
7559144,Incomplete,1,3,Egypt
7559146,Incomplete,2,3,Egypt
7559147,Pass Offside,3,3,Egypt
7559149,Incomplete,2,3,Egypt
7559150,Incomplete,2,3,Egypt
7559152,Incomplete,1,1,Egypt
7559154,Out,1,3,Egypt
7559156,Blocked,2,3,Egypt
7559157,Out,2,2,Egypt
7559159,Incomplete,1,2,Egypt
7559161,Goal,3,3,Egypt
75442,Out,2,3,Uruguay
75446,Incomplete,2,2,Uruguay
75447,Incomplete,2,3,Uruguay
75448,Incomplete,2,3,Uruguay
754410,Incomplete,2,3,Uruguay
754412,Incomplete,1,1,Uruguay
754413,Incomplete,1,3,Uruguay
754414,Blocked,3,3,Uruguay
754415,Incomplete,3,3,Uruguay
754418,Incomplete,1,3,Uruguay
754420,Incomplete,2,2,Uruguay
754421,Incomplete,2,3,Uruguay
754422,Incomplete,2,3,Uruguay
754424,Incomplete,2,2,Uruguay
754426,Incomplete,1,2,Uruguay
754427,Incomplete,2,3,Uruguay
754429,Out,2,2,Uruguay
