caseID,action,type,technique,play_pattern,under_pressure,shot_assist,angle,length,height,recipient,startTime,period,minute,duration,endTime,possession_team,team_action,player,player_position,body_part,start_X,start_Y,end_X,end_Y,bad_behavior,result,home_team,away_team,action_type,action_count,action_type_count
7556101,Ball Recovery,None,None,Regular Play,None,None,,,,,00:08:12.893,2,53,,None,Senegal,Senegal,Moussa Wagué,Right Back,,54.0,65.0,,,None,None,Senegal,Japan,Ball Recovery_None,Ball Recovery_1,Ball Recovery_None_1
7556101,Pass,None,None,Regular Play,None,None,-1.5707964,14.0,,Idrissa Gana Gueye,00:08:13.053,2,53,1.2790000000000001,00:08:14.332000,Senegal,Senegal,Moussa Wagué,Right Back,Right Foot,54.0,66.0,54.0,52.0,None,None,Senegal,Japan,Pass_None,Pass_1,Pass_None_1
7556101,Pass,None,None,Regular Play,None,None,-0.09966865,20.09975,,Sadio Mané,00:08:14.613,2,53,0.8,00:08:15.413000,Senegal,Senegal,Idrissa Gana Gueye,Left Center Midfield,Right Foot,53.0,52.0,73.0,50.0,None,None,Senegal,Japan,Pass_None,Pass_2,Pass_None_2
7556102,Pass,Free Kick,None,From Free Kick,None,None,1.6295521000000002,34.058772999999995,,Moussa Wagué,00:08:28.573,2,53,1.76,00:08:30.333000,Senegal,Senegal,Sadio Mané,Left Wing,Right Foot,77.0,40.0,75.0,74.0,None,None,Senegal,Japan,Pass_Free Kick,Pass_1,Pass_Free Kick_1
7556102,Pass,None,None,From Free Kick,None,None,0.38050637,5.385164700000001,,Ismaïla Sarr,00:08:31.413,2,53,0.56,00:08:31.973000,Senegal,Senegal,Moussa Wagué,Right Back,Right Foot,78.0,76.0,83.0,78.0,None,None,Senegal,Japan,Pass_None,Pass_2,Pass_None_1
7556102,Pass,None,None,From Free Kick,None,None,0.21866895,9.219544,,Moussa Wagué,00:08:34.653,2,53,0.8390000000000001,00:08:35.492000,Senegal,Senegal,Ismaïla Sarr,Right Wing,Left Foot,81.0,77.0,90.0,79.0,None,None,Senegal,Japan,Pass_None,Pass_3,Pass_None_2
7556102,Dribble,None,None,From Free Kick,True,None,,,,,00:08:36.653,2,53,,None,Senegal,Senegal,Moussa Wagué,Right Back,,91.0,77.0,,,None,Complete,Senegal,Japan,Dribble_None,Dribble_1,Dribble_None_1
7556104,Ball Recovery,None,None,Regular Play,None,None,,,,,00:08:49.373,2,53,,None,Senegal,Senegal,Kalidou Koulibaly,Left Center Back,,45.0,52.0,,,None,None,Senegal,Japan,Ball Recovery_None,Ball Recovery_1,Ball Recovery_None_1
7556104,Pass,None,None,Regular Play,None,None,-0.8960554000000001,6.403124299999999,,Idrissa Gana Gueye,00:08:52.133,2,53,1.0,00:08:53.133000,Senegal,Senegal,Kalidou Koulibaly,Left Center Back,Right Foot,51.0,45.0,55.0,40.0,None,None,Senegal,Japan,Pass_None,Pass_1,Pass_None_1
7556104,Pass,None,None,Regular Play,True,None,1.4601392,27.166155,,Moussa Wagué,00:08:58.453,2,53,1.719,00:09:00.172000,Senegal,Senegal,Idrissa Gana Gueye,Left Center Midfield,Right Foot,63.0,50.0,66.0,77.0,None,None,Senegal,Japan,Pass_None,Pass_2,Pass_None_2
7556104,Pass,None,None,Regular Play,None,None,0.07677189,13.038404,,Ismaïla Sarr,00:09:01.533,2,54,0.759,00:09:02.292000,Senegal,Senegal,Moussa Wagué,Right Back,Right Foot,68.0,78.0,81.0,79.0,None,None,Senegal,Japan,Pass_None,Pass_3,Pass_None_3
7556104,Pass,None,None,Regular Play,True,None,3.1415927000000003,13.0,,Moussa Wagué,00:09:03.213,2,54,1.04,00:09:04.253000,Senegal,Senegal,Ismaïla Sarr,Right Wing,Right Foot,80.0,79.0,67.0,79.0,None,None,Senegal,Japan,Pass_None,Pass_4,Pass_None_4
7556104,Pass,None,None,Regular Play,None,None,-2.4526682,22.022714999999998,,Kalidou Koulibaly,00:09:07.173,2,54,1.4,00:09:08.573000,Senegal,Senegal,Moussa Wagué,Right Back,Right Foot,59.0,76.0,42.0,62.0,None,None,Senegal,Japan,Pass_None,Pass_5,Pass_None_5
7556104,Pass,None,None,Regular Play,True,None,-0.26984915,48.76474,,Sadio Mané,00:09:10.453,2,54,2.867,00:09:13.320000,Senegal,Senegal,Kalidou Koulibaly,Left Center Back,Right Foot,48.0,54.0,95.0,41.0,None,Incomplete,Senegal,Japan,Pass_None,Pass_6,Pass_None_6
7556104,Ball Recovery,None,None,Regular Play,None,None,,,,,00:09:14.173,2,54,,None,Senegal,Senegal,M'Baye Babacar Niang,Center Forward,,92.0,47.0,,,None,None,Senegal,Japan,Ball Recovery_None,Ball Recovery_2,Ball Recovery_None_2
7556104,Pass,None,None,Regular Play,True,None,-1.2649175,19.924858,,Sadio Mané,00:09:16.253,2,54,1.76,00:09:18.013000,Senegal,Senegal,M'Baye Babacar Niang,Center Forward,Right Foot,96.0,49.0,102.0,30.0,None,None,Senegal,Japan,Pass_None,Pass_8,Pass_None_7
7556104,Pass,None,None,Regular Play,True,None,1.1071488,2.236068,,,00:09:20.613,2,54,0.72,00:09:21.333000,Senegal,Senegal,Sadio Mané,Left Wing,Left Foot,111.0,25.0,112.0,27.0,None,Incomplete,Senegal,Japan,Pass_None,Pass_9,Pass_None_8
7556104,Pass,Recovery,None,Regular Play,None,True,-0.6435010999999999,10.0,,M'Baye Babacar Niang,00:09:26.773,2,54,1.2,00:09:27.973000,Senegal,Senegal,Moussa Wagué,Right Back,Right Foot,86.0,62.0,94.0,56.0,None,None,Senegal,Japan,Pass_Recovery,Pass_10,Pass_Recovery_2
7556104,Dribble,None,None,Regular Play,True,None,,,,,00:09:29.253,2,54,,None,Senegal,Senegal,M'Baye Babacar Niang,Center Forward,,95.0,55.0,,,None,Complete,Senegal,Japan,Dribble_None,Dribble_1,Dribble_None_1
7556104,Shot,Open Play,Normal,Regular Play,None,None,,,,,00:09:30.400,2,54,0.9329999999999999,00:09:31.333000,Senegal,Senegal,M'Baye Babacar Niang,Center Forward,Left Foot,96.0,50.0,117.0,41.6,None,Saved,Senegal,Japan,Shot_Open Play,Shot_1,Shot_Open Play_1
7556107,Pass,Throw-in,None,From Throw In,None,None,-1.1071488,17.888544,,M'Baye Babacar Niang,00:11:37.333,2,56,1.96,00:11:39.293000,Senegal,Senegal,Ismaïla Sarr,Right Wing,,86.0,80.0,94.0,64.0,None,None,Senegal,Japan,Pass_Throw-in,Pass_1,Pass_Throw-in_1
7556107,Pass,None,None,From Throw In,None,None,-0.70449406,26.24881,,,00:11:39.373,2,56,2.08,00:11:41.453000,Senegal,Senegal,M'Baye Babacar Niang,Center Forward,Right Foot,95.0,66.0,115.0,49.0,None,Injury Clearance,Senegal,Japan,Pass_None,Pass_2,Pass_None_1
7556107,Pass,Recovery,None,From Throw In,None,None,-1.0427219,13.892444,,Youssouf Sabaly,00:12:02.493,2,57,1.2,00:12:03.693000,Senegal,Senegal,Kalidou Koulibaly,Left Center Back,,21.0,19.0,28.0,7.0,None,None,Senegal,Japan,Pass_Recovery,Pass_5,Pass_Recovery_1
7556108,Pass,None,None,Regular Play,True,None,0.61072594,36.619667,,Papa Alioune N'Diaye,00:12:24.893,2,57,1.36,00:12:26.253000,Senegal,Senegal,Kalidou Koulibaly,Left Center Back,Left Foot,34.0,4.0,64.0,25.0,None,None,Senegal,Japan,Pass_None,Pass_1,Pass_None_1
