caseID,result,start_Zone,end_Zone,opponent
75563,Incomplete,1,2,Japan
75564,Incomplete,2,3,Japan
75565,Out,3,3,Japan
75568,Incomplete,3,3,Japan
75569,Incomplete,3,3,Japan
755611,Incomplete,1,2,Japan
755612,Off T,3,3,Japan
755614,Incomplete,1,3,Japan
755619,Out,1,3,Japan
755621,Goal,2,3,Japan
755623,Incomplete,1,3,Japan
755624,Saved,3,3,Japan
755626,Incomplete,2,3,Japan
755628,Incomplete,2,3,Japan
755631,Incomplete,2,2,Japan
755632,Incomplete,2,2,Japan
755635,Pass Offside,2,3,Japan
755638,Out,1,2,Japan
755641,Saved,1,3,Japan
755645,Incomplete,2,2,Japan
755646,Incomplete,1,3,Japan
755648,Incomplete,2,3,Japan
755649,Incomplete,3,3,Japan
755651,Incomplete,1,3,Japan
755654,Incomplete,1,2,Japan
755656,Incomplete,1,2,Japan
755657,Incomplete,3,2,Japan
755659,Incomplete,1,3,Japan
755661,Injury Clearance,2,3,Japan
755663,Incomplete,2,2,Japan
755664,Incomplete,2,3,Japan
755667,Incomplete,1,1,Japan
755669,Incomplete,1,3,Japan
755672,Saved,2,3,Japan
755674,Incomplete,1,3,Japan
755677,Incomplete,1,3,Japan
755678,Incomplete,3,3,Japan
755679,Incomplete,3,3,Japan
755680,Pass Offside,3,3,Japan
755682,Incomplete,2,2,Japan
755684,Incomplete,1,2,Japan
755685,Incomplete,2,3,Japan
755686,Incomplete,2,3,Japan
755688,Incomplete,2,3,Japan
755689,Incomplete,3,3,Japan
755691,Off T,1,3,Japan
755693,Incomplete,1,3,Japan
755695,Off T,2,3,Japan
755697,Incomplete,1,3,Japan
755699,Incomplete,2,3,Japan
7556101,Incomplete,2,2,Japan
7556102,Incomplete,2,3,Japan
7556104,Saved,2,3,Japan
7556107,Injury Clearance,3,1,Japan
7556108,Incomplete,1,2,Japan
7556110,Incomplete,2,2,Japan
7556114,Incomplete,1,1,Japan
7556116,Incomplete,1,2,Japan
7556118,Out,2,3,Japan
7556120,Incomplete,2,3,Japan
7556122,Incomplete,1,2,Japan
7556124,Incomplete,1,3,Japan
7556127,Incomplete,1,2,Japan
7556128,Incomplete,2,2,Japan
7556130,Incomplete,2,2,Japan
7556131,Incomplete,3,3,Japan
7556132,Incomplete,3,3,Japan
7556133,Goal,3,3,Japan
7556138,Incomplete,1,2,Japan
7556139,Incomplete,3,3,Japan
7556141,Out,3,3,Japan
7556143,Incomplete,2,2,Japan
7556145,Incomplete,2,3,Japan
7556148,Incomplete,1,3,Japan
7556150,Pass Offside,1,2,Japan
7556153,Incomplete,2,2,Japan
7556155,Off T,1,3,Japan
7556159,Incomplete,1,2,Japan
7556162,Incomplete,2,3,Japan
7556165,Incomplete,1,2,Japan
7556167,Incomplete,1,2,Japan
7556168,Blocked,2,3,Japan
7556171,Incomplete,2,2,Japan
7556172,Off T,2,3,Japan
75712,Off T,2,3,Colombia
75714,Out,2,3,Colombia
75716,Out,2,3,Colombia
757110,Incomplete,2,3,Colombia
757112,Incomplete,1,3,Colombia
757115,Out,2,2,Colombia
757117,Incomplete,3,2,Colombia
757118,Incomplete,3,3,Colombia
757121,Incomplete,2,3,Colombia
757123,Incomplete,2,None,Colombia
757128,Incomplete,1,3,Colombia
757129,Incomplete,2,2,Colombia
757130,Incomplete,2,3,Colombia
757133,Incomplete,2,3,Colombia
757136,Incomplete,2,2,Colombia
757138,Incomplete,2,3,Colombia
757139,Incomplete,3,3,Colombia
757141,Incomplete,1,2,Colombia
757144,Out,2,3,Colombia
757147,Pass Offside,1,3,Colombia
757149,Incomplete,3,3,Colombia
757151,Saved,3,3,Colombia
757153,Saved,3,3,Colombia
757155,Incomplete,1,2,Colombia
757156,Incomplete,2,3,Colombia
757158,Incomplete,1,3,Colombia
757160,Out,2,2,Colombia
757163,Incomplete,2,3,Colombia
757165,Incomplete,2,2,Colombia
757166,Out,2,3,Colombia
757170,Incomplete,1,2,Colombia
757172,Incomplete,2,3,Colombia
757173,Off T,3,3,Colombia
757176,Incomplete,2,3,Colombia
757178,Out,2,3,Colombia
757181,Incomplete,1,3,Colombia
757182,Incomplete,2,3,Colombia
757185,Incomplete,2,3,Colombia
757187,Incomplete,1,2,Colombia
757188,Out,3,3,Colombia
757190,Incomplete,1,3,Colombia
757195,Out,1,2,Colombia
757197,Out,1,2,Colombia
757199,Out,1,3,Colombia
7571102,Incomplete,2,3,Colombia
7571104,Incomplete,1,2,Colombia
7571107,Pass Offside,1,3,Colombia
7571111,Incomplete,1,2,Colombia
7571113,Incomplete,1,2,Colombia
7571116,Incomplete,1,3,Colombia
7571119,Incomplete,1,1,Colombia
7571122,Incomplete,1,2,Colombia
7571123,Out,2,2,Colombia
7571125,Incomplete,2,2,Colombia
7571127,Incomplete,1,3,Colombia
7571129,Incomplete,1,2,Colombia
7571131,Incomplete,2,2,Colombia
7571132,Off T,3,3,Colombia
7571136,Incomplete,1,1,Colombia
7571137,Incomplete,1,2,Colombia
7571139,Incomplete,1,3,Colombia
7571142,Incomplete,2,2,Colombia
7571144,Saved,1,3,Colombia
7571145,Incomplete,3,3,Colombia
7571147,Incomplete,2,2,Colombia
7571148,Off T,2,3,Colombia
7571150,Incomplete,1,3,Colombia
7571151,Incomplete,3,3,Colombia
7571154,Incomplete,1,2,Colombia
7571155,Incomplete,2,2,Colombia
7571157,Incomplete,1,3,Colombia
7571159,Incomplete,2,2,Colombia
7571160,Incomplete,2,3,Colombia
7571162,Incomplete,1,2,Colombia
7571165,Incomplete,2,3,Colombia
7571168,Incomplete,1,3,Colombia
7571171,Incomplete,1,2,Colombia
7571172,Out,1,3,Colombia
7571174,Incomplete,2,3,Colombia
7571176,Incomplete,2,3,Colombia
7571177,Incomplete,2,3,Colombia
75392,Incomplete,2,3,Poland
75394,Incomplete,1,2,Poland
75396,Out,1,3,Poland
75398,Incomplete,2,2,Poland
753910,Incomplete,1,1,Poland
753911,Incomplete,1,2,Poland
753912,Incomplete,2,3,Poland
753913,Incomplete,3,3,Poland
753915,Incomplete,1,3,Poland
753917,Incomplete,2,3,Poland
753919,Incomplete,2,2,Poland
753921,Off T,3,3,Poland
753923,Incomplete,2,2,Poland
753925,Incomplete,1,2,Poland
753927,Incomplete,2,None,Poland
753930,Out,1,3,Poland
753932,Out,1,3,Poland
753935,Incomplete,1,3,Poland
753936,Incomplete,3,3,Poland
753938,Out,1,3,Poland
753942,Incomplete,1,2,Poland
753943,Out,3,3,Poland
753945,Incomplete,2,3,Poland
753948,Incomplete,2,3,Poland
753950,Incomplete,2,3,Poland
753953,Incomplete,1,3,Poland
753956,Incomplete,1,None,Poland
753958,Incomplete,1,2,Poland
753960,Incomplete,1,1,Poland
753961,Pass Offside,2,3,Poland
753963,Incomplete,2,2,Poland
753965,Incomplete,1,3,Poland
753966,Incomplete,2,2,Poland
753969,Blocked,2,3,Poland
753971,Incomplete,1,2,Poland
753972,Incomplete,1,3,Poland
753973,Off T,3,2,Poland
753975,Incomplete,1,2,Poland
753977,Incomplete,2,3,Poland
753979,Incomplete,2,3,Poland
753981,Blocked,1,3,Poland
753983,Incomplete,3,3,Poland
753985,Incomplete,1,3,Poland
753989,Incomplete,1,3,Poland
753993,Incomplete,1,2,Poland
753996,Blocked,3,3,Poland
753997,Out,1,3,Poland
753999,Incomplete,2,3,Poland
7539101,Incomplete,1,3,Poland
7539103,Incomplete,1,3,Poland
7539104,Pass Offside,3,3,Poland
7539106,Incomplete,1,3,Poland
7539109,Goal,3,3,Poland
7539111,Incomplete,1,2,Poland
7539113,Incomplete,1,3,Poland
7539114,Incomplete,3,3,Poland
7539116,Incomplete,2,2,Poland
7539118,Incomplete,1,3,Poland
7539123,Out,1,2,Poland
7539125,Out,2,1,Poland
7539128,Out,1,3,Poland
7539130,Incomplete,1,2,Poland
7539132,Incomplete,1,2,Poland
7539135,Incomplete,1,3,Poland
7539137,Incomplete,3,3,Poland
7539139,Out,1,1,Poland
7539141,Incomplete,2,2,Poland
7539143,Incomplete,1,2,Poland
7539146,Incomplete,2,3,Poland
7539151,Incomplete,1,3,Poland
7539152,Incomplete,2,3,Poland
7539154,Incomplete,1,2,Poland
7539156,Incomplete,1,3,Poland
7539158,Incomplete,1,3,Poland
7539161,Incomplete,2,3,Poland
7539163,Incomplete,1,3,Poland
7539164,Incomplete,3,3,Poland
7539165,Incomplete,3,1,Poland
7539167,Incomplete,1,2,Poland
7539170,Incomplete,3,3,Poland
7539173,Incomplete,1,2,Poland
7539175,Incomplete,2,3,Poland
