caseID,result,start_Zone,end_Zone,opponent
75656,Incomplete,1,2,Brazil
75658,Incomplete,1,3,Brazil
756511,Pass Offside,1,3,Brazil
756514,Incomplete,2,2,Brazil
756515,Incomplete,2,3,Brazil
756517,Incomplete,2,3,Brazil
756519,Incomplete,2,3,Brazil
756521,Incomplete,1,2,Brazil
756523,Incomplete,1,3,Brazil
756525,Incomplete,2,None,Brazil
756526,Incomplete,2,3,Brazil
756527,Incomplete,3,2,Brazil
756529,Out,2,3,Brazil
756531,Blocked,3,3,Brazil
756532,Incomplete,3,3,Brazil
756534,Incomplete,2,3,Brazil
756536,Incomplete,2,3,Brazil
756538,Incomplete,1,3,Brazil
756542,Incomplete,1,3,Brazil
756543,Incomplete,3,3,Brazil
756545,Incomplete,1,2,Brazil
756550,Out,2,2,Brazil
756554,Incomplete,1,2,Brazil
756555,Incomplete,2,2,Brazil
756557,Incomplete,1,2,Brazil
756558,Incomplete,3,3,Brazil
756561,Incomplete,1,2,Brazil
756563,Off T,2,1,Brazil
756565,Incomplete,1,2,Brazil
756567,Incomplete,2,3,Brazil
756570,Incomplete,2,3,Brazil
756571,Off T,3,3,Brazil
756573,Incomplete,2,3,Brazil
756574,Incomplete,3,3,Brazil
756577,Incomplete,2,3,Brazil
756580,Out,1,2,Brazil
756582,Incomplete,2,2,Brazil
756585,Incomplete,2,3,Brazil
756586,Incomplete,2,2,Brazil
756587,Incomplete,1,2,Brazil
756590,Incomplete,1,2,Brazil
756591,Incomplete,2,3,Brazil
756594,Out,1,3,Brazil
756598,Incomplete,2,2,Brazil
7565100,Incomplete,1,3,Brazil
7565102,Blocked,2,3,Brazil
7565104,Incomplete,2,3,Brazil
7565105,Incomplete,3,3,Brazil
7565110,Incomplete,2,3,Brazil
7565113,Blocked,2,3,Brazil
7565115,Incomplete,1,2,Brazil
7565117,Incomplete,2,2,Brazil
7565119,Saved,2,3,Brazil
7565126,Incomplete,1,3,Brazil
7565127,Incomplete,3,3,Brazil
7565131,Incomplete,2,3,Brazil
7565132,Incomplete,3,3,Brazil
7565134,Incomplete,1,1,Brazil
7565136,Incomplete,1,3,Brazil
7565138,Incomplete,2,3,Brazil
7565140,Incomplete,1,2,Brazil
7565142,Incomplete,1,3,Brazil
7565144,Off T,2,3,Brazil
7565146,Incomplete,2,3,Brazil
7565148,Incomplete,2,2,Brazil
7565151,Incomplete,1,2,Brazil
7565153,Incomplete,2,3,Brazil
7565155,Incomplete,2,3,Brazil
7565157,Blocked,2,3,Brazil
7565159,Incomplete,1,1,Brazil
7565161,Incomplete,2,3,Brazil
7565162,Incomplete,3,3,Brazil
7565163,Incomplete,3,3,Brazil
7565165,Incomplete,2,3,Brazil
7565167,Off T,1,3,Brazil
75503,Incomplete,1,3,Switzerland
75505,Incomplete,3,3,Switzerland
75508,Saved,1,3,Switzerland
75509,Incomplete,3,3,Switzerland
755011,Goal,3,3,Switzerland
755017,Incomplete,1,2,Switzerland
755019,Incomplete,1,3,Switzerland
755020,Incomplete,3,3,Switzerland
755022,Incomplete,1,3,Switzerland
755024,Incomplete,1,2,Switzerland
755026,Off T,2,3,Switzerland
755028,Incomplete,2,3,Switzerland
755030,Incomplete,2,3,Switzerland
755032,Off T,2,3,Switzerland
755034,Incomplete,2,3,Switzerland
755036,Incomplete,1,2,Switzerland
755038,Incomplete,1,2,Switzerland
755040,Off T,2,3,Switzerland
755042,Incomplete,1,3,Switzerland
755043,Incomplete,3,3,Switzerland
755045,Incomplete,2,3,Switzerland
755046,Incomplete,3,3,Switzerland
755047,Incomplete,3,3,Switzerland
755050,Incomplete,1,2,Switzerland
755051,Incomplete,2,2,Switzerland
755053,Incomplete,1,3,Switzerland
755056,Incomplete,1,3,Switzerland
755058,Incomplete,2,3,Switzerland
755060,Incomplete,1,2,Switzerland
755063,Incomplete,1,3,Switzerland
755065,Incomplete,1,2,Switzerland
755068,Incomplete,2,3,Switzerland
755070,Incomplete,1,3,Switzerland
755072,Out,2,3,Switzerland
755074,Incomplete,3,3,Switzerland
755077,Saved,3,3,Switzerland
755079,Incomplete,1,2,Switzerland
755082,Incomplete,1,2,Switzerland
755084,Incomplete,1,3,Switzerland
755085,Off T,3,3,Switzerland
755087,Incomplete,2,3,Switzerland
755088,Off T,3,3,Switzerland
755090,Incomplete,1,3,Switzerland
755092,Incomplete,1,2,Switzerland
755093,Off T,2,2,Switzerland
755095,Incomplete,2,2,Switzerland
755098,Incomplete,2,3,Switzerland
7550100,Incomplete,3,3,Switzerland
7550103,Incomplete,1,3,Switzerland
7550106,Incomplete,1,2,Switzerland
7550109,Incomplete,3,3,Switzerland
7550110,Off T,3,3,Switzerland
7550113,Out,1,3,Switzerland
7550115,Incomplete,1,3,Switzerland
7550118,Incomplete,2,2,Switzerland
7550119,Incomplete,2,3,Switzerland
7550123,Incomplete,1,1,Switzerland
7550125,Incomplete,1,2,Switzerland
7550127,Incomplete,1,2,Switzerland
7550129,Incomplete,2,3,Switzerland
7550132,Incomplete,1,2,Switzerland
7550134,Incomplete,1,1,Switzerland
7550135,Incomplete,1,2,Switzerland
7550137,Incomplete,1,3,Switzerland
7550139,Out,2,2,Switzerland
7550141,Incomplete,2,3,Switzerland
7550143,Incomplete,2,3,Switzerland
7550145,Incomplete,1,2,Switzerland
7550146,Out,2,3,Switzerland
7550148,Incomplete,1,3,Switzerland
7550149,Incomplete,2,3,Switzerland
7550152,Incomplete,1,3,Switzerland
7550153,Incomplete,3,2,Switzerland
7550154,Incomplete,2,3,Switzerland
7550156,Incomplete,1,3,Switzerland
7550157,Incomplete,1,2,Switzerland
7550158,Incomplete,2,3,Switzerland
7550160,Blocked,2,3,Switzerland
