caseID,result,start_Zone,end_Zone,opponent
75673,Out,2,3,Germany
75675,Out,3,3,Germany
75678,Incomplete,2,None,Germany
756710,Incomplete,2,3,Germany
756711,Incomplete,2,3,Germany
756713,Out,1,2,Germany
756715,Incomplete,3,3,Germany
756718,Out,1,3,Germany
756725,Incomplete,1,3,Germany
756727,Incomplete,1,1,Germany
756730,Incomplete,1,1,Germany
756731,Incomplete,1,1,Germany
756735,Incomplete,1,3,Germany
756736,Saved,3,3,Germany
756737,Off T,3,3,Germany
756740,Incomplete,1,1,Germany
756743,Out,1,2,Germany
756747,Off T,1,3,Germany
756751,Incomplete,1,3,Germany
756753,Out,2,2,Germany
756757,Incomplete,1,2,Germany
756759,Incomplete,1,3,Germany
756765,Incomplete,3,3,Germany
756767,Incomplete,1,2,Germany
756768,Incomplete,2,2,Germany
756771,Incomplete,2,3,Germany
756772,Incomplete,3,3,Germany
756774,Incomplete,1,3,Germany
756777,Incomplete,1,2,Germany
756779,Off T,1,3,Germany
756780,Saved,2,3,Germany
756783,Incomplete,2,3,Germany
756788,Off T,2,3,Germany
756791,Incomplete,1,3,Germany
756793,Incomplete,1,2,Germany
756794,Incomplete,3,3,Germany
756796,Incomplete,1,3,Germany
756798,Incomplete,2,3,Germany
7567101,Incomplete,1,2,Germany
7567103,Incomplete,1,2,Germany
7567105,Incomplete,1,2,Germany
7567106,Off T,2,3,Germany
7567108,Incomplete,1,2,Germany
7567111,Incomplete,1,3,Germany
7567113,Incomplete,1,2,Germany
7567115,Incomplete,1,3,Germany
7567117,Out,2,2,Germany
7567119,Incomplete,1,3,Germany
7567121,Incomplete,2,3,Germany
7567124,Incomplete,1,2,Germany
7567126,Incomplete,1,2,Germany
7567131,Incomplete,1,3,Germany
7567133,Incomplete,1,1,Germany
7567135,Incomplete,1,2,Germany
7567138,Off T,1,3,Germany
7567140,Incomplete,1,2,Germany
7567141,Incomplete,3,None,Germany
7567143,Incomplete,1,3,Germany
7567145,Incomplete,1,2,Germany
7567147,Incomplete,1,3,Germany
7567149,Incomplete,1,2,Germany
7567151,Incomplete,1,2,Germany
7567152,Incomplete,2,2,Germany
7567154,Incomplete,2,3,Germany
7567155,Incomplete,3,2,Germany
7567157,Incomplete,1,2,Germany
