players
"('Jae-Sung Lee', 'Right Midfield')"
"('Young-Gwon Kim', 'Left Center Back')"
"('Shin-Wook Kim', 'Center Forward')"
"('Chul Hong', 'Left Back')"
"('Woo-Young Jung', 'Left Center Midfield')"
"('Heung-Min Son', 'Right Center Forward')"
"('Sung-Yeung Ki', 'Center Defensive Midfield')"
"('Hee-Chan Hwang', 'Left Wing')"
"('Se-Jong Ju', 'Right Defensive Midfield')"
"('Heung-Min Son', 'Right Wing')"
"('Sung-Yeung Ki', 'Left Center Midfield')"
"('Jae-Sung Lee', 'Right Center Midfield')"
"('Seon-Min Moon', 'Right Midfield')"
"('Min-Woo Kim', 'Left Back')"
"('Sung-Yeung Ki', 'Left Defensive Midfield')"
"('Heung-Min Son', 'Left Center Forward')"
"('Ja-Cheol Koo', 'Left Center Forward')"
"('Jae-Sung Lee', 'Left Midfield')"
"('Hyun-Woo Cho', 'Goalkeeper')"
"('Hyun-Soo Jang', 'Right Center Midfield')"
"('Jae-Sung Lee', 'Center Attacking Midfield')"
"('Sung-Yeung Ki', 'Right Center Midfield')"
"('Ja-Cheol Koo', 'Left Center Midfield')"
"('Hyun-Soo Jang', 'Right Center Back')"
"('Ja-Cheol Koo', 'Center Attacking Midfield')"
"('Yong Lee', 'Right Back')"
"('Se-Jong Ju', 'Left Midfield')"
"('Seung-Woo Lee', 'Left Wing')"
"('Seon-Min Moon', 'Right Wing')"
"('Hee-Chan Hwang', 'Left Center Forward')"
"('Yo-Han Ko', 'Left Midfield')"
"('Woo-Young Jung', 'Right Center Midfield')"
"('Joo-Ho Park', 'Left Back')"
"('Jae-Sung Lee', 'Right Wing')"
"('Heung-Min Son', 'Left Wing')"
"('Hyun-Soo Jang', 'Center Midfield')"
"('Heung-Min Son', 'Center Forward')"
"('Hee-Chan Hwang', 'Right Wing')"
"('Hee-Chan Hwang', 'Right Center Forward')"
"('Seung-Woo Lee', 'Left Midfield')"
"('Se-Jong Ju', 'Right Midfield')"
"('Young-Sun Yun', 'Right Center Back')"
"('Woo-Young Jung', 'Right Midfield')"
"('Seon-Min Moon', 'Left Midfield')"
