caseID,result,start_Zone,end_Zone,opponent
75822,Incomplete,2,3,Russia
75825,Incomplete,2,3,Russia
75827,Out,1,3,Russia
75829,Incomplete,2,3,Russia
758214,Incomplete,1,2,Russia
758215,Incomplete,1,3,Russia
758217,Incomplete,2,2,Russia
758219,Out,1,3,Russia
758221,Incomplete,1,3,Russia
758223,Incomplete,2,3,Russia
758224,Incomplete,3,3,Russia
758226,Incomplete,1,2,Russia
758229,Incomplete,1,2,Russia
758231,Incomplete,1,2,Russia
758232,Incomplete,2,3,Russia
758234,Out,3,3,Russia
758236,Incomplete,2,2,Russia
758238,Incomplete,1,2,Russia
758240,Out,1,3,Russia
758242,Incomplete,2,2,Russia
758244,Incomplete,1,1,Russia
758245,Incomplete,1,3,Russia
758249,Incomplete,1,2,Russia
758251,Incomplete,1,2,Russia
758253,Out,1,2,Russia
758256,Out,1,2,Russia
758258,Incomplete,2,2,Russia
758259,Incomplete,2,2,Russia
758261,Incomplete,2,3,Russia
758263,Incomplete,1,3,Russia
758265,Incomplete,2,3,Russia
758270,Incomplete,2,3,Russia
758274,Incomplete,2,2,Russia
758275,Incomplete,2,3,Russia
758276,Blocked,3,3,Russia
758277,Saved,3,3,Russia
758278,Saved,3,3,Russia
758280,Incomplete,1,3,Russia
758282,Incomplete,2,3,Russia
758284,Incomplete,1,1,Russia
758286,Saved,1,3,Russia
758291,Incomplete,1,2,Russia
758292,Incomplete,3,3,Russia
758293,Off T,3,3,Russia
758295,Incomplete,1,3,Russia
758296,Incomplete,2,2,Russia
758297,Incomplete,3,3,Russia
7582101,Incomplete,1,3,Russia
7582102,Off T,3,3,Russia
7582104,Incomplete,1,2,Russia
7582105,Incomplete,2,3,Russia
7582108,Pass Offside,1,2,Russia
7582109,Incomplete,1,3,Russia
7582111,Incomplete,1,2,Russia
7582113,Incomplete,2,2,Russia
7582115,Incomplete,2,2,Russia
7582116,Incomplete,2,3,Russia
7582118,Incomplete,2,1,Russia
7582119,Out,2,3,Russia
7582121,Incomplete,2,3,Russia
7582122,Incomplete,3,3,Russia
7582123,Incomplete,2,3,Russia
7582125,Incomplete,1,3,Russia
7582126,Incomplete,3,3,Russia
7582128,Incomplete,2,3,Russia
7582129,Blocked,3,3,Russia
7582130,Incomplete,3,3,Russia
7582131,Incomplete,3,3,Russia
7582133,Out,2,3,Russia
7582134,Saved,2,3,Russia
7582135,Incomplete,2,2,Russia
7582136,Incomplete,2,3,Russia
7582137,Incomplete,3,3,Russia
7582138,Off T,3,3,Russia
7582139,Incomplete,3,3,Russia
7582140,Off T,3,3,Russia
7582142,Incomplete,1,2,Russia
7582144,Out,1,2,Russia
7582146,Incomplete,1,3,Russia
7582148,Incomplete,1,2,Russia
7582150,Incomplete,1,3,Russia
7582151,Incomplete,2,3,Russia
7582152,Blocked,3,3,Russia
7582154,Incomplete,3,3,Russia
7582156,Incomplete,2,3,Russia
7582158,Incomplete,2,3,Russia
7582160,Off T,3,2,Russia
7582161,Incomplete,2,3,Russia
7582163,Saved,1,3,Russia
7582165,Out,1,3,Russia
7582167,Blocked,2,3,Russia
7582168,Incomplete,3,2,Russia
7582169,Incomplete,2,3,Russia
7582171,Incomplete,2,3,Russia
7582172,Incomplete,1,3,Russia
7582173,Saved,3,3,Russia
7582176,Blocked,1,1,Russia
7582178,Blocked,1,3,Russia
7582180,Incomplete,2,2,Russia
7582182,Incomplete,1,3,Russia
7582183,Incomplete,2,3,Russia
7582184,Blocked,3,3,Russia
7582185,Incomplete,3,3,Russia
7582187,Incomplete,3,2,Russia
7582188,Out,3,3,Russia
7582192,Incomplete,1,3,Russia
7582196,Out,2,3,Russia
7582198,Incomplete,1,2,Russia
7582199,Saved,3,3,Russia
7582202,Incomplete,1,2,Russia
7582203,Goal,3,3,Russia
7582205,Goal,3,3,Russia
7582207,Saved,3,3,Russia
7582209,Goal,3,3,Russia
7582211,Saved,3,3,Russia
75762,Incomplete,2,3,Portugal
75765,Incomplete,2,3,Portugal
75768,Out,2,3,Portugal
75769,Incomplete,3,3,Portugal
757611,Off T,1,3,Portugal
757613,Incomplete,2,3,Portugal
757615,Incomplete,1,2,Portugal
757617,Incomplete,1,3,Portugal
757618,Incomplete,3,3,Portugal
757620,Incomplete,2,3,Portugal
757622,Incomplete,2,3,Portugal
757625,Incomplete,1,1,Portugal
757627,Out,1,3,Portugal
757629,Incomplete,2,3,Portugal
757630,Blocked,3,3,Portugal
757631,Incomplete,3,3,Portugal
757634,Incomplete,1,3,Portugal
757636,Goal,3,3,Portugal
757638,Incomplete,2,3,Portugal
757640,Incomplete,2,3,Portugal
757641,Blocked,3,3,Portugal
757643,Incomplete,2,3,Portugal
757646,Incomplete,2,2,Portugal
757647,Incomplete,2,3,Portugal
757649,Incomplete,2,3,Portugal
757651,Incomplete,3,3,Portugal
757653,Off T,2,3,Portugal
757655,Incomplete,2,3,Portugal
757657,Incomplete,1,3,Portugal
757659,Incomplete,1,3,Portugal
757660,Off T,3,3,Portugal
757664,Incomplete,2,2,Portugal
757665,Saved,2,3,Portugal
757667,Incomplete,3,3,Portugal
757669,Incomplete,2,3,Portugal
757670,Incomplete,3,3,Portugal
757673,Incomplete,2,3,Portugal
757674,Pass Offside,3,3,Portugal
757676,Incomplete,1,3,Portugal
757678,Incomplete,1,1,Portugal
757680,Incomplete,1,2,Portugal
757681,Incomplete,2,3,Portugal
757683,Incomplete,2,3,Portugal
757684,Incomplete,2,2,Portugal
757686,Incomplete,1,3,Portugal
757688,Incomplete,2,3,Portugal
757689,Goal,3,3,Portugal
757693,Incomplete,1,2,Portugal
757695,Goal,2,3,Portugal
757699,Incomplete,1,3,Portugal
7576101,Out,1,1,Portugal
7576103,Incomplete,1,1,Portugal
7576104,Incomplete,2,1,Portugal
7576107,Incomplete,1,1,Portugal
7576108,Incomplete,2,3,Portugal
7576110,Incomplete,2,3,Portugal
7576112,Incomplete,1,3,Portugal
7576115,Incomplete,1,1,Portugal
7576116,Incomplete,1,2,Portugal
7576118,Incomplete,1,2,Portugal
7576119,Off T,2,3,Portugal
7576123,Incomplete,1,None,Portugal
7576124,Incomplete,1,3,Portugal
7576126,Incomplete,2,3,Portugal
7576130,Incomplete,1,3,Portugal
7576133,Incomplete,2,None,Portugal
7576137,Saved,1,3,Portugal
7576141,Incomplete,2,3,Portugal
7576143,Out,2,3,Portugal
7576146,Pass Offside,2,3,Portugal
7576152,Incomplete,1,1,Portugal
7576154,Incomplete,1,3,Portugal
7576155,Incomplete,2,3,Portugal
75432,Incomplete,2,3,Iran
75436,Off T,2,3,Iran
75438,Incomplete,2,3,Iran
754311,Incomplete,1,3,Iran
754314,Incomplete,1,2,Iran
754315,Incomplete,3,3,Iran
754317,Incomplete,2,3,Iran
754318,Incomplete,2,3,Iran
754320,Incomplete,2,3,Iran
754322,Out,3,3,Iran
754324,Out,1,3,Iran
754326,Incomplete,2,2,Iran
754328,Incomplete,1,3,Iran
754329,Out,1,2,Iran
754331,Incomplete,1,3,Iran
754332,Blocked,3,3,Iran
754333,Incomplete,3,3,Iran
754335,Incomplete,3,3,Iran
754337,Incomplete,1,3,Iran
754338,Incomplete,3,3,Iran
754339,Blocked,3,3,Iran
754341,Saved,3,3,Iran
754343,Incomplete,1,3,Iran
754345,Out,2,3,Iran
754347,Incomplete,1,3,Iran
754348,Off T,3,3,Iran
754350,Incomplete,1,3,Iran
754351,Off T,3,3,Iran
754353,Incomplete,2,3,Iran
754355,Out,2,3,Iran
754357,Incomplete,3,3,Iran
754362,Incomplete,3,2,Iran
754363,Blocked,2,3,Iran
754364,Out,3,3,Iran
754366,Incomplete,2,3,Iran
754367,Incomplete,3,3,Iran
754368,Blocked,1,3,Iran
754369,Incomplete,2,3,Iran
754371,Incomplete,3,3,Iran
754373,Blocked,1,3,Iran
754374,Incomplete,3,3,Iran
754375,Incomplete,2,3,Iran
754379,Out,1,3,Iran
754381,Incomplete,2,2,Iran
754383,Incomplete,2,3,Iran
754385,Incomplete,2,3,Iran
754386,Blocked,3,3,Iran
754388,Incomplete,2,2,Iran
754389,Off T,2,3,Iran
754392,Incomplete,2,3,Iran
754393,Incomplete,3,3,Iran
754394,Goal,3,3,Iran
754396,Incomplete,1,3,Iran
754398,Incomplete,1,1,Iran
7543100,Incomplete,1,3,Iran
7543101,Incomplete,3,3,Iran
7543102,Incomplete,3,3,Iran
7543104,Incomplete,1,2,Iran
7543106,Incomplete,2,2,Iran
7543108,Incomplete,1,None,Iran
7543110,Incomplete,2,2,Iran
7543112,Out,1,3,Iran
7543113,Incomplete,2,3,Iran
7543114,Blocked,3,3,Iran
7543116,Incomplete,2,3,Iran
7543118,Incomplete,2,3,Iran
7543120,Incomplete,2,3,Iran
7543124,Incomplete,1,2,Iran
7543126,Incomplete,2,3,Iran
7543127,Blocked,3,3,Iran
7543129,Incomplete,2,2,Iran
7543130,Incomplete,2,3,Iran
7543132,Incomplete,1,3,Iran
7543134,Pass Offside,2,3,Iran
7543136,Incomplete,1,2,Iran
7543138,Incomplete,1,2,Iran
7543139,Out,2,3,Iran
7543141,Incomplete,3,3,Iran
7543143,Incomplete,1,3,Iran
7543144,Incomplete,3,3,Iran
7543146,Incomplete,2,3,Iran
7543147,Incomplete,3,3,Iran
7543149,Incomplete,2,2,Iran
7543151,Incomplete,2,2,Iran
7543153,Incomplete,2,3,Iran
7543155,Incomplete,1,2,Iran
7543156,Incomplete,2,3,Iran
7543157,Incomplete,3,3,Iran
7543160,Incomplete,1,2,Iran
75602,Incomplete,2,2,Morocco
75604,Incomplete,1,1,Morocco
75606,Incomplete,1,2,Morocco
75608,Incomplete,1,3,Morocco
75609,Incomplete,2,3,Morocco
756011,Incomplete,2,3,Morocco
756014,Incomplete,2,3,Morocco
756015,Incomplete,3,3,Morocco
756017,Incomplete,2,3,Morocco
756019,Incomplete,2,2,Morocco
756021,Out,2,3,Morocco
756023,Incomplete,1,3,Morocco
756024,Out,2,3,Morocco
756027,Incomplete,1,2,Morocco
756029,Incomplete,2,3,Morocco
756031,Incomplete,2,3,Morocco
756032,Incomplete,2,3,Morocco
756035,Off T,2,3,Morocco
756036,Incomplete,2,3,Morocco
756037,Goal,3,3,Morocco
