caseID,action,type,technique,play_pattern,under_pressure,shot_assist,angle,length,height,recipient,startTime,period,minute,duration,endTime,possession_team,team_action,player,player_position,body_part,start_X,start_Y,end_X,end_Y,bad_behavior,result,home_team,away_team,action_type,action_count,action_type_count
7586100,Pass,Throw-in,None,From Throw In,None,None,-1.3487145,31.780496999999997,,,00:11:43.973,2,56,1.9069999999999998,00:11:45.880000,Sweden,Sweden,Viktor Claesson,Right Wing,,106.0,80.0,113.0,49.0,None,Incomplete,Switzerland,Sweden,Pass_Throw-in,Pass_1,Pass_Throw-in_1
7586100,Pressure,None,None,From Throw In,None,None,,,,,00:11:48.493,2,56,0.6,00:11:49.093000,Sweden,Sweden,Mikael Lustig,Right Back,,90.0,59.0,,,None,None,Switzerland,Sweden,Pressure_None,Pressure_1,Pressure_None_1
7586100,Ball Recovery,None,None,From Throw In,None,None,,,,,00:11:50.373,2,56,,None,Sweden,Sweden,Mikael Lustig,Right Back,,79.0,66.0,,,None,None,Switzerland,Sweden,Ball Recovery_None,Ball Recovery_2,Ball Recovery_None_2
7586100,Pass,None,None,From Throw In,True,None,-0.06442684,31.06445,,Albin Ekdal,00:11:53.000,2,56,2.253,00:11:55.253000,Sweden,Sweden,Mikael Lustig,Right Back,Right Foot,70.0,79.0,101.0,77.0,None,Incomplete,Switzerland,Sweden,Pass_None,Pass_2,Pass_None_1
7586102,Ball Recovery,None,None,From Counter,None,None,,,,,00:12:07.040,2,57,,None,Sweden,Sweden,Victor Nilsson Lindelöf,Right Center Back,,27.0,41.0,,,None,None,Switzerland,Sweden,Ball Recovery_None,Ball Recovery_1,Ball Recovery_None_1
7586102,Pass,None,None,From Counter,None,None,0.27094686,37.363083,,Albin Ekdal,00:12:09.440,2,57,1.4,00:12:10.840000,Sweden,Sweden,Victor Nilsson Lindelöf,Right Center Back,Right Foot,30.0,51.0,66.0,61.0,None,None,Switzerland,Sweden,Pass_None,Pass_1,Pass_None_1
7586102,Dribble,None,None,From Counter,None,None,,,,,00:12:11.693,2,57,,None,Sweden,Sweden,Albin Ekdal,Left Center Midfield,,64.0,58.0,,,None,Complete,Switzerland,Sweden,Dribble_None,Dribble_1,Dribble_None_1
7586102,Pass,None,None,From Counter,True,None,-0.7454195,17.691807,,Viktor Claesson,00:12:14.880,2,57,1.453,00:12:16.333000,Sweden,Sweden,Albin Ekdal,Left Center Midfield,Right Foot,69.0,76.0,82.0,64.0,None,None,Switzerland,Sweden,Pass_None,Pass_2,Pass_None_2
7586102,Pass,None,None,From Counter,None,None,2.961739,11.18034,,Albin Ekdal,00:12:17.000,2,57,1.973,00:12:18.973000,Sweden,Sweden,Viktor Claesson,Right Wing,Right Foot,81.0,64.0,70.0,66.0,None,None,Switzerland,Sweden,Pass_None,Pass_3,Pass_None_3
7586102,Pass,None,None,From Counter,None,None,2.5269296000000003,20.808653,,Mikael Lustig,00:12:19.360,2,57,1.213,00:12:20.573000,Sweden,Sweden,Albin Ekdal,Left Center Midfield,Right Foot,70.0,65.0,53.0,77.0,None,None,Switzerland,Sweden,Pass_None,Pass_4,Pass_None_4
7586102,Pass,None,None,From Counter,None,None,-1.0427219,13.892444,,Albin Ekdal,00:12:23.600,2,57,0.92,00:12:24.520000,Sweden,Sweden,Mikael Lustig,Right Back,Right Foot,60.0,75.0,67.0,63.0,None,None,Switzerland,Sweden,Pass_None,Pass_5,Pass_None_5
7586102,Pass,None,None,From Counter,None,None,2.8879185,27.89265,,Victor Nilsson Lindelöf,00:12:25.400,2,57,1.8130000000000002,00:12:27.213000,Sweden,Sweden,Albin Ekdal,Left Center Midfield,Right Foot,61.0,59.0,34.0,66.0,None,None,Switzerland,Sweden,Pass_None,Pass_6,Pass_None_6
7586102,Pass,None,None,From Counter,None,None,-1.2055949,36.40055,,Andreas Granqvist,00:12:30.440,2,57,2.333,00:12:32.773000,Sweden,Sweden,Victor Nilsson Lindelöf,Right Center Back,Right Foot,36.0,56.0,49.0,22.0,None,None,Switzerland,Sweden,Pass_None,Pass_7,Pass_None_7
7586102,Pass,None,None,From Counter,None,None,1.9086744999999998,39.217341999999995,,Victor Nilsson Lindelöf,00:12:34.280,2,57,1.693,00:12:35.973000,Sweden,Sweden,Andreas Granqvist,Left Center Back,Left Foot,52.0,19.0,39.0,56.0,None,None,Switzerland,Sweden,Pass_None,Pass_8,Pass_None_8
