players
"('Ludwig Augustinsson', 'Left Back')"
"('Jakup Jimmy Durmaz', 'Right Midfield')"
"('John Guidetti', 'Left Center Forward')"
"('Viktor Claesson', 'Right Wing')"
"('Mikael Lustig', 'Right Back')"
"('Pontus Jansson', 'Right Back')"
"('John Guidetti', 'Right Center Forward')"
"('Ola Toivonen', 'Left Center Forward')"
"('Andreas Granqvist', 'Left Center Back')"
"('Viktor Claesson', 'Right Midfield')"
"('Pontus Jansson', 'Right Center Back')"
"('Sebastian Larsson', 'Right Center Midfield')"
"('Ola Toivonen', 'Right Center Forward')"
"('Emil Krafth', 'Right Back')"
"('Oscar Hiljemark', 'Left Center Midfield')"
"('Isaac Kiese Thelin', 'Left Center Forward')"
"('Martin Olsson', 'Left Midfield')"
"('Victor Nilsson Lindelöf', 'Right Center Back')"
"('Gustav Svensson', 'Right Center Midfield')"
"('Martin Olsson', 'Left Wing')"
"('Albin Ekdal', 'Left Center Midfield')"
"('Isaac Kiese Thelin', 'Right Center Forward')"
"('Robin Olsen', 'Goalkeeper')"
"('Marcus Berg', 'Left Center Forward')"
"('Marcus Berg', 'Right Center Forward')"
"('Emil Forsberg', 'Left Midfield')"
"('Emil Forsberg', 'Left Wing')"
