caseID,result,start_Zone,end_Zone,opponent
75863,Off T,2,3,Sweden
75865,Incomplete,1,2,Sweden
75868,Incomplete,2,None,Sweden
758610,Incomplete,1,3,Sweden
758611,Incomplete,3,2,Sweden
758613,Incomplete,1,3,Sweden
758615,Saved,1,3,Sweden
758617,Incomplete,1,2,Sweden
758619,Out,1,3,Sweden
758622,Out,1,2,Sweden
758624,Incomplete,2,3,Sweden
758626,Out,1,3,Sweden
758628,Out,1,2,Sweden
758630,Incomplete,1,2,Sweden
758632,Out,1,3,Sweden
758634,Incomplete,2,2,Sweden
758635,Incomplete,2,3,Sweden
758636,Incomplete,3,3,Sweden
758638,Incomplete,1,2,Sweden
758640,Incomplete,1,3,Sweden
758642,Incomplete,2,2,Sweden
758643,Incomplete,2,2,Sweden
758645,Off T,1,3,Sweden
758647,Incomplete,1,3,Sweden
758649,Incomplete,1,2,Sweden
758651,Incomplete,2,3,Sweden
758654,Incomplete,1,2,Sweden
758656,Incomplete,3,3,Sweden
758658,Incomplete,2,3,Sweden
758659,Out,2,3,Sweden
758661,Off T,2,3,Sweden
758664,Incomplete,1,3,Sweden
758665,Blocked,3,3,Sweden
758667,Incomplete,2,3,Sweden
758669,Off T,3,2,Sweden
758672,Incomplete,1,2,Sweden
758674,Incomplete,1,2,Sweden
758675,Incomplete,1,2,Sweden
758676,Incomplete,3,3,Sweden
758678,Incomplete,1,3,Sweden
758679,Incomplete,2,2,Sweden
758683,Incomplete,1,2,Sweden
758685,Incomplete,2,3,Sweden
758687,Incomplete,2,2,Sweden
758688,Incomplete,1,3,Sweden
758689,Incomplete,3,3,Sweden
758690,Blocked,3,3,Sweden
758691,Incomplete,3,3,Sweden
758692,Incomplete,3,3,Sweden
758694,Incomplete,2,3,Sweden
758695,Incomplete,3,3,Sweden
7586101,Incomplete,1,3,Sweden
7586103,Incomplete,2,2,Sweden
7586105,Incomplete,1,3,Sweden
7586108,Incomplete,1,3,Sweden
7586109,Incomplete,3,3,Sweden
7586112,Incomplete,1,3,Sweden
7586115,Incomplete,3,3,Sweden
7586117,Incomplete,2,2,Sweden
7586119,Incomplete,1,2,Sweden
7586121,Saved,3,3,Sweden
7586123,Incomplete,2,3,Sweden
7586124,Blocked,3,3,Sweden
7586125,Incomplete,3,3,Sweden
7586126,Blocked,3,3,Sweden
7586128,Incomplete,2,3,Sweden
7586130,Incomplete,2,2,Sweden
7586131,Incomplete,3,3,Sweden
7586132,Out,3,3,Sweden
7586134,Injury Clearance,2,1,Sweden
7586137,Incomplete,1,1,Sweden
7586138,Incomplete,1,3,Sweden
7586139,Blocked,3,3,Sweden
7586140,Blocked,3,3,Sweden
7586141,Out,3,3,Sweden
7586143,Incomplete,1,3,Sweden
7586145,Incomplete,3,3,Sweden
7586147,Incomplete,1,3,Sweden
7586148,Blocked,3,3,Sweden
7586150,Incomplete,1,3,Sweden
7586154,Incomplete,1,3,Sweden
7586155,Incomplete,3,3,Sweden
7586157,Saved,3,3,Sweden
7586159,Incomplete,1,2,Sweden
7586161,Incomplete,2,3,Sweden
75682,Incomplete,2,3,Costa Rica
75683,Out,3,3,Costa Rica
75685,Incomplete,1,2,Costa Rica
75687,Blocked,2,2,Costa Rica
75689,Incomplete,1,2,Costa Rica
756812,Incomplete,1,3,Costa Rica
756814,Incomplete,1,2,Costa Rica
756816,Incomplete,2,3,Costa Rica
756819,Incomplete,1,2,Costa Rica
756821,Incomplete,2,2,Costa Rica
756823,Incomplete,1,2,Costa Rica
