caseID,result,start_Zone,end_Zone,opponent
75693,Incomplete,1,2,Panama
75694,Incomplete,1,3,Panama
75695,Incomplete,3,3,Panama
75698,Incomplete,1,2,Panama
75699,Incomplete,3,3,Panama
756910,Incomplete,3,3,Panama
756911,Incomplete,2,2,Panama
756912,Blocked,1,3,Panama
756914,Incomplete,2,2,Panama
756916,Incomplete,1,1,Panama
756918,Off T,1,3,Panama
756922,Incomplete,1,2,Panama
756923,Incomplete,2,3,Panama
756924,Incomplete,3,3,Panama
756926,Incomplete,1,3,Panama
756929,Out,1,3,Panama
756931,Blocked,1,3,Panama
756933,Incomplete,2,3,Panama
756935,Incomplete,2,2,Panama
756936,Incomplete,3,3,Panama
756937,Incomplete,3,3,Panama
756939,Incomplete,1,3,Panama
756940,Out,3,3,Panama
756942,Saved,2,3,Panama
756944,Incomplete,2,3,Panama
756946,Incomplete,2,2,Panama
756949,Incomplete,2,3,Panama
756952,Incomplete,2,2,Panama
756954,Out,1,3,Panama
756956,Incomplete,3,3,Panama
756957,Incomplete,3,3,Panama
756960,Incomplete,1,3,Panama
756962,Out,1,3,Panama
756964,Incomplete,1,3,Panama
756967,Incomplete,2,2,Panama
756971,Incomplete,2,2,Panama
756972,Incomplete,1,3,Panama
756973,Off T,2,3,Panama
756975,Out,2,3,Panama
756978,Off T,1,3,Panama
756981,Incomplete,1,2,Panama
756984,Blocked,1,3,Panama
756985,Incomplete,3,3,Panama
756987,Incomplete,2,3,Panama
756989,Incomplete,2,3,Panama
756990,Incomplete,2,3,Panama
756991,Incomplete,2,3,Panama
756993,Incomplete,1,2,Panama
756996,Goal,1,3,Panama
756998,Incomplete,3,2,Panama
7569101,Saved,2,3,Panama
7569102,Incomplete,3,3,Panama
7569104,Incomplete,2,3,Panama
7569105,Incomplete,3,3,Panama
7569106,Incomplete,3,3,Panama
7569108,Incomplete,2,3,Panama
7569109,Out,3,3,Panama
7569112,Incomplete,1,2,Panama
7569113,Incomplete,3,3,Panama
7569115,Saved,1,3,Panama
7569119,Goal,1,3,Panama
7569121,Incomplete,1,3,Panama
7569124,Incomplete,2,3,Panama
7569128,Incomplete,2,2,Panama
7569130,Incomplete,1,None,Panama
7569131,Incomplete,1,1,Panama
7569132,Incomplete,1,2,Panama
7569134,Incomplete,1,2,Panama
7569136,Incomplete,2,1,Panama
7569139,Incomplete,1,2,Panama
7569141,Incomplete,1,2,Panama
7569142,Incomplete,2,2,Panama
7569143,Incomplete,2,2,Panama
7569144,Incomplete,2,2,Panama
7569146,Incomplete,1,3,Panama
7569149,Incomplete,1,1,Panama
7569150,Incomplete,1,2,Panama
7569152,Out,1,3,Panama
7569154,Out,2,2,Panama
7569156,Incomplete,1,2,Panama
7569158,Incomplete,1,2,Panama
7569160,Incomplete,2,2,Panama
