players
"('Anice Badri', 'Left Center Midfield')"
"('Naïm Sliti', 'Left Midfield')"
"('Anice Badri', 'Left Wing')"
"('Mouez Hassen', 'Goalkeeper')"
"('Saber Khalifa', 'Center Forward')"
"('Ferjani Sassi', 'Right Defensive Midfield')"
"('Anice Badri', 'Left Center Forward')"
"('Wahbi Khazri', 'Center Forward')"
"('Ahmed Khalil', 'Left Center Midfield')"
"('Syam Ben Youssef', 'Right Center Back')"
"('Ali Maâloul', 'Left Back')"
"('Saîf-Eddine Khaoui', 'Left Center Midfield')"
"('Hamdi Nagguez', 'Right Back')"
"('Rami Bedoui', 'Right Center Back')"
"('Dylan Bronn', 'Right Back')"
"('Ferjani Sassi', 'Right Center Midfield')"
"('Fakhreddine Ben Youssef', 'Right Wing')"
"('Naïm Sliti', 'Right Center Midfield')"
"('Anice Badri', 'Left Midfield')"
"('Dylan Bronn', 'Right Center Back')"
"('Ali Maâloul', 'Left Wing Back')"
"('Ferjani Sassi', 'Left Center Midfield')"
"('Aymen Mathlouthi', 'Goalkeeper')"
"('Mohamed Amine Ben Amor', 'Right Midfield')"
"('Ellyes Skhiri', 'Center Defensive Midfield')"
"('Fakhreddine Ben Youssef', 'Right Wing Back')"
"('Fakhreddine Ben Youssef', 'Right Midfield')"
"('Farouk Ben Mustapha', 'Goalkeeper')"
"('Ellyes Skhiri', 'Left Defensive Midfield')"
"('Oussama Haddadi', 'Left Back')"
"('Anice Badri', 'Right Wing')"
"('Ghilane Chalali', 'Right Center Midfield')"
"('Yohan Benalouane', 'Right Center Back')"
"('Syam Ben Youssef', 'Center Back')"
"('Fakhreddine Ben Youssef', 'Left Wing')"
"('Yassine Meriah', 'Left Center Back')"
