caseID,action,type,technique,play_pattern,under_pressure,shot_assist,angle,length,height,recipient,startTime,period,minute,duration,endTime,possession_team,team_action,player,player_position,body_part,start_X,start_Y,end_X,end_Y,bad_behavior,result,home_team,away_team,action_type,action_count,action_type_count
7579100,Pass,None,None,From Counter,None,None,0.6287963000000001,13.601470999999998,,Luis Alberto Suárez Díaz,00:03:47.719,2,48,1.24,00:03:48.959000,Uruguay,Uruguay,Diego Sebastián Laxalt Suárez,Left Back,Left Foot,72.0,21.0,83.0,29.0,None,None,Portugal,Uruguay,Pass_None,Pass_1,Pass_None_1
7579100,Dribble,None,None,From Counter,None,None,,,,,00:03:50.119,2,48,0.0,00:03:50.119000,Uruguay,Uruguay,Luis Alberto Suárez Díaz,Left Center Forward,,67.0,25.0,,,None,Incomplete,Portugal,Uruguay,Dribble_None,Dribble_1,Dribble_None_1
7579100,Pressure,None,None,From Counter,None,None,,,,,00:03:51.399,2,48,0.853,00:03:52.252000,Uruguay,Uruguay,Matías Vecino Falero,Left Midfield,,78.0,26.0,,,None,None,Portugal,Uruguay,Pressure_None,Pressure_1,Pressure_None_1
7579103,Pass,Free Kick,None,From Free Kick,None,None,0.36813077,75.02666500000001,,Edinson Roberto Cavani Gómez,00:04:49.159,2,49,2.88,00:04:52.039000,Uruguay,Uruguay,Néstor Fernando Muslera Micol,Goalkeeper,Right Foot,22.0,49.0,92.0,76.0,None,None,Portugal,Uruguay,Pass_Free Kick,Pass_1,Pass_Free Kick_1
7579103,Pass,None,None,From Free Kick,None,None,-1.2252406999999998,26.570659999999997,,Rodrigo Bentancur Colmán,00:04:52.039,2,49,1.8,00:04:53.839000,Uruguay,Uruguay,Edinson Roberto Cavani Gómez,Right Center Forward,Head,92.0,76.0,101.0,51.0,None,Incomplete,Portugal,Uruguay,Pass_None,Pass_2,Pass_None_1
7579107,Pass,Goal Kick,None,From Goal Kick,None,None,0.20304522,69.426216,,Nahitan Michel Nández Acosta,00:06:35.279,2,51,3.96,00:06:39.239000,Uruguay,Uruguay,Néstor Fernando Muslera Micol,Goalkeeper,Right Foot,6.0,49.0,74.0,63.0,None,None,Portugal,Uruguay,Pass_Goal Kick,Pass_1,Pass_Goal Kick_1
7579107,Pass,None,None,From Goal Kick,None,None,-0.32175055,12.649111,,,00:06:39.279,2,51,1.24,00:06:40.519000,Uruguay,Uruguay,Nahitan Michel Nández Acosta,Right Midfield,Head,74.0,63.0,86.0,59.0,None,Incomplete,Portugal,Uruguay,Pass_None,Pass_2,Pass_None_1
757911,Pass,Throw-in,None,From Throw In,None,None,-2.9361973,24.5153,,José María Giménez de Vargas,00:02:53.540,1,2,2.28,00:02:55.820000,Uruguay,Uruguay,José Martín Cáceres Silva,Right Back,,62.0,80.0,38.0,75.0,None,None,Portugal,Uruguay,Pass_Throw-in,Pass_1,Pass_Throw-in_1
757911,Pass,None,None,From Throw In,None,None,-0.8960554000000001,12.806249000000001,,Lucas Torreira Di Pascua,00:02:58.820,1,2,1.2,00:03:00.020000,Uruguay,Uruguay,José María Giménez de Vargas,Left Center Back,Right Foot,39.0,67.0,47.0,57.0,None,None,Portugal,Uruguay,Pass_None,Pass_2,Pass_None_1
757911,Pass,None,None,From Throw In,None,None,-0.9272952,10.0,,Matías Vecino Falero,00:03:00.820,1,3,0.96,00:03:01.780000,Uruguay,Uruguay,Lucas Torreira Di Pascua,Center Defensive Midfield,Right Foot,45.0,53.0,51.0,45.0,None,None,Portugal,Uruguay,Pass_None,Pass_3,Pass_None_2
757911,Pass,None,None,From Throw In,True,None,2.5829932999999996,18.867962,,José María Giménez de Vargas,00:03:02.300,1,3,1.16,00:03:03.460000,Uruguay,Uruguay,Matías Vecino Falero,Left Midfield,Right Foot,49.0,47.0,33.0,57.0,None,None,Portugal,Uruguay,Pass_None,Pass_4,Pass_None_3
757911,Pass,None,None,From Throw In,None,None,0.019605331,51.009803999999995,,Luis Alberto Suárez Díaz,00:03:06.460,1,3,2.56,00:03:09.020000,Uruguay,Uruguay,José María Giménez de Vargas,Left Center Back,Right Foot,34.0,56.0,85.0,57.0,None,None,Portugal,Uruguay,Pass_None,Pass_5,Pass_None_4
757911,Pass,None,None,From Throw In,None,None,1.4352686000000001,22.203604000000002,,Nahitan Michel Nández Acosta,00:03:09.020,1,3,1.8,00:03:10.820000,Uruguay,Uruguay,Luis Alberto Suárez Díaz,Left Center Forward,Other,85.0,57.0,88.0,79.0,None,None,Portugal,Uruguay,Pass_None,Pass_6,Pass_None_5
757911,Pass,None,None,From Throw In,None,None,-1.4801364,11.045361,,Luis Alberto Suárez Díaz,00:03:11.580,1,3,0.76,00:03:12.340000,Uruguay,Uruguay,Nahitan Michel Nández Acosta,Right Midfield,Right Foot,88.0,78.0,89.0,67.0,None,None,Portugal,Uruguay,Pass_None,Pass_7,Pass_None_6
757911,Pass,None,None,From Throw In,None,None,0.11065722,27.166155,,Nahitan Michel Nández Acosta,00:03:12.340,1,3,3.04,00:03:15.380000,Uruguay,Uruguay,Luis Alberto Suárez Díaz,Left Center Forward,Right Foot,89.0,67.0,116.0,70.0,None,None,Portugal,Uruguay,Pass_None,Pass_8,Pass_None_7
757911,Pass,None,None,From Throw In,True,None,-1.5707964,2.0,,,00:03:15.380,1,3,0.12,00:03:15.500000,Uruguay,Uruguay,Nahitan Michel Nández Acosta,Right Midfield,Right Foot,116.0,70.0,116.0,68.0,None,Incomplete,Portugal,Uruguay,Pass_None,Pass_9,Pass_None_8
7579110,Pass,Free Kick,None,From Free Kick,None,None,-0.23374318,43.174065,,Luis Alberto Suárez Díaz,00:07:36.479,2,52,2.16,00:07:38.639000,Uruguay,Uruguay,Diego Roberto Godín Leal,Right Center Back,Right Foot,49.0,22.0,91.0,12.0,None,None,Portugal,Uruguay,Pass_Free Kick,Pass_1,Pass_Free Kick_1
7579110,Pass,None,None,From Free Kick,None,None,1.4659194,19.104973,,Edinson Roberto Cavani Gómez,00:07:38.639,2,52,3.0,00:07:41.639000,Uruguay,Uruguay,Luis Alberto Suárez Díaz,Left Center Forward,Right Foot,91.0,12.0,93.0,31.0,None,Incomplete,Portugal,Uruguay,Pass_None,Pass_2,Pass_None_1
7579110,Pass,Recovery,None,From Free Kick,None,None,-2.6671927,41.593270000000004,,Diego Roberto Godín Leal,00:07:44.279,2,52,4.36,00:07:48.639000,Uruguay,Uruguay,José Martín Cáceres Silva,Right Back,Right Foot,67.0,41.0,30.0,22.0,None,None,Portugal,Uruguay,Pass_Recovery,Pass_4,Pass_Recovery_2
