caseID,action,type,technique,play_pattern,under_pressure,shot_assist,angle,length,height,recipient,startTime,period,minute,duration,endTime,possession_team,team_action,player,player_position,body_part,start_X,start_Y,end_X,end_Y,bad_behavior,result,home_team,away_team,action_type,action_count,action_type_count
75421,Pressure,None,None,Regular Play,None,None,,,,,00:00:00.100,1,0,4.4,00:00:04.500000,Portugal,Portugal,João Filipe Iria Santos Moutinho,Right Center Midfield,,65.0,53.0,,,None,None,Morocco,Portugal,Pressure_None,Pressure_1,Pressure_None_1
754210,Pass,Throw-in,None,From Throw In,None,None,-0.62548506,22.203604,,Khalid Boutaïb,00:06:31.540,1,6,1.24,00:06:32.780000,Morocco,Morocco,Nabil Dirar,Right Back,,88.0,79.0,106.0,66.0,None,Incomplete,Morocco,Portugal,Pass_Throw-in,Pass_1,Pass_Throw-in_1
754210,Pass,Recovery,None,From Throw In,None,None,0.2914568,20.880613,,Gonçalo Manuel Ganchinho Guedes,00:06:32.780,1,6,2.0,00:06:34.780000,Morocco,Portugal,Raphaël Adelino José Guerreiro,Left Back,Head,15.0,15.0,35.0,21.0,None,None,Morocco,Portugal,Pass_Recovery,Pass_2,Pass_Recovery_1
754210,Foul Committed,None,None,From Throw In,None,None,,,,,00:06:34.820,1,6,,None,Morocco,Morocco,Karim El Ahmadi Al Aroos,Right Defensive Midfield,,88.0,60.0,,,None,None,Morocco,Portugal,Foul Committed_None,Foul Committed_1,Foul Committed_None_1
7542100,Pass,Recovery,None,Regular Play,None,None,0.0,14.0,,João Mário Naval da Costa Eduardo,00:00:56.360,2,45,1.76,00:00:58.120000,Portugal,Portugal,William Silva de Carvalho,Left Center Midfield,Head,45.0,42.0,59.0,42.0,None,Incomplete,Morocco,Portugal,Pass_Recovery,Pass_1,Pass_Recovery_1
7542100,Pass,Recovery,None,Regular Play,None,None,0.49934673,12.529964,,Khalid Boutaïb,00:00:58.120,2,45,1.92,00:01:00.040000,Portugal,Morocco,Karim El Ahmadi Al Aroos,Right Defensive Midfield,Right Foot,62.0,39.0,73.0,45.0,None,Incomplete,Morocco,Portugal,Pass_Recovery,Pass_2,Pass_Recovery_2
7542100,Pass,Recovery,None,Regular Play,None,None,-0.32175055,6.3245554,,João Mário Naval da Costa Eduardo,00:01:00.040,2,46,0.973,00:01:01.013000,Portugal,Portugal,William Silva de Carvalho,Left Center Midfield,Head,48.0,36.0,54.0,34.0,None,None,Morocco,Portugal,Pass_Recovery,Pass_3,Pass_Recovery_3
7542100,Pass,None,None,Regular Play,None,None,-0.98279375,7.2111025,,,00:01:01.013,2,46,0.867,00:01:01.880000,Portugal,Portugal,João Mário Naval da Costa Eduardo,Left Midfield,Right Foot,54.0,34.0,58.0,28.0,None,Incomplete,Morocco,Portugal,Pass_None,Pass_4,Pass_None_1
7542101,Ball Recovery,None,None,Regular Play,None,None,,,,,00:01:01.880,2,46,,None,Morocco,Morocco,Nabil Dirar,Right Back,,63.0,53.0,,,None,None,Morocco,Portugal,Ball Recovery_None,Ball Recovery_1,Ball Recovery_None_1
7542101,Pass,None,None,Regular Play,None,None,-0.8519663,10.630146,,Mbark Boussoufa,00:01:02.640,2,46,0.36,00:01:03,Morocco,Morocco,Nabil Dirar,Right Back,Right Foot,62.0,53.0,69.0,45.0,None,None,Morocco,Portugal,Pass_None,Pass_1,Pass_None_1
