;caseID;action;type;play_pattern;under_pressure;shot_assist;length;recipient;startTime;period;minute;duration;endTime;possession_team;team_action;player;body_part;start_X;start_Y;end_X;end_Y;result;home_team;away_team;action_type;action_count;action_type_count;gameID;action_result;action_type_result;zoneStart;zoneEnd
0;753610;Ball Recovery;None;Regular Play;None;None;;;2023-12-01 00:03:17.573;1;3;;2023-12-01 00:03:17.573;Belgium;Belgium;Thibaut Courtois;;6.0;33.0;;;None;Panama;Belgium;Ball Recovery_None;Ball Recovery_1;Ball Recovery_None_1;7536;Ball Recovery_None;Ball Recovery_None_None;Zone 5;Zone 12
1;753610;Pass;None;Regular Play;None;None;23.43075;Yannick Ferreira Carrasco;2023-12-01 00:03:20.373;1;3;1.159;2023-12-01 00:03:21.532;Belgium;Belgium;Thibaut Courtois;Keeper Arm;16.0;21.0;31.0;3.0;None;Panama;Belgium;Pass_None;Pass_1;Pass_None_1;7536;Pass_None;Pass_None_None;Zone 5;Zone 2
2;753610;Foul Committed;None;Regular Play;None;None;;;2023-12-01 00:03:24.053;1;3;;2023-12-01 00:03:24.053;Belgium;Panama;Erick Javier Davis Grajales;;89.0;79.0;;;None;Panama;Belgium;Foul Committed_None;Foul Committed_1;Foul Committed_None_1;7536;Foul Committed_None;Foul Committed_None_None;Zone 11;Zone 12
3;7536100;Pass;Kick Off;From Kick Off;None;None;7.28011;Axel Witsel;2023-12-01 00:00:00.493;2;45;1.04;2023-12-01 00:00:01.533;Belgium;Belgium;Romelu Lukaku Menama;Left Foot;61.0;40.0;54.0;42.0;None;Panama;Belgium;Pass_Kick Off;Pass_1;Pass_Kick Off_1;7536;Pass_None;Pass_Kick Off_None;Zone 7;Zone 6
4;7536100;Pass;None;From Kick Off;None;None;16.03122;Yannick Ferreira Carrasco;2023-12-01 00:00:01.973;2;45;1.12;2023-12-01 00:00:03.093;Belgium;Belgium;Axel Witsel;Right Foot;54.0;42.0;55.0;26.0;None;Panama;Belgium;Pass_None;Pass_2;Pass_None_1;7536;Pass_None;Pass_None_None;Zone 6;Zone 6
5;7536100;Pressure;None;From Kick Off;None;None;;;2023-12-01 00:00:03.000;2;45;0.613;2023-12-01 00:00:03.613;Belgium;Panama;Edgar Yoel Bárcenas Herrera;;56.0;54.0;;;None;Panama;Belgium;Pressure_None;Pressure_1;Pressure_None_1;7536;Pressure_None;Pressure_None_None;Zone 6;Zone 12
6;7536100;Pass;None;From Kick Off;True;None;24.083189;Anga Dedryck Boyata;2023-12-01 00:00:03.533;2;45;1.8;2023-12-01 00:00:05.333;Belgium;Belgium;Yannick Ferreira Carrasco;Left Foot;55.0;25.0;37.0;41.0;None;Panama;Belgium;Pass_None;Pass_3;Pass_None_2;7536;Pass_None;Pass_None_None;Zone 6;Zone 6
7;7536100;Pass;None;From Kick Off;None;None;20.248457;Kevin De Bruyne;2023-12-01 00:00:06.733;2;45;1.32;2023-12-01 00:00:08.053;Belgium;Belgium;Anga Dedryck Boyata;Right Foot;38.0;44.0;55.0;55.0;None;Panama;Belgium;Pass_None;Pass_4;Pass_None_3;7536;Pass_None;Pass_None_None;Zone 6;Zone 6
8;7536100;Pass;None;From Kick Off;None;None;12.0415945;Axel Witsel;2023-12-01 00:00:11.973;2;45;0.8;2023-12-01 00:00:12.773;Belgium;Belgium;Kevin De Bruyne;Right Foot;63.0;60.0;64.0;48.0;None;Panama;Belgium;Pass_None;Pass_5;Pass_None_4;7536;Pass_None;Pass_None_None;Zone 7;Zone 7
9;7536100;Pass;None;From Kick Off;None;None;18.681541;Jan Vertonghen;2023-12-01 00:00:15.013;2;45;1.24;2023-12-01 00:00:16.253;Belgium;Belgium;Axel Witsel;Right Foot;65.0;43.0;60.0;25.0;None;Panama;Belgium;Pass_None;Pass_6;Pass_None_5;7536;Pass_None;Pass_None_None;Zone 7;Zone 7
10;7536100;Pass;None;From Kick Off;None;None;30.232433;Yannick Ferreira Carrasco;2023-12-01 00:00:17.573;2;45;1.76;2023-12-01 00:00:19.333;Belgium;Belgium;Jan Vertonghen;Left Foot;61.0;20.0;86.0;3.0;None;Panama;Belgium;Pass_None;Pass_7;Pass_None_6;7536;Pass_None;Pass_None_None;Zone 7;Zone 3
11;7536100;Pass;None;From Kick Off;None;None;24.186773;Jan Vertonghen;2023-12-01 00:00:21.293;2;45;1.72;2023-12-01 00:00:23.013;Belgium;Belgium;Yannick Ferreira Carrasco;Right Foot;86.0;3.0;65.0;15.0;None;Panama;Belgium;Pass_None;Pass_8;Pass_None_7;7536;Pass_None;Pass_None_None;Zone 3;Zone 3
12;7536100;Pass;None;From Kick Off;None;None;38.052597;Toby Albertine Maurits Alderweireld;2023-12-01 00:00:23.973;2;45;2.24;2023-12-01 00:00:26.213;Belgium;Belgium;Jan Vertonghen;Left Foot;66.0;14.0;64.0;52.0;None;Panama;Belgium;Pass_None;Pass_9;Pass_None_8;7536;Pass_None;Pass_None_None;Zone 3;Zone 7
13;7536100;Pass;None;From Kick Off;None;None;11.18034;Axel Witsel;2023-12-01 00:00:30.293;2;45;1.04;2023-12-01 00:00:31.333;Belgium;Belgium;Toby Albertine Maurits Alderweireld;Right Foot;70.0;59.0;68.0;48.0;None;Panama;Belgium;Pass_None;Pass_10;Pass_None_9;7536;Pass_None;Pass_None_None;Zone 7;Zone 7
14;7536100;Pressure;None;From Kick Off;None;None;;;2023-12-01 00:00:34.400;2;45;0.413;2023-12-01 00:00:34.813;Belgium;Panama;Blas Antonio Miguel Pérez Ortega;;39.0;35.0;;;None;Panama;Belgium;Pressure_None;Pressure_2;Pressure_None_2;7536;Pressure_None;Pressure_None_None;Zone 6;Zone 12
15;7536100;Pass;None;From Kick Off;None;None;18.788294;Toby Albertine Maurits Alderweireld;2023-12-01 00:00:36.773;2;45;1.64;2023-12-01 00:00:38.413;Belgium;Belgium;Axel Witsel;Right Foot;72.0;49.0;80.0;66.0;None;Panama;Belgium;Pass_None;Pass_11;Pass_None_10;7536;Pass_None;Pass_None_None;Zone 7;Zone 11
16;7536100;Pass;None;From Kick Off;None;None;9.219544;Dries Mertens;2023-12-01 00:00:40.773;2;45;0.759;2023-12-01 00:00:41.532;Belgium;Belgium;Toby Albertine Maurits Alderweireld;Right Foot;85.0;70.0;94.0;72.0;None;Panama;Belgium;Pass_None;Pass_12;Pass_None_11;7536;Pass_None;Pass_None_None;Zone 11;Zone 11
17;7536100;Foul Committed;None;From Kick Off;None;None;;;2023-12-01 00:00:42.053;2;45;;2023-12-01 00:00:42.053;Belgium;Panama;Erick Javier Davis Grajales;;29.0;10.0;;;None;Panama;Belgium;Foul Committed_None;Foul Committed_1;Foul Committed_None_1;7536;Foul Committed_None;Foul Committed_None_None;Zone 2;Zone 12
