;caseID;action;type;play_pattern;under_pressure;shot_assist;length;recipient;startTime;minute;duration;endTime;possession_team;team_action;player;body_part;start_X;start_Y;end_X;end_Y;result;home_team;away_team;action_type;action_count;action_type_count;gameID;action_result;action_type_result;zoneStart;zoneEnd
0;752910;Pass;Recovery;Regular Play;None;None;28.160255;Šime Vrsaljko;2023-12-01 00:02:55.240;2;0.96;2023-12-01 00:02:56.200;Croatia;Croatia;Dejan Lovren;Left Foot;73.0;58.0;46.0;66.0;None;Nigeria;Croatia;Pass_Recovery;Pass_1;Pass_Recovery_1;7529;Pass_None;Pass_Recovery_None;Zone 7;Zone 10
1;752910;Pass;None;Regular Play;None;None;19.026299;Ivan Rakitić;2023-12-01 00:02:59.280;2;1.24;2023-12-01 00:03:00.520;Croatia;Croatia;Šime Vrsaljko;Right Foot;44.0;66.0;43.0;47.0;None;Nigeria;Croatia;Pass_None;Pass_2;Pass_None_1;7529;Pass_None;Pass_None_None;Zone 10;Zone 6
2;752910;Pass;None;Regular Play;None;None;10.816654;Luka Modrić;2023-12-01 00:03:03.760;3;0.76;2023-12-01 00:03:04.520;Croatia;Croatia;Ivan Rakitić;Right Foot;43.0;48.0;49.0;57.0;None;Nigeria;Croatia;Pass_None;Pass_3;Pass_None_2;7529;Pass_None;Pass_None_None;Zone 6;Zone 6
3;752910;Pressure;None;Regular Play;None;None;;;2023-12-01 00:03:05.107;3;2.253;2023-12-01 00:03:07.360;Croatia;Nigeria;Oghenekaro Etebo;;69.0;28.0;;;None;Nigeria;Croatia;Pressure_None;Pressure_1;Pressure_None_1;7529;Pressure_None;Pressure_None_None;Zone 7;Zone 12
4;752910;Pass;None;Regular Play;None;None;13.152946;Ivan Rakitić;2023-12-01 00:03:07.480;3;1.04;2023-12-01 00:03:08.520;Croatia;Croatia;Luka Modrić;Right Foot;46.0;50.0;44.0;37.0;None;Nigeria;Croatia;Pass_None;Pass_4;Pass_None_3;7529;Pass_None;Pass_None_None;Zone 6;Zone 6
5;752910;Pass;None;Regular Play;None;None;78.72102;Šime Vrsaljko;2023-12-01 00:03:11.600;3;5.24;2023-12-01 00:03:16.840;Croatia;Croatia;Ivan Rakitić;Right Foot;48.0;43.0;119.0;77.0;None;Nigeria;Croatia;Pass_None;Pass_5;Pass_None_4;7529;Pass_None;Pass_None_None;Zone 6;Zone 12
6;752910;Pressure;None;Regular Play;None;None;;;2023-12-01 00:03:16.307;3;1.293;2023-12-01 00:03:17.600;Croatia;Nigeria;Brian Oladapo Idowu;;7.0;6.0;;;None;Nigeria;Croatia;Pressure_None;Pressure_2;Pressure_None_2;7529;Pressure_None;Pressure_None_None;Zone 1;Zone 12
7;752910;Miscontrol;None;Regular Play;None;None;;;2023-12-01 00:03:17.787;3;;2023-12-01 00:03:17.787;Croatia;Croatia;Šime Vrsaljko;;119.0;79.0;;;None;Nigeria;Croatia;Miscontrol_None;Miscontrol_1;Miscontrol_None_1;7529;Miscontrol_None;Miscontrol_None_None;Zone 12;Zone 12
8;7529100;Ball Recovery;None;From Counter;None;None;;;2023-12-01 00:11:40.000;56;;2023-12-01 00:11:40.000;Nigeria;Nigeria;Francis Odinaka Uzoho;;10.0;29.0;;;None;Nigeria;Croatia;Ball Recovery_None;Ball Recovery_1;Ball Recovery_None_1;7529;Ball Recovery_None;Ball Recovery_None_None;Zone 5;Zone 12
9;7529100;Pass;None;From Counter;None;None;15.556349;Brian Oladapo Idowu;2023-12-01 00:11:45.587;56;2.173;2023-12-01 00:11:47.760;Nigeria;Nigeria;Francis Odinaka Uzoho;Keeper Arm;13.0;23.0;24.0;12.0;None;Nigeria;Croatia;Pass_None;Pass_1;Pass_None_1;7529;Pass_None;Pass_None_None;Zone 5;Zone 2
10;7529100;Pass;None;From Counter;None;None;11.045361;Leon-Aderemi Balogun;2023-12-01 00:11:49.867;56;1.4;2023-12-01 00:11:51.267;Nigeria;Nigeria;Brian Oladapo Idowu;Left Foot;24.0;12.0;23.0;23.0;None;Nigeria;Croatia;Pass_None;Pass_2;Pass_None_2;7529;Pass_None;Pass_None_None;Zone 2;Zone 6
11;7529100;Pass;None;From Counter;None;None;27.018513;William Troost-Ekong;2023-12-01 00:11:52.307;56;1.96;2023-12-01 00:11:54.267;Nigeria;Nigeria;Leon-Aderemi Balogun;Right Foot;23.0;23.0;22.0;50.0;None;Nigeria;Croatia;Pass_None;Pass_3;Pass_None_3;7529;Pass_None;Pass_None_None;Zone 6;Zone 6
12;7529100;Pressure;None;From Counter;None;None;;;2023-12-01 00:11:53.560;56;1.32;2023-12-01 00:11:54.880;Nigeria;Croatia;Mario Mandžukić;;95.0;32.0;;;None;Nigeria;Croatia;Pressure_None;Pressure_1;Pressure_None_1;7529;Pressure_None;Pressure_None_None;Zone 7;Zone 12
13;7529100;Pass;None;From Counter;True;None;12.727922;Francis Odinaka Uzoho;2023-12-01 00:11:54.267;56;1.52;2023-12-01 00:11:55.787;Nigeria;Nigeria;William Troost-Ekong;Right Foot;20.0;49.0;11.0;40.0;None;Nigeria;Croatia;Pass_None;Pass_4;Pass_None_4;7529;Pass_None;Pass_None_None;Zone 6;Zone 5
14;7529100;Pressure;None;From Counter;None;None;;;2023-12-01 00:11:55.320;56;0.759;2023-12-01 00:11:56.079;Nigeria;Croatia;Mario Mandžukić;;107.0;36.0;;;None;Nigeria;Croatia;Pressure_None;Pressure_2;Pressure_None_2;7529;Pressure_None;Pressure_None_None;Zone 8;Zone 12
15;7529100;Pass;None;From Counter;True;None;48.754486;Alex Iwobi;2023-12-01 00:11:55.787;56;2.893;2023-12-01 00:11:58.680;Nigeria;Nigeria;Francis Odinaka Uzoho;Right Foot;10.0;41.0;54.0;20.0;Incomplete;Nigeria;Croatia;Pass_None;Pass_5;Pass_None_5;7529;Pass_Incomplete;Pass_None_Incomplete;Zone 5;Zone 6
16;7529100;Pass;Recovery;From Counter;None;None;18.973665;Andrej Kramarić;2023-12-01 00:11:58.680;56;1.307;2023-12-01 00:11:59.987;Nigeria;Croatia;Šime Vrsaljko;Head;67.0;61.0;85.0;55.0;Incomplete;Nigeria;Croatia;Pass_Recovery;Pass_6;Pass_Recovery_1;7529;Pass_Incomplete;Pass_Recovery_Incomplete;Zone 7;Zone 7
17;7529100;Clearance;None;From Counter;None;None;;;2023-12-01 00:11:59.987;56;;2023-12-01 00:11:59.987;Nigeria;Nigeria;Leon-Aderemi Balogun;;36.0;26.0;;;None;Nigeria;Croatia;Clearance_None;Clearance_1;Clearance_None_1;7529;Clearance_None;Clearance_None_None;Zone 6;Zone 12
18;7529100;Pressure;None;From Counter;None;None;;;2023-12-01 00:12:12.200;57;1.44;2023-12-01 00:12:13.640;Nigeria;Nigeria;Brian Oladapo Idowu;;29.0;21.0;;;None;Nigeria;Croatia;Pressure_None;Pressure_3;Pressure_None_3;7529;Pressure_None;Pressure_None_None;Zone 6;Zone 12
19;7529101;Pressure;None;Regular Play;None;None;;;2023-12-01 00:12:14.240;57;1.239;2023-12-01 00:12:15.479;Croatia;Nigeria;Oghenekaro Etebo;;39.0;33.0;;;None;Nigeria;Croatia;Pressure_None;Pressure_1;Pressure_None_1;7529;Pressure_None;Pressure_None_None;Zone 6;Zone 12
20;7529101;Pass;None;Regular Play;True;None;11.661903;Ivan Rakitić;2023-12-01 00:12:14.280;57;1.267;2023-12-01 00:12:15.547;Croatia;Croatia;Ante Rebić;Left Foot;81.0;51.0;75.0;41.0;Incomplete;Nigeria;Croatia;Pass_None;Pass_1;Pass_None_1;7529;Pass_Incomplete;Pass_None_Incomplete;Zone 7;Zone 7
21;7529101;Pass;Recovery;Regular Play;None;None;2.828427;;2023-12-01 00:12:15.547;57;0.413;2023-12-01 00:12:15.960;Croatia;Nigeria;Oghenekaro Etebo;Right Foot;46.0;40.0;48.0;38.0;Incomplete;Nigeria;Croatia;Pass_Recovery;Pass_2;Pass_Recovery_1;7529;Pass_Incomplete;Pass_Recovery_Incomplete;Zone 6;Zone 6
22;7529101;Block;None;Regular Play;None;None;;;2023-12-01 00:12:15.960;57;;2023-12-01 00:12:15.960;Croatia;Croatia;Ivan Rakitić;;73.0;43.0;;;None;Nigeria;Croatia;Block_None;Block_1;Block_None_1;7529;Block_None;Block_None_None;Zone 7;Zone 12
23;7529102;Ball Recovery;None;Regular Play;None;None;;;2023-12-01 00:12:16.880;57;;2023-12-01 00:12:16.880;Nigeria;Nigeria;Victor Moses;;45.0;54.0;;;None;Nigeria;Croatia;Ball Recovery_None;Ball Recovery_1;Ball Recovery_None_1;7529;Ball Recovery_None;Ball Recovery_None_None;Zone 6;Zone 12
24;7529102;Dribbled Past;None;Regular Play;None;None;;;2023-12-01 00:12:19.987;57;;2023-12-01 00:12:19.987;Nigeria;Croatia;Ivan Strinić;;53.0;27.0;;;None;Nigeria;Croatia;Dribbled Past_None;Dribbled Past_1;Dribbled Past_None_1;7529;Dribbled Past_None;Dribbled Past_None_None;Zone 6;Zone 12
25;7529102;Dribble;None;Regular Play;None;None;;;2023-12-01 00:12:19.987;57;;2023-12-01 00:12:19.987;Nigeria;Nigeria;Victor Moses;;68.0;54.0;;;Complete;Nigeria;Croatia;Dribble_None;Dribble_1;Dribble_None_1;7529;Dribble_Complete;Dribble_None_Complete;Zone 7;Zone 12
26;7529102;Pass;None;Regular Play;None;None;34.20526;;2023-12-01 00:12:24.467;57;1.733;2023-12-01 00:12:26.200;Nigeria;Nigeria;Victor Moses;Right Foot;96.0;67.0;117.0;40.0;Incomplete;Nigeria;Croatia;Pass_None;Pass_1;Pass_None_1;7529;Pass_Incomplete;Pass_None_Incomplete;Zone 11;Zone 8
27;7529102;Goal Keeper;Collected;Regular Play;None;None;;;2023-12-01 00:12:26.200;57;;2023-12-01 00:12:26.200;Nigeria;Croatia;Danijel Subašić;;4.0;41.0;;;Success;Nigeria;Croatia;Goal Keeper_Collected;Goal Keeper_1;Goal Keeper_Collected_1;7529;Goal Keeper_Success;Goal Keeper_Collected_Success;Zone 5;Zone 12
28;7529103;Pass;None;From Keeper;None;None;7.2111025;Luka Modrić;2023-12-01 00:12:27.520;57;1.08;2023-12-01 00:12:28.600;Croatia;Croatia;Danijel Subašić;Keeper Arm;6.0;45.0;12.0;49.0;Unknown;Nigeria;Croatia;Pass_None;Pass_1;Pass_None_1;7529;Pass_Unknown;Pass_None_Unknown;Zone 5;Zone 5
29;7529104;Pass;None;Regular Play;None;None;2.236068;Luka Modrić;2023-12-01 00:12:31.440;57;0.56;2023-12-01 00:12:32.000;Croatia;Croatia;Šime Vrsaljko;Right Foot;23.0;65.0;24.0;63.0;None;Nigeria;Croatia;Pass_None;Pass_1;Pass_None_1;7529;Pass_None;Pass_None_None;Zone 10;Zone 6
30;7529104;Pass;None;Regular Play;None;None;8.5440035;Šime Vrsaljko;2023-12-01 00:12:35.800;57;0.959;2023-12-01 00:12:36.759;Croatia;Croatia;Luka Modrić;Right Foot;37.0;67.0;34.0;75.0;None;Nigeria;Croatia;Pass_None;Pass_2;Pass_None_2;7529;Pass_None;Pass_None_None;Zone 10;Zone 10
31;7529104;Pass;None;Regular Play;None;None;10.816654;Dejan Lovren;2023-12-01 00:12:38.040;57;0.72;2023-12-01 00:12:38.760;Croatia;Croatia;Šime Vrsaljko;Right Foot;34.0;75.0;28.0;66.0;None;Nigeria;Croatia;Pass_None;Pass_3;Pass_None_3;7529;Pass_None;Pass_None_None;Zone 10;Zone 10
32;7529104;Pass;None;Regular Play;None;None;24.083189;Domagoj Vida;2023-12-01 00:12:40.280;57;1.56;2023-12-01 00:12:41.840;Croatia;Croatia;Dejan Lovren;Right Foot;28.0;59.0;26.0;35.0;None;Nigeria;Croatia;Pass_None;Pass_4;Pass_None_4;7529;Pass_None;Pass_None_None;Zone 6;Zone 6
33;7529104;Pass;None;Regular Play;None;None;17.464249;Ivan Rakitić;2023-12-01 00:12:42.440;57;0.999;2023-12-01 00:12:43.439;Croatia;Croatia;Domagoj Vida;Right Foot;26.0;35.0;33.0;19.0;None;Nigeria;Croatia;Pass_None;Pass_5;Pass_None_5;7529;Pass_None;Pass_None_None;Zone 6;Zone 6
34;7529104;Pass;None;Regular Play;None;None;14.035668;Ivan Perišić;2023-12-01 00:12:44.960;57;0.96;2023-12-01 00:12:45.920;Croatia;Croatia;Ivan Rakitić;Right Foot;37.0;19.0;51.0;18.0;None;Nigeria;Croatia;Pass_None;Pass_6;Pass_None_6;7529;Pass_None;Pass_None_None;Zone 6;Zone 6
