;caseID;action;type;play_pattern;under_pressure;shot_assist;length;recipient;startTime;period;minute;duration;endTime;possession_team;team_action;player;body_part;start_X;start_Y;end_X;end_Y;result;home_team;away_team;action_type;action_count;action_type_count;gameID;action_result;action_type_result;zoneStart;zoneEnd
0;753010;Pressure;None;Regular Play;None;None;;;2023-12-01 00:04:44.891;1;4;0.438;2023-12-01 00:04:45.329;France;Australia;Robbie Kruse;;113.0;5.0;;;None;Australia;France;Pressure_None;Pressure_1;Pressure_None_1;7530;Pressure_None;Pressure_None_None;Zone 4;Zone 12
1;753010;Pass;None;Regular Play;True;None;51.0;Kylian Mbappé Lottin;2023-12-01 00:04:45.196;1;4;3.493;2023-12-01 00:04:48.689;France;France;Benjamin Pavard;Right Foot;7.0;78.0;58.0;78.0;Incomplete;Australia;France;Pass_None;Pass_1;Pass_None_1;7530;Pass_Incomplete;Pass_None_Incomplete;Zone 9;Zone 10
2;753010;Pass;Recovery;Regular Play;None;None;16.03122;Aziz Eraltay Behich;2023-12-01 00:04:48.689;1;4;2.2;2023-12-01 00:04:50.889;France;Australia;Mark Milligan;Head;63.0;3.0;79.0;4.0;Incomplete;Australia;France;Pass_Recovery;Pass_2;Pass_Recovery_1;7530;Pass_Incomplete;Pass_Recovery_Incomplete;Zone 3;Zone 3
3;753010;Ball Recovery;None;Regular Play;None;None;;;2023-12-01 00:04:50.889;1;4;;2023-12-01 00:04:50.889;France;France;Corentin Tolisso;;42.0;77.0;;;None;Australia;France;Ball Recovery_None;Ball Recovery_1;Ball Recovery_None_1;7530;Ball Recovery_None;Ball Recovery_None_None;Zone 10;Zone 12
4;753010;Pass;None;Regular Play;None;None;3.0;Antoine Griezmann;2023-12-01 00:04:51.409;1;4;0.84;2023-12-01 00:04:52.249;France;France;Corentin Tolisso;Right Foot;45.0;77.0;48.0;77.0;Incomplete;Australia;France;Pass_None;Pass_3;Pass_None_2;7530;Pass_Incomplete;Pass_None_Incomplete;Zone 10;Zone 10
5;7530100;Pass;Throw-in;From Throw In;None;None;10.0;Paul Labile Pogba;2023-12-01 00:01:44.400;2;46;0.693;2023-12-01 00:01:45.093;France;France;Kylian Mbappé Lottin;;90.0;1.0;84.0;9.0;None;Australia;France;Pass_Throw-in;Pass_1;Pass_Throw-in_1;7530;Pass_None;Pass_Throw-in_None;Zone 3;Zone 3
6;7530100;Pass;None;From Throw In;None;None;7.81025;Kylian Mbappé Lottin;2023-12-01 00:01:45.120;2;46;0.773;2023-12-01 00:01:45.893;France;France;Paul Labile Pogba;Right Foot;85.0;8.0;90.0;2.0;None;Australia;France;Pass_None;Pass_2;Pass_None_1;7530;Pass_None;Pass_None_None;Zone 3;Zone 3
7;7530100;Dribble;None;From Throw In;None;None;;;2023-12-01 00:01:46.253;2;46;;2023-12-01 00:01:46.253;France;France;Kylian Mbappé Lottin;;92.0;2.0;;;Incomplete;Australia;France;Dribble_None;Dribble_1;Dribble_None_1;7530;Dribble_Incomplete;Dribble_None_Incomplete;Zone 3;Zone 12
8;7530101;Pass;Throw-in;From Throw In;None;None;8.602325;N'Golo Kanté;2023-12-01 00:01:58.080;2;46;1.0;2023-12-01 00:01:59.080;France;France;Lucas Hernández Pi;;99.0;1.0;92.0;6.0;None;Australia;France;Pass_Throw-in;Pass_1;Pass_Throw-in_1;7530;Pass_None;Pass_Throw-in_None;Zone 3;Zone 3
9;7530101;Pressure;None;From Throw In;None;None;;;2023-12-01 00:01:58.760;2;46;3.0;2023-12-01 00:02:01.760;France;Australia;Tom Rogić;;27.0;74.0;;;None;Australia;France;Pressure_None;Pressure_1;Pressure_None_1;7530;Pressure_None;Pressure_None_None;Zone 10;Zone 12
10;7530101;Pass;None;From Throw In;True;None;8.0;Paul Labile Pogba;2023-12-01 00:02:01.200;2;47;0.813;2023-12-01 00:02:02.013;France;France;N'Golo Kanté;Right Foot;94.0;8.0;94.0;16.0;None;Australia;France;Pass_None;Pass_2;Pass_None_1;7530;Pass_None;Pass_None_None;Zone 3;Zone 7
11;7530101;Pressure;None;From Throw In;None;None;;;2023-12-01 00:02:02.000;2;47;1.92;2023-12-01 00:02:03.920;France;Australia;Mile Jedinak;;25.0;67.0;;;None;Australia;France;Pressure_None;Pressure_2;Pressure_None_2;7530;Pressure_None;Pressure_None_None;Zone 10;Zone 12
12;7530101;Pressure;None;From Throw In;None;None;;;2023-12-01 00:02:02.213;2;47;1.88;2023-12-01 00:02:04.093;France;Australia;Tom Rogić;;26.0;68.0;;;None;Australia;France;Pressure_None;Pressure_3;Pressure_None_3;7530;Pressure_None;Pressure_None_None;Zone 10;Zone 12
13;7530101;Pass;None;From Throw In;True;None;19.697716;Corentin Tolisso;2023-12-01 00:02:03.960;2;47;1.133;2023-12-01 00:02:05.093;France;France;Paul Labile Pogba;Right Foot;91.0;19.0;83.0;37.0;None;Australia;France;Pass_None;Pass_3;Pass_None_2;7530;Pass_None;Pass_None_None;Zone 7;Zone 7
14;7530101;Pass;None;From Throw In;None;None;41.677334;Benjamin Pavard;2023-12-01 00:02:07.280;2;47;1.733;2023-12-01 00:02:09.013;France;France;Corentin Tolisso;Right Foot;82.0;40.0;103.0;76.0;None;Australia;France;Pass_None;Pass_4;Pass_None_3;7530;Pass_None;Pass_None_None;Zone 7;Zone 12
15;7530101;Pressure;None;From Throw In;None;None;;;2023-12-01 00:02:11.080;2;47;1.173;2023-12-01 00:02:12.253;France;Australia;Aziz Eraltay Behich;;15.0;15.0;;;None;Australia;France;Pressure_None;Pressure_4;Pressure_None_4;7530;Pressure_None;Pressure_None_None;Zone 1;Zone 12
16;7530101;Pass;None;From Throw In;True;None;9.486833;Corentin Tolisso;2023-12-01 00:02:12.240;2;47;0.893;2023-12-01 00:02:13.133;France;France;Benjamin Pavard;Right Foot;99.0;72.0;90.0;69.0;None;Australia;France;Pass_None;Pass_5;Pass_None_4;7530;Pass_None;Pass_None_None;Zone 11;Zone 11
