caseID,action,type,technique,play_pattern,under_pressure,shot_assist,angle,length,height,recipient,startTime,period,minute,duration,endTime,possession_team,team_action,player,player_position,body_part,start_X,start_Y,end_X,end_Y,bad_behavior,result,home_team,away_team,action_type,action_count,action_type_count,zoneStart,zoneEnd
758010,Ball Recovery,None,None,Regular Play,None,None,,,,,2023-12-03 00:04:12.120,1,4,0.0,2023-12-03 00:04:12.120,France,France,Benjamin Pavard,Right Back,,30.0,56.0,,,None,None,Argentina,France,Ball Recovery_None,Ball Recovery_1,Ball Recovery_None_1,Zone 6,Zone 12
758010,Pass,None,None,Regular Play,None,None,-2.9996955,7.071068,,Raphaël Varane,2023-12-03 00:04:13.080,1,4,0.6,2023-12-03 00:04:13.680,France,France,Benjamin Pavard,Right Back,Right Foot,30.0,54.0,23.0,53.0,None,None,Argentina,France,Pass_None,Pass_1,Pass_None_1,Zone 6,Zone 6
758010,Pass,None,None,Regular Play,None,None,-0.7853982,16.970562,,N'Golo Kanté,2023-12-03 00:04:15.200,1,4,1.08,2023-12-03 00:04:16.280,France,France,Raphaël Varane,Right Center Back,Right Foot,22.0,54.0,34.0,42.0,None,None,Argentina,France,Pass_None,Pass_2,Pass_None_2,Zone 6,Zone 6
758010,Pressure,None,None,Regular Play,None,None,,,,,2023-12-03 00:04:16.360,1,4,1.04,2023-12-03 00:04:17.400,France,Argentina,Éver Maximiliano David Banega,Left Center Midfield,,85.0,48.0,,,None,None,Argentina,France,Pressure_None,Pressure_1,Pressure_None_1,Zone 7,Zone 12
758010,Pass,None,None,Regular Play,None,None,-2.095592,21.954498,,Samuel Yves Umtiti,2023-12-03 00:04:17.520,1,4,1.706,2023-12-03 00:04:19.226,France,France,N'Golo Kanté,Left Defensive Midfield,Right Foot,33.0,41.0,22.0,22.0,None,None,Argentina,France,Pass_None,Pass_3,Pass_None_3,Zone 6,Zone 6
758010,Pass,None,None,Regular Play,None,None,0.39479113,13.0,,Blaise Matuidi,2023-12-03 00:04:20.520,1,4,0.92,2023-12-03 00:04:21.440,France,France,Samuel Yves Umtiti,Left Center Back,Left Foot,29.0,19.0,41.0,24.0,None,None,Argentina,France,Pass_None,Pass_4,Pass_None_4,Zone 6,Zone 6
758010,Pass,None,None,Regular Play,None,None,2.5213432,8.602325,,N'Golo Kanté,2023-12-03 00:04:23.160,1,4,0.92,2023-12-03 00:04:24.080,France,France,Blaise Matuidi,Left Wing,Left Foot,41.0,22.0,34.0,27.0,None,None,Argentina,France,Pass_None,Pass_5,Pass_None_5,Zone 6,Zone 6
758010,Pass,None,None,Regular Play,None,None,0.1798535,11.18034,,Paul Labile Pogba,2023-12-03 00:04:25.000,1,4,0.72,2023-12-03 00:04:25.720,France,France,N'Golo Kanté,Left Defensive Midfield,Right Foot,35.0,28.0,46.0,30.0,None,None,Argentina,France,Pass_None,Pass_6,Pass_None_6,Zone 6,Zone 6
758010,Pass,None,None,Regular Play,None,None,-2.4087775,13.453624,,N'Golo Kanté,2023-12-03 00:04:26.000,1,4,0.6,2023-12-03 00:04:26.600,France,France,Paul Labile Pogba,Right Defensive Midfield,Right Foot,47.0,36.0,37.0,27.0,None,None,Argentina,France,Pass_None,Pass_7,Pass_None_7,Zone 6,Zone 6
758010,Pass,None,None,Regular Play,None,None,1.4773196,32.140316,,Raphaël Varane,2023-12-03 00:04:27.720,1,4,1.24,2023-12-03 00:04:28.960,France,France,N'Golo Kanté,Left Defensive Midfield,Right Foot,38.0,29.0,41.0,61.0,None,None,Argentina,France,Pass_None,Pass_8,Pass_None_8,Zone 6,Zone 6
