caseID,result,start_Zone,end_Zone,opponent
75643,Out,1,2,Nigeria
75645,Incomplete,2,2,Nigeria
75647,Incomplete,2,2,Nigeria
75648,Out,2,3,Nigeria
756410,Incomplete,2,3,Nigeria
756411,Out,1,3,Nigeria
756413,Pass Offside,2,3,Nigeria
756415,Incomplete,1,1,Nigeria
756417,Incomplete,1,2,Nigeria
756420,Incomplete,1,2,Nigeria
756421,Off T,2,3,Nigeria
756424,Incomplete,1,2,Nigeria
756426,Incomplete,1,3,Nigeria
756427,Incomplete,2,3,Nigeria
756429,Incomplete,2,2,Nigeria
756431,Incomplete,1,2,Nigeria
756433,Incomplete,2,2,Nigeria
756436,Goal,1,3,Nigeria
756438,Incomplete,2,3,Nigeria
756439,Incomplete,3,1,Nigeria
756441,Incomplete,2,2,Nigeria
756442,Incomplete,2,2,Nigeria
756443,Out,2,3,Nigeria
756445,Incomplete,2,2,Nigeria
756447,Incomplete,1,3,Nigeria
756450,Incomplete,2,2,Nigeria
756451,Incomplete,2,2,Nigeria
756452,Out,2,2,Nigeria
756454,Saved,1,3,Nigeria
756456,Incomplete,2,3,Nigeria
756458,Incomplete,1,2,Nigeria
756459,Incomplete,2,2,Nigeria
756461,Incomplete,1,3,Nigeria
756462,Pass Offside,3,2,Nigeria
756463,Incomplete,1,3,Nigeria
756466,Incomplete,1,2,Nigeria
756468,Incomplete,1,1,Nigeria
756469,Incomplete,2,2,Nigeria
756470,Incomplete,2,2,Nigeria
756471,Incomplete,2,2,Nigeria
756472,Blocked,2,2,Nigeria
756475,Incomplete,1,2,Nigeria
756478,Incomplete,1,2,Nigeria
756481,Incomplete,2,2,Nigeria
756486,Incomplete,1,2,Nigeria
756488,Incomplete,1,1,Nigeria
756492,Incomplete,2,2,Nigeria
756494,Incomplete,2,2,Nigeria
756496,Incomplete,2,2,Nigeria
7564102,Incomplete,2,3,Nigeria
7564107,Incomplete,1,2,Nigeria
7564110,Incomplete,1,3,Nigeria
7564111,Incomplete,3,2,Nigeria
7564112,Incomplete,2,3,Nigeria
7564113,Incomplete,2,3,Nigeria
7564115,Incomplete,2,2,Nigeria
7564117,Out,1,3,Nigeria
7564120,Incomplete,1,3,Nigeria
7564121,Out,3,3,Nigeria
7564123,Incomplete,1,2,Nigeria
7564124,Incomplete,3,3,Nigeria
7564127,Incomplete,1,3,Nigeria
7564129,Incomplete,1,2,Nigeria
7564130,Incomplete,3,3,Nigeria
7564132,Incomplete,2,2,Nigeria
7564133,Incomplete,2,3,Nigeria
7564134,Incomplete,2,3,Nigeria
7564135,Incomplete,3,3,Nigeria
7564136,Out,2,2,Nigeria
7564138,Incomplete,1,3,Nigeria
7564140,Incomplete,1,3,Nigeria
7564142,Incomplete,3,3,Nigeria
7564144,Incomplete,2,2,Nigeria
7564146,Incomplete,1,2,Nigeria
7564148,Incomplete,2,3,Nigeria
7564149,Incomplete,3,3,Nigeria
7564151,Incomplete,2,3,Nigeria
7564152,Incomplete,2,3,Nigeria
7564154,Incomplete,2,3,Nigeria
7564156,Off T,2,3,Nigeria
7564158,Incomplete,2,3,Nigeria
7564160,Incomplete,2,3,Nigeria
7564161,Incomplete,3,3,Nigeria
7564164,Goal,2,3,Nigeria
7564167,Incomplete,1,3,Nigeria
7564170,Incomplete,1,3,Nigeria
7564172,Incomplete,1,3,Nigeria
7564174,Incomplete,3,3,Nigeria
7564177,Out,3,3,Nigeria
75313,Incomplete,1,3,Iceland
75314,Incomplete,3,3,Iceland
75315,Off T,3,3,Iceland
75318,Incomplete,1,2,Iceland
753110,Incomplete,2,3,Iceland
753111,Incomplete,3,3,Iceland
753112,Off T,3,3,Iceland
753114,Incomplete,1,1,Iceland
753116,Incomplete,1,3,Iceland
753118,Incomplete,1,3,Iceland
753119,Off T,3,3,Iceland
753121,Incomplete,1,3,Iceland
753123,Incomplete,2,3,Iceland
753126,Incomplete,2,3,Iceland
753128,Saved,2,3,Iceland
753130,Blocked then Goal,2,3,Iceland
753132,Saved,1,3,Iceland
753134,Incomplete,2,2,Iceland
753136,Incomplete,2,2,Iceland
753137,Incomplete,2,3,Iceland
753139,Incomplete,2,3,Iceland
753141,Incomplete,1,3,Iceland
753142,Blocked,3,3,Iceland
753143,Saved,3,3,Iceland
753146,Out,1,3,Iceland
753148,Incomplete,1,2,Iceland
753149,Incomplete,2,3,Iceland
753151,Off T,1,3,Iceland
753153,Incomplete,1,3,Iceland
753155,Incomplete,2,3,Iceland
753156,Blocked,2,3,Iceland
753157,Incomplete,3,3,Iceland
753158,Incomplete,3,3,Iceland
753160,Incomplete,2,3,Iceland
753161,Off T,3,3,Iceland
753166,Incomplete,1,2,Iceland
753167,Incomplete,2,3,Iceland
753168,Off T,3,3,Iceland
753170,Out,1,3,Iceland
753172,Incomplete,1,2,Iceland
753175,Incomplete,2,3,Iceland
