players
"('Maximiliano Eduardo Meza', 'Left Defensive Midfield')"
"('Sergio Leonel Agüero del Castillo', 'Center Forward')"
"('Lucas Rodrigo Biglia', 'Right Center Midfield')"
"('Lionel Andrés Messi Cuccittini', 'Right Attacking Midfield')"
"('Ángel Fabián Di María Hernández', 'Left Attacking Midfield')"
"('Marcos Javier Acuña', 'Left Midfield')"
"('Ángel Fabián Di María Hernández', 'Left Wing')"
"('Nicolás Hernán Otamendi', 'Center Back')"
"('Nicolás Hernán Otamendi', 'Right Center Back')"
"('Sergio Leonel Agüero del Castillo', 'Left Center Forward')"
"('Cristian David Pavón', 'Left Attacking Midfield')"
"('Faustino Marcos Alberto Rojo', 'Left Back')"
"('Eduardo Antonio Salvio', 'Right Midfield')"
"('Enzo Nicolás Pérez', 'Right Defensive Midfield')"
"('Maximiliano Eduardo Meza', 'Right Midfield')"
"('Maximiliano Eduardo Meza', 'Left Wing')"
"('Javier Alejandro Mascherano', 'Left Defensive Midfield')"
"('Cristian David Pavón', 'Right Midfield')"
"('Paulo Bruno Exequiel Dybala', 'Right Midfield')"
"('Nicolás Alejandro Tagliafico', 'Left Center Back')"
"('Nicolás Alejandro Tagliafico', 'Left Back')"
"('Javier Alejandro Mascherano', 'Left Center Midfield')"
"('Éver Maximiliano David Banega', 'Left Center Midfield')"
"('Franco Armani', 'Goalkeeper')"
"('Federico Julián Fazio', 'Left Center Back')"
"('Ángel Fabián Di María Hernández', 'Left Midfield')"
"('Gonzalo Gerardo Higuaín', 'Left Center Forward')"
"('Maximiliano Eduardo Meza', 'Right Center Midfield')"
"('Maximiliano Eduardo Meza', 'Left Back')"
"('Cristian David Pavón', 'Right Wing')"
"('Gonzalo Gerardo Higuaín', 'Center Forward')"
"('Paulo Bruno Exequiel Dybala', 'Right Defensive Midfield')"
"('Gonzalo Gerardo Higuaín', 'Left Wing')"
"('Ángel Fabián Di María Hernández', 'Right Wing')"
"('Lionel Andrés Messi Cuccittini', 'Center Forward')"
"('Faustino Marcos Alberto Rojo', 'Left Center Back')"
"('Lionel Andrés Messi Cuccittini', 'Center Attacking Midfield')"
"('Cristian David Pavón', 'Left Wing')"
"('Federico Julián Fazio', 'Right Center Back')"
"('Maximiliano Eduardo Meza', 'Left Attacking Midfield')"
"('Gonzalo Gerardo Higuaín', 'Right Center Forward')"
"('Éver Maximiliano David Banega', 'Right Defensive Midfield')"
"('Nicolás Hernán Otamendi', 'Left Center Back')"
"('Éver Maximiliano David Banega', 'Left Center Back')"
"('Wilfredo Daniel Caballero', 'Goalkeeper')"
"('Éver Maximiliano David Banega', 'Right Center Midfield')"
"('Javier Alejandro Mascherano', 'Right Defensive Midfield')"
"('Maximiliano Eduardo Meza', 'Left Midfield')"
"('Eduardo Antonio Salvio', 'Right Back')"
"('Javier Alejandro Mascherano', 'Right Center Midfield')"
"('Gabriel Iván Mercado', 'Right Center Back')"
"('Lionel Andrés Messi Cuccittini', 'Right Center Forward')"
"('Cristian David Pavón', 'Left Midfield')"
"('Enzo Nicolás Pérez', 'Right Wing')"
"('Enzo Nicolás Pérez', 'Right Center Midfield')"
"('Enzo Nicolás Pérez', 'Center Midfield')"
"('Lionel Andrés Messi Cuccittini', 'Secondary Striker')"
"('Maximiliano Eduardo Meza', 'Right Wing')"
"('Marcos Javier Acuña', 'Left Back')"
"('Gabriel Iván Mercado', 'Right Back')"
"('Javier Alejandro Mascherano', 'Center Defensive Midfield')"
