caseID,result,start_Zone,end_Zone,opponent
75475,Incomplete,1,2,Denmark
75478,Incomplete,1,2,Denmark
754710,Blocked,1,3,Denmark
754711,Off T,3,3,Denmark
754715,Incomplete,2,3,Denmark
754716,Incomplete,3,2,Denmark
754718,Incomplete,1,3,Denmark
754720,Incomplete,2,3,Denmark
754721,Incomplete,3,3,Denmark
754725,Incomplete,1,2,Denmark
754727,Incomplete,2,2,Denmark
754730,Incomplete,1,1,Denmark
754731,Incomplete,1,3,Denmark
754733,Incomplete,1,3,Denmark
754735,Incomplete,1,3,Denmark
754737,Incomplete,1,2,Denmark
754738,Incomplete,1,1,Denmark
754741,Off T,3,3,Denmark
754744,Incomplete,1,3,Denmark
754745,Incomplete,2,3,Denmark
754746,Out,3,3,Denmark
754748,Incomplete,2,2,Denmark
754750,Blocked,2,3,Denmark
754752,Incomplete,2,2,Denmark
754754,Injury Clearance,3,3,Denmark
754757,Incomplete,1,3,Denmark
754758,Incomplete,3,3,Denmark
754760,Incomplete,2,3,Denmark
754761,Blocked,3,3,Denmark
754762,Goal,3,3,Denmark
754768,Incomplete,1,2,Denmark
754769,Incomplete,3,3,Denmark
754770,Incomplete,2,2,Denmark
754771,Incomplete,3,3,Denmark
754772,Incomplete,3,3,Denmark
754774,Incomplete,2,2,Denmark
754776,Incomplete,1,2,Denmark
754778,Incomplete,1,2,Denmark
754779,Out,2,3,Denmark
754782,Incomplete,2,2,Denmark
754783,Incomplete,2,3,Denmark
754786,Incomplete,1,3,Denmark
754789,Incomplete,1,2,Denmark
754791,Incomplete,1,3,Denmark
754793,Out,1,2,Denmark
754795,Incomplete,1,3,Denmark
754797,Incomplete,2,2,Denmark
754799,Incomplete,1,2,Denmark
7547101,Incomplete,1,3,Denmark
7547102,Out,3,3,Denmark
7547105,Incomplete,1,2,Denmark
7547107,Incomplete,2,3,Denmark
7547108,Incomplete,3,3,Denmark
7547109,Incomplete,3,3,Denmark
7547112,Incomplete,2,3,Denmark
7547114,Incomplete,2,3,Denmark
7547116,Incomplete,1,2,Denmark
7547117,Incomplete,3,3,Denmark
7547119,Incomplete,1,3,Denmark
7547120,Incomplete,3,3,Denmark
7547122,Incomplete,1,2,Denmark
7547124,Incomplete,1,3,Denmark
7547125,Out,3,3,Denmark
7547127,Incomplete,1,1,Denmark
7547129,Incomplete,1,3,Denmark
7547131,Off T,1,3,Denmark
7547133,Saved,2,3,Denmark
7547135,Incomplete,1,3,Denmark
7547137,Saved,2,3,Denmark
7547139,Incomplete,1,2,Denmark
7547141,Incomplete,1,3,Denmark
7547143,Incomplete,1,2,Denmark
7547145,Incomplete,1,3,Denmark
7547147,Out,1,3,Denmark
7547149,Incomplete,1,3,Denmark
7547152,Incomplete,1,2,Denmark
7547153,Incomplete,2,3,Denmark
7547155,Incomplete,2,2,Denmark
7547157,Incomplete,1,2,Denmark
7547159,Saved,2,3,Denmark
7547161,Incomplete,2,None,Denmark
7547163,Incomplete,1,2,Denmark
7547164,Incomplete,2,3,Denmark
7547167,Incomplete,1,2,Denmark
7547168,Incomplete,2,3,Denmark
7547170,Incomplete,1,3,Denmark
75624,Incomplete,2,3,Peru
75627,Incomplete,2,3,Peru
75628,Incomplete,2,3,Peru
75629,Out,2,3,Peru
756211,Incomplete,2,2,Peru
756212,Incomplete,2,2,Peru
756214,Off T,1,3,Peru
756216,Incomplete,1,3,Peru
756217,Incomplete,3,3,Peru
756219,Incomplete,2,3,Peru
756221,Incomplete,2,2,Peru
756222,Out,3,3,Peru
756224,Incomplete,2,2,Peru
756226,Incomplete,1,3,Peru
756227,Blocked,3,3,Peru
756228,Out,3,3,Peru
756230,Incomplete,1,3,Peru
756231,Injury Clearance,2,3,Peru
756235,Incomplete,1,2,Peru
756237,Incomplete,2,3,Peru
756238,Incomplete,3,3,Peru
756239,Incomplete,3,3,Peru
756241,Incomplete,3,3,Peru
756243,Incomplete,1,3,Peru
756244,Incomplete,2,3,Peru
756248,Incomplete,1,2,Peru
756250,Incomplete,1,3,Peru
756252,Incomplete,2,2,Peru
756253,Saved,2,3,Peru
756254,Incomplete,3,3,Peru
756256,Incomplete,1,3,Peru
756258,Incomplete,1,2,Peru
756260,Pass Offside,1,3,Peru
756262,Incomplete,2,3,Peru
756264,Incomplete,1,3,Peru
756265,Off T,3,3,Peru
756267,Incomplete,2,2,Peru
756268,Incomplete,1,2,Peru
756270,Incomplete,1,3,Peru
756271,Off T,3,3,Peru
756274,Incomplete,1,1,Peru
756275,Incomplete,1,2,Peru
756279,Incomplete,2,2,Peru
756280,Incomplete,3,3,Peru
756282,Incomplete,1,1,Peru
756284,Incomplete,1,3,Peru
756286,Incomplete,2,3,Peru
756288,Incomplete,1,2,Peru
756290,Incomplete,2,3,Peru
756291,Saved,3,3,Peru
756293,Incomplete,1,3,Peru
756296,Incomplete,2,2,Peru
756298,Incomplete,1,3,Peru
756299,Blocked,3,3,Peru
7562100,Incomplete,3,3,Peru
7562101,Incomplete,3,3,Peru
7562103,Incomplete,2,2,Peru
7562105,Incomplete,2,3,Peru
7562106,Incomplete,3,3,Peru
