players
"('Mathew Leckie', 'Right Wing')"
"('Mathew Ryan', 'Goalkeeper')"
"('Daniel Arzani', 'Left Midfield')"
"('Robbie Kruse', 'Left Midfield')"
"('Mile Jedinak', 'Right Center Midfield')"
"('Tomi Jurić', 'Center Forward')"
"('Mark Milligan', 'Left Center Back')"
"('Aaron Mooy', 'Left Center Midfield')"
"('Tom Rogić', 'Center Attacking Midfield')"
"('Mile Jedinak', 'Left Center Midfield')"
"('Aziz Eraltay Behich', 'Left Back')"
"('Tom Rogić', 'Secondary Striker')"
"('Trent Sainsbury', 'Right Center Back')"
"('Jackson Irvine', 'Center Attacking Midfield')"
"('Mathew Leckie', 'Right Midfield')"
"('Aaron Mooy', 'Right Center Midfield')"
"('Robbie Kruse', 'Left Wing')"
"('Tim Cahill', 'Center Forward')"
"('Daniel Arzani', 'Left Wing')"
"('Josh Risdon', 'Right Back')"
"('Jackson Irvine', 'Secondary Striker')"
"('Andrew Nabbout', 'Center Forward')"
