caseID,action,type,technique,play_pattern,under_pressure,shot_assist,angle,length,height,recipient,startTime,period,minute,duration,endTime,possession_team,team_action,player,player_position,body_part,start_X,start_Y,end_X,end_Y,bad_behavior,result,home_team,away_team,action_type,action_count,action_type_count
8657102,Pass,None,None,From Keeper,None,None,-0.055498507,36.05551,,Thomas Meunier,00:23:18.658,2,68,2.9330000000000003,00:23:21.591000,Belgium,Belgium,Toby Albertine Maurits Alderweireld,Right Center Back,Right Foot,50.0,79.0,86.0,77.0,None,None,England,Belgium,Pass_None,Pass_1,Pass_None_1
8657102,Pass,None,None,From Keeper,None,None,-1.2490457,41.109608,,Kevin De Bruyne,00:23:25.791,2,68,3.28,00:23:29.071000,Belgium,Belgium,Thomas Meunier,Right Wing Back,Left Foot,107.0,65.0,120.0,26.0,None,Out,England,Belgium,Pass_None,Pass_2,Pass_None_2
8657105,Pass,None,None,Regular Play,None,None,-1.4659194,19.104973,,,00:25:35.378,2,70,1.733,00:25:37.111000,Belgium,Belgium,Thomas Meunier,Right Wing Back,Head,79.0,76.0,81.0,57.0,None,Incomplete,England,Belgium,Pass_None,Pass_1,Pass_None_1
865711,Ball Recovery,None,None,Regular Play,True,None,,,,,00:05:14.093,1,5,,None,Belgium,Belgium,Youri Tielemans,Right Defensive Midfield,,51.0,41.0,,,None,None,England,Belgium,Ball Recovery_None,Ball Recovery_1,Ball Recovery_None_1
865711,Pass,None,None,Regular Play,True,None,1.9513026000000002,16.155495000000002,,Toby Albertine Maurits Alderweireld,00:05:14.613,1,5,1.426,00:05:16.039000,Belgium,Belgium,Youri Tielemans,Right Defensive Midfield,Right Foot,51.0,43.0,45.0,58.0,None,None,England,Belgium,Pass_None,Pass_1,Pass_None_1
865711,Pass,None,None,Regular Play,None,None,0.0,16.0,,Kevin De Bruyne,00:05:17.373,1,5,1.04,00:05:18.413000,Belgium,Belgium,Toby Albertine Maurits Alderweireld,Right Center Back,Right Foot,48.0,59.0,64.0,59.0,None,None,England,Belgium,Pass_None,Pass_2,Pass_None_2
865711,Pass,None,None,Regular Play,None,None,0.0,8.0,,Thomas Meunier,00:05:18.533,1,5,0.52,00:05:19.053000,Belgium,Belgium,Kevin De Bruyne,Right Wing,Right Foot,64.0,60.0,72.0,60.0,None,Incomplete,England,Belgium,Pass_None,Pass_3,Pass_None_3
865711,Ball Recovery,None,None,Regular Play,None,None,,,,,00:05:20.253,1,5,,None,Belgium,Belgium,Toby Albertine Maurits Alderweireld,Right Center Back,,50.0,74.0,,,None,None,England,Belgium,Ball Recovery_None,Ball Recovery_2,Ball Recovery_None_2
865711,Pass,None,None,Regular Play,True,None,0.15264933,13.152946,,Kevin De Bruyne,00:05:21.333,1,5,0.76,00:05:22.093000,Belgium,Belgium,Toby Albertine Maurits Alderweireld,Right Center Back,Left Foot,50.0,74.0,63.0,76.0,None,None,England,Belgium,Pass_None,Pass_4,Pass_None_4
865711,Pass,None,None,Regular Play,True,None,-1.1071488,11.18034,,Eden Hazard,00:05:23.853,1,5,0.84,00:05:24.693000,Belgium,Belgium,Kevin De Bruyne,Right Wing,Right Foot,71.0,77.0,76.0,67.0,None,None,England,Belgium,Pass_None,Pass_5,Pass_None_5
