caseID,result,start_Zone,end_Zone,opponent
86572,Incomplete,2,2,England
86575,Incomplete,1,3,England
86577,Goal,2,3,England
86579,Incomplete,2,2,England
865711,Incomplete,2,2,England
865712,Incomplete,2,2,England
865714,Incomplete,2,2,England
865716,Incomplete,1,2,England
865718,Incomplete,2,3,England
865721,Incomplete,1,2,England
865723,Saved,1,3,England
865724,Incomplete,3,3,England
865726,Incomplete,2,3,England
865728,Pass Offside,2,3,England
865730,Out,1,1,England
865732,Incomplete,3,3,England
865734,Incomplete,1,2,England
865737,Incomplete,2,3,England
865739,Incomplete,1,3,England
865742,Incomplete,2,2,England
865744,Incomplete,1,3,England
865747,Blocked,2,3,England
865749,Blocked,1,3,England
865750,Off T,3,3,England
865752,Incomplete,1,3,England
865755,Incomplete,1,3,England
865756,Incomplete,3,3,England
865758,Incomplete,2,2,England
865759,Out,2,3,England
865762,Incomplete,1,3,England
865764,Incomplete,2,2,England
865765,Incomplete,2,3,England
865767,Blocked,3,3,England
865769,Incomplete,1,2,England
865771,Blocked,1,3,England
865773,Incomplete,1,2,England
865774,Incomplete,2,2,England
865776,Incomplete,1,1,England
865780,Incomplete,1,2,England
865781,Incomplete,2,3,England
865785,Incomplete,1,2,England
865787,Incomplete,1,3,England
865789,Incomplete,1,2,England
865791,Incomplete,1,3,England
865792,Incomplete,3,2,England
865794,Incomplete,2,3,England
865795,Incomplete,3,3,England
865796,Incomplete,3,3,England
865799,Incomplete,1,3,England
8657102,Out,2,3,England
8657105,Incomplete,2,3,England
8657111,Incomplete,1,1,England
8657113,Incomplete,1,3,England
8657114,Incomplete,3,3,England
8657116,Incomplete,2,2,England
8657118,Off T,1,3,England
8657120,Incomplete,1,2,England
8657124,Saved,1,3,England
8657126,Incomplete,1,2,England
8657128,Goal,1,3,England
8657130,Incomplete,2,3,England
8657134,Incomplete,1,3,England
8657136,Incomplete,1,3,England
8657138,Incomplete,1,2,England
8657139,Incomplete,2,2,England
8657141,Incomplete,1,3,England
8657143,Incomplete,1,2,England
8657144,Incomplete,2,3,England
8657145,Incomplete,3,3,England
86503,Out,2,3,Brazil
86505,Off T,3,3,Brazil
86507,Incomplete,2,1,Brazil
86508,Incomplete,1,1,Brazil
865010,Incomplete,1,2,Brazil
865011,Out,2,2,Brazil
865014,Incomplete,2,3,Brazil
865018,Blocked,1,3,Brazil
865021,Incomplete,1,2,Brazil
865022,Incomplete,1,2,Brazil
865023,Blocked,3,3,Brazil
865024,Incomplete,3,3,Brazil
865028,Incomplete,2,2,Brazil
865029,Out,2,2,Brazil
865031,Incomplete,1,3,Brazil
865033,Incomplete,1,2,Brazil
865034,Incomplete,2,2,Brazil
865036,Incomplete,1,2,Brazil
865037,Incomplete,2,3,Brazil
865039,Incomplete,1,1,Brazil
865040,Incomplete,2,2,Brazil
865042,Incomplete,1,3,Brazil
865043,Incomplete,3,3,Brazil
865045,Incomplete,1,2,Brazil
865048,Incomplete,1,3,Brazil
865050,Incomplete,1,2,Brazil
865052,Incomplete,2,None,Brazil
865054,Incomplete,1,2,Brazil
865058,Goal,2,3,Brazil
865061,Incomplete,1,3,Brazil
865062,Incomplete,3,2,Brazil
865064,Incomplete,1,3,Brazil
865069,Incomplete,1,3,Brazil
865070,Saved,3,3,Brazil
865071,Saved,3,3,Brazil
865073,Incomplete,1,2,Brazil
865077,Incomplete,2,2,Brazil
865079,Incomplete,2,2,Brazil
865080,Incomplete,3,3,Brazil
865083,Incomplete,2,3,Brazil
865086,Incomplete,2,2,Brazil
865088,Incomplete,1,2,Brazil
865094,Incomplete,1,2,Brazil
865097,Incomplete,1,3,Brazil
865099,Incomplete,3,3,Brazil
8650101,Incomplete,1,2,Brazil
8650102,Out,1,2,Brazil
8650104,Incomplete,1,2,Brazil
8650106,Incomplete,1,2,Brazil
8650108,Off T,2,3,Brazil
8650110,Incomplete,1,2,Brazil
8650112,Incomplete,1,2,Brazil
8650113,Incomplete,2,3,Brazil
8650115,Incomplete,1,2,Brazil
8650116,Incomplete,3,3,Brazil
8650117,Incomplete,2,3,Brazil
8650119,Incomplete,1,2,Brazil
8650120,Incomplete,2,2,Brazil
8650121,Incomplete,2,3,Brazil
8650123,Incomplete,1,2,Brazil
8650125,Incomplete,2,3,Brazil
8650128,Incomplete,1,2,Brazil
8650131,Incomplete,2,3,Brazil
8650133,Incomplete,2,2,Brazil
8650135,Incomplete,1,3,Brazil
8650138,Incomplete,1,2,Brazil
8650141,Incomplete,3,3,Brazil
8650143,Incomplete,1,2,Brazil
8650146,Incomplete,1,3,Brazil
8650148,Incomplete,1,2,Brazil
8650150,Incomplete,1,3,Brazil
8650151,Incomplete,3,3,Brazil
8650153,Incomplete,1,2,Brazil
8650155,Incomplete,2,2,Brazil
8650156,Incomplete,2,2,Brazil
8650158,Out,1,3,Brazil
8650160,Incomplete,2,2,Brazil
8650162,Incomplete,1,3,Brazil
8650164,Incomplete,2,3,Brazil
8650166,Incomplete,1,None,Brazil
8650167,Incomplete,3,3,Brazil
8650170,Incomplete,1,3,Brazil
8650171,Incomplete,3,3,Brazil
86553,Out,1,2,France
86555,Incomplete,2,3,France
86556,Incomplete,3,3,France
86557,Incomplete,2,3,France
86558,Out,3,3,France
865510,Out,2,3,France
865512,Incomplete,1,1,France
865514,Incomplete,1,3,France
865515,Incomplete,3,2,France
865517,Incomplete,2,3,France
865520,Pass Offside,2,3,France
865522,Incomplete,1,3,France
865524,Off T,2,3,France
865526,Incomplete,1,2,France
865529,Blocked,1,3,France
865530,Incomplete,3,3,France
865532,Incomplete,2,3,France
865533,Saved,3,3,France
865534,Incomplete,3,3,France
865536,Incomplete,1,3,France
865540,Incomplete,1,3,France
865542,Incomplete,2,3,France
865543,Incomplete,3,3,France
865545,Incomplete,1,2,France
865547,Incomplete,1,2,France
865550,Incomplete,2,2,France
865552,Incomplete,2,2,France
865554,Incomplete,2,3,France
865556,Incomplete,1,1,France
865557,Incomplete,2,3,France
865559,Incomplete,1,3,France
865562,Incomplete,1,2,France
865564,Incomplete,1,3,France
865569,Incomplete,1,3,France
865570,Incomplete,2,3,France
865571,Incomplete,3,3,France
865573,Off T,1,3,France
865575,Incomplete,1,2,France
865576,Incomplete,2,3,France
865579,Incomplete,2,2,France
865583,Incomplete,1,2,France
865586,Incomplete,2,3,France
865589,Off T,1,3,France
865591,Out,2,2,France
865593,Incomplete,2,2,France
865595,Incomplete,3,3,France
865596,Incomplete,2,2,France
865597,Incomplete,3,3,France
865598,Incomplete,3,2,France
8655100,Incomplete,1,3,France
8655101,Off T,3,3,France
8655104,Incomplete,1,2,France
8655106,Incomplete,1,3,France
8655108,Incomplete,1,3,France
8655111,Incomplete,1,3,France
8655112,Incomplete,3,3,France
8655114,Incomplete,1,3,France
8655115,Incomplete,1,3,France
8655117,Off T,1,3,France
8655119,Out,2,3,France
8655121,Incomplete,1,2,France
8655124,Incomplete,1,3,France
8655126,Injury Clearance,3,3,France
8655128,Incomplete,2,None,France
8655130,Saved,2,3,France
8655133,Incomplete,2,3,France
8655135,Incomplete,2,3,France
8655137,Incomplete,3,None,France
8655138,Out,3,3,France
8655142,Incomplete,1,1,France
8655144,Incomplete,1,2,France
8655146,Incomplete,1,3,France
8655149,Incomplete,1,3,France
75363,Incomplete,1,3,Panama
75365,Off T,3,3,Panama
75367,Incomplete,1,3,Panama
753610,Incomplete,1,1,Panama
753611,Incomplete,1,3,Panama
753612,Incomplete,3,3,Panama
753615,Saved,2,3,Panama
753617,Saved,1,3,Panama
753618,Incomplete,3,3,Panama
753619,Incomplete,3,3,Panama
753620,Incomplete,3,3,Panama
753622,Incomplete,3,3,Panama
753625,Out,3,3,Panama
753628,Incomplete,1,2,Panama
753630,Off T,3,3,Panama
753632,Out,1,2,Panama
753637,Incomplete,1,3,Panama
753639,Incomplete,1,None,Panama
753641,Incomplete,1,2,Panama
753643,Incomplete,2,3,Panama
753644,Off T,3,3,Panama
753646,Incomplete,1,3,Panama
753648,Incomplete,1,2,Panama
753649,Incomplete,2,3,Panama
753650,Off T,3,3,Panama
753652,Incomplete,1,2,Panama
753654,Incomplete,1,3,Panama
753656,Incomplete,1,3,Panama
753657,Incomplete,3,2,Panama
753659,Off T,3,3,Panama
753661,Incomplete,2,3,Panama
753663,Incomplete,2,3,Panama
753664,Incomplete,3,3,Panama
753665,Incomplete,3,3,Panama
753666,Incomplete,3,3,Panama
753667,Incomplete,3,3,Panama
753668,Incomplete,2,2,Panama
753670,Out,2,3,Panama
753672,Incomplete,2,2,Panama
753673,Incomplete,2,3,Panama
753676,Incomplete,1,3,Panama
753678,Incomplete,1,3,Panama
753680,Saved,2,3,Panama
753681,Incomplete,3,3,Panama
753684,Incomplete,1,3,Panama
753685,Off T,3,2,Panama
753687,Incomplete,1,1,Panama
753688,Incomplete,1,2,Panama
753690,Incomplete,1,3,Panama
753692,Incomplete,1,3,Panama
753694,Incomplete,2,3,Panama
753698,Incomplete,1,1,Panama
753699,Incomplete,2,3,Panama
7536100,Incomplete,2,3,Panama
7536101,Incomplete,3,3,Panama
7536102,Goal,2,3,Panama
7536104,Incomplete,1,2,Panama
7536105,Incomplete,3,3,Panama
7536106,Incomplete,3,2,Panama
7536108,Incomplete,1,3,Panama
7536110,Incomplete,1,2,Panama
7536111,Incomplete,2,3,Panama
7536112,Off T,3,3,Panama
7536114,Incomplete,1,3,Panama
7536118,Incomplete,1,2,Panama
7536122,Out,3,3,Panama
7536124,Out,2,3,Panama
7536126,Incomplete,1,3,Panama
7536128,Incomplete,3,3,Panama
7536130,Incomplete,3,3,Panama
7536131,Incomplete,3,3,Panama
7536133,Incomplete,1,3,Panama
7536134,Incomplete,3,3,Panama
7536135,Blocked,3,3,Panama
7536136,Out,3,3,Panama
7536138,Incomplete,2,3,Panama
7536139,Goal,3,3,Panama
7536141,Incomplete,1,3,Panama
7536144,Incomplete,1,3,Panama
7536146,Incomplete,1,1,Panama
7536147,Incomplete,1,1,Panama
7536149,Goal,1,3,Panama
7536151,Incomplete,1,None,Panama
7536153,Incomplete,1,3,Panama
7536155,Incomplete,2,3,Panama
7536157,Incomplete,1,3,Panama
7536159,Incomplete,1,3,Panama
7536161,Incomplete,3,3,Panama
7536162,Pass Offside,3,3,Panama
7536164,Incomplete,1,3,Panama
7536165,Blocked,3,3,Panama
7536166,Incomplete,3,2,Panama
7536168,Incomplete,1,3,Panama
7536170,Incomplete,1,2,Panama
7536172,Incomplete,1,2,Panama
7536173,Incomplete,2,3,Panama
7536175,Incomplete,1,1,Panama
7536177,Incomplete,3,3,Panama
7536178,Incomplete,3,3,Panama
7536181,Incomplete,1,2,Panama
7536182,Out,2,3,Panama
7536184,Incomplete,2,3,Panama
7536188,Incomplete,1,1,Panama
75703,Incomplete,1,1,England
75704,Incomplete,1,2,England
75706,Incomplete,1,1,England
75708,Incomplete,1,2,England
75709,Incomplete,3,3,England
757011,Incomplete,1,2,England
757014,Incomplete,1,3,England
757015,Incomplete,3,3,England
757017,Saved,2,3,England
757022,Incomplete,1,3,England
757024,Blocked,1,3,England
757026,Incomplete,2,2,England
757030,Incomplete,1,2,England
757032,Incomplete,1,2,England
757034,Incomplete,1,3,England
757036,Incomplete,2,2,England
757038,Incomplete,1,1,England
757039,Incomplete,2,3,England
757042,Incomplete,1,1,England
757045,Incomplete,1,2,England
757048,Incomplete,1,2,England
757049,Incomplete,3,None,England
757051,Incomplete,2,3,England
757053,Out,3,3,England
757055,Blocked,2,3,England
757056,Blocked,3,3,England
757058,Incomplete,1,2,England
757060,Incomplete,1,1,England
757064,Incomplete,1,3,England
757068,Blocked,1,3,England
757069,Incomplete,3,3,England
757071,Incomplete,1,2,England
757072,Off T,2,3,England
757074,Incomplete,2,3,England
757076,Incomplete,1,3,England
757078,Incomplete,1,3,England
757081,Incomplete,1,2,England
757083,Incomplete,1,3,England
757087,Incomplete,2,3,England
757088,Incomplete,3,3,England
757090,Out,2,2,England
757092,Incomplete,1,2,England
757094,Incomplete,3,3,England
757096,Goal,1,3,England
7570101,Incomplete,1,2,England
7570103,Blocked,3,3,England
7570104,Incomplete,3,2,England
7570105,Out,2,3,England
7570108,Pass Offside,1,2,England
7570110,Incomplete,1,1,England
7570112,Incomplete,1,3,England
7570114,Incomplete,1,2,England
7570116,Incomplete,1,2,England
7570118,Incomplete,1,3,England
7570120,Out,3,3,England
7570124,Incomplete,1,2,England
7570126,Incomplete,2,3,England
7570128,Out,1,3,England
7570130,Incomplete,1,2,England
