players
"('Vincent Kompany', 'Center Back')"
"('Eden Hazard', 'Left Center Forward')"
"('Marouane Fellaini-Bakkioui', 'Center Defensive Midfield')"
"('Moussa Sidi Yaya Dembélé', 'Left Center Midfield')"
"('Dries Mertens', 'Center Forward')"
"('Kevin De Bruyne', 'Center Attacking Midfield')"
"('Kevin De Bruyne', 'Left Attacking Midfield')"
"('Marouane Fellaini-Bakkioui', 'Left Center Midfield')"
"('Marouane Fellaini-Bakkioui', 'Center Attacking Midfield')"
"('Toby Albertine Maurits Alderweireld', 'Right Center Back')"
"('Thorgan Hazard', 'Left Midfield')"
"('Marouane Fellaini-Bakkioui', 'Left Wing')"
"('Jan Vertonghen', 'Left Wing Back')"
"('Youri Tielemans', 'Left Center Midfield')"
"('Axel Witsel', 'Center Midfield')"
"('Michy Batshuayi Tunga', 'Left Center Forward')"
"('Axel Witsel', 'Left Defensive Midfield')"
"('Adnan Januzaj', 'Right Wing')"
"('Nacer Chadli', 'Right Back')"
"('Kevin De Bruyne', 'Right Center Forward')"
"('Romelu Lukaku Menama', 'Center Forward')"
"('Eden Hazard', 'Left Attacking Midfield')"
"('Kevin De Bruyne', 'Secondary Striker')"
"('Axel Witsel', 'Left Center Midfield')"
"('Eden Hazard', 'Left Wing')"
"('Marouane Fellaini-Bakkioui', 'Right Defensive Midfield')"
"('Youri Tielemans', 'Right Attacking Midfield')"
"('Jan Vertonghen', 'Left Center Back')"
"('Nacer Chadli', 'Left Wing Back')"
"('Anga Dedryck Boyata', 'Center Back')"
"('Marouane Fellaini-Bakkioui', 'Right Attacking Midfield')"
"('Dries Mertens', 'Right Wing')"
"('Yannick Ferreira Carrasco', 'Left Center Midfield')"
"('Thorgan Hazard', 'Right Wing')"
"('Adnan Januzaj', 'Left Wing')"
"('Toby Albertine Maurits Alderweireld', 'Right Back')"
"('Thomas Meunier', 'Right Midfield')"
"('Nacer Chadli', 'Left Center Midfield')"
"('Marouane Fellaini-Bakkioui', 'Right Wing')"
"('Michy Batshuayi Tunga', 'Center Forward')"
"('Thomas Meunier', 'Right Wing Back')"
"('Marouane Fellaini-Bakkioui', 'Right Center Midfield')"
"('Dries Mertens', 'Right Attacking Midfield')"
"('Kevin De Bruyne', 'Right Wing')"
"('Yannick Ferreira Carrasco', 'Left Midfield')"
"('Kevin De Bruyne', 'Right Center Midfield')"
"('Thomas Meunier', 'Right Back')"
"('Leander Dendoncker', 'Right Center Back')"
"('Vincent Kompany', 'Left Center Back')"
"('Yannick Ferreira Carrasco', 'Left Wing Back')"
"('Anga Dedryck Boyata', 'Left Center Back')"
"('Moussa Sidi Yaya Dembélé', 'Center Defensive Midfield')"
"('Nacer Chadli', 'Right Midfield')"
"('Thibaut Courtois', 'Goalkeeper')"
"('Dries Mertens', 'Right Center Forward')"
"('Thomas Vermaelen', 'Left Center Back')"
"('Youri Tielemans', 'Right Defensive Midfield')"
"('Axel Witsel', 'Center Defensive Midfield')"
"('Axel Witsel', 'Right Center Midfield')"
"('Kevin De Bruyne', 'Left Center Midfield')"
"('Moussa Sidi Yaya Dembélé', 'Right Defensive Midfield')"
"('Romelu Lukaku Menama', 'Right Wing')"
"('Moussa Sidi Yaya Dembélé', 'Right Center Midfield')"
"('Jan Vertonghen', 'Left Back')"
