caseID,action,type,technique,play_pattern,under_pressure,shot_assist,angle,length,height,recipient,startTime,period,minute,duration,endTime,possession_team,team_action,player,player_position,body_part,start_X,start_Y,end_X,end_Y,bad_behavior,result,home_team,away_team,action_type,action_count,action_type_count
758310,Pass,None,None,Regular Play,None,True,-0.5404194999999999,11.661903,,Neymar da Silva Santos Junior,00:04:43.960,1,4,1.24,00:04:45.200000,Brazil,Brazil,Carlos Henrique Casimiro,Right Center Midfield,Right Foot,79.0,48.0,89.0,42.0,None,None,Mexico,Brazil,Pass_None,Pass_1,Pass_None_1
758310,Shot,Open Play,Normal,Regular Play,None,None,,,,,00:04:47.147,1,4,0.733,00:04:47.880000,Brazil,Brazil,Neymar da Silva Santos Junior,Right Center Forward,Right Foot,96.0,43.0,115.0,40.4,None,Saved,Mexico,Brazil,Shot_Open Play,Shot_1,Shot_Open Play_1
758310,Pass,Recovery,None,Regular Play,True,None,2.5535900000000002,7.211102499999999,,Willian Borges da Silva,00:04:51.360,1,4,0.56,00:04:51.920000,Brazil,Brazil,José Paulo Bezzera Maciel Júnior,Left Center Midfield,Left Foot,118.0,64.0,112.0,68.0,None,None,Mexico,Brazil,Pass_Recovery,Pass_2,Pass_Recovery_1
758310,Pass,None,None,Regular Play,True,None,-2.7367008,15.231546,,Carlos Henrique Casimiro,00:04:57.920,1,4,0.92,00:04:58.840000,Brazil,Brazil,Willian Borges da Silva,Right Wing,Right Foot,106.0,66.0,92.0,60.0,None,None,Mexico,Brazil,Pass_None,Pass_3,Pass_None_2
758310,Pass,None,None,Regular Play,None,None,-0.7378151,14.866069,,Gabriel Fernando de Jesus,00:04:58.840,1,4,2.84,00:05:01.680000,Brazil,Brazil,Carlos Henrique Casimiro,Right Center Midfield,Right Foot,92.0,58.0,103.0,48.0,None,Incomplete,Mexico,Brazil,Pass_None,Pass_4,Pass_None_3
758310,Ball Recovery,None,None,Regular Play,None,None,,,,,00:05:06.200,1,5,0.0,00:05:06.200000,Brazil,Brazil,Alisson Ramsés Becker,Goalkeeper,,30.0,57.0,,,None,None,Mexico,Brazil,Ball Recovery_None,Ball Recovery_1,Ball Recovery_None_1
758310,Pass,None,None,Regular Play,None,None,-1.5707964,14.0,,João Miranda de Souza Filho,00:05:07.840,1,5,0.84,00:05:08.680000,Brazil,Brazil,Alisson Ramsés Becker,Goalkeeper,Right Foot,31.0,54.0,31.0,40.0,None,None,Mexico,Brazil,Pass_None,Pass_5,Pass_None_4
758310,Pass,None,None,Regular Play,None,None,1.1071488,13.416407999999999,,Thiago Emiliano da Silva,00:05:10.880,1,5,1.12,00:05:12,Brazil,Brazil,João Miranda de Souza Filho,Left Center Back,Left Foot,32.0,44.0,38.0,56.0,None,None,Mexico,Brazil,Pass_None,Pass_6,Pass_None_5
758310,Pass,None,None,Regular Play,None,None,-1.3854483,16.27882,,José Paulo Bezzera Maciel Júnior,00:05:16.720,1,5,0.84,00:05:17.560000,Brazil,Brazil,Thiago Emiliano da Silva,Right Center Back,Right Foot,50.0,52.0,53.0,36.0,None,None,Mexico,Brazil,Pass_None,Pass_7,Pass_None_6
758310,Pass,None,None,Regular Play,None,None,-1.8417432,18.681541,,Filipe Luis Kasmirski,00:05:18.720,1,5,1.08,00:05:19.800000,Brazil,Brazil,José Paulo Bezzera Maciel Júnior,Left Center Midfield,Right Foot,53.0,33.0,48.0,15.0,None,None,Mexico,Brazil,Pass_None,Pass_8,Pass_None_7
758310,Pass,None,None,Regular Play,True,None,-0.6556956,16.401220000000002,,Neymar da Silva Santos Junior,00:05:20.720,1,5,1.04,00:05:21.760000,Brazil,Brazil,Filipe Luis Kasmirski,Left Back,Left Foot,49.0,12.0,62.0,2.0,None,None,Mexico,Brazil,Pass_None,Pass_9,Pass_None_8
758310,Pass,None,None,Regular Play,None,None,2.2565258,28.425340000000002,,João Miranda de Souza Filho,00:05:23.440,1,5,1.64,00:05:25.080000,Brazil,Brazil,Neymar da Silva Santos Junior,Right Center Forward,Right Foot,57.0,3.0,39.0,25.0,None,None,Mexico,Brazil,Pass_None,Pass_10,Pass_None_9
758310,Pass,None,None,Regular Play,True,None,1.4601392,9.055386,,Thiago Emiliano da Silva,00:05:28.200,1,5,0.6,00:05:28.800000,Brazil,Brazil,João Miranda de Souza Filho,Left Center Back,Right Foot,44.0,42.0,45.0,51.0,None,None,Mexico,Brazil,Pass_None,Pass_11,Pass_None_10
758310,Pass,None,None,Regular Play,True,None,1.5707964,18.0,,Fágner Conserva Lemos,00:05:30.000,1,5,0.96,00:05:30.960000,Brazil,Brazil,Thiago Emiliano da Silva,Right Center Back,Right Foot,45.0,55.0,45.0,73.0,None,None,Mexico,Brazil,Pass_None,Pass_12,Pass_None_11
758310,Pass,None,None,Regular Play,None,None,-2.1910458,8.602325,,Thiago Emiliano da Silva,00:05:32.040,1,5,0.96,00:05:33,Brazil,Brazil,Fágner Conserva Lemos,Right Back,Right Foot,44.0,75.0,39.0,68.0,None,None,Mexico,Brazil,Pass_None,Pass_13,Pass_None_12
758310,Pass,None,None,Regular Play,True,None,-1.012197,18.867962,,Carlos Henrique Casimiro,00:05:34.280,1,5,1.146,00:05:35.426000,Brazil,Brazil,Thiago Emiliano da Silva,Right Center Back,Right Foot,38.0,63.0,48.0,47.0,None,None,Mexico,Brazil,Pass_None,Pass_14,Pass_None_13
758310,Pass,None,None,Regular Play,None,None,-3.024484,34.234486,,Alisson Ramsés Becker,00:05:35.599,1,5,1.84,00:05:37.439000,Brazil,Brazil,Carlos Henrique Casimiro,Right Center Midfield,Right Foot,47.0,47.0,13.0,43.0,None,None,Mexico,Brazil,Pass_None,Pass_15,Pass_None_14
