caseID,action,type,technique,play_pattern,under_pressure,shot_assist,angle,length,height,recipient,startTime,period,minute,duration,endTime,possession_team,team_action,player,player_position,body_part,start_X,start_Y,end_X,end_Y,bad_behavior,result,home_team,away_team,action_type,action_count,action_type_count
7555101,Dribble,None,None,From Counter,None,None,,,,,00:02:11.053,2,47,,None,Colombia,Colombia,Radamel Falcao García Zárate,Center Forward,,88.0,78.0,,,None,Incomplete,Colombia,Poland,Dribble_None,Dribble_1,Dribble_None_1
7555103,Ball Recovery,None,None,From Counter,None,None,,,,,00:02:30.533,2,47,,None,Colombia,Colombia,Andrés Mateus Uribe Villa,Right Defensive Midfield,,56.0,6.0,,,None,None,Colombia,Poland,Ball Recovery_None,Ball Recovery_1,Ball Recovery_None_1
7555103,Pass,None,None,From Counter,True,None,2.819842,3.1622777,,James David Rodríguez Rubio,00:02:31.653,2,47,0.36,00:02:32.013000,Colombia,Colombia,Andrés Mateus Uribe Villa,Right Defensive Midfield,Right Foot,51.0,6.0,48.0,7.0,None,None,Colombia,Poland,Pass_None,Pass_1,Pass_None_1
7555103,Dribble,None,None,From Counter,None,None,,,,,00:02:32.653,2,47,,None,Colombia,Colombia,James David Rodríguez Rubio,Left Wing,,48.0,7.0,,,None,Complete,Colombia,Poland,Dribble_None,Dribble_1,Dribble_None_1
7555103,Pass,None,None,From Counter,None,None,1.2151604999999999,37.336308,,Radamel Falcao García Zárate,00:02:34.413,2,47,1.6,00:02:36.013000,Colombia,Colombia,James David Rodríguez Rubio,Left Wing,Left Foot,57.0,5.0,70.0,40.0,None,None,Colombia,Poland,Pass_None,Pass_2,Pass_None_2
7555103,Pass,None,None,From Counter,None,None,2.3561945,28.284271,,Santiago Arias Naranjo,00:02:36.133,2,47,2.32,00:02:38.453000,Colombia,Colombia,Radamel Falcao García Zárate,Center Forward,Head,69.0,40.0,49.0,60.0,None,None,Colombia,Poland,Pass_None,Pass_3,Pass_None_3
7555103,Pass,None,None,From Counter,None,None,0.72297937,22.671568,,Juan Guillermo Cuadrado Bello,00:02:38.653,2,47,2.48,00:02:41.133000,Colombia,Colombia,Santiago Arias Naranjo,Right Back,Right Foot,49.0,62.0,66.0,77.0,None,None,Colombia,Poland,Pass_None,Pass_4,Pass_None_4
7555103,Pass,None,None,From Counter,None,None,-1.8925468999999997,12.649111,,Juan Fernando Quintero Paniagua,00:02:41.693,2,47,1.04,00:02:42.733000,Colombia,Colombia,Juan Guillermo Cuadrado Bello,Right Wing,Right Foot,65.0,76.0,61.0,64.0,None,None,Colombia,Poland,Pass_None,Pass_5,Pass_None_5
7555103,Pass,None,None,From Counter,None,None,-0.96934164,61.854668000000004,,James David Rodríguez Rubio,00:02:44.773,2,47,2.76,00:02:47.533000,Colombia,Colombia,Juan Fernando Quintero Paniagua,Center Attacking Midfield,Left Foot,64.0,63.0,99.0,12.0,None,None,Colombia,Poland,Pass_None,Pass_6,Pass_None_6
7555103,Pass,None,None,From Counter,None,None,2.5899377,15.264338,,Johan Andrés Mojica Palacio,00:02:47.693,2,47,2.48,00:02:50.173000,Colombia,Colombia,James David Rodríguez Rubio,Left Wing,Head,99.0,12.0,86.0,20.0,None,None,Colombia,Poland,Pass_None,Pass_7,Pass_None_7
