caseID,result,start_Zone,end_Zone,opponent
75554,Incomplete,1,3,Poland
75558,Incomplete,1,1,Poland
755514,Incomplete,1,2,Poland
755516,Incomplete,1,1,Poland
755517,Incomplete,2,3,Poland
755519,Incomplete,1,2,Poland
755521,Incomplete,2,2,Poland
755523,Incomplete,1,2,Poland
755525,Incomplete,3,3,Poland
755528,Incomplete,1,3,Poland
755531,Incomplete,2,1,Poland
755532,Blocked,2,3,Poland
755534,Incomplete,2,3,Poland
755536,Incomplete,2,3,Poland
755543,Out,1,2,Poland
755544,Incomplete,2,3,Poland
755547,Incomplete,1,3,Poland
755549,Incomplete,1,3,Poland
755550,Incomplete,3,3,Poland
755551,Incomplete,3,3,Poland
755553,Incomplete,2,1,Poland
755556,Incomplete,2,3,Poland
755559,Incomplete,2,3,Poland
755560,Incomplete,3,3,Poland
755562,Off T,2,3,Poland
755564,Incomplete,2,2,Poland
755566,Incomplete,1,3,Poland
755567,Incomplete,3,2,Poland
755569,Incomplete,1,2,Poland
755571,Incomplete,1,3,Poland
755572,Goal,3,3,Poland
755575,Incomplete,1,2,Poland
755578,Incomplete,1,3,Poland
755579,Incomplete,2,3,Poland
755580,Incomplete,3,2,Poland
755581,Incomplete,2,3,Poland
755583,Incomplete,3,None,Poland
755585,Incomplete,2,2,Poland
755588,Incomplete,1,3,Poland
755589,Incomplete,2,2,Poland
755590,Incomplete,2,3,Poland
755592,Incomplete,2,2,Poland
755594,Incomplete,1,2,Poland
755596,Incomplete,1,1,Poland
755599,Incomplete,1,2,Poland
7555101,Incomplete,3,None,Poland
7555103,Incomplete,2,3,Poland
7555106,Incomplete,1,3,Poland
7555108,Incomplete,2,2,Poland
7555110,Off T,2,3,Poland
7555112,Off T,1,3,Poland
7555115,Blocked,1,3,Poland
7555117,Incomplete,1,2,Poland
7555118,Incomplete,2,2,Poland
7555120,Incomplete,1,1,Poland
7555122,Incomplete,1,1,Poland
7555124,Blocked,1,3,Poland
7555125,Off T,3,3,Poland
7555127,Incomplete,1,2,Poland
7555131,Incomplete,1,2,Poland
7555133,Incomplete,1,1,Poland
7555134,Incomplete,2,3,Poland
7555136,Incomplete,2,None,Poland
7555137,Incomplete,1,2,Poland
7555138,Incomplete,2,2,Poland
7555140,Incomplete,1,2,Poland
7555141,Incomplete,1,2,Poland
7555142,Incomplete,2,3,Poland
7555145,Incomplete,2,2,Poland
7555148,Incomplete,1,1,Poland
7555149,Goal,1,3,Poland
7555152,Incomplete,1,1,Poland
7555154,Incomplete,3,3,Poland
7555156,Incomplete,2,2,Poland
7555159,Goal,1,3,Poland
7555162,Incomplete,1,2,Poland
7555164,Incomplete,2,None,Poland
7555167,Incomplete,1,3,Poland
7555170,Injury Clearance,1,2,Poland
7555172,Blocked,2,3,Poland
7555173,Off T,3,3,Poland
7555175,Incomplete,1,2,Poland
7555177,Incomplete,1,3,Poland
7555179,Incomplete,1,2,Poland
7555182,Blocked,1,2,Poland
7555184,Incomplete,2,3,Poland
7555186,Incomplete,1,2,Poland
7555188,Incomplete,1,None,Poland
7555189,Incomplete,1,1,Poland
7555190,Out,1,2,Poland
7555192,Incomplete,1,2,Poland
7555194,Incomplete,2,3,Poland
75713,Incomplete,1,2,Senegal
75715,Incomplete,1,2,Senegal
75717,Incomplete,1,2,Senegal
75718,Incomplete,2,None,Senegal
75719,Incomplete,2,2,Senegal
757111,Incomplete,1,3,Senegal
757113,Incomplete,1,3,Senegal
757114,Out,3,2,Senegal
757116,Out,2,1,Senegal
757119,Incomplete,1,2,Senegal
757120,Incomplete,2,2,Senegal
757122,Incomplete,1,2,Senegal
757124,Incomplete,1,2,Senegal
757125,Incomplete,2,3,Senegal
757126,Saved,3,3,Senegal
757127,Incomplete,3,3,Senegal
757131,Incomplete,1,1,Senegal
757132,Incomplete,2,2,Senegal
757134,Incomplete,1,2,Senegal
757135,Incomplete,2,2,Senegal
757137,Incomplete,2,2,Senegal
757140,Incomplete,1,3,Senegal
757142,Incomplete,2,2,Senegal
757143,Incomplete,2,2,Senegal
757145,Incomplete,1,3,Senegal
757146,Pass Offside,3,3,Senegal
757148,Out,2,1,Senegal
757150,Incomplete,1,1,Senegal
757152,Out,1,2,Senegal
757154,Out,1,3,Senegal
757157,Incomplete,1,3,Senegal
757159,Incomplete,1,2,Senegal
757161,Incomplete,1,2,Senegal
757162,Incomplete,2,2,Senegal
757164,Incomplete,1,2,Senegal
757167,Incomplete,1,2,Senegal
