caseID,action,type,technique,play_pattern,under_pressure,shot_assist,angle,length,height,recipient,startTime,period,minute,duration,endTime,possession_team,team_action,player,player_position,body_part,start_X,start_Y,end_X,end_Y,bad_behavior,result,home_team,away_team,action_type,action_count,action_type_count
756810,Interception,None,None,Regular Play,None,None,,,,,00:04:45.246,1,4,,None,Costa Rica,Costa Rica,David Alberto Guzmán Pérez,Left Center Midfield,,66.0,40.0,,,None,Won,Costa Rica,Switzerland,Interception_None,Interception_1,Interception_None_1
756810,Pass,None,None,Regular Play,None,None,1.7234456999999999,13.152946,,Bryan Ruiz González,00:04:46.726,1,4,0.76,00:04:47.486000,Costa Rica,Costa Rica,David Alberto Guzmán Pérez,Left Center Midfield,Left Foot,67.0,40.0,65.0,53.0,None,None,Costa Rica,Switzerland,Pass_None,Pass_1,Pass_None_1
756810,Dribble,None,None,Regular Play,None,None,,,,,00:04:54.486,1,4,,None,Costa Rica,Costa Rica,Bryan Ruiz González,Right Wing,,78.0,70.0,,,None,Complete,Costa Rica,Switzerland,Dribble_None,Dribble_1,Dribble_None_1
756810,Pass,None,None,Regular Play,True,None,-1.3156139999999998,23.769728,,David Alberto Guzmán Pérez,00:04:55.513,1,4,1.053,00:04:56.566000,Costa Rica,Costa Rica,Bryan Ruiz González,Right Wing,Left Foot,71.0,64.0,77.0,41.0,None,None,Costa Rica,Switzerland,Pass_None,Pass_2,Pass_None_2
756810,Pass,None,None,Regular Play,True,None,0.4636476,2.236068,,,00:04:57.233,1,4,0.44,00:04:57.673000,Costa Rica,Costa Rica,David Alberto Guzmán Pérez,Left Center Midfield,Right Foot,78.0,41.0,80.0,42.0,None,Incomplete,Costa Rica,Switzerland,Pass_None,Pass_3,Pass_None_3
756810,Ball Recovery,None,None,Regular Play,None,None,,,,,00:05:00.126,1,5,,None,Costa Rica,Costa Rica,Joel Nathaniel Campbell Samuels,Center Forward,,85.0,46.0,,,None,None,Costa Rica,Switzerland,Ball Recovery_None,Ball Recovery_1,Ball Recovery_None_1
756810,Dribble,None,None,Regular Play,None,None,,,,,00:05:01.806,1,5,,None,Costa Rica,Costa Rica,Joel Nathaniel Campbell Samuels,Center Forward,,86.0,48.0,,,None,Complete,Costa Rica,Switzerland,Dribble_None,Dribble_2,Dribble_None_2
756810,Shot,Open Play,Normal,Regular Play,None,None,,,,,00:05:04.793,1,5,0.88,00:05:05.673000,Costa Rica,Costa Rica,Joel Nathaniel Campbell Samuels,Center Forward,Left Foot,99.0,54.0,119.0,36.5,None,Saved,Costa Rica,Switzerland,Shot_Open Play,Shot_1,Shot_Open Play_1
756810,Pass,Recovery,None,Regular Play,True,None,-2.6224465,16.124516,,Bryan Oviedo,00:05:09.273,1,5,1.44,00:05:10.713000,Costa Rica,Costa Rica,Daniel Colindres Solera,Left Wing,Right Foot,115.0,14.0,101.0,6.0,None,None,Costa Rica,Switzerland,Pass_Recovery,Pass_5,Pass_Recovery_2
756810,Pass,None,None,Regular Play,None,True,1.1964628000000002,30.083218,,Celso Borges Mora,00:05:11.753,1,5,1.64,00:05:13.393000,Costa Rica,Costa Rica,Bryan Oviedo,Left Wing Back,Left Foot,101.0,10.0,112.0,38.0,None,None,Costa Rica,Switzerland,Pass_None,Pass_6,Pass_None_4
756810,Shot,Open Play,Normal,Regular Play,None,None,,,,,00:05:13.393,1,5,0.68,00:05:14.073000,Costa Rica,Costa Rica,Celso Borges Mora,Right Center Midfield,Head,111.0,40.0,119.0,37.3,None,Saved,Costa Rica,Switzerland,Shot_Open Play,Shot_2,Shot_Open Play_2
7568100,Pass,Corner,None,From Corner,None,None,1.6115899999999999,49.0408,,,00:02:27.880,2,47,2.16,00:02:30.040000,Costa Rica,Costa Rica,David Alberto Guzmán Pérez,Left Center Midfield,Right Foot,120.0,2.0,118.0,51.0,None,Incomplete,Costa Rica,Switzerland,Pass_Corner,Pass_1,Pass_Corner_1
7568100,Pressure,None,None,From Corner,None,None,,,,,00:02:32.973,2,47,1.306,00:02:34.279000,Costa Rica,Costa Rica,Bryan Ruiz González,Right Wing,,98.0,72.0,,,None,None,Costa Rica,Switzerland,Pressure_None,Pressure_1,Pressure_None_1
7568100,Pass,Recovery,None,From Corner,None,True,-1.5707964,32.0,,Joel Nathaniel Campbell Samuels,00:02:35.213,2,47,1.92,00:02:37.133000,Costa Rica,Costa Rica,Celso Borges Mora,Right Center Midfield,Right Foot,107.0,66.0,107.0,34.0,None,None,Costa Rica,Switzerland,Pass_Recovery,Pass_2,Pass_Recovery_1
7568100,Shot,Open Play,Volley,From Corner,None,None,,,,,00:02:37.133,2,47,0.747,00:02:37.880000,Costa Rica,Costa Rica,Joel Nathaniel Campbell Samuels,Center Forward,Left Foot,108.0,36.0,120.0,34.0,None,Off T,Costa Rica,Switzerland,Shot_Open Play,Shot_1,Shot_Open Play_1
7568103,Pass,Throw-in,None,From Throw In,None,None,0.0,10.0,,David Alberto Guzmán Pérez,00:04:52.600,2,49,0.92,00:04:53.520000,Costa Rica,Costa Rica,Bryan Oviedo,Left Wing Back,,68.0,3.0,78.0,3.0,None,None,Costa Rica,Switzerland,Pass_Throw-in,Pass_1,Pass_Throw-in_1
7568103,Dribble,None,None,From Throw In,None,None,,,,,00:04:55.360,2,49,,None,Costa Rica,Costa Rica,David Alberto Guzmán Pérez,Left Center Midfield,,87.0,5.0,,,None,Complete,Costa Rica,Switzerland,Dribble_None,Dribble_1,Dribble_None_1
7568103,Miscontrol,None,None,From Throw In,None,None,,,,,00:04:57.680,2,49,,None,Costa Rica,Costa Rica,David Alberto Guzmán Pérez,Left Center Midfield,,95.0,20.0,,,None,None,Costa Rica,Switzerland,Miscontrol_None,Miscontrol_1,Miscontrol_None_1
7568104,Pass,Throw-in,None,From Throw In,None,None,0.4636476,17.888544,,Daniel Colindres Solera,00:05:08.600,2,50,1.8130000000000002,00:05:10.413000,Costa Rica,Costa Rica,Bryan Oviedo,Left Wing Back,,89.0,3.0,105.0,11.0,None,None,Costa Rica,Switzerland,Pass_Throw-in,Pass_1,Pass_Throw-in_1
7568104,Pass,None,None,From Throw In,None,None,1.2551807,51.546096999999996,,,00:05:12.480,2,50,3.333,00:05:15.813000,Costa Rica,Costa Rica,Daniel Colindres Solera,Left Wing,Right Foot,104.0,12.0,120.0,61.0,None,Out,Costa Rica,Switzerland,Pass_None,Pass_2,Pass_None_1
