players
"('Johnny Acosta Zamora', 'Right Wing Back')"
"('Christian Bolaños Navarro', 'Left Wing')"
"('Keylor Navas Gamboa', 'Goalkeeper')"
"('Francisco Javier Calvo Quesada', 'Left Wing Back')"
"('Johnny Acosta Zamora', 'Right Center Back')"
"('Bryan Ruiz González', 'Left Center Midfield')"
"('Johan Alberto Venegas Ulloa', 'Left Wing')"
"('Johan Alberto Venegas Ulloa', 'Center Forward')"
"('David Alberto Guzmán Pérez', 'Left Center Midfield')"
"('Christian Bolaños Navarro', 'Right Wing')"
"('Joel Nathaniel Campbell Samuels', 'Center Forward')"
"('Cristian Gamboa Luna', 'Right Wing Back')"
"('Kendall Jamaal Waston Manley', 'Left Center Back')"
"('Johan Alberto Venegas Ulloa', 'Right Wing')"
"('Bryan Ruiz González', 'Right Wing')"
"('Óscar Esau Duarte Gaitán', 'Left Center Back')"
"('Bryan Oviedo', 'Left Wing Back')"
"('Celso Borges Mora', 'Right Center Midfield')"
"('Óscar Esau Duarte Gaitán', 'Right Center Back')"
"('Giancarlo González Castro', 'Center Back')"
"('Bryan Ruiz González', 'Left Wing')"
"('Rándall Azofeifa Corrales', 'Left Center Midfield')"
"('Daniel Colindres Solera', 'Left Wing')"
"('Ian Rey Smith Quiros', 'Right Wing Back')"
"('Rodney Wallace', 'Left Wing')"
"('Francisco Javier Calvo Quesada', 'Left Center Back')"
"('Yeltsin Ignacio Tejeda Valverde', 'Left Midfield')"
"('Marcos Danilo Ureña Porras', 'Center Forward')"
