caseID,result,start_Zone,end_Zone,opponent
75815,Incomplete,3,2,Denmark
75817,Goal,2,3,Denmark
758110,Incomplete,1,3,Denmark
758111,Out,1,3,Denmark
758113,Incomplete,1,2,Denmark
758114,Incomplete,2,3,Denmark
758115,Blocked,3,3,Denmark
758116,Incomplete,3,3,Denmark
758117,Incomplete,3,3,Denmark
758120,Incomplete,1,3,Denmark
758121,Incomplete,3,3,Denmark
758123,Incomplete,1,3,Denmark
758125,Incomplete,1,2,Denmark
758127,Incomplete,1,3,Denmark
758129,Blocked,2,3,Denmark
758130,Incomplete,3,3,Denmark
758133,Out,1,3,Denmark
758136,Incomplete,2,2,Denmark
758140,Incomplete,2,3,Denmark
758142,Incomplete,1,3,Denmark
758144,Incomplete,1,2,Denmark
758145,Incomplete,2,3,Denmark
758147,Saved,2,3,Denmark
758149,Incomplete,3,3,Denmark
758151,Incomplete,1,2,Denmark
758154,Blocked,1,3,Denmark
758156,Incomplete,2,2,Denmark
758158,Out,1,3,Denmark
758160,Incomplete,2,2,Denmark
758161,Incomplete,2,2,Denmark
758162,Incomplete,2,3,Denmark
758163,Off T,3,2,Denmark
758165,Incomplete,1,2,Denmark
758167,Incomplete,2,3,Denmark
758168,Incomplete,3,3,Denmark
758172,Incomplete,1,2,Denmark
758173,Incomplete,2,3,Denmark
758175,Saved,2,3,Denmark
758177,Incomplete,2,2,Denmark
758179,Injury Clearance,2,3,Denmark
758182,Incomplete,2,3,Denmark
758184,Incomplete,2,2,Denmark
758185,Off T,2,3,Denmark
758189,Out,2,3,Denmark
758191,Incomplete,1,1,Denmark
758192,Pass Offside,2,3,Denmark
758194,Incomplete,1,2,Denmark
758196,Incomplete,2,2,Denmark
758199,Incomplete,2,2,Denmark
7581100,Incomplete,3,3,Denmark
7581102,Out,1,2,Denmark
7581104,Incomplete,1,2,Denmark
7581106,Incomplete,1,2,Denmark
7581107,Incomplete,2,2,Denmark
7581110,Incomplete,1,2,Denmark
7581112,Incomplete,2,3,Denmark
7581115,Out,1,3,Denmark
