players
"('Ante Rebić', 'Center Forward')"
"('Luka Modrić', 'Right Attacking Midfield')"
"('Ante Rebić', 'Left Wing')"
"('Duje Ćaleta-Car', 'Center Back')"
"('Duje Ćaleta-Car', 'Left Center Back')"
"('Luka Modrić', 'Center Attacking Midfield')"
"('Andrej Kramarić', 'Right Midfield')"
"('Mateo Kovačić', 'Center Attacking Midfield')"
"('Ante Rebić', 'Right Midfield')"
"('Andrej Kramarić', 'Left Center Forward')"
"('Mateo Kovačić', 'Center Defensive Midfield')"
"('Marko Pjaca', 'Center Forward')"
"('Mario Mandžukić', 'Center Forward')"
"('Josip Pivarić', 'Left Wing Back')"
"('Mateo Kovačić', 'Left Midfield')"
"('Lovre Kalinić', 'Goalkeeper')"
"('Marcelo Brozović', 'Left Defensive Midfield')"
"('Mario Mandžukić', 'Left Wing')"
"('Ivan Rakitić', 'Right Defensive Midfield')"
"('Vedran Ćorluka', 'Right Center Back')"
"('Ivan Perišić', 'Right Wing')"
"('Vedran Ćorluka', 'Left Center Back')"
"('Ivan Rakitić', 'Right Center Midfield')"
"('Andrej Kramarić', 'Right Wing')"
"('Luka Modrić', 'Right Center Midfield')"
"('Ivan Rakitić', 'Center Attacking Midfield')"
"('Ante Rebić', 'Right Wing')"
"('Marcelo Brozović', 'Center Midfield')"
"('Luka Modrić', 'Right Defensive Midfield')"
"('Luka Modrić', 'Left Defensive Midfield')"
"('Tin Jedvaj', 'Right Back')"
"('Ivan Strinić', 'Left Back')"
"('Ivan Perišić', 'Left Midfield')"
"('Josip Pivarić', 'Left Back')"
"('Tin Jedvaj', 'Right Wing Back')"
"('Ivan Rakitić', 'Left Defensive Midfield')"
"('Dejan Lovren', 'Left Center Back')"
"('Marko Pjaca', 'Left Back')"
"('Ivan Rakitić', 'Center Midfield')"
"('Andrej Kramarić', 'Center Forward')"
"('Ivan Perišić', 'Center Attacking Midfield')"
"('Milan Badelj', 'Center Defensive Midfield')"
"('Ivan Rakitić', 'Left Center Midfield')"
"('Mateo Kovačić', 'Right Midfield')"
"('Filip Bradarić', 'Right Center Midfield')"
"('Marcelo Brozović', 'Center Attacking Midfield')"
"('Marcelo Brozović', 'Left Center Midfield')"
"('Andrej Kramarić', 'Center Attacking Midfield')"
"('Marcelo Brozović', 'Left Wing')"
"('Luka Modrić', 'Right Midfield')"
"('Vedran Ćorluka', 'Center Forward')"
"('Šime Vrsaljko', 'Right Back')"
"('Dejan Lovren', 'Right Center Back')"
"('Andrej Kramarić', 'Left Midfield')"
"('Domagoj Vida', 'Right Center Back')"
"('Domagoj Vida', 'Left Center Back')"
"('Marcelo Brozović', 'Left Midfield')"
"('Marcelo Brozović', 'Center Defensive Midfield')"
"('Marko Pjaca', 'Right Wing')"
"('Domagoj Vida', 'Right Back')"
"('Mateo Kovačić', 'Left Center Midfield')"
"('Ivan Rakitić', 'Left Attacking Midfield')"
"('Mateo Kovačić', 'Right Wing')"
"('Ante Rebić', 'Right Center Forward')"
"('Ivan Perišić', 'Left Wing')"
"('Danijel Subašić', 'Goalkeeper')"
"('Milan Badelj', 'Left Midfield')"
