caseID,result,start_Zone,end_Zone,opponent
75812,Incomplete,2,3,Croatia
75813,Goal,3,3,Croatia
75814,Out,1,1,Croatia
75816,Out,2,2,Croatia
75818,Incomplete,2,2,Croatia
75819,Incomplete,2,3,Croatia
758112,Incomplete,3,3,Croatia
758118,Incomplete,1,None,Croatia
758119,Incomplete,1,3,Croatia
758122,Incomplete,1,3,Croatia
758124,Incomplete,1,3,Croatia
758126,Incomplete,2,2,Croatia
758128,Out,1,3,Croatia
758131,Incomplete,1,2,Croatia
758132,Incomplete,1,3,Croatia
758134,Blocked,3,3,Croatia
758135,Out,3,3,Croatia
758137,Incomplete,2,2,Croatia
758138,Incomplete,2,2,Croatia
758139,Incomplete,2,2,Croatia
758141,Incomplete,1,3,Croatia
758143,Saved,1,3,Croatia
758146,Incomplete,1,2,Croatia
758148,Incomplete,1,1,Croatia
758150,Incomplete,1,2,Croatia
758152,Incomplete,2,3,Croatia
758153,Incomplete,3,3,Croatia
758155,Incomplete,1,2,Croatia
758157,Off T,1,3,Croatia
758159,Incomplete,1,2,Croatia
758164,Incomplete,2,3,Croatia
758166,Incomplete,2,2,Croatia
758169,Incomplete,1,2,Croatia
758170,Incomplete,2,3,Croatia
758171,Out,3,3,Croatia
758174,Out,1,3,Croatia
758176,Incomplete,1,2,Croatia
758178,Injury Clearance,2,2,Croatia
758181,Incomplete,1,3,Croatia
758183,Incomplete,1,1,Croatia
758186,Incomplete,1,2,Croatia
758187,Incomplete,1,2,Croatia
758188,Incomplete,2,3,Croatia
758190,Incomplete,1,3,Croatia
758193,Incomplete,1,3,Croatia
758195,Incomplete,2,2,Croatia
758197,Incomplete,2,2,Croatia
758198,Incomplete,2,2,Croatia
7581101,Out,1,3,Croatia
7581103,Incomplete,2,2,Croatia
7581105,Off T,2,3,Croatia
7581108,Incomplete,2,1,Croatia
7581109,Incomplete,1,3,Croatia
7581111,Incomplete,2,2,Croatia
7581113,Incomplete,1,2,Croatia
7581114,Incomplete,2,3,Croatia
7581116,Out,1,2,Croatia
7581118,Incomplete,1,3,Croatia
7581120,Incomplete,2,3,Croatia
7581122,Incomplete,2,2,Croatia
7581127,Out,1,2,Croatia
7581130,Incomplete,1,3,Croatia
7581132,Incomplete,2,3,Croatia
7581133,Incomplete,3,3,Croatia
7581136,Out,2,3,Croatia
7581138,Saved,2,3,Croatia
7581141,Out,1,1,Croatia
7581143,Off T,1,3,Croatia
7581145,Incomplete,1,2,Croatia
7581148,Incomplete,1,3,Croatia
7581150,Incomplete,1,2,Croatia
7581153,Incomplete,1,3,Croatia
7581156,Out,1,2,Croatia
7581159,Incomplete,1,2,Croatia
7581163,Off T,1,3,Croatia
7581165,Incomplete,2,2,Croatia
7581168,Incomplete,2,3,Croatia
7581169,Incomplete,3,3,Croatia
7581170,Incomplete,3,3,Croatia
7581171,Incomplete,2,3,Croatia
7581173,Incomplete,1,3,Croatia
7581174,Off T,3,3,Croatia
7581176,Blocked,2,3,Croatia
7581177,Blocked,3,3,Croatia
7581178,Incomplete,3,3,Croatia
7581180,Incomplete,2,3,Croatia
7581181,Incomplete,3,3,Croatia
7581182,Out,3,3,Croatia
7581184,Incomplete,2,2,Croatia
7581186,Off T,3,3,Croatia
7581188,Incomplete,1,2,Croatia
7581191,Incomplete,1,2,Croatia
7581193,Incomplete,1,2,Croatia
7581198,Incomplete,1,2,Croatia
7581202,Incomplete,1,2,Croatia
7581204,Incomplete,1,3,Croatia
7581205,Off T,2,3,Croatia
7581207,Incomplete,1,2,Croatia
7581210,Incomplete,1,2,Croatia
7581211,Incomplete,2,3,Croatia
7581212,Off T,3,3,Croatia
7581214,Incomplete,2,3,Croatia
7581216,Incomplete,2,3,Croatia
7581220,Incomplete,2,2,Croatia
7581222,Incomplete,1,3,Croatia
7581224,Incomplete,1,3,Croatia
7581225,Saved,3,3,Croatia
7581227,Goal,3,3,Croatia
7581229,Goal,3,3,Croatia
7581231,Saved,3,3,Croatia
7581233,Saved,3,3,Croatia
75472,Incomplete,2,3,Australia
75473,Incomplete,3,3,Australia
75474,Off T,3,3,Australia
75476,Incomplete,2,2,Australia
75477,Incomplete,2,3,Australia
75479,Incomplete,2,3,Australia
754712,Incomplete,1,3,Australia
754713,Goal,3,3,Australia
754714,Incomplete,2,3,Australia
754717,Incomplete,2,3,Australia
754719,Incomplete,1,2,Australia
754722,Incomplete,1,2,Australia
754723,Incomplete,2,3,Australia
754724,Incomplete,2,3,Australia
754726,Incomplete,2,2,Australia
754728,Incomplete,2,2,Australia
754729,Incomplete,3,3,Australia
754732,Incomplete,1,2,Australia
754734,Incomplete,1,3,Australia
754736,Out,1,3,Australia
754739,Saved,3,3,Australia
754742,Off T,1,3,Australia
754743,Incomplete,2,3,Australia
754747,Incomplete,1,2,Australia
754749,Incomplete,2,2,Australia
754751,Incomplete,1,2,Australia
754753,Injury Clearance,1,1,Australia
754755,Incomplete,1,3,Australia
754756,Incomplete,3,3,Australia
754759,Incomplete,1,2,Australia
754763,Incomplete,2,1,Australia
754764,Incomplete,3,3,Australia
754765,Incomplete,3,3,Australia
754766,Incomplete,3,3,Australia
754767,Saved,3,3,Australia
754773,Incomplete,1,3,Australia
754775,Incomplete,2,3,Australia
754777,Incomplete,2,3,Australia
754780,Incomplete,1,2,Australia
754781,Incomplete,2,3,Australia
754784,Incomplete,1,2,Australia
754785,Incomplete,1,3,Australia
754787,Incomplete,1,3,Australia
754788,Out,2,3,Australia
754790,Incomplete,3,3,Australia
754792,Incomplete,1,3,Australia
754794,Blocked,2,3,Australia
754796,Incomplete,2,2,Australia
754798,Incomplete,2,3,Australia
7547100,Incomplete,2,3,Australia
7547103,Incomplete,2,3,Australia
7547104,Incomplete,3,3,Australia
7547106,Incomplete,2,2,Australia
7547110,Incomplete,1,3,Australia
7547111,Incomplete,3,3,Australia
7547113,Incomplete,1,2,Australia
7547115,Incomplete,1,3,Australia
7547118,Incomplete,1,3,Australia
7547121,Incomplete,1,3,Australia
7547123,Incomplete,2,3,Australia
7547126,Incomplete,1,3,Australia
7547128,Incomplete,2,3,Australia
7547130,Incomplete,1,3,Australia
7547132,Incomplete,1,2,Australia
7547134,Off T,3,3,Australia
7547136,Incomplete,1,2,Australia
7547138,Incomplete,1,3,Australia
7547140,Incomplete,2,3,Australia
7547142,Incomplete,1,3,Australia
7547144,Incomplete,2,3,Australia
7547146,Out,1,3,Australia
7547148,Saved,1,3,Australia
7547151,Incomplete,1,2,Australia
7547154,Incomplete,1,2,Australia
7547156,Incomplete,2,3,Australia
7547158,Out,2,3,Australia
7547160,Incomplete,2,2,Australia
7547162,Off T,1,3,Australia
7547165,Incomplete,2,3,Australia
7547166,Saved,3,3,Australia
7547169,Pass Offside,1,3,Australia
75633,Incomplete,1,None,France
75634,Incomplete,1,3,France
75636,Incomplete,2,3,France
75639,Incomplete,1,2,France
756310,Incomplete,2,2,France
756312,Incomplete,1,3,France
756313,Incomplete,3,3,France
756316,Incomplete,1,2,France
756319,Out,1,3,France
756321,Out,2,2,France
756323,Incomplete,1,3,France
756326,Incomplete,1,3,France
756328,Incomplete,2,3,France
756334,Incomplete,2,3,France
756337,Out,1,3,France
756340,Incomplete,2,2,France
756342,Incomplete,2,3,France
756343,Out,3,3,France
756345,Incomplete,2,2,France
756348,Incomplete,1,2,France
756354,Incomplete,1,2,France
756355,Incomplete,2,3,France
756357,Incomplete,1,1,France
756359,Incomplete,2,2,France
756361,Incomplete,2,3,France
756364,Incomplete,2,2,France
756366,Incomplete,1,2,France
756369,Incomplete,1,3,France
756371,Incomplete,1,3,France
756373,Incomplete,1,3,France
756375,Incomplete,2,2,France
756377,Incomplete,1,3,France
756379,Incomplete,1,3,France
756381,Blocked,3,3,France
756382,Incomplete,3,3,France
756384,Incomplete,2,3,France
756385,Incomplete,3,2,France
756386,Incomplete,2,3,France
756388,Incomplete,1,3,France
756390,Incomplete,2,2,France
756391,Incomplete,2,2,France
756393,Incomplete,2,2,France
756395,Incomplete,1,3,France
756397,Incomplete,1,2,France
756398,Incomplete,2,2,France
756399,Saved,3,3,France
7563101,Incomplete,1,2,France
7563103,Incomplete,1,2,France
7563107,Off T,2,3,France
7563109,Incomplete,2,1,France
7563110,Incomplete,2,2,France
7563111,Incomplete,3,2,France
7563112,Incomplete,2,3,France
7563113,Blocked,3,3,France
7563115,Incomplete,2,3,France
7563116,Incomplete,3,3,France
7563117,Blocked,3,3,France
7563118,Incomplete,1,3,France
7563120,Incomplete,1,3,France
7563122,Incomplete,2,3,France
7563123,Injury Clearance,3,3,France
7563125,Incomplete,2,3,France
7563128,Incomplete,1,3,France
7563130,Out,1,3,France
7563132,Incomplete,1,3,France
7563133,Incomplete,3,2,France
7563135,Incomplete,1,2,France
7563140,Incomplete,1,3,France
7563142,Incomplete,1,1,France
7563144,Out,2,2,France
7563146,Incomplete,1,3,France
75322,Out,2,3,Peru
75325,Incomplete,2,3,Peru
75328,Incomplete,2,3,Peru
753210,Incomplete,2,3,Peru
753212,Incomplete,1,3,Peru
753215,Incomplete,1,2,Peru
753217,Incomplete,1,2,Peru
753223,Incomplete,3,None,Peru
753224,Incomplete,2,2,Peru
753225,Incomplete,2,3,Peru
753228,Out,1,3,Peru
753230,Incomplete,1,2,Peru
753231,Incomplete,2,3,Peru
753234,Out,1,3,Peru
753236,Incomplete,2,2,Peru
753237,Incomplete,2,3,Peru
753239,Incomplete,1,2,Peru
753241,Incomplete,1,3,Peru
753242,Incomplete,3,3,Peru
753244,Blocked,1,3,Peru
753247,Incomplete,1,3,Peru
753248,Incomplete,3,3,Peru
753251,Incomplete,1,3,Peru
753252,Incomplete,3,3,Peru
753253,Out,3,3,Peru
753255,Off T,1,3,Peru
753257,Out,2,2,Peru
753261,Incomplete,2,3,Peru
753263,Incomplete,2,3,Peru
753264,Incomplete,1,3,Peru
753266,Incomplete,3,3,Peru
753267,Incomplete,2,2,Peru
753269,Pass Offside,2,3,Peru
753271,Incomplete,2,3,Peru
753272,Blocked,3,3,Peru
753274,Incomplete,1,2,Peru
753275,Off T,2,3,Peru
753277,Out,2,3,Peru
753281,Incomplete,1,3,Peru
753282,Off T,3,3,Peru
753285,Incomplete,1,2,Peru
