players
"('Pione Sisto Ifolo Emirmija', 'Left Midfield')"
"('Jens Stryger Larsen', 'Left Back')"
"('Andreas Evald Cornelius', 'Center Forward')"
"('Jonas Knudsen', 'Left Back')"
"('Martin Braithwaite Christensen', 'Right Midfield')"
"('Christian Dannemann Eriksen', 'Center Attacking Midfield')"
"('Martin Braithwaite Christensen', 'Left Wing')"
"('Nicolai Jørgensen', 'Center Forward')"
"('Lasse Schöne', 'Right Defensive Midfield')"
"('Lasse Schöne', 'Right Center Midfield')"
"('Mathias Jattah-Njie Jørgensen', 'Left Center Back')"
"('Andreas Christensen', 'Right Center Midfield')"
"('Andreas Christensen', 'Center Defensive Midfield')"
"('Kasper Dolberg', 'Center Forward')"
"('Simon Thorup Kjær', 'Right Center Back')"
"('Kasper Schmeichel', 'Goalkeeper')"
"('Thomas Delaney', 'Left Defensive Midfield')"
"('Andreas Christensen', 'Left Center Back')"
"('Yussuf Yurary Poulsen', 'Right Wing')"
"('Thomas Delaney', 'Left Center Midfield')"
"('Christian Dannemann Eriksen', 'Right Center Midfield')"
"('William Vitved Kvist Jørgensen', 'Right Center Midfield')"
"('Christian Dannemann Eriksen', 'Secondary Striker')"
"('Michael Krohn-Dehli', 'Left Center Midfield')"
"('Henrik Dalsgaard', 'Right Back')"
"('Martin Braithwaite Christensen', 'Right Wing')"
"('Viktor Fischer', 'Left Midfield')"
"('Pione Sisto Ifolo Emirmija', 'Left Wing')"
