caseID,action,type,technique,play_pattern,under_pressure,shot_assist,angle,length,height,recipient,startTime,period,minute,duration,endTime,possession_team,team_action,player,player_position,body_part,start_X,start_Y,end_X,end_Y,bad_behavior,result,home_team,away_team,action_type,action_count,action_type_count
7567100,Pass,Throw-in,None,From Throw In,None,None,-1.012197,9.433981,,Timo Werner,00:14:33.440,2,59,1.053,00:14:34.493000,Germany,Germany,Joshua Kimmich,Right Back,,99.0,80.0,104.0,72.0,None,None,Germany,South Korea,Pass_Throw-in,Pass_1,Pass_Throw-in_1
7567100,Pass,None,None,From Throw In,None,None,1.7681918999999997,5.0990195,,Joshua Kimmich,00:14:35.013,2,59,0.639,00:14:35.652000,Germany,Germany,Timo Werner,Right Wing,Right Foot,105.0,73.0,104.0,78.0,None,None,Germany,South Korea,Pass_None,Pass_2,Pass_None_1
7567100,Pass,None,None,From Throw In,None,None,-2.3561945,1.4142135,,Timo Werner,00:14:37.480,2,59,0.17300000000000001,00:14:37.653000,Germany,Germany,Joshua Kimmich,Right Back,Right Foot,107.0,77.0,106.0,76.0,None,Incomplete,Germany,South Korea,Pass_None,Pass_3,Pass_None_2
7567102,Ball Recovery,None,None,From Counter,None,None,,,,,00:14:46.840,2,59,0.0,00:14:46.840000,Germany,Germany,Mats Hummels,Left Center Back,,66.0,53.0,,,None,None,Germany,South Korea,Ball Recovery_None,Ball Recovery_1,Ball Recovery_None_1
7567102,Pass,None,None,From Counter,None,None,0.9272952,15.0,,Mesut Özil,00:14:50.453,2,59,0.9990000000000001,00:14:51.452000,Germany,Germany,Mats Hummels,Left Center Back,Left Foot,83.0,44.0,92.0,56.0,None,None,Germany,South Korea,Pass_None,Pass_1,Pass_None_1
7567102,Pass,None,None,From Counter,None,None,-0.80357796,38.8973,,,00:14:53.640,2,59,2.733,00:14:56.373000,Germany,Germany,Mesut Özil,Right Center Midfield,Left Foot,93.0,56.0,120.0,28.0,None,Out,Germany,South Korea,Pass_None,Pass_2,Pass_None_2
7567104,Pass,Recovery,None,Regular Play,None,None,1.7975951000000001,13.341664000000002,,Niklas Süle,00:15:33.573,2,60,1.2,00:15:34.773000,Germany,Germany,Mats Hummels,Left Center Back,Left Foot,28.0,14.0,25.0,27.0,None,None,Germany,South Korea,Pass_Recovery,Pass_1,Pass_Recovery_1
7567104,Pass,None,None,Regular Play,None,None,1.0412066999999998,47.507893,,Timo Werner,00:15:38.173,2,60,1.659,00:15:39.832000,Germany,Germany,Niklas Süle,Right Center Back,Right Foot,33.0,36.0,57.0,77.0,None,None,Germany,South Korea,Pass_None,Pass_2,Pass_None_1
7567104,Dribble,None,None,Regular Play,None,None,,,,,00:15:42.613,2,60,0.0,00:15:42.613000,Germany,Germany,Timo Werner,Right Wing,,69.0,78.0,,,None,Complete,Germany,South Korea,Dribble_None,Dribble_1,Dribble_None_1
7567104,Pass,None,None,Regular Play,None,None,-2.2455373,12.806249000000001,,Mesut Özil,00:15:47.440,2,60,1.093,00:15:48.533000,Germany,Germany,Timo Werner,Right Wing,Right Foot,105.0,60.0,97.0,50.0,None,None,Germany,South Korea,Pass_None,Pass_3,Pass_None_2
7567104,Pass,None,None,Regular Play,True,True,-1.3258177,16.492422,,Toni Kroos,00:15:49.813,2,60,1.119,00:15:50.932000,Germany,Germany,Mesut Özil,Right Center Midfield,Left Foot,100.0,48.0,104.0,32.0,None,None,Germany,South Korea,Pass_None,Pass_4,Pass_None_3
7567104,Shot,Open Play,Normal,Regular Play,None,None,,,,,00:15:51.280,2,60,0.28,00:15:51.560000,Germany,Germany,Toni Kroos,Left Center Midfield,Left Foot,104.0,31.0,107.0,34.0,None,Blocked,Germany,South Korea,Shot_Open Play,Shot_1,Shot_Open Play_1
7567104,Block,None,None,Regular Play,None,None,,,,,00:15:51.560,2,60,0.0,00:15:51.560000,Germany,Germany,Leon Goretzka,Center Attacking Midfield,,107.0,34.0,,,None,None,Germany,South Korea,Block_None,Block_1,Block_None_1
7567107,Pass,None,None,Regular Play,None,None,1.2120256,25.632011,,Mesut Özil,00:17:28.520,2,62,1.6130000000000002,00:17:30.133000,Germany,Germany,Mats Hummels,Left Center Back,Left Foot,32.0,22.0,41.0,46.0,None,None,Germany,South Korea,Pass_None,Pass_1,Pass_None_1
7567107,Pass,None,None,Regular Play,True,None,0.0,10.0,,Thomas Müller,00:17:36.853,2,62,0.88,00:17:37.733000,Germany,Germany,Mesut Özil,Right Center Midfield,Left Foot,81.0,62.0,91.0,62.0,None,None,Germany,South Korea,Pass_None,Pass_2,Pass_None_2
7567107,Pass,None,None,Regular Play,True,None,1.5707964,15.0,,Joshua Kimmich,00:17:37.733,2,62,0.84,00:17:38.573000,Germany,Germany,Thomas Müller,Secondary Striker,Right Foot,91.0,62.0,91.0,77.0,None,None,Germany,South Korea,Pass_None,Pass_3,Pass_None_3
7567107,Pass,None,None,Regular Play,True,None,0.21866895,18.439089000000003,,Timo Werner,00:17:38.573,2,62,1.28,00:17:39.853000,Germany,Germany,Joshua Kimmich,Right Back,Right Foot,91.0,76.0,109.0,80.0,None,Out,Germany,South Korea,Pass_None,Pass_4,Pass_None_4
7567109,Ball Recovery,None,None,Regular Play,None,None,,,,,00:18:00.093,2,63,0.0,00:18:00.093000,Germany,Germany,Mats Hummels,Left Center Back,,41.0,38.0,,,None,None,Germany,South Korea,Ball Recovery_None,Ball Recovery_1,Ball Recovery_None_1
7567109,Pass,None,None,Regular Play,None,None,-0.9272952,20.0,,Thomas Müller,00:18:00.840,2,63,1.493,00:18:02.333000,Germany,Germany,Mats Hummels,Left Center Back,Right Foot,42.0,37.0,54.0,21.0,None,None,Germany,South Korea,Pass_None,Pass_1,Pass_None_1
7567109,Pass,None,None,Regular Play,None,None,1.1071488,26.832815000000004,,Mesut Özil,00:18:07.080,2,63,1.733,00:18:08.813000,Germany,Germany,Thomas Müller,Secondary Striker,Right Foot,66.0,26.0,78.0,50.0,None,None,Germany,South Korea,Pass_None,Pass_2,Pass_None_2
7567109,Pass,None,None,Regular Play,None,None,0.5317241,19.723083,,Timo Werner,00:18:10.533,2,63,1.359,00:18:11.892000,Germany,Germany,Mesut Özil,Right Center Midfield,Right Foot,86.0,57.0,103.0,67.0,None,None,Germany,South Korea,Pass_None,Pass_3,Pass_None_3
7567109,Pass,None,None,Regular Play,True,None,-1.1071488,2.236068,,,00:18:14.800,2,63,0.373,00:18:15.173000,Germany,Germany,Timo Werner,Right Wing,Right Foot,113.0,66.0,114.0,64.0,None,Incomplete,Germany,South Korea,Pass_None,Pass_4,Pass_None_4
7567110,Pass,Corner,None,From Corner,None,True,-1.6835238999999997,53.33854300000001,,Timo Werner,00:18:34.280,2,63,3.013,00:18:37.293000,Germany,Germany,Mesut Özil,Right Center Midfield,Left Foot,120.0,79.0,114.0,26.0,None,None,Germany,South Korea,Pass_Corner,Pass_1,Pass_Corner_1
7567110,Shot,Open Play,Normal,From Corner,True,None,,,,,00:18:37.840,2,63,0.33299999999999996,00:18:38.173000,Germany,Germany,Timo Werner,Right Wing,Right Foot,112.0,28.0,120.0,35.5,None,Off T,Germany,South Korea,Shot_Open Play,Shot_1,Shot_Open Play_1
7567112,Pass,None,None,Regular Play,None,None,1.6951512999999998,32.24903,,Mesut Özil,00:20:17.373,2,65,1.5590000000000002,00:20:18.932000,Germany,Germany,Jonas Hector,Left Back,Right Foot,63.0,12.0,59.0,44.0,None,None,Germany,South Korea,Pass_None,Pass_1,Pass_None_1
7567112,Pass,None,None,Regular Play,True,None,0.42662749999999994,12.083046000000001,,Timo Werner,00:20:23.092,2,65,0.88,00:20:23.972000,Germany,Germany,Mesut Özil,Right Center Midfield,Left Foot,84.0,51.0,95.0,56.0,None,None,Germany,South Korea,Pass_None,Pass_2,Pass_None_2
7567112,Miscontrol,None,None,Regular Play,None,None,,,,,00:20:24.453,2,65,0.0,00:20:24.453000,Germany,Germany,Timo Werner,Right Wing,,95.0,56.0,,,None,None,Germany,South Korea,Miscontrol_None,Miscontrol_1,Miscontrol_None_1
7567112,Pressure,None,None,Regular Play,None,None,,,,,00:20:25.933,2,65,1.5590000000000002,00:20:27.492000,Germany,Germany,Joshua Kimmich,Right Back,,100.0,75.0,,,None,None,Germany,South Korea,Pressure_None,Pressure_2,Pressure_None_2
7567114,Pass,Recovery,None,Regular Play,None,None,0.70449406,26.24881,,Joshua Kimmich,00:21:19.320,2,66,1.2,00:21:20.520000,Germany,Germany,Timo Werner,Right Wing,Left Foot,38.0,45.0,58.0,62.0,None,None,Germany,South Korea,Pass_Recovery,Pass_1,Pass_Recovery_1
7567114,Pass,None,None,Regular Play,None,None,-1.5707964,2.0,,Mesut Özil,00:21:23.800,2,66,0.693,00:21:24.493000,Germany,Germany,Joshua Kimmich,Right Back,Right Foot,68.0,58.0,68.0,56.0,None,None,Germany,South Korea,Pass_None,Pass_2,Pass_None_1
7567114,Pass,None,None,Regular Play,None,None,-1.6295521000000002,17.029387,,Toni Kroos,00:21:27.573,2,66,1.32,00:21:28.893000,Germany,Germany,Mesut Özil,Right Center Midfield,Left Foot,73.0,52.0,72.0,35.0,None,None,Germany,South Korea,Pass_None,Pass_3,Pass_None_2
7567114,Pass,None,None,Regular Play,None,None,0.95613337,41.617306,,Timo Werner,00:21:33.893,2,66,2.2,00:21:36.093000,Germany,Germany,Toni Kroos,Left Center Midfield,Right Foot,85.0,31.0,109.0,65.0,None,None,Germany,South Korea,Pass_None,Pass_4,Pass_None_3
7567114,Pass,None,None,Regular Play,True,None,-2.8501357999999994,10.440307,,Mesut Özil,00:21:38.010,2,66,0.95,00:21:38.960000,Germany,Germany,Timo Werner,Right Wing,Right Foot,110.0,58.0,100.0,55.0,None,None,Germany,South Korea,Pass_None,Pass_5,Pass_None_4
7567114,Pass,None,None,Regular Play,None,None,-0.7853982,9.899495,,Mario Gómez García,00:21:38.960,2,66,0.853,00:21:39.813000,Germany,Germany,Mesut Özil,Right Center Midfield,Left Foot,100.0,55.0,107.0,48.0,None,Incomplete,Germany,South Korea,Pass_None,Pass_6,Pass_None_5
7567114,Ball Recovery,None,None,Regular Play,None,None,,,,,00:21:40.773,2,66,0.0,00:21:40.773000,Germany,Germany,Mario Gómez García,Center Forward,,106.0,48.0,,,None,None,Germany,South Korea,Ball Recovery_None,Ball Recovery_2,Ball Recovery_None_2
7567114,Pressure,None,None,Regular Play,None,None,,,,,00:21:44.440,2,66,0.653,00:21:45.093000,Germany,Germany,Niklas Süle,Right Center Back,,85.0,74.0,,,None,None,Germany,South Korea,Pressure_None,Pressure_2,Pressure_None_2
7567116,Pass,None,None,Regular Play,None,None,-1.3521273999999999,18.439089000000003,,Toni Kroos,00:22:02.660,2,67,1.073,00:22:03.733000,Germany,Germany,Joshua Kimmich,Right Back,Right Foot,33.0,75.0,37.0,57.0,None,None,Germany,South Korea,Pass_None,Pass_1,Pass_None_1
7567116,Pass,None,None,Regular Play,None,None,-1.3734008,35.69314,,Thomas Müller,00:22:06.773,2,67,1.7590000000000001,00:22:08.532000,Germany,Germany,Toni Kroos,Left Center Midfield,Right Foot,52.0,53.0,59.0,18.0,None,None,Germany,South Korea,Pass_None,Pass_2,Pass_None_2
7567116,Pass,None,None,Regular Play,True,None,2.4468544,15.6205,,Mats Hummels,00:22:12.810,2,67,1.003,00:22:13.813000,Germany,Germany,Thomas Müller,Secondary Striker,Right Foot,71.0,23.0,59.0,33.0,None,None,Germany,South Korea,Pass_None,Pass_3,Pass_None_3
7567116,Pass,None,None,Regular Play,None,None,0.40489179999999997,7.615773,,Toni Kroos,00:22:14.933,2,67,0.84,00:22:15.773000,Germany,Germany,Mats Hummels,Left Center Back,Right Foot,59.0,33.0,66.0,36.0,None,None,Germany,South Korea,Pass_None,Pass_4,Pass_None_4
7567116,Pass,None,None,Regular Play,None,None,0.5880025999999999,25.23886,,Mesut Özil,00:22:17.853,2,67,1.359,00:22:19.212000,Germany,Germany,Toni Kroos,Left Center Midfield,Right Foot,68.0,39.0,89.0,53.0,None,None,Germany,South Korea,Pass_None,Pass_5,Pass_None_5
7567116,Pass,None,None,Regular Play,None,None,0.15264933,13.152946,,Thomas Müller,00:22:21.933,2,67,1.147,00:22:23.080000,Germany,Germany,Mesut Özil,Right Center Midfield,Left Foot,95.0,52.0,108.0,54.0,None,Incomplete,Germany,South Korea,Pass_None,Pass_6,Pass_None_6
7567116,Pressure,None,None,Regular Play,None,None,,,,,00:22:23.293,2,67,0.866,00:22:24.159000,Germany,Germany,Thomas Müller,Secondary Striker,,110.0,55.0,,,None,None,Germany,South Korea,Pressure_None,Pressure_2,Pressure_None_2
7567116,Ball Recovery,None,None,Regular Play,None,None,,,,,00:22:27.332,2,67,0.0,00:22:27.332000,Germany,Germany,Joshua Kimmich,Right Back,,88.0,72.0,,,None,None,Germany,South Korea,Ball Recovery_None,Ball Recovery_2,Ball Recovery_None_2
7567116,Pass,None,None,Regular Play,None,True,-1.2277723999999999,29.732138,,Mario Gómez García,00:22:33.160,2,67,1.32,00:22:34.480000,Germany,Germany,Joshua Kimmich,Right Back,Right Foot,102.0,68.0,112.0,40.0,None,None,Germany,South Korea,Pass_None,Pass_7,Pass_None_7
7567116,Shot,Open Play,Normal,Regular Play,None,None,,,,,00:22:34.480,2,67,0.573,00:22:35.053000,Germany,Germany,Mario Gómez García,Center Forward,Head,113.0,39.0,119.0,40.2,None,Saved,Germany,South Korea,Shot_Open Play,Shot_1,Shot_Open Play_1
7567118,Pass,Throw-in,None,From Throw In,None,None,-1.4711276000000002,10.049875,,Mesut Özil,00:23:41.400,2,68,0.9329999999999999,00:23:42.333000,Germany,Germany,Joshua Kimmich,Right Back,,40.0,80.0,41.0,70.0,None,None,Germany,South Korea,Pass_Throw-in,Pass_1,Pass_Throw-in_1
7567118,Pass,None,None,From Throw In,True,None,2.1910458,8.602325,,Joshua Kimmich,00:23:42.493,2,68,0.68,00:23:43.173000,Germany,Germany,Mesut Özil,Right Center Midfield,Left Foot,41.0,70.0,36.0,77.0,None,None,Germany,South Korea,Pass_None,Pass_2,Pass_None_1
7567118,Pass,None,None,From Throw In,True,None,-1.4527043,59.413803,,Jonas Hector,00:23:44.120,2,68,2.693,00:23:46.813000,Germany,Germany,Joshua Kimmich,Right Back,Left Foot,34.0,76.0,41.0,17.0,None,None,Germany,South Korea,Pass_None,Pass_3,Pass_None_2
7567118,Pass,None,None,From Throw In,None,None,-0.32175055,22.135944,,Marco Reus,00:23:49.773,2,68,1.159,00:23:50.932000,Germany,Germany,Jonas Hector,Left Back,Right Foot,45.0,16.0,66.0,9.0,None,None,Germany,South Korea,Pass_None,Pass_4,Pass_None_3
7567118,Pass,None,None,From Throw In,None,None,1.5152978000000001,18.027756,,Toni Kroos,00:23:52.400,2,68,1.053,00:23:53.453000,Germany,Germany,Marco Reus,Left Wing,Right Foot,67.0,13.0,68.0,31.0,None,None,Germany,South Korea,Pass_None,Pass_5,Pass_None_4
