caseID,result,start_Zone,end_Zone,opponent
75672,Incomplete,2,2,South Korea
75674,Out,1,1,South Korea
75676,Incomplete,1,2,South Korea
75677,Incomplete,2,2,South Korea
75679,Incomplete,2,2,South Korea
756712,Off T,3,3,South Korea
756714,Incomplete,2,2,South Korea
756716,Incomplete,1,1,South Korea
756717,Incomplete,2,3,South Korea
756719,Incomplete,1,2,South Korea
756720,Incomplete,2,2,South Korea
756721,Incomplete,2,3,South Korea
756722,Incomplete,3,3,South Korea
756723,Incomplete,3,3,South Korea
756724,Incomplete,3,3,South Korea
756726,Incomplete,2,3,South Korea
756728,Incomplete,3,3,South Korea
756729,Saved,3,3,South Korea
756732,Incomplete,3,3,South Korea
756733,Incomplete,3,3,South Korea
756734,Incomplete,3,3,South Korea
756738,Incomplete,1,1,South Korea
756739,Incomplete,1,3,South Korea
756741,Incomplete,3,1,South Korea
756742,Incomplete,1,3,South Korea
756744,Incomplete,1,1,South Korea
756745,Incomplete,2,2,South Korea
756746,Out,2,3,South Korea
756748,Incomplete,1,3,South Korea
756749,Incomplete,2,3,South Korea
756750,Incomplete,3,3,South Korea
756752,Incomplete,1,2,South Korea
756754,Incomplete,2,3,South Korea
756755,Incomplete,3,3,South Korea
756756,Out,3,3,South Korea
756758,Blocked,2,3,South Korea
756760,Incomplete,1,1,South Korea
756761,Incomplete,1,3,South Korea
756762,Incomplete,3,3,South Korea
756763,Incomplete,3,3,South Korea
756764,Out,2,2,South Korea
756766,Incomplete,1,1,South Korea
756769,Blocked,2,3,South Korea
756770,Saved,3,3,South Korea
756773,Incomplete,1,3,South Korea
756775,Incomplete,1,3,South Korea
756776,Blocked,3,3,South Korea
756778,Out,2,3,South Korea
756781,Incomplete,2,3,South Korea
756782,Saved,2,2,South Korea
756784,Incomplete,2,2,South Korea
756785,Off T,2,3,South Korea
756786,Incomplete,1,2,South Korea
756787,Off T,2,3,South Korea
756789,Incomplete,1,3,South Korea
756790,Blocked,3,3,South Korea
756792,Incomplete,2,3,South Korea
756795,Incomplete,1,3,South Korea
756797,Incomplete,1,2,South Korea
756799,Incomplete,1,3,South Korea
7567100,Incomplete,3,3,South Korea
7567102,Out,2,3,South Korea
7567104,Blocked,1,3,South Korea
7567107,Out,1,3,South Korea
7567109,Incomplete,2,3,South Korea
7567110,Off T,3,3,South Korea
7567112,Incomplete,2,3,South Korea
7567114,Incomplete,1,3,South Korea
7567116,Saved,1,3,South Korea
7567118,Off T,1,3,South Korea
7567120,Incomplete,1,2,South Korea
7567122,Blocked,3,3,South Korea
7567123,Incomplete,2,3,South Korea
7567125,Incomplete,2,3,South Korea
7567127,Incomplete,2,3,South Korea
7567128,Incomplete,3,3,South Korea
7567129,Incomplete,3,3,South Korea
7567130,Incomplete,3,3,South Korea
7567132,Incomplete,1,3,South Korea
7567134,Incomplete,3,3,South Korea
7567136,Incomplete,2,3,South Korea
7567137,Incomplete,3,3,South Korea
7567139,Incomplete,2,3,South Korea
7567142,Pass Offside,1,3,South Korea
7567144,Incomplete,1,3,South Korea
7567146,Off T,2,3,South Korea
7567148,Off T,1,3,South Korea
7567150,Blocked,2,3,South Korea
7567153,Incomplete,1,2,South Korea
7567156,Off T,2,3,South Korea
7567158,Incomplete,2,2,South Korea
7567160,Saved,2,3,South Korea
7567162,Incomplete,1,2,South Korea
7567165,Incomplete,1,2,South Korea
7567168,Incomplete,2,3,South Korea
7567169,Incomplete,2,3,South Korea
7567170,Off T,3,3,South Korea
7567172,Incomplete,2,3,South Korea
7567173,Incomplete,3,3,South Korea
7567175,Blocked,2,3,South Korea
7567176,Blocked,3,3,South Korea
7567177,Off T,3,3,South Korea
75343,Incomplete,2,3,Mexico
75346,Incomplete,1,1,Mexico
75347,Off T,1,3,Mexico
75348,Incomplete,3,3,Mexico
75349,Incomplete,3,3,Mexico
753412,Incomplete,1,3,Mexico
753413,Saved,3,3,Mexico
753415,Incomplete,2,3,Mexico
753418,Out,1,3,Mexico
753421,Incomplete,1,1,Mexico
753422,Incomplete,1,3,Mexico
753423,Incomplete,3,3,Mexico
753429,Incomplete,1,3,Mexico
753430,Saved,3,3,Mexico
753432,Blocked,2,3,Mexico
753435,Incomplete,2,3,Mexico
753437,Incomplete,2,2,Mexico
753441,Saved,1,3,Mexico
753444,Incomplete,1,3,Mexico
753445,Saved,3,3,Mexico
753447,Incomplete,1,2,Mexico
753450,Incomplete,1,2,Mexico
753451,Incomplete,2,3,Mexico
753452,Incomplete,3,3,Mexico
753454,Incomplete,1,3,Mexico
753455,Incomplete,3,3,Mexico
753461,Incomplete,1,3,Mexico
753462,Incomplete,2,3,Mexico
753464,Incomplete,2,3,Mexico
753467,Incomplete,1,2,Mexico
753469,Incomplete,2,2,Mexico
753471,Incomplete,2,3,Mexico
753472,Blocked,3,3,Mexico
753473,Saved,3,3,Mexico
753477,Out,1,1,Mexico
753479,Out,1,3,Mexico
753481,Incomplete,2,3,Mexico
753483,Incomplete,1,3,Mexico
753485,Incomplete,2,3,Mexico
753487,Incomplete,1,3,Mexico
753489,Incomplete,1,2,Mexico
753490,Incomplete,2,3,Mexico
753491,Incomplete,2,3,Mexico
753493,Incomplete,1,3,Mexico
753495,Saved,2,3,Mexico
753497,Out,2,3,Mexico
7534103,Incomplete,2,3,Mexico
7534104,Incomplete,3,3,Mexico
7534105,Off T,3,3,Mexico
7534107,Incomplete,1,3,Mexico
7534109,Blocked,1,3,Mexico
7534110,Blocked,3,3,Mexico
7534112,Incomplete,3,3,Mexico
7534114,Pass Offside,2,3,Mexico
7534116,Out,1,2,Mexico
7534117,Out,1,2,Mexico
7534119,Incomplete,1,3,Mexico
7534120,Blocked,3,2,Mexico
7534122,Incomplete,3,3,Mexico
7534124,Out,1,3,Mexico
7534126,Incomplete,1,3,Mexico
7534129,Off T,1,3,Mexico
