caseID,action,type,technique,play_pattern,under_pressure,shot_assist,angle,length,height,recipient,startTime,period,minute,duration,endTime,possession_team,team_action,player,player_position,body_part,start_X,start_Y,end_X,end_Y,bad_behavior,result,home_team,away_team,action_type,action_count,action_type_count
7561100,Pass,Corner,None,From Corner,None,None,-1.7004988,46.389652000000005,,,00:09:49.707,2,54,2.32,00:09:52.027000,Iceland,Iceland,Johann Berg Guðmunds­son,Right Wing,Left Foot,120.0,79.0,114.0,33.0,None,Incomplete,Croatia,Iceland,Pass_Corner,Pass_1,Pass_Corner_1
7561101,Pass,Corner,None,From Corner,None,True,1.7161063,41.4367,,Sverrir Ingi Ingason,00:10:18.667,2,55,1.64,00:10:20.307000,Iceland,Iceland,Gylfi Þór Sigurðsson,Center Attacking Midfield,Right Foot,119.0,1.0,113.0,42.0,None,None,Croatia,Iceland,Pass_Corner,Pass_1,Pass_Corner_1
7561101,Shot,Open Play,Normal,From Corner,None,None,,,,,00:10:20.307,2,55,0.813,00:10:21.120000,Iceland,Iceland,Sverrir Ingi Ingason,Right Center Back,Head,113.0,42.0,120.0,42.4,None,Post,Croatia,Iceland,Shot_Open Play,Shot_1,Shot_Open Play_1
7561103,Pass,Recovery,None,Regular Play,None,None,-0.81103355,27.58623,,Emil Hallfreðsson,00:10:52.067,2,55,1.8,00:10:53.867000,Iceland,Iceland,Sverrir Ingi Ingason,Right Center Back,Head,53.0,73.0,72.0,53.0,None,None,Croatia,Iceland,Pass_Recovery,Pass_1,Pass_Recovery_1
7561103,Pass,None,None,Regular Play,True,None,1.3258177,4.1231055,,Aron Einar Gunnarsson,00:10:54.867,2,55,0.6,00:10:55.467000,Iceland,Iceland,Emil Hallfreðsson,Right Defensive Midfield,Left Foot,69.0,52.0,70.0,56.0,None,None,Croatia,Iceland,Pass_None,Pass_2,Pass_None_1
7561103,Pass,None,None,Regular Play,True,None,-0.40489179999999997,7.615773,,Gylfi Þór Sigurðsson,00:10:56.627,2,55,0.72,00:10:57.347000,Iceland,Iceland,Aron Einar Gunnarsson,Left Defensive Midfield,Right Foot,74.0,52.0,81.0,49.0,None,None,Croatia,Iceland,Pass_None,Pass_3,Pass_None_2
7561103,Pass,None,None,Regular Play,None,None,-2.6779451,4.472136,,Aron Einar Gunnarsson,00:10:57.347,2,55,0.44,00:10:57.787000,Iceland,Iceland,Gylfi Þór Sigurðsson,Center Attacking Midfield,Left Foot,81.0,49.0,77.0,47.0,None,None,Croatia,Iceland,Pass_None,Pass_4,Pass_None_3
7561103,Pass,None,None,Regular Play,None,None,2.2794225,9.219544,,Emil Hallfreðsson,00:10:58.467,2,55,1.28,00:10:59.747000,Iceland,Iceland,Aron Einar Gunnarsson,Left Defensive Midfield,Right Foot,79.0,44.0,73.0,51.0,None,None,Croatia,Iceland,Pass_None,Pass_5,Pass_None_4
7561103,Pass,None,None,Regular Play,True,True,0.8870870000000001,34.828148,,Johann Berg Guðmunds­son,00:10:59.747,2,55,2.56,00:11:02.307000,Iceland,Iceland,Emil Hallfreðsson,Right Defensive Midfield,Right Foot,73.0,51.0,95.0,78.0,None,None,Croatia,Iceland,Pass_None,Pass_6,Pass_None_5
7561103,Shot,Open Play,Normal,Regular Play,None,None,,,,,00:11:05.707,2,56,0.493,00:11:06.200000,Iceland,Iceland,Johann Berg Guðmunds­son,Right Wing,Left Foot,101.0,61.0,101.0,59.0,None,Blocked,Croatia,Iceland,Shot_Open Play,Shot_1,Shot_Open Play_1
7561103,Ball Recovery,None,None,Regular Play,None,None,,,,,00:11:08.227,2,56,,None,Iceland,Iceland,Ragnar Sigurðsson,Left Center Back,,69.0,39.0,,,None,None,Croatia,Iceland,Ball Recovery_None,Ball Recovery_1,Ball Recovery_None_1
7561103,Pass,None,None,Regular Play,None,None,0.0,4.0,,Birkir Bjarnason,00:11:14.227,2,56,0.613,00:11:14.840000,Iceland,Iceland,Ragnar Sigurðsson,Left Center Back,Right Foot,93.0,29.0,97.0,29.0,None,Incomplete,Croatia,Iceland,Pass_None,Pass_7,Pass_None_6
7561103,Pressure,None,None,Regular Play,None,None,,,,,00:11:15.947,2,56,0.653,00:11:16.600000,Iceland,Iceland,Hörður Björgvin Magnússon,Left Back,,75.0,27.0,,,None,None,Croatia,Iceland,Pressure_None,Pressure_7,Pressure_None_7
7561105,Ball Recovery,None,None,Regular Play,True,None,,,,,00:11:18.707,2,56,,None,Iceland,Iceland,Emil Hallfreðsson,Right Defensive Midfield,,71.0,30.0,,,None,None,Croatia,Iceland,Ball Recovery_None,Ball Recovery_1,Ball Recovery_None_1
7561105,Dribble,None,None,Regular Play,None,None,,,,,00:11:20.307,2,56,,None,Iceland,Iceland,Emil Hallfreðsson,Right Defensive Midfield,,71.0,35.0,,,None,Complete,Croatia,Iceland,Dribble_None,Dribble_1,Dribble_None_1
7561105,Pass,None,None,Regular Play,None,None,0.6287963000000001,13.601470999999998,,Gylfi Þór Sigurðsson,00:11:21.587,2,56,0.84,00:11:22.427000,Iceland,Iceland,Emil Hallfreðsson,Right Defensive Midfield,Left Foot,69.0,30.0,80.0,38.0,None,None,Croatia,Iceland,Pass_None,Pass_1,Pass_None_1
7561105,Pass,None,None,Regular Play,None,None,1.2753555,24.041629999999998,,Johann Berg Guðmunds­son,00:11:23.387,2,56,1.6,00:11:24.987000,Iceland,Iceland,Gylfi Þór Sigurðsson,Center Attacking Midfield,Right Foot,79.0,40.0,86.0,63.0,None,None,Croatia,Iceland,Pass_None,Pass_2,Pass_None_2
7561105,Pass,None,None,Regular Play,None,None,-2.4805496,11.401753999999999,,Emil Hallfreðsson,00:11:27.027,2,56,1.28,00:11:28.307000,Iceland,Iceland,Johann Berg Guðmunds­son,Right Wing,Left Foot,87.0,63.0,78.0,56.0,None,None,Croatia,Iceland,Pass_None,Pass_3,Pass_None_3
7561105,Pass,None,None,Regular Play,None,None,-1.1459641,46.09772,,Birkir Bjarnason,00:11:30.507,2,56,2.24,00:11:32.747000,Iceland,Iceland,Emil Hallfreðsson,Right Defensive Midfield,Left Foot,79.0,46.0,98.0,4.0,None,None,Croatia,Iceland,Pass_None,Pass_4,Pass_None_4
7561105,Pass,None,None,Regular Play,None,None,1.012197,37.735924,,Alfreð Finnbogason,00:11:37.427,2,56,1.56,00:11:38.987000,Iceland,Iceland,Birkir Bjarnason,Left Wing,Right Foot,92.0,17.0,112.0,49.0,None,None,Croatia,Iceland,Pass_None,Pass_5,Pass_None_5
7561105,Miscontrol,None,None,Regular Play,None,None,,,,,00:11:39.427,2,56,,None,Iceland,Iceland,Alfreð Finnbogason,Center Forward,,112.0,49.0,,,None,None,Croatia,Iceland,Miscontrol_None,Miscontrol_1,Miscontrol_None_1
7561105,Pass,Recovery,None,Regular Play,True,None,0.4636476,2.236068,,,00:11:42.947,2,56,0.613,00:11:43.560000,Iceland,Iceland,Emil Hallfreðsson,Right Defensive Midfield,Left Foot,88.0,44.0,90.0,45.0,None,Incomplete,Croatia,Iceland,Pass_Recovery,Pass_6,Pass_Recovery_1
7561105,Pass,Recovery,None,Regular Play,True,None,0.6086893,40.22437,,,00:11:45.147,2,56,3.733,00:11:48.880000,Iceland,Iceland,Aron Einar Gunnarsson,Left Defensive Midfield,Right Foot,76.0,41.0,109.0,64.0,None,Incomplete,Croatia,Iceland,Pass_Recovery,Pass_7,Pass_Recovery_2
7561106,Pass,None,None,Regular Play,None,None,0.26625204,11.401753999999999,,Birkir Már Sævarsson,00:11:58.627,2,56,1.68,00:12:00.307000,Iceland,Iceland,Sverrir Ingi Ingason,Right Center Back,Right Foot,47.0,75.0,58.0,78.0,None,None,Croatia,Iceland,Pass_None,Pass_1,Pass_None_1
7561106,Pass,None,None,Regular Play,None,None,-2.4805496,22.803509,,Sverrir Ingi Ingason,00:12:01.067,2,57,1.6,00:12:02.667000,Iceland,Iceland,Birkir Már Sævarsson,Right Back,Right Foot,56.0,78.0,38.0,64.0,None,None,Croatia,Iceland,Pass_None,Pass_2,Pass_None_2
7561106,Pass,None,None,Regular Play,True,None,0.24497867,24.738634,,,00:12:06.547,2,57,1.4,00:12:07.947000,Iceland,Iceland,Sverrir Ingi Ingason,Right Center Back,Right Foot,36.0,74.0,60.0,80.0,None,Out,Croatia,Iceland,Pass_None,Pass_3,Pass_None_3
7561108,Ball Recovery,None,None,From Counter,None,None,,,,,00:12:36.707,2,57,,None,Iceland,Iceland,Birkir Bjarnason,Left Wing,,15.0,11.0,,,None,None,Croatia,Iceland,Ball Recovery_None,Ball Recovery_1,Ball Recovery_None_1
7561108,Pass,None,None,From Counter,True,None,1.1071488,4.472136,,Hörður Björgvin Magnússon,00:12:39.107,2,57,0.68,00:12:39.787000,Iceland,Iceland,Birkir Bjarnason,Left Wing,Right Foot,3.0,14.0,5.0,18.0,None,None,Croatia,Iceland,Pass_None,Pass_1,Pass_None_1
